PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Posición,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Alto espejo (mm),Ancho espejo (mm),Color,Composición,Distancia entre pernos,Embalaje,Fijación,Forma,Homologación,Incluye intermitente,Montaje,Posición,Rosca (mm),Rosca de espejo,Sentido de rosca,Picture1,AllPicturesZIP,Document1,Document2,DeliveryPlant
1083796002,E508I,E508I,VICMA,"VICMA MIRROR OEM TYPE, L",Retrovisor izquierdo VICMA tipo OEM negro - Cagiva Raptor 650,52.95,43.76,26.26,8430525042124,4,7009100030,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda,4802,391,324,228,65,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083796002-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI3MDF8aW1hZ2UvanBlZ3xhR1l5TDJnMk1pODRPVGM0TmpReE56UTNPVGs0THpFd09ETTNPVFl3TURJdE1WODRNREJYZURnd01FZ3xmM2RlYjAwYWE0MDdmNjczYmQwOTM3NjVhNjI4NTU1ZTEzYjA0NWMyZjM1NWNhMDZjNjNiZGI2ZjRhNDUxODEy,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083796001,E508D,E508D,VICMA,"VICMA MIRROR OEM TYPE, R",Retrovisor derecho VICMA tipo OEM negro - Cagiva Raptor 650,52.95,43.76,26.26,8430525042131,4,7009100030,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Derecha,4506,390,323,225,62,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083796001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4OTV8aW1hZ2UvanBlZ3xhRE0yTDJnMVl5ODRPVGM0TmpReE5UVXhNemt3THpFd09ETTNPVFl3TURFdE1WODRNREJYZURnd01FZ3w5ODRjMWQ3NjliMzMxNTc0ODljYjNlZDBhMDEwYzM0NzVhMmEwNjNjM2EzYzdmY2NmNDA3NjkyNzZkNGVjZWIy,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083798001,E513D,E513D,VICMA,"VICMA MIRROR OEM TYPE, R",Retrovisor derecho VICMA tipo OEM negro - Aprilia Scarabeo 125/200,26.95,22.27,13.36,8430525046917,22,7009100030,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Derecha,2256,428,332,151,45,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A izquierdas,https://api.mybihr.com/medias/1083798001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU5NzV8aW1hZ2UvanBlZ3xhRE5tTDJoaU9DODRPVGM0TmpReU1UUXhNakUwTHpFd09ETTNPVGd3TURFdE1WODRNREJYZURnd01FZ3w2NWRkZDY1OWIxMDA3ZjY0NTdjN2E2MzZjODcxYTIzZTkzNzBkNGE3MmFkMGUxY2ZjYjUzNzQ5YjhmYzc0ZmU5,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083848001,E687D,FH-888,VICMA,"VICMA MIRROR OEM TYPE, R",Retrovisor derecho VICMA tipo OEM - Keeway M8/125,14.96,12.36,7.42,8430525101326,8,7009100090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Derecha,2411,306,121,369,54,,,Negro & Plata,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083848001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjM5MzN8aW1hZ2UvanBlZ3xhR1EyTDJobVpTOHhOVFF4TURreE9UTXdPVE0wTWk4eE1EZ3pPRFE0TURBeExURmZPREF3VjNnNE1EQkl8Y2Q4MzhiODc0MzkwY2FjMzVmNTJlZDEwY2YwOTgwYjg5ZmRmODI5YzllNmUyMjFjOWQ1NGNjYTZiMzZlMTgwYQ,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083859002,E707D,KA-90H,VICMA,"VICMA MIRROR OEM TYPE, R",Retrovisor derecho VICMA tipo OEM - Harley Davidson,36.95,30.54,18.32,8430525080904,38,8512100000,0,1,No homologado.,No homologado.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Derecha,2266,315,302,121,62,,,Cromo,,,,,Otras formas,No homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083859002-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM3NjY2fGltYWdlL2pwZWd8YURNMUwyZ3haUzg0T1RZM01qTTJNekl4TXpFd0x6RXdPRE00TlRrd01ESXRNVjg0TURCWGVEZ3dNRWd8MmEwOTI0ZTQ3NTY4OWJmNGU4ZDA0OThlYTZjODJlMGJlNzU1OTk2NDNlYmRjZDQ3YzIwM2VlNDNiNmE5NWUyYg,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083859001,E707I,E707I,VICMA,"VICMA MIRROR OEM TYPE, L","Retrovisor izquierdo VICMA adaptable 5/16"" cromado - Harley Davidson",36.95,30.54,18.32,8430525080898,35,8512100000,0,1,No homologado.,No homologado.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda,2280,324,309,119,62,,,Cromo,,,,,Otras formas,No homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083859001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTg4ODN8aW1hZ2UvanBlZ3xhRGxpTDJnd1pTODRPVGM0TmpZeE1qUTBPVFU0THpFd09ETTROVGt3TURFdE1WODRNREJYZURnd01FZ3w2YzIyYjMwMzgzNWQ4ZjVjODZjZWJmYmU4YzcwMTdlNTFhYzA0OGZmMzY5NTU5NjQwOGQxN2QzNWYzNjBjZjc5,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083845002,E685I,E685I,VICMA,"VICMA MIRROR OEM TYPE, L",Retrovisor izquierdo VICMA tipo OEM negro - Peugeot Looxor 100/125,14.96,12.36,7.42,8430525039643,125,7009100030,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda,2839,350,356,145,55,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083845002-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI5NDV8aW1hZ2UvanBlZ3xhRGxrTDJobE1DODRPVGM0TmpVMU9UTTJOVFF5THpFd09ETTRORFV3TURJdE1WODRNREJYZURnd01FZ3w3NmU1YjkyMTU5NTZjNGY2N2RhOTVjYTg3Y2RkMmZkNzMzNGNiY2EyZThkNjBkYzczMDk3YmJhMmM5NzU1NjE3,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083845001,E685D,E685D,VICMA,"VICMA MIRROR OEM TYPE, R",Retrovisor derecho VICMA tipo OEM - Peugeot Looxor 100,14.96,12.36,7.42,8430525039650,41,7009100030,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Derecha,2879,374,361,145,55,,,Negro,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083845001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI5NDV8aW1hZ2UvanBlZ3xhR05qTDJoa09TODRPVGM0TmpVMU56TTVPVE0wTHpFd09ETTRORFV3TURFdE1WODRNREJYZURnd01FZ3xkZTgwNmU0NTc3ZTQ2MmNjY2RlNmE0MzU1ODRkOWEzZGQyOTljOWRhOTZlZjkxYzk3ZjgwOTI5MTlkOGQ3N2Q5,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083853001,E701,E701,VICMA,"VICMA MIRROR OEM TYPE, L/R",Retrovisor ambos lados VICMA tipo OEM cromado - Daelim SJ A E-Five 50,13.95,11.53,4.29,8430525080690,12,8512100000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda / Derecha,1749,209,334,154,34,,,Cromo,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083853001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI4Mzd8aW1hZ2UvanBlZ3xhR0V4TDJnMk9TODRPVGM0TmpVNU1EZ3lNamN3THpFd09ETTROVE13TURFdE1WODRNREJYZURnd01FZ3wxZmIyNzE4NzJmYzExZjhkODQ2MDhiNjRiMDRmOWQyMTc0NWEyNGZjZmQxZThkMTc2YTNhNmM3MzM2ZGUyZjZk,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
1083894001,E880I,FV-294-LEFT,VICMA,"VICMA MIRROR OEM TYPE, L",Retrovisor izquierdo VICMA tipo OEM - Carnaby Cruiser 300 (10-,40.95,33.84,20.30,8430525135000,24,8512100000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>OEM type mirror</li><li>Street legal</li></ul> </body> </html>","        OEM type mirrorStreet legal  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Izquierda,4211,651,408,129,80,,,Cromo,,,,,Otras formas,Homologado,,Manillar,,,,A derechas,https://api.mybihr.com/medias/1083894001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTQxNTd8aW1hZ2UvanBlZ3xhRE14TDJnNU15ODRPVFkzTXpZeE5EazFNRGN3THpFd09ETTRPVFF3TURFdE1WODRNREJYZURnd01FZ3xmYmZkMzY3OThjZDcxODk1NGFlYzk2MmQ4N2Y2OTQ1MGEwYzExMDU3Y2EzZWI1M2QwOGM3NDg5ZDMzYTQ5N2Zm,https://static.bihr.pro/eBihr/Pictures/VICMA-pictures.zip,,,Spain Warehouse (Parts)
