PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,AllPicturesZIP,Document1,Document2,Document3,DeliveryPlant
1099992,552046,M703141420,VICTOR REINZ,VICTO SEALANT UNI COMPOUND 300C 200ML,Pasta de junta VICTOR REINZ 300°C,41.14,34.00,22.10,4026634293997,5,8484900090,0,1,"Masilla de silicona para juntas a altas temperaturas de la parte alta del motor. 			Temperatura máxima: 300 °CGris antracitaSpray de 200 ml""""""""","Masilla de silicona para juntas a altas temperaturas de la parte alta del motor. 			Temperatura máxima: 300 °CGris antracitaSpray de 200 ml""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SEALANT,882,314,210,60,70,https://api.mybihr.com/medias/1099992-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc1MjN8aW1hZ2UvanBlZ3xhRFZsTDJnM1ppODRPVGcwTkRnMU56STBNVGt3THpFd09UazVPVEl0TVY4NE1EQlhlRGd3TUVnfGRmMTVjNDE2YTcxMTZjNzlkNjU4MDc1ZTM5MWQwYTY5ZDMzOWY0YzkwN2M4YzkzYzlmY2QxM2UzZGE3MDg2ODk,https://static.bihr.pro/eBihr/Pictures/VICTOR_REINZ-pictures.zip,https://api.mybihr.com/medias/MSDS-M703141420-2015-03-10-DE.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyNjk3MzF8YXBwbGljYXRpb24vcGRmfGFHRXdMMmc0TWk4NU1EVXhNekl3TnpFek1qUTJMMDFUUkZOZlRUY3dNekUwTVRReU1GOHlNREUxWHpBelh6RXdYMFJGfDI4MTc0Nzk4MTM4OGVjYjBiMjRlMjQ1YWQ3ZDZmMzA3NTQ1ODY1OGI1ZWNmNmFkMzRhMWU1OTQxOTRjYzUwZDk,https://api.mybihr.com/medias/MSDS-M703141420-2015-03-10-EN.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyNjM0NjN8YXBwbGljYXRpb24vcGRmfGFESTNMMmcwTkM4NU1EVXhNelU0T0RVMU1UazRMMDFUUkZOZlRUY3dNekUwTVRReU1GOHlNREUxWHpBelh6RXdYMFZPfGI2MzU4MzdlNjYyOTZkNGY3YTA4NDM4MTllYjA4YzFjZTc1N2EwNjYzNGIzMTk3MGIyNTFmOTAwZGMyYWNkZWI,https://api.mybihr.com/medias/MSDS-M703141420-2015-03-10-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyNjY1NTd8YXBwbGljYXRpb24vcGRmfGFEVm1MMmc0Tmk4NU1EVXhNekl3T0RRME16RTRMMDFUUkZOZlRUY3dNekUwTVRReU1GOHlNREUxWHpBelh6RXdYMFpTfDE1OGQzNWFjMzEwNjQ3YmM0NzdmYTllMWQ1MjcyMmU0YTQ0YmM3M2ZkOWMyOTdmYTYwNGVhNGI1MzgwYjk5NGQ,Spain Warehouse (Parts)
1099993,552047,M703145300,VICTOR REINZ,VICTO SEALANT UNI COMPOUND 200C 70ML,Tubo de 100gr silicona térmica para juntas 200°C,24.14,19.95,12.97,M703145300,75,8484900090,0,1,"Masilla de silicona para juntas de la parte baja de motores 2T/4T, cárter del motor o bomba de agua. 			Temperatura máxima: 200 °CTransparenteTubo de 70 ml""""""""","Masilla de silicona para juntas de la parte baja de motores 2T/4T, cárter del motor o bomba de agua. 			Temperatura máxima: 200 °CTransparenteTubo de 70 ml""""""""",LIQUIDS & LUBRICANTS,MAINTENANCE & CARE,MNT&CARE SEALANT,320,103,160,50,40,https://api.mybihr.com/medias/1099993-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTY0NTR8aW1hZ2UvanBlZ3xhREV3TDJnME15ODRPVE0yT0RJMU56RTJOelkyTHpFd09UazVPVE10TVY4NE1EQlhlRGd3TUVnfDE2MGNmMDFmNWVmODFiODJlNDg0M2EyMjAyMzgxYjIyNGIzNGUzMDAzZTQ1OGYxNzdmMTc5ZDQ3YWRjZjZjNmI,https://static.bihr.pro/eBihr/Pictures/VICTOR_REINZ-pictures.zip,https://api.mybihr.com/medias/MSDS-M703145300-2015-03-10-DE.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMTQ2NDd8YXBwbGljYXRpb24vcGRmfGFEWXdMMmc1T1M4NU1EVXhNelU1TWpRNE5ERTBMMDFUUkZOZlRUY3dNekUwTlRNd01GOHlNREUxWHpBelh6RXdYMFJGfDQzMmM3MGEyMWVjYWI3ZjM5Yjc5ZjVjMjc5YTA0ZTI5YzJlMWU2ZThlZDk4ZTE3MTk2Mzk2NGM5MWQ5OGM5MWM,https://api.mybihr.com/medias/MSDS-M703145300-2015-03-10-EN.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMDkxNTZ8YXBwbGljYXRpb24vcGRmfGFEUmpMMmd4T1M4NU1EVXhNekUyTVRJMU56STJMMDFUUkZOZlRUY3dNekUwTlRNd01GOHlNREUxWHpBelh6RXdYMFZPfGMwOTNmODMzNDAyOTMxNzE4MWJlMjM2MWEwNTRjNzU5MjIyOTZiNzUzZjA0MTE0ZGZlNjE2ZjMxYzc3N2NjOTc,https://api.mybihr.com/medias/MSDS-M703145300-2015-03-10-FR.pdf?context=bWFzdGVyfGRvY3VtZW50c3wyMTIxNjR8YXBwbGljYXRpb24vcGRmfGFEQmlMMmd4WkM4NU1EVXhNekUyTWpVMk56azRMMDFUUkZOZlRUY3dNekUwTlRNd01GOHlNREUxWHpBelh6RXdYMFpTfGFkMDdjN2E1NGIzMGI1YjQxYTUzOWU1MjBkMWMyMDhiZTU3MjlhMzg3NTllNWQ3MjQ3OGZlOGNjMzIxNWIyNDc,Spain Warehouse (Parts)
