PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Cantidad,Color,Composición,Diámetro Ø (mm),Embalaje,Longitud (mm),Rosca (mm),Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1109278,,HON-PFK3,BOLT,BOLT BODY WORK FASTENER KIT,Kit Tornillería de Plásticos BOLT - Honda,25.00,20.66,13.43,819648022677,7,8714109090,0,1,"<p>BOLT Body Work Fastener kits are carefully researched and designed to include <em>all</em>&nbsp;the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.</p>","
BOLT Body Work Fastener kits are carefully researched and designed to include all the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,322,231,88,85,43,,,,,,,,https://api.mybihr.com/medias/1109278-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODcwMjN8aW1hZ2UvanBlZ3xhR00xTDJnMVpDOHhNakEzTkRRek9UUTBNalEyTWk4eE1UQTVNamM0TFRGZk9EQXdWM2c0TURCSXw4YzkyODM3NzU2ZDU4N2NlZDNlYjcwY2QwNzFkYjg2ZDZhYzZiYjNiYTRiMmY4ODg5MDhhYTNmZDIzNTBmY2Fm,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109309,,E-KF4-1620,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025432,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,577,645,131,116,38,,,,,,,,https://api.mybihr.com/medias/1109309-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQzNzd8aW1hZ2UvanBlZ3xhRFJrTDJnd09DOHhNakEzTkRRME9EUTFNelkyTWk4eE1UQTVNekE1TFRGZk9EQXdWM2c0TURCSXw4MzY2YWM2M2U5NTBiMDRlYmQ3ZTBjMjc1ZDYzY2EzZTczOGRkNjBlMTMwZjEyMmRjOWJmMTRiYzFmMDdlYjIz,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109288,,E-CF2-0409,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025258,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,601,549,133,119,38,,,,,,,,https://api.mybihr.com/medias/1109309-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQzNzd8aW1hZ2UvanBlZ3xhRFJrTDJnd09DOHhNakEzTkRRME9EUTFNelkyTWk4eE1UQTVNekE1TFRGZk9EQXdWM2c0TURCSXw4MzY2YWM2M2U5NTBiMDRlYmQ3ZTBjMjc1ZDYzY2EzZTczOGRkNjBlMTMwZjEyMmRjOWJmMTRiYzFmMDdlYjIz,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109281,,KAW-141785,BOLT,BOLT BODY WORK FASTENER KIT,Kit Tornillería de Plásticos BOLT - Kawasaki,25.00,20.66,13.43,819648022172,1,8714109090,0,1,"<p>BOLT Body Work Fastener kits are carefully researched and designed to include <em>all</em>&nbsp;the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.</p>","
BOLT Body Work Fastener kits are carefully researched and designed to include all the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,314,275,86,85,43,,,,,,,,https://api.mybihr.com/medias/1109281-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjgwNTN8aW1hZ2UvanBlZ3xhRFkzTDJoak1DOHhNakEzTkRRME1EWXlNakV4TUM4eE1UQTVNamd4TFRGZk9EQXdWM2c0TURCSXxiOTliZDZlNWIyOThjNmM0Zjg5MWI2YTgxNmFhOGJjMTA2MjBhNjlhYjU1YWU4YTYyYjgyNmJhZTBlNjgyNjVh,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109316,,E-R1-9807,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025784,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,550,500,128,113,38,,,,,,,,https://api.mybihr.com/medias/1109299-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTk0MjF8aW1hZ2UvanBlZ3xhR1V4TDJnd1lpOHhNakEzTkRRME16TTNORFl5TWk4eE1UQTVNams1TFRGZk9EQXdWM2c0TURCSXxkNDJiZDAxMzMxMGE5OGNkZjhlYWRhMjYyODEwMzE2MzI5YmFlMjc0YWRmMTA4N2Q5ODI0MDJjMDE4YTk5YTM5,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109284,,KTM-021565SX,BOLT,BOLT BODY WORK FASTENER KIT,Kit Tornillería de Plásticos BOLT - KTM / Husqvarna,20.00,16.53,10.74,819648022202,0,8714109090,0,1,"<p>BOLT Body Work Fastener kits are carefully researched and designed to include <em>all</em>&nbsp;the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.</p>","
BOLT Body Work Fastener kits are carefully researched and designed to include all the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,314,189,88,83,43,,,,,,,,https://api.mybihr.com/medias/1109284-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njc0MTZ8aW1hZ2UvanBlZ3xhRE14TDJoalppOHhNakEzTkRRME1UZ3dNVGMxT0M4eE1UQTVNamcwTFRGZk9EQXdWM2c0TURCSXw0MmZjMTdkMWIwNDcwNTIxZTM4MTEyMGU2MjJkNGJhOTM1NmUyYTQxZWIwNDI5NWM0MWQxOTQ3YTNmYWUyMzYy,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109317,,E-R2-9095,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025838,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,594,752,136,115,38,,,,,,,,https://api.mybihr.com/medias/1109299-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTk0MjF8aW1hZ2UvanBlZ3xhR1V4TDJnd1lpOHhNakEzTkRRME16TTNORFl5TWk4eE1UQTVNams1TFRGZk9EQXdWM2c0TURCSXxkNDJiZDAxMzMxMGE5OGNkZjhlYWRhMjYyODEwMzE2MzI5YmFlMjc0YWRmMTA4N2Q5ODI0MDJjMDE4YTk5YTM5,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109298,,E-KTM8-1820,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025500,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,558,498,130,113,38,,,,,,,,https://api.mybihr.com/medias/1109299-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTk0MjF8aW1hZ2UvanBlZ3xhR1V4TDJnd1lpOHhNakEzTkRRME16TTNORFl5TWk4eE1UQTVNams1TFRGZk9EQXdWM2c0TURCSXxkNDJiZDAxMzMxMGE5OGNkZjhlYWRhMjYyODEwMzE2MzI5YmFlMjc0YWRmMTA4N2Q5ODI0MDJjMDE4YTk5YTM5,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109303,,E-KTMF2-1315,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025562,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,612,515,133,115,40,,,,,,,,https://api.mybihr.com/medias/1109309-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQzNzd8aW1hZ2UvanBlZ3xhRFJrTDJnd09DOHhNakEzTkRRME9EUTFNelkyTWk4eE1UQTVNekE1TFRGZk9EQXdWM2c0TURCSXw4MzY2YWM2M2U5NTBiMDRlYmQ3ZTBjMjc1ZDYzY2EzZTczOGRkNjBlMTMwZjEyMmRjOWJmMTRiYzFmMDdlYjIz,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109297,,E-KTM8-0317,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025494,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,533,369,123,114,38,,,,,,,,https://api.mybihr.com/medias/1109299-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTk0MjF8aW1hZ2UvanBlZ3xhR1V4TDJnd1lpOHhNakEzTkRRME16TTNORFl5TWk4eE1UQTVNams1TFRGZk9EQXdWM2c0TURCSXxkNDJiZDAxMzMxMGE5OGNkZjhlYWRhMjYyODEwMzE2MzI5YmFlMjc0YWRmMTA4N2Q5ODI0MDJjMDE4YTk5YTM5,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109313,,E-KTMF4-0911EXC,BOLT,BOLT ENGINE FASTENER KIT,Kit tornillería de motor BOLT,47.65,39.38,25.60,819648025739,1,8714109090,0,1,<p>BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.</p>,"
BOLT offers Engine Fastener Kits for most off-road motorcycles 1985 and newer.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,524,519,121,114,38,,,,,,,,https://api.mybihr.com/medias/1109309-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODQzNzd8aW1hZ2UvanBlZ3xhRFJrTDJnd09DOHhNakEzTkRRME9EUTFNelkyTWk4eE1UQTVNekE1TFRGZk9EQXdWM2c0TURCSXw4MzY2YWM2M2U5NTBiMDRlYmQ3ZTBjMjc1ZDYzY2EzZTczOGRkNjBlMTMwZjEyMmRjOWJmMTRiYzFmMDdlYjIz,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
1109286,,KTM-131785SX,BOLT,BOLT BODY WORK FASTENER KIT,Kit Tornillería de Plásticos BOLT - KTM / Husqvarna,20.00,16.53,10.74,819648022288,0,8714109090,0,1,"<p>BOLT Body Work Fastener kits are carefully researched and designed to include <em>all</em>&nbsp;the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.</p>","
BOLT Body Work Fastener kits are carefully researched and designed to include all the fasteners, shoulder bolts and aluminum bushings needed when replacing the fork guards, fenders, number plates, radiator shrouds and seats.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,314,194,88,83,43,,,,,,,,https://api.mybihr.com/medias/1109286-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njc0MTZ8aW1hZ2UvanBlZ3xhR0poTDJnMlpTOHhNakEzTkRRME1qVTRPREU1TUM4eE1UQTVNamcyTFRGZk9EQXdWM2c0TURCSXwzZDlkNTUzYzFkZGQ1ZjRjYzY2OGE5MTEyODU5NDNhOTYyZGY3NmFjNWYyMGE5NzMxMmU4ZGNlYWI0MDc5Nzkx,,,,https://static.bihr.pro/eBihr/Pictures/BOLT-pictures.zip,Spain Warehouse (Parts)
