PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1050762,35100,69340107,TENGTOOLS,TENGT EXTRACTOR SET OF 5 ROTARY,JUEGO DE 5 EXTRACTORES DE Espárragos ROTOS TTSN11,99.50,82.23,61.67,5020385080737,1,8207909900,0,1,"<p align=left>Kit de extractores de espárragos dañados Tengtools TTSN11, incluye maletín.<br><br>- <strong>5 Extractores de esparragos:</strong> 7/64 - 9/64 - 5/32 - 19/64<br>- <strong>4 Extractores a rodillo:</strong> 6 - 8 - 10 - 12<br>- <strong>2 Tronzatuercas:</strong> 5-20 - 14-27<br></p><p align=left>&nbsp;</p><p></p>","
Kit de extractores de espárragos dañados Tengtools TTSN11, incluye maletín.- 5 Extractores de esparragos: 7/64 - 9/64 - 5/32 - 19/64- 4 Extractores a rodillo: 6 - 8 - 10 - 12- 2 Tronzatuercas: 5-20 - 14-27
 
",TOOLING & WS,TOOLING,TOOLING GENERAL,1950,1568,150,260,50,https://api.mybihr.com/medias/1050762-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3OTZ8aW1hZ2UvanBlZ3xhRGhpTDJnek5TOHhOVFF4TXpRM05UY3pOell6TUM4eE1EVXdOell5TFRGZk9EQXdWM2c0TURCSXw1MTM4YTQ3ZTdhODVlM2UzNzRiZGQ5MGI1YTU3NjEyZWVjZmZiMzcyMjRiYWY5M2NmNGVkNGFkMjBkNGIxZmE3,,https://static.bihr.pro/eBihr/Pictures/TENGTOOLS-pictures.zip,Spain Warehouse (Parts)
1050748,35086,25670407,TENGTOOLS,TENGT GLASS KEY HEXAGONAL 1/4 7MM,"LLAVE DE VASO HEXAGONAL 1/4"""" 7 MM",2.00,1.65,1.24,5020385130104,7,8204120000,0,1,"<p align=left>Hexagonales 1/4”. Serie regular, métricos. DIN 3124/ISO 2725. Cromo vanadio. Acabado mate. </p><p align=left>&nbsp;</p><p align=left><strong>Tamaño:</strong>&nbsp;&nbsp;7 mm.</p>","
Hexagonales 1/4”. Serie regular, métricos. DIN 3124/ISO 2725. Cromo vanadio. Acabado mate. 
 
Tamaño:  7 mm.",TOOLING & WS,TOOLING,TOOLING GENERAL,264,22,40,330,20,https://api.mybihr.com/medias/1050748-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzUzNDZ8aW1hZ2UvanBlZ3xhR1JtTDJnNE15OHhOVFF4TXpRM01UUXhNakkxTkM4eE1EVXdOelE0TFRGZk9EQXdWM2c0TURCSXw0YWM4YjUyMDliM2I1MWJjNGNkNzhlZjQ0NGJjNWQxZmI1YzVmMmJkYTJmYzc4MzgyOTM2NGVkZjFjOGE1NmI4,,https://static.bihr.pro/eBihr/Pictures/TENGTOOLS-pictures.zip,Spain Warehouse (Parts)
1050769,35105,101910107,TENGTOOLS,TENGT TIP HOLDER SET 7 PCS TORX,Portapuntas hexagonal 1/4”,16.99,14.04,10.53,8430525351059,1,8207909900,0,1,"<p dir=ltr align=left></p><font size=3 face=Helvetica><font size=3 face=Helvetica><p dir=ltr align=left>Varilla diseñada con un vaso hexagonal 1/4"" con dispositivo magnético.</p></font></font><font size=3 face=Calibri><font size=3 face=Calibri></font></font>","
Varilla diseñada con un vaso hexagonal 1/4"" con dispositivo magnético.",TOOLING & WS,TOOLING,TOOLING GENERAL,448,204,70,160,40,https://api.mybihr.com/medias/1050769-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzEyNzF8aW1hZ2UvanBlZ3xhRE5sTDJobVlpOHhOVFF4TXpRM056TXhNRFE1TkM4eE1EVXdOelk1TFRGZk9EQXdWM2c0TURCSXw5ZGZmN2QwYTY1NjhhMmFlMTY1NzFmYWQzYjJkNDk3NDI3MmEwMGNlNGJlNDdkOWI0ODI0MDQ4NWQ5ZDAyMTIx,https://api.mybihr.com/medias/1050769-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzY5NTF8aW1hZ2UvanBlZ3xhRE16TDJobU55OHhOVFF4TXpRM056Y3dNemN4TUM4eE1EVXdOelk1TFRKZk9EQXdWM2c0TURCSXxmZjdkOTkyZDc5OTQ4YTFmOTRkOTVlZWVmNDhiZGUzY2ViNmM3ZThhOWMzODE4MTkwMDU1YTg2MzM4ZjM4NGU4,https://static.bihr.pro/eBihr/Pictures/TENGTOOLS-pictures.zip,Spain Warehouse (Parts)
1050778,35115,112060603,TENGTOOLS,TENGT SOCKET WRENCH TX S2 1/4 TX30,LLAVE DE VASO CON PUNTAS TX S2 1/4” TX30,21.90,18.10,13.58,5020385133976,2,8204120000,0,1,<p>Con puntas TX S2 1/4”. Cromo vanadio. Acabado mate.</p><p>&nbsp;</p><p><strong>Tamaño:</strong>&nbsp; TX30 (5.5 mm).</p>,"
Con puntas TX S2 1/4”. Cromo vanadio. Acabado mate.
 
Tamaño:  TX30 (5.5 mm).",TOOLING & WS,TOOLING,TOOLING GENERAL,216,26,40,270,20,https://api.mybihr.com/medias/1050778-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1MzJ8aW1hZ2UvanBlZ3xhRFE1TDJobFlTOHhOVFF4TXpRNE1EUTFOakl5TWk4eE1EVXdOemM0TFRGZk9EQXdWM2c0TURCSXw5YTg1NjM3NTBkNGU0MjM0YjQ2ZTBiODk2MWZkNDA3MjdkMTM1OGIyODVhNjk0OGJiMzM4ZjY3YzEzOTg1YWQ2,,https://static.bihr.pro/eBihr/Pictures/TENGTOOLS-pictures.zip,Spain Warehouse (Parts)
1050764,35103,74250101,TENGTOOLS,TENGT JAW GRIP 250MM 10,"MORDAZA GRIP BOCA RECTA Y REDONDA 250 MM - 10""""",197.23,163.00,130.40,5020385070011,1,8204120000,0,1,"<p align=left>Mordaza grip plateada, boca recta y redonda, cromo vanadio, accion corte/rizo alambre. Autobloqueo y palanca de extraccion.</p><p align=left>&nbsp;</p><p align=left><strong>Longitud:</strong>&nbsp; 250 mm - 10”.</p><p align=left><strong>Capacidad:</strong>&nbsp; 47 mm.</p>","
Mordaza grip plateada, boca recta y redonda, cromo vanadio, accion corte/rizo alambre. Autobloqueo y palanca de extraccion.
 
Longitud:  250 mm - 10”.
Capacidad:  47 mm.",TOOLING & WS,TOOLING,TOOLING GENERAL,456,534,60,380,20,https://api.mybihr.com/medias/1050764-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjk1NjN8aW1hZ2UvanBlZ3xhRFkxTDJnNU9DOHhOVFF4TXpRM05qVXlOREEyTWk4eE1EVXdOelkwTFRGZk9EQXdWM2c0TURCSXw3ZTc5MDI3MjMzOGU2NzQwNzhiNTdiZjczYzViNjFkY2ZmNjM0ODk2NWM1NzYzYWZiNGY0NjkzYWIwMjlmZjcx,,https://static.bihr.pro/eBihr/Pictures/TENGTOOLS-pictures.zip,Spain Warehouse (Parts)
