PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Diámetro de pistón,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Composición,Compresión de pistón,Diámetro Ø (mm),Nº de segmentos,Relación de compresión,Sobremedida,Tipo de motor,Tipo de pistón,Tolerancia,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,Picture9,Picture10,Picture11,AllPicturesZIP,Document1,DeliveryPlant
1004860,CS2126,W2126CS,WISECO,WISEC PISTON RING 54MM,Segmento Wiseco 54.00,27.83,23.00,13.80,2126CS,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,,11,10,60,60,3,,,,,,,,,,https://api.mybihr.com/medias/1004860-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTY5NTB8aW1hZ2UvanBlZ3xhRE5qTDJneFlpODRPVE0wTnpnd09EazFNall5THpFd01EUTROakF0TVY4NE1EQlhlRGd3TUVnfDJmZDhhMzM3YTMyYzUzMzE3NjY0Y2M5YjI4ZjVlNTA5YzZiMmVlYjAyNWJlYmQ3YTc4MGQ1M2EwYjM2ZTc1N2Q,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
1004914,CD2677,W2677CD,WISECO,WISEC PISTON RING 68MM,Juego de segmentos Wiseco 2T 68mm,54.45,45.00,27.00,2677CD,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,,71,15,118,86,7,,,,,,,,,,https://api.mybihr.com/medias/1004914-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTcyNTV8aW1hZ2UvanBlZ3xhRGs0TDJoaVlpODRPVE0wT0RVd01UQXhNamM0THpFd01EUTVNVFF0TVY4NE1EQlhlRGd3TUVnfGVhNDE3ZDk3ZDk2MGU2OGVjOTY1YjMxMmIyNDlkMWEzN2JkMjE2N2M3OTM4ZTYyYTZhMTBkYzZkYWMwZjA3NjE,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
1093382002,799D110,W799M06750,WISECO,"WISEC PISTON 799M, 67,50MM",Pistón forjado WISECO,193.60,160.00,96.00,799M06750,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 67,500 mm",554,322,78,78,91,Aluminio,Estándar,,,,,2T,,110,https://api.mybihr.com/medias/1093382002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhRE16TDJoaU5DODRPVFUyTlRFMk5qWXpNekkyTHpFd09UTXpPREl3TURJdE1WODRNREJYZURnd01FZ3w0ZWE5ZWY0NmNmNTJlZDk2NGFjNmY4NzA3NjNjY2MwNThiYzQ1YzAwOTk0NDk3MzFkNTZiYWVkODA5YWY3ODFh,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
1093402001,849DA,W849M06640,WISECO,"WISEC PISTON 849M, 66,33MM",Pistón forjado WISECO,251.68,208.00,124.80,849M06640,1,8409910090,0,1,"Forged piston supplied with rings, snap rings and pin.","Forged piston supplied with rings, snap rings and pin.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 66,330 mm",535,314,77,79,88,Aluminio,Estándar,,,,,2T,,A,https://api.mybihr.com/medias/1093402001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhR1V5TDJoaFl5ODRPVGd4TlRrMU1qSTJNVFF5THpFd09UTTBNREl3TURFdE1WODRNREJYZURnd01FZ3xlMTE5NTg5NTUxYTI2OGM5MzQwYWEyYjhhNmMzNGNjYmI1NTA3ZTg3MGFkY2EzMTRmMGZhNzA3MDY0ZTc2NGU3,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
1093406004,7901D150,W876MR07150,WISECO,"WISEC PISTON W876MR, 71,50MM",Pistón WISECO,181.16,149.72,11.85,876MR07150,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 71,500 mm",510,360,75,79,86,,,,,,,,,150,https://api.mybihr.com/medias/1093406004-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhR0UxTDJnd015ODRPVEk1TnpNME16a3pPRGcyTHpFd09UTTBNRFl3TURRdE1WODRNREJYZURnd01FZ3w5NjRlNmM2ZDc0NTU4ZDhkYTdmMjU3MTZiMDM0ZDJjY2M3MTI3M2EwYjkwNTQ5YzE5YmEzMjgyY2YxY2E5YjMz,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
1093406003,7901D100,W876MR07100,WISECO,"WISEC PISTON W876MR, 71,00MM",Pistón WISECO,169.23,139.86,83.92,876MR07100,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 71,000 mm",510,354,79,75,86,Aluminio,,,,,,,,100,https://api.mybihr.com/medias/1093406003-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhRGN3TDJoaVlTODRPVGd4TlRrMU5qRTVNelU0THpFd09UTTBNRFl3TURNdE1WODRNREJYZURnd01FZ3w2ZDk1YTRhMGM2MWM1ZDk0NjZkZTU0M2QxZWIwZDVmYjQ0OWEzN2QyODZiYmEyMzk4MzNhOTRkNGVmNzlmMmYy,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
1093372001,767DA,767M05250,WISECO,"WISEC PISTON 767M, 52,50MM",Pistón forjado WISECO,176.66,146.00,87.60,767M05250,1,8409910090,0,1,105cc kit.,105cc kit.,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 52,500 mm",346,161,66,69,76,,Estándar,,,,,,,A,https://api.mybihr.com/medias/1093372001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhRFU1TDJnMU1TODRPVFUyTlRFMU9EYzJPRGswTHpFd09UTXpOekl3TURFdE1WODRNREJYZURnd01FZ3xjMTdhMmFiNDFmZjMyNzE2ZjJmYmRmODZkYTgxZjI3NTgxMTIyMjIyZjM5MjJjZmY4NmQzYjRlM2M2YzhkNWYz,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
1093380001,797DA,W797M05400,WISECO,"WISEC PISTON 797M, 54,00MM",Pistón forjado WISECO,153.67,127.00,76.20,797M05400,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 54,000 mm",474,160,76,78,80,Aluminio,Estándar,,,,,2T,,A,https://api.mybihr.com/medias/1093380001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhR1l4TDJnd1pTODRPVFF5TURJME16STNNVGs0THpFd09UTXpPREF3TURFdE1WODRNREJYZURnd01FZ3w4ZjFkNWEwOWQ3M2VlODJlZDViYTRhMDQ4YTllYzVkZDc1MzEyNWU2NGVhN2VhMzJkMDUxMjhlNzc5N2MzZjll,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
1093380004,797D200,797M05600,WISECO,"WISEC PISTON 797M, 56,00MM",Pistón forjado WISECO,181.50,150.00,90.00,797M05600,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 56,000 mm",474,180,76,78,80,,Estándar,,,,,,,200,https://api.mybihr.com/medias/1093380004-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhR0UyTDJoaE5pODRPVFUyTlRFMk1qY3dNVEV3THpFd09UTXpPREF3TURRdE1WODRNREJYZURnd01FZ3wwOGMxOTJiZTkxYTNjYjVjNjY3Mzg0ZmFjOTNhZDcyNjE0ZDEwZjMwYzQ0ODQ0NTEyMTJhOTA1NDkyZGI4YWQ0,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
1093380002,797D050,W797M05450,WISECO,"WISEC PISTON 797M, 54,50MM",Pistón forjado WISECO,153.67,127.00,76.20,797M05450,1,8409910090,0,1,Spare ring: CS2146,Spare ring: CS2146,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 54,500 mm",363,196,71,73,70,Aluminio,Estándar,,,,,2T,,050,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/WISECO-pictures.zip,,Spain Warehouse (Parts)
