PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ancho exterior del manillar (mm),Anchura (mm),Color,Composición,Diámetro exterior de los extremos del manillar (mm),Diámetro interior del manillar (mm),Diámetro Ø (mm),Embalaje,Longitud (mm),Longitud total (mm),Montaje de espejo retrovisor,Número de puntos,Peso (g),Rango de uso,Rosca,Rosca (mm),Sentido de rosca,Tipo,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,Document1,Document2,DeliveryPlant
1000435,35380,1650,BUZZETTI,BUZTI KICK START SHAFT,Eje pedal de arranque para Minarelli BUZZETTI,23.49,19.41,11.65,0165001001,19,8714109090,0,1,<p>Largo eje: 60.5 mm</p>,"
Largo eje: 60.5 mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,626,232,102,89,69,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000435-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjEwOTN8aW1hZ2UvanBlZ3xhRGc1TDJoaVlTOHhOVFF4TnpJMk5UZzBPRE0xTUM4eE1EQXdORE0xTFRGZk9EQXdWM2c0TURCSXw1ODc3MTY0NDBkNTE0ODgyZTgzYzg5OWNiMTEwOTIzZTNkMzEzMWRiMjM4NzhkYmQ0YTgzZWUyMjljNzFkOTYx,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000442,35388,1694,BUZZETTI,BUZTI KICK KICK TOOTH,Arandela dentada para ventilador de variador Peugeot y Kymco BUZZETTI,2.76,2.28,1.37,0169401005,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,200,14,79,79,32,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000442-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjMwMjZ8aW1hZ2UvanBlZ3xhR1pqTDJneFl5OHhOVFF4TnpJMk9ESXdOelkwTmk4eE1EQXdORFF5TFRGZk9EQXdWM2c0TURCSXxiZGEyMDM3ZjhlYWY3NTc2ZjQwNGJiNDM5ZmVkMmNiYWMwYmI0NDQ5YWI5ZGY3OTJjZDVlY2RmODg3MTQwZTYx,https://api.mybihr.com/medias/1000442-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTEyNDB8aW1hZ2UvanBlZ3xhRFZqTDJnd1ppOHhOVFF4TnpJMk9EWXdNRGcyTWk4eE1EQXdORFF5TFRKZk9EQXdWM2c0TURCSXwzNmNlNDI5MThlMzhiZDM1NTA4MmMxMTRjMDE3NDlmZjEwNzFmM2I2ZjNkY2E4ZWVlN2RiNTExNmJlNDRjNmZh,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000440,35386,1690,BUZZETTI,BUZTI KICK KICK PINION,Piñón de arranque a pedal para Kymco BUZZETTI,18.98,15.69,9.41,0169001001,6,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,61,50,32,33,58,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000440-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzYwNTd8aW1hZ2UvanBlZ3xhRE0xTDJnM01pOHhOVFF4TnpJMk56Z3hORFF6TUM4eE1EQXdORFF3TFRGZk9EQXdWM2c0TURCSXw3MzMxYTJlM2E2MTZjMGI5MDE4NDg2YjE1Yzg0OTc5OTM3ZWIzNTFkMWRkNTE4ZThjZGY3Y2IxMWNkYTk2NTZk,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000447,35376,1601,BUZZETTI,BUZTI SPAREPARTS TOOTHED WASHER,Arandela dentada para ventilador de variador motor Minarelli BUZZETTI,1.97,1.63,0.98,8430525353763,50,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,43,2,88,61,8,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000447-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDQzNTJ8aW1hZ2UvanBlZ3xhREZoTDJnMU1TOHhOVFF4TnpJMk9UTTROekk1TkM4eE1EQXdORFEzTFRGZk9EQXdWM2c0TURCSXxhYjIxNzk2MjFmNDBiNDZiZWU0NjMwZjIwYjQzZTVmNWZjYzM3MzEyYjYzYzVjNmM4YmE4NmY3OTZmZTk2YmE5,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000439,35385,1689,BUZZETTI,BUZTI KICK KICK PINION,Piñón de arranque a pedal para Peugeot BUZZETTI,19.99,16.52,9.91,0168901001,2,8714930019,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,58,48,32,32,57,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1000439-1.jpg?context=bWFzdGVyfHJvb3R8Mjk2MDB8aW1hZ2UvanBlZ3xhRFJoTDJnNFpTODBOall4TmpBNU9EYzVPVFkwTmk4NE1EQlhlRGd3TUVoZk1UQXdNRFF6T1MweExtcHdad3w3OWMyYWQxZjcwNzBiNTRmMGFlOTllNWI3MDFmOGRkZWZmZWY3NWU0ZDJkZTg2MDgyZmEzN2I2ZjNhYTA1ZGQ2,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000443,36604,1552,BUZZETTI,BUZTI PULLEY FIXED,Polea fija Aprilia – Piaggio – Gilera OEM 479561 BUZZETTI,19.49,16.11,9.67,0155201001,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,239,274,120,117,17,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000443-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDE0NzR8aW1hZ2UvanBlZ3xhREF5TDJnME5pOHhOVFF4TnpFNE16RTBNVGt4T0M4eE1EQXdORFF6TFRGZk9EQXdWM2c0TURCSXwyOTA5OTU5NDhiYmQ5MDRjMjQ5OTc3ZTQ2NmNhNjM5NmY4ODE4ZGEwZThjZGYzNzVlNmUxN2I2ZTA0YmIyZGM1,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000436,35381,1655,BUZZETTI,BUZTI KICK START SHAFT - 94MM,Eje de pedal de arranque para motores chinos (largo 94mm) BUZZETTI,20.49,16.93,10.16,0165501001,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,464,258,72,70,92,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000436-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ5NDB8aW1hZ2UvanBlZ3xhREUzTDJobU1DOHhOVFF4TnpFNE1ETTRPVFF3Tmk4eE1EQXdORE0yTFRGZk9EQXdWM2c0TURCSXw5Zjk2ZjY3NjgxN2Q2MmYxNWRhMTQxMzg5ZWQwMDRhMzhjMTkzYTMyOGNhYTdiMDE5YTc1NzZkNGQyYTQ4NTQ2,https://api.mybihr.com/medias/1000436-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTU2NzB8aW1hZ2UvanBlZ3xhRGMzTDJobE1pOHhOVFF4TnpFNE1EYzRNall5TWk4eE1EQXdORE0yTFRKZk9EQXdWM2c0TURCSXwwZGNkZGQzMDJlMDE3YTAwMjExYjI4ODU0NThkNGUzZWM5OGQ2MTFmODA3MDdkZGU5YmYzNmNlMTI0NjA4MTA0,https://api.mybihr.com/medias/1000436-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzE1MDB8aW1hZ2UvanBlZ3xhRE5sTDJnNFpDOHhOVFF4TnpFNE1URTNOVGd6T0M4eE1EQXdORE0yTFROZk9EQXdWM2c0TURCSXw4OGMyZDhlNjFkNGI5NDRiOTVmOTk5N2MxNGMzM2U0ODk1MWE1OGQyNDljZTA2ZTEzODFjZDQ3YmE4MDQ2MWE0,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000444,36605,1566,BUZZETTI,BUZTI SPAREPARTS KICK GEAR SPRING,Muelle piñón de arranque Aprilia – Piaggio – Gilera BUZZETTI,1.49,1.23,0.74,8430525366053,6,7320208190,0,1,"<p>&nbsp;2T/4T 50/125 51xØ23,5mm</p>","
 2T/4T 50/125 51xØ23,5mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,32,4,57,33,17,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1000444-1.jpg?context=bWFzdGVyfHJvb3R8MTQ1MTB8aW1hZ2UvanBlZ3xhRGRoTDJnNE55ODBOall4TmpBNU9EazVOakkxTkM4NE1EQlhlRGd3TUVoZk1UQXdNRFEwTkMweExtcHdad3xlOTUxNWU2YTEyMGVlY2I3YjlmNDg0NzllMjEwMTAyN2YzMGY4MzMwMTRlZGUzY2U1MzI2MjM5NzQzNmZkM2E5,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1000451,36610,1696,BUZZETTI,BUZTI SPAREPARTS FIXED PULLEY WASHER,"Arandela dentada para polea fija Kymco Agility 50 2T/4T 12/16"" BUZZETTI",7.99,6.60,3.96,8430525366107,46,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. CLUTCH,,82,40,57,85,17,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1000451-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDU4MTR8aW1hZ2UvanBlZ3xhREJsTDJobE5pOHhOVFF4TnpFNE5URTNNelV6TkM4eE1EQXdORFV4TFRGZk9EQXdWM2c0TURCSXwxNzRmZDkyZDI3NGNmYzg5YjRlOWQyNWU4YTdmNWZhNTQ2MTBhMWQ0NTgxZmJmN2VlOTdlYzY2NWFiMjg4YTZh,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
1043384,411675,6096,BUZZETTI,BUZTI STEERING SERVICE KIT,Kit rodamientos de columna de dirección BUZZETTI,14.99,12.39,7.43,0609603001,6,8482109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,,225,147,180,139,9,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1043384-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIyMzExfGltYWdlL2pwZWd8YUdOa0wyaGhPUzg0T1Rjd01qWTVNVGsyTXpFNEx6RXdORE16T0RRdE1WODRNREJYZURnd01FZ3wwMTEwY2QxNGU4MDg1OWI4MDBkZTUzODM1ZDk2Yzg0NjYzMTI3NzQ0NmU5YTI4MjIyOTFmOGVkOWQ3YTAxOGM4,,,,,https://static.bihr.pro/eBihr/Pictures/BUZZETTI-pictures.zip,,,Spain Warehouse (Parts)
