PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Espesor (mm),Longitud (mm),Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,DeliveryPlant
1019285,,TBK0089,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Suzuki RM-Z250,156.28,129.16,83.95,TBK0089,0,8714109090,0,1,<p>Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. </p><ul><li>Gearbox bearing kit</li><li>Includes: bearings – needle bearing – washer – spacer (depending on usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation<br></li></ul>,"
Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. Gearbox bearing kitIncludes: bearings – needle bearing – washer – spacer (depending on usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,433,471,101,116,37,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1019285-1.jpg?context=bWFzdGVyfHJvb3R8NTA1NTJ8aW1hZ2UvanBlZ3xhRGs1TDJobE9DODVPRGd5TkRReU1EWTFOVEV6TkM4NE1EQlhlRGd3TUVoZk1UQXhPVEk0TlMweExtcHdad3w0OTQ3YmMwYzkxYWNlYzcxMzZhYzkzZjI4MzBiZWMwYTQ1ZTI2Y2Y5YTBkOGFmNDk3ZGI2OWExMGVkYzhhZjYy,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019286,,TBK0090,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Suzuki DR-Z400,156.28,129.16,83.95,TBK0090,0,8714109090,0,1,<p>Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. </p><ul><li>Gearbox bearing kit</li><li>Includes: bearings – needle bearing – washer – spacer (depending on usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation<br></li></ul>,"
Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. Gearbox bearing kitIncludes: bearings – needle bearing – washer – spacer (depending on usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,469,552,101,116,40,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1019286-1.jpg?context=bWFzdGVyfHJvb3R8NDg4MTR8aW1hZ2UvanBlZ3xhR001TDJobE1TODVPRGd5TkRReU1EZzFNVGMwTWk4NE1EQlhlRGd3TUVoZk1UQXhPVEk0TmkweExtcHdad3xhZjQyMzljNjIxNjFmNTExZWIzMTBlMTI4OTFlMzQ4MjU2N2VlNTRiOTI0MTJjNzJjZTFlNDZjNWU0Nzg0ZDJi,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019288,,TBK0092,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Honda CRF250R,78.12,64.56,41.96,TBK0092,0,8714109090,0,1,"<p>Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.</p> <ul> <li>For any new transmission or engine case installation or repair</li> <li>Includes Hot Rods bearings for the primary and secondary shafts of the transmission</li> <li>Includes special needle bearing for the shift drum, the output shaft collar and washer</li></ul>","
Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.  For any new transmission or engine case installation or repair Includes Hot Rods bearings for the primary and secondary shafts of the transmission Includes special needle bearing for the shift drum, the output shaft collar and washer",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,530,444,119,106,42,,,,,,,,https://api.mybihr.com/medias/1019288-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mzd8aW1hZ2UvanBlZ3xhRFkwTDJnMU9TODRPRFU1TXpBME1UazRNVGMwTHpFd01Ua3lPRGd0TVY4NE1EQlhlRGd3TUVnfGExZjNhMzhjZDY1NmUwN2U2NjNiYWE3ZjNkZjY0NmI3YzdmMmVmMWZlMTdlMzg2YzgzNTdjNGY0MWZmODEwNzI,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019290,,TBK0098,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS SX50,156.28,129.16,83.95,TBK0098,0,8714109090,0,1,"<p>Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.</p> <ul> <li>For any new transmission or engine case installation or repair</li> <li>Includes Hot Rods bearings for the primary and secondary shafts of the transmission</li> <li>Includes special needle bearing for the shift drum, the output shaft collar and washer</li></ul>","
Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.  For any new transmission or engine case installation or repair Includes Hot Rods bearings for the primary and secondary shafts of the transmission Includes special needle bearing for the shift drum, the output shaft collar and washer",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,386,138,117,103,32,,,,,,,,https://api.mybihr.com/medias/1019290-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mzd8aW1hZ2UvanBlZ3xhREZqTDJnek1pODRPVFE1TVRFNU1USXpORGcyTHpFd01Ua3lPVEF0TVY4NE1EQlhlRGd3TUVnfGEzYjEzM2YxMWMyN2M2ZThkM2JkM2QzMWIxZGIzYTczMzBlOWVkNmUyNWI1NzUzNzM0MDk2NDczY2Q2YjBhYWY,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019293,,TBK0108,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS KTM / Husqvarna,142.91,118.11,76.77,TBK0108,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.</p><p> </p><ul> <li>For any new transmission or engine case installation or repair </li><li>Includes Hot Rods bearings for the primary and secondary shafts of the transmission </li><li>Includes special needle bearing for the shift drum, the output shaft collar and washer</li></ul> </body> </html>","       Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.  For any new transmission or engine case installation or repair Includes Hot Rods bearings for the primary and secondary shafts of the transmission Includes special needle bearing for the shift drum, the output shaft collar and washer  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,551,332,115,114,42,,,,,,,,https://api.mybihr.com/medias/1019293-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mzd8aW1hZ2UvanBlZ3xhR1kwTDJnMFppODRPVEkwTURjNU5EVTJNamcyTHpFd01Ua3lPVE10TVY4NE1EQlhlRGd3TUVnfDdiMThkYmQ5YjYyMzEzMDdlMDA5MzRmMzFhYmJmMTIzMjYzNmJmMjk3MGI1NjM3NzBjMDNjOTVlZWQyOGRhNWU,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019295,,TBK0111,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS KTM / Husqvarna,156.28,129.16,83.95,TBK0111,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.</p><p> </p><ul> <li>For any new transmission or engine case installation or repair </li><li>Includes Hot Rods bearings for the primary and secondary shafts of the transmission </li><li>Includes special needle bearing for the shift drum, the output shaft collar and washer</li></ul> </body> </html>","       Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.  For any new transmission or engine case installation or repair Includes Hot Rods bearings for the primary and secondary shafts of the transmission Includes special needle bearing for the shift drum, the output shaft collar and washer  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,630,472,126,119,42,,,,,,,,https://api.mybihr.com/medias/1019295-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mzd8aW1hZ2UvanBlZ3xhRE5qTDJnNE1TODRPVFV6TXpRM05UTTRPVGMwTHpFd01Ua3lPVFV0TVY4NE1EQlhlRGd3TUVnfDI2MjY3ZGQ3MDk1NWJhOTAzZTIyNGI1NWZmMDMxYjAzYjBmNDIwZmVmNDVkZDZjZGQ5YmNlYjc0Yjc3ZTBjODg,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019299,,B103,HOT RODS,HOTRO BEARING NEEDLE ROLLER,Jaula de agujas HOT RODS - 22X28X16,30.81,25.46,16.55,B103,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,144,24,95,76,20,,,,,,,,https://api.mybihr.com/medias/1019299-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4NzR8aW1hZ2UvanBlZ3xhRGN6TDJnd1pDODRPRFU1TXpBNE5USXpOVFV3THpFd01Ua3lPVGt0TVY4NE1EQlhlRGd3TUVnfGNlOGM3MjJjMDk3MzA1YmM4MjA3NzZmNzU4NjkwODVmOGJiNzY5ZGZmOWQ1MWMzYzcxZTQ0MWJjZmQ1MmJhNTI,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019300,,B104,HOT RODS,HOTRO BEARING NEEDLE ROLLER,Jaula de agujas HOT RODS - 22X29X17,30.81,25.46,16.55,B104,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,66,25,54,38,32,,,,,,,,https://api.mybihr.com/medias/1019300-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4NzR8aW1hZ2UvanBlZ3xhREUyTDJnMFpTODRPVE00TXpjMU5ERXpOemt3THpFd01Ua3pNREF0TVY4NE1EQlhlRGd3TUVnfDIyYWYwN2MwMDA5ZTRjOGVmMDQ4N2JhZjc0MWY5NTExM2Q5YmIxYTRhYTEwOWFjYmZmMGU0Yzg2NmU2ZTkyMmM,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019292,,TBK0105,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Yamaha YZ250F / WR250F,156.28,129.16,83.95,TBK0105,1,8714109090,0,1,"<p>Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.</p> <ul> <li>For any new transmission or engine case installation or repair</li> <li>Includes Hot Rods bearings for the primary and secondary shafts of the transmission</li> <li>Includes special needle bearing for the shift drum, the output shaft collar and washer</li></ul>","
Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.  For any new transmission or engine case installation or repair Includes Hot Rods bearings for the primary and secondary shafts of the transmission Includes special needle bearing for the shift drum, the output shaft collar and washer",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,506,395,109,116,40,,,,,,,,https://api.mybihr.com/medias/1019292-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mzd8aW1hZ2UvanBlZ3xhR0kzTDJneFppODRPVE0wTnpVMk5qYzVOekV3THpFd01Ua3lPVEl0TVY4NE1EQlhlRGd3TUVnfDdiZDk4NDRmM2EwNjEzOGUzOGJmYjFmZGIzMjFjYTk3MTQ3MGQzYzI3ZWY4YjFlYzhjMDMwMjRhOTQwNzQyNGM,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019294,,TBK0109,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Kawasaki KX250F,156.28,129.16,83.95,TBK0109,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.</p><p> </p><ul> <li>For any new transmission or engine case installation or repair</li><li>Includes Hot Rods bearings for the primary and secondary shafts of the transmission</li><li>Includes special needle bearing for the shift drum, the output shaft collar and washer</li></ul> </body> </html>","       Hot Rods transmission kits contain all the bearings and washers to renew your primary and secondary engine transmission.  For any new transmission or engine case installation or repairIncludes Hot Rods bearings for the primary and secondary shafts of the transmissionIncludes special needle bearing for the shift drum, the output shaft collar and washer  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,570,471,119,114,42,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1019294-1.jpg?context=bWFzdGVyfHJvb3R8NDY4ODN8aW1hZ2UvanBlZ3xhRGt3TDJnNFl5ODVPRGd5TkRReU1USTBORGsxT0M4NE1EQlhlRGd3TUVoZk1UQXhPVEk1TkMweExtcHdad3wwNWJlMjJlOWU5NTIzNDg5ZDEyZDQ2NDAyMjEyMmQ4NjJhOGE4OWFkNWJhZGNhNzExM2Y3MDA5MDdlNzZhNzMz,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019297,,B101,HOT RODS,HOTRO BEARING NEEDLE ROLLER,Jaula de agujas HOT RODS - 20X26X14,30.81,25.46,16.55,B101,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,198,29,100,66,30,,,,,,,,https://api.mybihr.com/medias/1019297-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI4NzR8aW1hZ2UvanBlZ3xhRFU0TDJnNE5TODRPRGN6TXpVeU5qVTRPVGMwTHpFd01Ua3lPVGN0TVY4NE1EQlhlRGd3TUVnfDJjNWY4MzU1MTAwMWQ3YjYyMTVlYTlmZGIxNjFkZWUzNmYxN2ZjMjlmNTQ5MjkwNWE0ZTI2MzMyMzk2Mzc0ZTk,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019222,,TBK0013,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Honda CR-F450R,137.77,113.86,74.01,TBK0013,2,8714109090,0,1,<p>Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. </p><ul><li>Gearbox bearing kit</li><li>Includes: bearings – needle bearing – washer – spacer (depending on usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation<br></li></ul>,"
Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. Gearbox bearing kitIncludes: bearings – needle bearing – washer – spacer (depending on usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,398,496,114,109,32,,,,,,,,https://api.mybihr.com/medias/1019222-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mzd8aW1hZ2UvanBlZ3xhR0l6TDJoaU15ODRPVFV6TVRreE1UQTBOVFF5THpFd01Ua3lNakl0TVY4NE1EQlhlRGd3TUVnfDkxNzI2YTk1ZWI2ZWI5ZjVlNjQ2ZjZjY2FmMTFiYzcyYjc3NmFiYzQ5OGZjNDQwYjEwZDAxODBjYWMwYzJlMGE,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019233,,TBK0026,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Kawasaki KX250-F,156.28,129.16,83.95,TBK0026,1,8714109090,0,1,<p>Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. </p><ul><li>Gearbox bearing kit</li><li>Includes: bearings – needle bearing – washer – spacer (depending on usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation<br></li></ul>,"
Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. Gearbox bearing kitIncludes: bearings – needle bearing – washer – spacer (depending on usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,398,463,114,109,32,,,,,,,,https://api.mybihr.com/medias/1019233-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mzd8aW1hZ2UvanBlZ3xhREJoTDJobU15ODRPVEkwTlRnMk5EUXlOemd5THpFd01Ua3lNek10TVY4NE1EQlhlRGd3TUVnfDYyNjU4YmUzODJlZWY4NzdjMGExYmZhYjU1OTFiNTk2NTg0YzkyNzE1YjgxNjMxNmFkNmE0NjJkNDMwODVlNGM,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019239,,TBK0034,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Kawasaki KX85,126.46,104.51,67.93,TBK0034,0,8714109090,0,1,<p>Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. </p><ul><li>Gearbox bearing kit</li><li>Includes: bearings – needle bearing – washer – spacer (depending on usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation<br></li></ul>,"
Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. Gearbox bearing kitIncludes: bearings – needle bearing – washer – spacer (depending on usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,357,294,116,106,29,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1019239-1.jpg?context=bWFzdGVyfHJvb3R8MzU0MjN8aW1hZ2UvanBlZ3xhR0U0TDJnMk1pODVPRGd5TkRReE5Ua3pOalUwTWk4NE1EQlhlRGd3TUVoZk1UQXhPVEl6T1MweExtcHdad3w1NWMwNzFjMzlhZjMwZjA3ZGIzM2I0ODAwMGI4Y2Y4MjY5YjZhNzgyZDlhMGMxNDg2Mjc5YjgyNmExODY1NjIx,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019245,,TBK0043,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Honda CR250R,137.77,113.86,74.01,TBK0043,2,8714109090,0,1,<p>Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. </p><ul><li>Gearbox bearing kit</li><li>Includes: bearings – needle bearing – washer – spacer (depending on usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation<br></li></ul>,"
Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. Gearbox bearing kitIncludes: bearings – needle bearing – washer – spacer (depending on usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,405,478,116,109,32,,,,,,,,https://api.mybihr.com/medias/1019245-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ1Mzd8aW1hZ2UvanBlZ3xhRE0wTDJoaVpTODRPVEkwTkRrMk56SXpPVGs0THpFd01Ua3lORFV0TVY4NE1EQlhlRGd3TUVnfDVmNjEzNmM3MzRmYTJmMzA2MDYzZDUxZTlmZGE0OTRlMzg0NDg2YjBlYThkNTYxYzYzMzNkODg4ZjQ0N2IxY2Y,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1019246,,TBK0044,HOT RODS,HOTRO BEARING GEARBOX,Kit rodamientos transmisión HOT RODS Honda CR250R,126.46,104.51,67.93,TBK0044,0,8714109090,0,1,<p>Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. </p><ul><li>Gearbox bearing kit</li><li>Includes: bearings – needle bearing – washer – spacer (depending on usage)</li><li>For a superior-quality replacement</li><li>These bearings are machined and assembled with expertise acquired through engine component manufacture</li><li>Compatible with competition preparation<br></li></ul>,"
Hot Rods transmission bearing kits contain all of the bearings you need to recondition the first and second transmission shafts. Gearbox bearing kitIncludes: bearings – needle bearing – washer – spacer (depending on usage)For a superior-quality replacementThese bearings are machined and assembled with expertise acquired through engine component manufactureCompatible with competition preparation",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,405,490,116,109,32,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1019246-1.jpg?context=bWFzdGVyfHJvb3R8NDA4MTF8aW1hZ2UvanBlZ3xhR0l4TDJoaVpTODVPRGd5TkRReE5qVXlOak0yTmk4NE1EQlhlRGd3TUVoZk1UQXhPVEkwTmkweExtcHdad3w0NWZmYWNhZWI4N2E4NDU5NDY1ODViYWJjMmU5NzA2ZDNhNmY0MDVlNzFkMDc2MjFiZTJmZDNiNmM3ZjRmNGRm,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006866,45991,K003,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K003,111.03,91.76,59.64,8430525459915,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,927,647,123,116,65,,,,,,,,https://api.mybihr.com/medias/1006866-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA4NTN8aW1hZ2UvanBlZ3xhRGxpTDJoaU15ODRPVE00T0RnMk1qazVOamM0THpFd01EWTROall0TVY4NE1EQlhlRGd3TUVnfDA2YjU3YjRkYjJiYjZmYmVkYzE0MGZhMGQzZDExNzM2MzU0ZTlkZTdjZDRiZjkxNTdhOTYxYWQ5NjJiNmY3Njc,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006867,45992,K004,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K004,81.20,67.11,43.62,K004,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,647,344,217,149,20,,,,,,,,https://api.mybihr.com/medias/1006867-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzk2Njh8aW1hZ2UvanBlZ3xhRGt5TDJneU1pODRPVFE1TURVME5EQTJOamcyTHpFd01EWTROamN0TVY4NE1EQlhlRGd3TUVnfGRlMWRkOTZlZDdmY2YxMjM0NmY4MWVmYjRlZTliM2VjYWYxNTdjODc0Y2I1ODUwYTQ1MWQzMTBkNDRjNGVhZGE,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006875,46000,K012,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K012,117.20,96.86,62.96,K012,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,738,621,113,99,66,,,,,,,,https://api.mybihr.com/medias/1006875-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEwMjh8aW1hZ2UvanBlZ3xhRE5tTDJnM05DODRPVFExT0RJMU9UY3lNalUwTHpFd01EWTROelV0TVY4NE1EQlhlRGd3TUVnfDY5YzdmNzA2YTRmNzRiMjg0NWE5OTA1NjBhNjNlMzYwYTNlYzljMWM2OGE4MzRiODY3YzZmN2Q2NWZmODQwMGQ,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
1006880,46006,K019,HOT RODS,HOTRO SEALING CRANKSHAFT SET,Rodamientos y retenes de cigüeñal Hot Rods K019,88.40,73.06,47.49,8430525460065,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,961,695,215,149,30,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1006880-1.jpg?context=bWFzdGVyfHJvb3R8NDQ0NTl8aW1hZ2UvanBlZ3xhREpoTDJnd1lpODVPRGd5TkRJd056WXpNRE0yTmk4NE1EQlhlRGd3TUVoZk1UQXdOamc0TUMweExtcHdad3w3NjczMzc2MDc1NTdmODdlYzIwODAzNDlkMDc1MTY1YzY5NmQ0NzZiZTQ3MDUxZGY3ZjA5MzQ5YjRlMjgxZjMx,,,,,,https://static.bihr.pro/eBihr/Pictures/HOT_RODS-pictures.zip,Spain Warehouse (Parts)
