PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de eslabones,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Calidad,Color de la cadena,Eslabón de conexión,Eslabones de cadena,Paso de cadena,Retenes,Tipo de cadena RK,Uso,Picture1,AllPicturesZIP,Document1,DeliveryPlant
1042444,99480CL,FR520MXZ-CL,RK,RK CONNECT LINK MXZ 520 LOOSE FIT,Enganche de cadena RK cierre rápido FR520MXZ rojo,2.60,2.15,0.75,8430525439337,12,7315111090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,25,22,50,50,10,,,,,,,,,https://api.mybihr.com/medias/1042444-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTU2MzR8aW1hZ2UvanBlZ3xhR1ZoTDJnMU5DOHhOVE14TnpreE9UVXpNVEF6T0M4eE1EUXlORFEwTFRGZk9EQXdWM2c0TURCSXxkY2ExNjk0ZmQwZDQ5ZjNjMmVmZDQ3OGQ1ZWJlZjZkYzk0NjIzNDlhNjNjZmVhNDcwZjgyNjEzMzI5NWNlYTQ0,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1042500,99442CLF,GB530XSOZ1-CLF,RK,RK CONNECT LINK XSOZ1 530 PIN RIVET,Enganche Cadena RK Tipo Remache para GB530XSOZ1,6.66,5.50,1.65,8430525278363,126,7315111090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,23,26,29,53,15,,,,,,,,,https://api.mybihr.com/medias/1042500-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM0NTl8aW1hZ2UvanBlZ3xhREppTDJoaE9TOHhOVE14Tnprek5qRXhNVFkwTmk4eE1EUXlOVEF3TFRGZk9EQXdWM2c0TURCSXwyMmRiNmMwMjM3NmEyYThhNzIyMDEzNTgzMmQ5MjdiZWE3ZTJkYmFjMzJhNmFlZTlhNGUxODcwZTBjZTU3OGM3,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1042322,99412CL,530KS-CL,RK,RK CONNECT LINK KS 530 LOOSE FIT,Enganche de cadena RK cierre rápido 530KS negro,3.47,2.87,1.00,8430525277663,35,7315111000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,16,18,37,34,13,,,,,,,,,https://api.mybihr.com/medias/1042322-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTU2MzR8aW1hZ2UvanBlZ3xhR0kzTDJoak9TOHhOVE14TnpnNE5EVXpORGd4TkM4eE1EUXlNekl5TFRGZk9EQXdWM2c0TURCSXw2ZTg2MDBjNGUxMjFlNGQ5YzU4M2NhNzA4NWJlMTFlYWI4ZTY1MzU1NGJiZjdmNmI5ZTc4YjRkNzQyODU4YWJj,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1042326,99443CLF,530XSOZ1-CLF,RK,RK CONNECT LINK XSOZ1 530 PIN RIVET,Enganche Cadena RK Tipo Remache para 530XSOZ1,5.76,4.76,1.67,4935531491231,91,7315111000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,19,26,42,33,14,,,,,,,,,https://api.mybihr.com/medias/1042326-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM0NTl8aW1hZ2UvanBlZ3xhR1V4TDJoak5TOHhOVE14TnpnNE5UY3hORFEyTWk4eE1EUXlNekkyTFRGZk9EQXdWM2c0TURCSXxkOTk4YzgyMTRhYTNhMmNiMWU3NjE0YzQ2OTRkY2Y0YzcyMTMxMzBjZTRiNjc4YmU3YTRjYjU1MzQ5NmRkZTIx,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1042496,99464CLF,GB530KRO-CLF,RK,RK CONNECT LINK KRO 530 PIN RIVET,Enganche Cadena RK Tipo Remache para GB530KRO,5.94,4.91,1.47,8430525278813,106,7315111090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,43,26,38,76,15,,,,,,,,,https://api.mybihr.com/medias/1042496-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM0NTl8aW1hZ2UvanBlZ3xhR0ptTDJoaVlpOHhOVFF4TXpRMU1qRTBORFkzTUM4eE1EUXlORGsyTFRGZk9EQXdWM2c0TURCSXxlNGUyZWRhY2EyY2IxZGQ2NzU4NjYwZjE2OTk5ODYxMDQxY2RkY2Q4YmRkZTMzYjIyOWZjMDUxNGZjMWZhYzYy,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1042320,99441CLF,525XSO-CLF,RK,RK CONNECT LINK XSOZ1 525 PIN RIVET,Enganche Cadena RK Tipo Remache para 525XSO,5.20,4.30,1.29,4935531491507,346,7315111000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,16,24,37,30,14,,,,,,,,,https://api.mybihr.com/medias/1042320-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM0NTl8aW1hZ2UvanBlZ3xhRGd6TDJnNU5TOHhOVFF4TXpRMk9ETXpNakEyTWk4eE1EUXlNekl3TFRGZk9EQXdWM2c0TURCSXxiODM3OTBhNzY5YmVlZWEyYTgyOTA1NzE0MDFjZmQyZmFhOTI1MWZmZmY0YWJmZDg5NWZlNWY0MTE0YmUzZDNi,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1042380,99449CL,520M-CL,RK,RK CONNECT LINK M 520 LOOSE FIT,Enganche de cadena RK cierre rápido 520M negro,1.08,0.89,0.27,8430525278516,10,7315111090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,23,22,36,40,16,,,,,,,,,https://api.mybihr.com/medias/1042380-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTU2MzR8aW1hZ2UvanBlZ3xhRGxoTDJneE1TOHhOVE14TmpZNU1UQTFPRGN4T0M4eE1EUXlNemd3TFRGZk9EQXdWM2c0TURCSXxkZTYxMTkwMTczYzAyNGFlNGM5ZjVjZDE0OGViMjMxZThiMGRlMzcwMWY4MDc5NTYzODc4Y2E2MThmZmQ1MDYw,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1042389,99436CLF,520TRU-CLF,RK,RK CONNECT LINK TRU 520 PIN RIVET,Enganche Cadena RK Tipo Remache para 520TRU,4.22,3.49,1.22,8430525294370,21,7315111090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,17,12,37,39,12,,,,,,,,,https://api.mybihr.com/medias/1042389-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM0NTl8aW1hZ2UvanBlZ3xhRE13TDJobE5DOHhOVE14TnpnNU56a3dOREUxT0M4eE1EUXlNemc1TFRGZk9EQXdWM2c0TURCSXxjN2UxZTEwOTVjMWQ3ZWYxYjIyYjdmNWJlOGMzMGY3MjIxM2YwZGQ1ZmViOGFhODdjZTg1Mzc5MzY5M2M5OTg2,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1042391,99439CLF,520XSO-CLF,RK,RK CONNECT LINK XSO 520 PIN RIVET,Enganche Cadena RK Tipo Remache para 520XSO,4.01,3.31,0.99,8430525278288,329,7315111090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,18,22,34,41,13,,,,,,,,,https://api.mybihr.com/medias/1042391-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM0NTl8aW1hZ2UvanBlZ3xhRFExTDJoaVlpOHhOVE14TnpnNU9EWTVNRFU1TUM4eE1EUXlNemt4TFRGZk9EQXdWM2c0TURCSXwyZmYwMGYwZDczMThiYTgxNjY3OWU0YzMxOGE3NjkzMmYwMzEyMDE4MDgzZjAzNDVkMGM3NWIyZTQ2MGY5NTg3,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
1042366,99437CLF,428XSO-CLF,RK,RK CONNECT LINK XSO 428 PIN RIVET,Enganche Cadena RK Tipo Remache para 428XSO,4.15,3.43,1.20,8430525278233,65,7315111090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. CHAIN,,,10,14,25,33,12,,,,,,,,,https://api.mybihr.com/medias/1042366-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM0NTl8aW1hZ2UvanBlZ3xhR1JsTDJoalppOHhOVE14TnpnNU16VTNPRGM0TWk4eE1EUXlNelkyTFRGZk9EQXdWM2c0TURCSXwyM2MwMGZiNWQ5MjZhYTgzNmM1ZTQwMjQzZmMwM2QwYWViYjA1NjJhZDgwODM4ZjUwMWIwNGNhN2I0MTc3ZDkz,https://static.bihr.pro/eBihr/Pictures/RK-pictures.zip,,Spain Warehouse (Parts)
