PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (cm),Altura (mm),Anchura (cm),Anchura (mm),Capacidad (Ah),Longitud (cm),Longitud (mm),Longitud de rosca,Número de puntos,Peso (g),Peso (kg),Tamaño de accionamiento cuadrado,Tipo de toma,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,DeliveryPlant
1114011,,CL3.CH18SP2PB,FACOM,FACOM IMP WRENCH 1/2 18V,"Llave de impacto FACOM 18V 1/2"" 1625Nm",1021.68,844.36,675.49,3662424055546,1,8467292000,0,1,"<p>Delivers a torque of 1625 N.m for heavy duty applications<br>
Brushless motor offering superb runtime and durability<br>
3 speed settings and variable trigger offer greater control<br>
Super-bright LED illuminates workspace<br>
GRP casing resistant to harsh chemicals<br>
Includes 2x 5.0Ah batteries, a charger and ToughSystem kitbox</p>","
Delivers a torque of 1625 N.m for heavy duty applications
Brushless motor offering superb runtime and durability
3 speed settings and variable trigger offer greater control
Super-bright LED illuminates workspace
GRP casing resistant to harsh chemicals
Includes 2x 5.0Ah batteries, a charger and ToughSystem kitbox",TOOLING & WS,TOOLING,TOOLING GENERAL,,55084,9544,586,400,235,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1114011-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzY1NDZ8aW1hZ2UvanBlZ3xhREUzTDJnNE5pOHhORGM1TmpBM09UTXpNelF3Tmk4eE1URTBNREV4TFRGZk9EQXdWM2c0TURCSXwyZWM5NDBiYTQzNDFlMzQ5NTZhZWNjODlmZjg5ZWFlNzUxOTZhNDExZWYzMWRiMDgyOTc0MWFiMjVlMzE1MWM0,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,France Warehouse (Parts)
1051302,55000010,183A.20CPE,FACOM,FACOM PLIERS ANGLED LONG NOSE,Alicates de punta en ángulo FACOM,44.77,37.00,29.60,3662424087349,1,8203200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Extra Narrow, finely serrated tips - 183A: 40° angled tip and side cutting edges. - 183AE: straight long thin nose with wire stripping & gripping 1.5mm² - 2.5mm² - 4mm².</li><li>Cutting edges for copper and hard steel wire to maximum specification of 1.6mm 160 kg/mm².</li><li>High durability Carbon alloy steel, with induction hardened cutting edges.</li><li>Bi-Material ergonomic grips resistant to chemical agents featuring: - Return spring - Tether ready point (Tether point adds 10mm to nominal lenght)</li><li>Chrome finish for corrosion resistance<a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","        Extra Narrow, finely serrated tips - 183A: 40° angled tip and side cutting edges. - 183AE: straight long thin nose with wire stripping & gripping 1.5mm² - 2.5mm² - 4mm².Cutting edges for copper and hard steel wire to maximum specification of 1.6mm 160 kg/mm².High durability Carbon alloy steel, with induction hardened cutting edges.Bi-Material ergonomic grips resistant to chemical agents featuring: - Return spring - Tether ready point (Tether point adds 10mm to nominal lenght)Chrome finish for corrosion resistance   ",TOOLING & WS,TOOLING,TOOLING GENERAL,,736,212,246,88,34,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051302-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDY1MDh8aW1hZ2UvanBlZ3xhR1poTDJnd015ODRPRGMwTkRBek9UZzNORGcyTHpFd05URXpNREl0TVY4NE1EQlhlRGd3TUVnfDVkYzc2Yjg2NDgzMzQ4ZDc0YTg0YzkxNmFjZmNhZTllYzA2MmNlNzU5NGQ4OTAyNTNmNzhiNzE4ZDNhZWE2ODk,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051334,55000016,AT5.5X35,FACOM,"FACOM SCREWDRIVER 5,5x35","Destornillador plano FACOM Protwist® 5,5x35",11.08,9.16,7.33,3662424095412,1,8205400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Short round blade and ball handle for use in confined spaces.</li><li>Inline Hardening Process – +50% Tip Life and +100% Bar Strength.</li><li>Handle Material - Softer for more Comfort and still Chemical Resistant.</li><li>Blade "" tri-coating "" treatment (Zinc-Nickel-Chromium) - 4x Corrosion Resistance.</li><li>Handle ‘Channel’ - +10% Torque.</li><li>Laser Marking - gives virtually Permanent Marking.</li><li>CNC tip machining - gives better Screw Fit increasing Torque Transfer and Reducing Wear.<a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","        Short round blade and ball handle for use in confined spaces.Inline Hardening Process – +50% Tip Life and +100% Bar Strength.Handle Material - Softer for more Comfort and still Chemical Resistant.Blade "" tri-coating "" treatment (Zinc-Nickel-Chromium) - 4x Corrosion Resistance.Handle ‘Channel’ - +10% Torque.Laser Marking - gives virtually Permanent Marking.CNC tip machining - gives better Screw Fit increasing Torque Transfer and Reducing Wear.   ",TOOLING & WS,TOOLING,TOOLING GENERAL,,101,51,85,35,34,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051334-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzgxOTB8aW1hZ2UvanBlZ3xhREl5TDJoak9TODRPVFE1TXpJd01UVTFNVFkyTHpFd05URXpNelF0TVY4NE1EQlhlRGd3TUVnfDg2MDU1YmJjOGE1MTMxOTFmMDJlZjhiNzJkYjFkZWVkNTQ4MWNjY2Y3ZGE2ODk5ZGIzZmEzZjU3ZWQ2MWQ2MGU,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051347,,E.316A135J,FACOM,FACOM TORQUE WRENCH,FACOM Electronic Torque Wrench,1130.68,934.45,747.56,3148518534505,1,8204200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csF3F2B643{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:circle;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Accuracy:<ul> <li>Torque: ± 2% between 20% and 100% of the key capacity.</li><li>Angle: ± 2 °.</li></ul> </li><li>Measures: 9 x 12 and 14 x 18 mm.</li><li>Measurement mode: peak or normal.</li><li>Lockable keyboard (the operator has access only to the choice of the program and the memorization of the results).</li><li>Unit of measurement: N.m, lbf.ft, lbf.in, Kg.cm and degrees.</li><li>Possible pre-setting of 9 values of torque and / or angle.</li><li>Memory of 250 values with PC USB connection.</li><li>Supplied with ISO 6789 calibration certificate.</li><li>Include ratchet in plastic box with foam tra</li></ul> </body> </html>","        Accuracy: Torque: ± 2% between 20% and 100% of the key capacity.Angle: ± 2 °. Measures: 9 x 12 and 14 x 18 mm.Measurement mode: peak or normal.Lockable keyboard (the operator has access only to the choice of the program and the memorization of the results).Unit of measurement: N.m, lbf.ft, lbf.in, Kg.cm and degrees.Possible pre-setting of 9 values of torque and / or angle.Memory of 250 values with PC USB connection.Supplied with ISO 6789 calibration certificate.Include ratchet in plastic box with foam tra  ",TOOLING & WS,TOOLING,TOOLING GENERAL,,5895,2051,587,121,83,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051347-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzk3NTl8aW1hZ2UvanBlZ3xhRGMzTDJneE55ODRPVEV3TXpnMk1qQXdOakEyTHpFd05URXpORGN0TVY4NE1EQlhlRGd3TUVnfDVmYTdkZTJjZWY4YTE0NTUxNjE0MWZlMmY0ZDJkNDQ4OTJmYzg2YmY2OGFhNjRmMjFkZGJiMWM4N2NhYmZkYjc,https://api.mybihr.com/medias/1051347-2-800Wx800H?context=bWFzdGVyfHJvb3R8NTgxNTV8aW1hZ2UvanBlZ3xhREE1TDJneE15ODRPVEV3TXpnMk16azNNakUwTHpFd05URXpORGN0TWw4NE1EQlhlRGd3TUVnfDUyZmJhM2JmMDI2YTg0ZjZmMzU3NDk4NmYwNzVjYzFhNTRmZWZiYzkwMTZmMDU3NzFmNjJhMjI1NzEzYTcxZjU,https://api.mybihr.com/medias/1051347-3-800Wx800H?context=bWFzdGVyfHJvb3R8MTI3NDQyfGltYWdlL2pwZWd8YURNNUwyZ3dZeTg0T1RFd016ZzJOVGt6T0RJeUx6RXdOVEV6TkRjdE0xODRNREJYZURnd01FZ3xkMjU1MTNhYjA5YjQ1N2QyMjY2NTc1Y2UyOTMzNDk4Nzg2NGE4NTU0OThmMTQyZTgwZTgwN2YxNjcwZDE2NmQ0,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,France Warehouse (Parts)
1051348,891276,EA.32,FACOM,FACOM BITS FOR MALLET REF 891279,Recambio neopreno para martillo FACOM 891279 ø32mm,17.21,14.22,11.38,EA.32,1,3926909790,0,1,"Cabeza de repuesto para maceta FACOM de 32 mm de diámetro, de neopreno. 			Dureza Shore A75: materiales blandos Negro","Cabeza de repuesto para maceta FACOM de 32 mm de diámetro, de neopreno. 			Dureza Shore A75: materiales blandos Negro",TOOLING & WS,TOOLING,TOOLING GENERAL,,58,31,51,42,27,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051348-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODY0Njh8aW1hZ2UvanBlZ3xhR1ZtTDJneU55ODRPVEF5TWpjd05UZ3lPREUwTHpFd05URXpORGd0TVY4NE1EQlhlRGd3TUVnfGJmMTc4Y2I4ZDhmZDg0NmJiNDY4MzQ0MzFjZWMwNzM1YzdkMzEzNzA5MjFjY2IzNDQ3YTFmMGJlMDAzZmY1ODI,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051406,890806,R.6LA,FACOM,FACOM SOCKET LONG SOCKET 1/4 6MM,Vasos largo FACOM OGV 1/4'' 6mm - 6caras,16.84,13.92,11.14,3148510512655,1,8204200000,0,1,"Vasos de 1/4"""""""""""""""", perfil OGV®, 6 caras métricas. 			Acabado cromado brillante. Longitud: 50'5 mm""""""""","Vasos de 1/4"""""""""""""""", perfil OGV®, 6 caras métricas. 			Acabado cromado brillante. Longitud: 50'5 mm""""""""",TOOLING & WS,TOOLING,TOOLING GENERAL,,6,23,50,11,11,,,,,,,,,6,,,,Largo,,https://api.mybihr.com/medias/1051406-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI2NTh8aW1hZ2UvanBlZ3xhR0UxTDJnd05pODRPVE01TlRZeE1USXpPRGN3THpFd05URTBNRFl0TVY4NE1EQlhlRGd3TUVnfGZkMzlkNDhmZTgzNjAxYzA0YWNkMjUxNzVmYWZhY2ZlZDgyMTE5ZDU1OGI5OGNhZDVjNTAzMzU1YjNjYTNiZDA,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102730,890709,75.19,FACOM,FACOM ANGLEDWRENCH 19MM 6 POINTS,Llaves de pipa FACOM OGV 19mm -  6caras,26.02,21.50,17.20,3148511197301,1,8204110000,0,1,"Llave de pipa, abierta, perfil OGV�; muy �til cuando queremos apretar o aflojar con fuerza.�Acabado en cromo satinado Cabeza corta y cabeza larga: 6 caras Cabeza corta abierta para paso de varillas roscadas","Llave de pipa, abierta, perfil OGV�; muy �til cuando queremos apretar o aflojar con fuerza.�Acabado en cromo satinado Cabeza corta y cabeza larga: 6 caras Cabeza corta abierta para paso de varillas roscadas",TOOLING & WS,TOOLING,TOOLING GENERAL,,369,441,205,60,30,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102730-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ3MjB8aW1hZ2UvanBlZ3xhRFk0TDJneVpTODVOak15T0RBME1ERXlNRFl5THpFeE1ESTNNekF0TVY4NE1EQlhlRGd3TUVnfGE3MWZmOWQxMDUyMGIyZWQzMDdhOTFjZjQ4ZGEwMWIzMTBmZDE2YTRlOTk4OTUxYjY1ZTYxYzg5YzRjZjA1MDE,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102732,893039,R.13,FACOM,FACOM SOCKET 1/4 - 13 MM 6 POINT,Vasos FACOM OGV 1/4'' 13mm - 6caras,6.12,5.06,4.05,R.13,1,8204200000,0,1,"Vasos de 1/4"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante. Longitud: 22 mm","Vasos de 1/4"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante. Longitud: 22 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,,23,23,50,27,17,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102732-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDc3NzN8aW1hZ2UvanBlZ3xhRE16TDJnME55ODVOak15T0RBME56azRORGswTHpFeE1ESTNNekl0TVY4NE1EQlhlRGd3TUVnfDkzYWI4YzM5NTJlOThiOGM2NGYzYjI4YmE1MjdlMzEyMGZjOWU4OTg1NTcxOWYyMDdmNTVmODVlNzFjODdmYmE,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102691,890744,75.7,FACOM,FACOM ANGLED SOCKET WRENCH 7MM 6 POINTS,Llaves de pipa FACOM OGV 7mm -  6caras,11.23,9.28,7.42,3148511196106,1,8204110000,0,1,"Llave de pipa, abierta, perfil OGV�; muy �til cuando queremos apretar o aflojar con fuerza.�Acabado en cromo satinado Cabeza corta y cabeza larga: 6 caras Cabeza corta abierta para paso de varillas roscadas","Llave de pipa, abierta, perfil OGV�; muy �til cuando queremos apretar o aflojar con fuerza.�Acabado en cromo satinado Cabeza corta y cabeza larga: 6 caras Cabeza corta abierta para paso de varillas roscadas",TOOLING & WS,TOOLING,TOOLING GENERAL,,41,37,110,25,15,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102691-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ3MjB8aW1hZ2UvanBlZ3xhRFJrTDJnMFppODVOak15TnpnNU9EVTJNamcyTHpFeE1ESTJPVEV0TVY4NE1EQlhlRGd3TUVnfDNlOGE4NDhkZjYzNDQzZmY5ZTVhNTc0OGZlODZmMTcyMDIyMzdiZWMyODlhOGY2YTJiZjFiNTVhNGQwMTVlNDI,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102694,893040,R.13LA,FACOM,FACOM SOCKET 1/4 - 13 MM LONG 6 POINT,Vasos largo FACOM OGV 1/4'' 13mm - 6caras,16.84,13.92,11.14,3148510513355,1,8204200000,0,1,"Vasos de 1/4"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante. Longitud: 50'5 mm","Vasos de 1/4"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante. Longitud: 50'5 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,,95,52,62,48,32,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102694-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjYzMjJ8aW1hZ2UvanBlZ3xhRGMxTDJobE9TODVOak15TnpreE1ETTFPVE0wTHpFeE1ESTJPVFF0TVY4NE1EQlhlRGd3TUVnfDc5MTQ5NmFjNmRjNmVmMTNkNzY4ODRiNWRlODY5YTNkODY2NmI0OTA4NWZmOWFhYTRkNGRjMmFhZGU1NDcyZWY,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102705,890838,S.19H,FACOM,FACOM SOCKET 1/2 19MM 6 POINTS,Vasos FACOM OGV 1/2'' 19mm - 6caras,8.17,6.75,5.40,3148510540108,1,8204200000,0,1,"Vasos de 1/2"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante Longitud: 36, 38 y 44 mm","Vasos de 1/2"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante Longitud: 36, 38 y 44 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,,36,76,40,30,30,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102705-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzEzNzd8aW1hZ2UvanBlZ3xhRGN3TDJnMk5TODVOak15TnprME5UYzBPRGM0THpFeE1ESTNNRFV0TVY4NE1EQlhlRGd3TUVnfGUyODI3MmUyYTljYTEwNTc4MDZlMTRhMmMzOWI2M2VhYzFlM2MzNTM0NjgwYmY4NDQxODA3NWUzODMzZGRhOGI,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1102685,890890,J.13H,FACOM,FACOM SOCKET 3/8 13MM 6 POINTS,Vasos FACOM OGV 3/8'' 13mm - 6caras,9.69,8.01,6.41,J.13H,1,8204200000,0,1,"Vasos de 3/8"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante Longitud: 27, 30 y 33 mm","Vasos de 3/8"", perfil OGV�, 6 caras m�tricas.�Acabado cromado brillante Longitud: 27, 30 y 33 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,,12,31,30,20,20,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102685-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mzg1NzB8aW1hZ2UvanBlZ3xhR1UwTDJoalppODVOak15TnpnM05EazJPVGt3THpFeE1ESTJPRFV0TVY4NE1EQlhlRGd3TUVnfDE4NGFjZmU5NTM0MDM5MDBkMmI4NTdjZjBhMjkyNTY1YTU2ZTZlYjBlOTZlZWZlN2M3YjRhYjI3M2E0ZTViNTE,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051304,55000018,185A.20CPE,FACOM,FACOM PLIERS HALF ROUND NOSE,Alicates de punta redonda FACOM,50.66,41.87,33.50,3662424087325,1,8203200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Narrow, finely serrated tips with oval pipe-grip and side cutting edges.</li><li>Cutting edges for copper and hard steel wire to a maximum specification of 1.6mm 160 kg/mm².</li><li>185A: straight nose.</li><li>195A: 40° angled nose.</li><li>High durability Carbon alloy steel, with induction hardened cutting edges.</li><li>Bi-Material ergonomic grips resistant to chemical agents featuring: - Return spring - Tether ready point (Tether point adds 10mm to nominal lenght)</li><li>Chrome finish for corrosion resistance<a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","        Narrow, finely serrated tips with oval pipe-grip and side cutting edges.Cutting edges for copper and hard steel wire to a maximum specification of 1.6mm 160 kg/mm².185A: straight nose.195A: 40° angled nose.High durability Carbon alloy steel, with induction hardened cutting edges.Bi-Material ergonomic grips resistant to chemical agents featuring: - Return spring - Tether ready point (Tether point adds 10mm to nominal lenght)Chrome finish for corrosion resistance   ",TOOLING & WS,TOOLING,TOOLING GENERAL,,736,212,246,88,34,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051304-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDkwNTR8aW1hZ2UvanBlZ3xhR1kxTDJnMVpTODRPVEkwT0RreU1EQTBNemd5THpFd05URXpNRFF0TVY4NE1EQlhlRGd3TUVnfGE5ZWYwNzc0MTc3NDk2Yjk1ZWJmNDhhYzY4ZWVkZmNhZTA4YTE1MzYyYzE0YTcwNGE5MWZkNzMyNzQzNDgwZjg,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051311,55000023,234A.S,FACOM,FACOM TIP SCRIBER STEEL,Trazador de punta de acero FACOM,29.11,24.06,19.25,3662424078606,1,9017203900,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Tip treated in fast steel.</li><li>Tips: Ø 4 mm.</li><li>Body: Ø 8 mm.<a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","        Tip treated in fast steel.Tips: Ø 4 mm.Body: Ø 8 mm.   ",TOOLING & WS,TOOLING,TOOLING GENERAL,,185,54,314,42,14,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051311-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI4Njh8aW1hZ2UvanBlZ3xhRGhqTDJnMU55ODRPRFkzTnpFMU9UUXdNemd5THpFd05URXpNVEV0TVY4NE1EQlhlRGd3TUVnfDA3OTc1YmU4NzJkNzIyNTI3ZTVkNjNlMzYyZDEyMjYzYWY5YzJkY2VhZGIxY2QxZWJhZmQ2ZDg2M2M5ZDExYzg,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051331,55000015,AT4X25,FACOM,FACOM SCREWDRIVER 4x25,Destornillador plano FACOM Protwist® 4x25,10.32,8.53,6.82,3662424095221,1,8205400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Short round blade and ball handle for use in confined spaces.</li><li>Inline Hardening Process – +50% Tip Life and +100% Bar Strength.</li><li>Handle Material - Softer for more Comfort and still Chemical Resistant.</li><li>Blade "" tri-coating "" treatment (Zinc-Nickel-Chromium) - 4x Corrosion Resistance.</li><li>Handle ‘Channel’ - +10% Torque.</li><li>Laser Marking - gives virtually Permanent Marking.</li><li>CNC tip machining - gives better Screw Fit increasing Torque Transfer and Reducing Wear.<a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","        Short round blade and ball handle for use in confined spaces.Inline Hardening Process – +50% Tip Life and +100% Bar Strength.Handle Material - Softer for more Comfort and still Chemical Resistant.Blade "" tri-coating "" treatment (Zinc-Nickel-Chromium) - 4x Corrosion Resistance.Handle ‘Channel’ - +10% Torque.Laser Marking - gives virtually Permanent Marking.CNC tip machining - gives better Screw Fit increasing Torque Transfer and Reducing Wear.   ",TOOLING & WS,TOOLING,TOOLING GENERAL,,74,47,62,35,34,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051331-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzgxOTB8aW1hZ2UvanBlZ3xhREl3TDJnMFlTODRPVEkzTmpNM05ETTRORGswTHpFd05URXpNekV0TVY4NE1EQlhlRGd3TUVnfDI0Nzc3ZjNhNzRmMjBkMzBmMjVlOGYzNDZkMzE5ZDBlM2NmNGIyYjhkMjg2NTAzYTUzMjdkYThlNTc3ZWZiMjc,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
1051339,55000021,ATP2X35,FACOM,FACOM SCREWDRIVER 2x125,Destornillador Phillips® FACOM Protwist® PH2 2x35,9.62,7.95,6.36,3662424096716,1,8205400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}</style> </head> <body> <ul> <li><a id=""_dx_frag_StartFragment""></a>Short round blade and ball handle for use in confined spaces.</li><li>Inline Hardening Process – +50% Tip Life and +100% Bar Strength.</li><li>Handle Material - Softer for more Comfort and still Chemical Resistant.</li><li>Blade "" tri-coating "" treatment (Zinc-Nickel-Chromium) - 4x Corrosion Resistance.</li><li>Handle ‘Channel’ - +10% Torque.</li><li>Laser Marking - gives virtually Permanent Marking.</li><li>CNC tip machining - gives better Screw Fit increasing Torque Transfer and Reducing Wear.<a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","        Short round blade and ball handle for use in confined spaces.Inline Hardening Process – +50% Tip Life and +100% Bar Strength.Handle Material - Softer for more Comfort and still Chemical Resistant.Blade "" tri-coating "" treatment (Zinc-Nickel-Chromium) - 4x Corrosion Resistance.Handle ‘Channel’ - +10% Torque.Laser Marking - gives virtually Permanent Marking.CNC tip machining - gives better Screw Fit increasing Torque Transfer and Reducing Wear.   ",TOOLING & WS,TOOLING,TOOLING GENERAL,,122,40,90,40,34,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051339-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEzODZ8aW1hZ2UvanBlZ3xhRFEzTDJneFpTODRPVEV3TXpnMk1EQXpPVGs0THpFd05URXpNemt0TVY4NE1EQlhlRGd3TUVnfDEyOTEzZTgzYzhlYzI0MWFhNzU1MmM2NTg4ZjYxOGNhMzA4NTNlNWZhYjBiZWY3YmE5Nzg0NWEwZTEwYTk2MTU,,,,,,https://static.bihr.pro/eBihr/Pictures/FACOM-pictures.zip,Spain Warehouse (Parts)
