PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de dientes,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Especificaciones,Número de dientes de la corona,Número de dientes del piñón,Paso de cadena,Tipo,Tipo de corona,Tipo de piñón,Versión de corona,Versión de piñón,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1074991002,R21637,JTR216.37,JT SPROCKETS,"JTSPR RR SPROC 420 STEEL ST 216, 37",Corona JT 216 de acero con 37 dientes,15.98,13.21,7.27,824225302288,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,37 dientes,,1393,544,215,180,36,Acero,Acero,,37,,420,,,,Estándar,,https://api.mybihr.com/medias/1074991002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzA2Mzl8aW1hZ2UvanBlZ3xhRE0wTDJneE1TOHhOVFF4TnpBMk9UZzVOVGN4TUM4eE1EYzBPVGt4TURBeUxURmZPREF3VjNnNE1EQkl8MGVlNTU2N2U2ZGI0MjAyN2NmZTNlZmI1NDAzYTQ1NWRjMThhMDFiMmVkMGEyMWFlOWQ2NDE4YjlmYWY0MGFkZA,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1074991001,R21636,JTR216.36,JT SPROCKETS,"JTSPR RR SPROC 420 STEEL ST 216, 36",Corona JT 216 de acero con 36 dientes,15.49,12.80,7.04,824225302271,8,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,36 dientes,,815,472,207,179,22,Acero,Acero,,36,,420,,,,Estándar,,https://api.mybihr.com/medias/1074991001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzA2Mzl8aW1hZ2UvanBlZ3xhR1kyTDJnd05TOHhOVFF4TnpBMk9UVXdNalE1TkM4eE1EYzBPVGt4TURBeExURmZPREF3VjNnNE1EQkl8ZjM5YjdmMjE5NGE3NTYwOWIwNGYyOWI3MTZlODhmOWE3MWM5YzBmYzhmYzg1NTM3YzMwOWVlNDRmMjBjOTM5Zg,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1074998001,R2450,JTR24.50,JT SPROCKETS,"JTSPR RR SPROC 420 STEEL ST 24, 50",Corona JT SPROCKETS acero estándar 24 - Paso 420,23.99,19.83,10.91,824225310757,6,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,50 dientes,,265,655,210,210,6,Negro,Acero,,50,,420,,,,Estándar,,https://api.mybihr.com/medias/1074998001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjcxNDl8aW1hZ2UvanBlZ3xhR0ZrTDJoaU1pODRPVFF3TWpjME9UYzBOelV3THpFd056UTVPVGd3TURFdE1WODRNREJYZURnd01FZ3xkNDkzNjJiZWI0MWQ2OGQ0NTViMTIxZDdkOWJjM2RiNzg2MDYyM2Q1YWE4MmUxNGM5YTVkNWM2M2ZjMTAxOThl,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1074998002,R2451,JTR24.51,JT SPROCKETS,"JTSPR RR SPROC 420 STEEL ST 24, 51",Corona JT SPROCKETS acero estándar 24 - Paso 420,23.99,19.83,10.91,824225310764,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,51 dientes,,272,710,213,213,6,Negro,Acero,,51,,420,,,,Estándar,,https://api.mybihr.com/medias/1074998002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjcxNDl8aW1hZ2UvanBlZ3xhREU1TDJobU9DODRPVFF3TWpjMU16WTNPVFkyTHpFd056UTVPVGd3TURJdE1WODRNREJYZURnd01FZ3xmNDY4ZmM2YmU4NmUwOWZkNzUyY2E2MmJkYzUzMWMxN2I4YmU3ZGI4YTBlODAyZDY3MTg2NzY5NzAxZGIzZmU1,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075027001,R2842,JTR28.42,JT SPROCKETS,"JTSPR RR SPROC 520 STEEL ST 28, 42",Corona JT 28 de acero con 42 dientes,31.48,26.02,14.31,824225303803,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,42 dientes,,1204,669,223,225,24,Acero,Acero,,42,,520,,,,Estándar,,https://api.mybihr.com/medias/1075027001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzAyNDl8aW1hZ2UvanBlZ3xhRGd4TDJoa1lpODRPVEF6TWprek1EQTVPVFV3THpFd056VXdNamN3TURFdE1WODRNREJYZURnd01FZ3w1MTZlMWYxYjlhNmY2YTI2MjVjMGRlNTYyYmNmMDE3NWVkMTIwZTBlMjg2YjBhODg5YTVkZDkyNmE2ZTY3YzQ3,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075030003,R28440,JTR284.40,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 284, 40",Corona JT SPROCKETS acero estándar 284 - Paso 530,38.49,31.81,17.50,824225303896,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,40 dientes,,871,1079,235,218,17,Negro,Acero,,40,,530,,,,Estándar,,https://api.mybihr.com/medias/1075030003-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzEyMzh8aW1hZ2UvanBlZ3xhR1V6TDJoaE9TODRPVFk0TURJMk16VTNOemt3THpFd056VXdNekF3TURNdE1WODRNREJYZURnd01FZ3wyZDBlYTdiMDE2YzQ2M2ViYTNiNzhkZWQyYWM3OTE5ZDU3MGJiNjA4ZjZiZWE2YTVhMDQ1ZDMzZjgzMTlhZjQ0,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075030005,R28448,JTR284.48,JT SPROCKETS,"JTSPR RR SPROC 530 STEEL ST 284, 48",Corona JT SPROCKETS acero estándar 284 - Paso 530,45.76,37.82,20.80,824225303933,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.</p><p> </p><ul> <li>Ultra-durable high carbon C49 steel</li></ul> </body> </html>","       With their leading edge technology and using only the highest grade of special steel alloys, JT Sprockets produce a full range of superior quality motorcycle front and rear sprockets.  Ultra-durable high carbon C49 steel  ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,48 dientes,,747,1507,251,248,12,Acero,Acero,,48,,530,,,,Estándar,,https://api.mybihr.com/medias/1075030005-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzEyMzh8aW1hZ2UvanBlZ3xhRFkxTDJnMll5ODRPVFkzT1RNd09EQTJNekF5THpFd056VXdNekF3TURVdE1WODRNREJYZURnd01FZ3w3OGU2OTMwYjFlYmUyM2ViYWI1NTlkN2MyZjJlMDU4MWExMjE3MjA2NmE0MDk1MjFjZmRhOGRkMDdlODNlZThj,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075044004,R46151,JTR461.51,JT SPROCKETS,"JTSPR RR SPROC 520 STEEL ST 461, 51",Corona JT 461 de acero con 51 dientes,27.00,22.31,12.27,824225304398,2,8714109090,0,1,"<html xmlns=""http://www.w3.org/1999/xhtml""> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css""> .cs2654AE3A{text-align:left;text-indent:0pt;margin:0pt 0pt 0pt 0pt} .cs63EB74B2{color:#000000;background-color:transparent;font-family:Times New Roman;font-size:12pt;font-weight:normal;font-style:normal;} .cs37063928{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000000;background-color:transparent;font-family:Arial;font-size:12pt;font-weight:normal;font-style:normal} </style> </head> <body> <p>JT sprockets Factory for motorcycles is today one of the largest and most modern in the world. It produces 12 millions sprockets a year for all kinds of motorcycles.</p><ul start=""1""> <li>Ultra-durable high carbon C49 steel </li></ul> </body> </html>","       JT sprockets Factory for motorcycles is today one of the largest and most modern in the world. It produces 12 millions sprockets a year for all kinds of motorcycles. Ultra-durable high carbon C49 steel   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,51 dientes,,1240,764,243,232,22,Acero,Acero,,51,,520,,,,Estándar,,https://api.mybihr.com/medias/1075044004-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjYwNzF8aW1hZ2UvanBlZ3xhRFpqTDJnMVlTODVOek00TWpFME56QXpNVE0wTHpFd056VXdORFF3TURRdE1WODRNREJYZURnd01FZ3xmNWFkMmU0ZDMwYzQ5Mjc1YzczOWMwMTcxNzRjZTYzZWM2YmZkMzJjYmIxOWE3YTlhODRiNzZiZmYwMTI4ZmFk,https://api.mybihr.com/medias/1075044004-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTUzMDl8aW1hZ2UvanBlZ3xhRGd6TDJnd055ODVOek00TWpFMU1EazJNelV3THpFd056VXdORFF3TURRdE1sODRNREJYZURnd01FZ3wyZjc4N2ZlZDU0MDk0YWFiZTM0Y2FiMTM1Njk1YzBjOGQwYTRmOTliYWQ3NWFmMjg3Zjc4NzE5N2ZkMTlkNzA5,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075044003,R46150,JTR461.50,JT SPROCKETS,"JTSPR RR SPROC 420 STEEL ST 461, 50",Corona JT 461 de acero con 50 dientes,27.00,22.31,12.27,824225304381,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,50 dientes,,269,784,280,240,4,Acero,Acero,,50,,420,,,,Estándar,,https://api.mybihr.com/medias/1075044003-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg5NzN8aW1hZ2UvanBlZ3xhREl3TDJoak9DOHhOVFF4TnpBNU5UTTRPVEl4TkM4eE1EYzFNRFEwTURBekxURmZPREF3VjNnNE1EQkl8YjE3MjdiOTA0ZGJkYmEyMjFmOTgwYzcyZWQzYWUwYzdjNjU4NjhjMGFjNWJhMGI4MDMyZGNhNmFmZTM4NjZiYw,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
1075044007,R46154,JTR461.54,JT SPROCKETS,"JTSPR RR SPROC 420 STEEL ST 461, 54",Corona JT 461 de acero con 54 dientes,27.49,22.72,12.50,824225304411,3,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,54 dientes,,416,974,262,227,7,Acero,Acero,,54,,420,,,,Estándar,,https://api.mybihr.com/medias/1075044007-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg5NzN8aW1hZ2UvanBlZ3xhRGM1TDJoak55OHhOVFF4TnpBNU5qVTJPRGcyTWk4eE1EYzFNRFEwTURBM0xURmZPREF3VjNnNE1EQkl8YTQ4ZTRhNjdmNjBjYzkzNTEzMGI3YjBlYTljNTQxMjIyYWJkOGM1NWU5ZDA3MjhmNTFkMGEyNTdiOGQyYzk2YQ,,,,https://static.bihr.pro/eBihr/Pictures/JT_SPROCKETS-pictures.zip,Spain Warehouse (Parts)
