PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Uso recomendado,Picture1,AllPicturesZIP,DeliveryPlant
1101586,8555,LD2,BETO,BETO RACOR TWIN VALVE,Racor doble válvula BETO Multi Fit Schrader/Presta,4.01,3.31,1.62,8430525085558,93,8714200000,0,1,"<p>Racor de doble v&aacute;lvula Presta &amp; Schrader (Fina y gruesa) para adaptar a manguera de inflador.<br>
Con palanca de cierre/apertura de aire y tuerca de fijaci&oacute;n de la manguera.</p>","
Racor de doble válvula Presta & Schrader (Fina y gruesa) para adaptar a manguera de inflador.
Con palanca de cierre/apertura de aire y tuerca de fijación de la manguera.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,145,44,73,83,24,Todos,https://api.mybihr.com/medias/1101586-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTYxNzgzfGltYWdlL2pwZWd8YURZd0wyZ3lNQzg1TmpNeU1EazRNRFU0TWpjd0x6RXhNREUxT0RZdE1WODRNREJYZURnd01FZ3xmZWM5NGI3YWYzOGIxMDU1YWNlOThkYTMyOTcwZjdmN2Y5ZDEzODVhOWU0ODA4NDFiNzRiMjNjZjIyZDRlYzQx,https://static.bihr.pro/eBihr/Pictures/BETO-pictures.zip,Spain Warehouse (Parts)
1101687,8560,CMP-151SG1+LD6,BETO,BETO AIR PUMP BETO STEEL (8560),Inflador taller bici BETO 11bar racor doble para válvula fina y gruesa,14.50,11.98,4.99,8430525085602,3983,8714200000,0,1,"<p>Inflador de taller BETO (CMP-074S)<br>
Presi&oacute;n m&aacute;xima: 160psi (11bar)<br>
Con man&oacute;metro de 2&rsquo;&rsquo; anclado a la base.<br>
Racor doble para v&aacute;lvula fina y gruesa (Presta &amp; Schrader)<br>
Tubo de Acero &Oslash;38mm.</p>","
Inflador de taller BETO (CMP-074S)
Presión máxima: 160psi (11bar)
Con manómetro de 2’’ anclado a la base.
Racor doble para válvula fina y gruesa (Presta & Schrader)
Tubo de Acero Ø38mm.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,18255,1023,562,218,149,Todos,https://api.mybihr.com/medias/1101687-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ2MjB8aW1hZ2UvanBlZ3xhRFJqTDJnek9TODVOak15TVRJNU1USXlNek0wTHpFeE1ERTJPRGN0TVY4NE1EQlhlRGd3TUVnfGRjYWMwODJhZjA3OWQ4OTdmYjgxNDZiODU0NzYzNDNjM2UwM2MwM2Y3ZDE5OGM1NzI3MTgyMWUwNmNkNzJlOTg,https://static.bihr.pro/eBihr/Pictures/BETO-pictures.zip,Spain Warehouse (Parts)
