PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Guardapolvo] Diámetro exterior (Ømm),[Guardapolvo] Diámetro interior (Ømm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Altura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Tipo de producto,Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1120286,,F33004502,SHOWA,"SHOWA DUST SEAL 45X57,6X13","Guardapolvos de horquilla SHOWA - 45x57,6x13 mm",12.10,10.00,7.00,F33004502,3,8714109090,0,1,"<p>Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.</p>","
Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,145,24,73,71,28,,,,,,,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1120286-1.jpg?context=bWFzdGVyfHJvb3R8MTAyMTI0fGltYWdlL2pwZWd8YUdFeEwyZzVZUzh5T1RZeE56ZzBOVGc1TlRFNU9DODRNREJYZURnd01FaGZNVEV5TURJNE5pMHhMbXB3Wnd8ZWQzMjcwMGY3MzY0YmNhMWVjNDY2MTQwMjhhNTM0M2NlN2U1ZTNiOWIzZDAxMWQxNzU3Y2NkNzRmZmEwNjEyOA,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1120278,,FSER04301,SHOWA,SHOWA SERVICE KIT FF 43MM,Kit de reparación de horquilla SHOWA,41.14,34.00,23.80,FSER04301,0,8714109090,0,1,Este kit incluye dos retenes de horquilla y dos guardapolvos.,Este kit incluye dos retenes de horquilla y dos guardapolvos.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,342,78,109,73,43,,,,,,,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1120278-1.jpg?context=bWFzdGVyfHJvb3R8NTc1MjN8aW1hZ2UvanBlZ3xhRFppTDJnek5TOHlPVFl4TnpnMU9UTXpNREEzT0M4NE1EQlhlRGd3TUVoZk1URXlNREkzT0MweExtcHdad3xjYzI5ZDRkNzcxMjFlM2IyMzM2ZDc3MGRlYjMyOWU3MGUzYmI0YTM5N2U4ZWY5ZjlhOTlmMDU3MGZiYjY3YmM0,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1120273,,FSER03701,SHOWA,SHOWA SERVICE KIT FF 37MM,Kit de reparación de horquilla SHOWA,42.50,35.12,24.58,FSER03701,2,8714109090,0,1,Este kit incluye dos retenes de horquilla y dos guardapolvos.,Este kit incluye dos retenes de horquilla y dos guardapolvos.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,280,90,123,57,40,,,,,,,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1120273-1.jpg?context=bWFzdGVyfHJvb3R8NTc1MjN8aW1hZ2UvanBlZ3xhR1F5TDJoaE5TOHlPVFl4TnpnMU9ERTFNRFF6TUM4NE1EQlhlRGd3TUVoZk1URXlNREkzTXkweExtcHdad3xlMmEwMWEzYTBlMDdhM2VmYWJkZWE2YjdlYTZjYjI3Y2JjY2VlM2Q3NjM0N2UwODFiMDc3MzBkYTkyYTE1MGVm,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1120276,,FSER04101,SHOWA,SHOWA SERVICE KIT FF 41MM,Kit de reparación de horquilla SHOWA,45.98,38.00,26.60,8435622720036,0,8714109090,0,1,Este kit incluye dos retenes de horquilla y dos guardapolvos.,Este kit incluye dos retenes de horquilla y dos guardapolvos.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,360,81,127,63,45,,,,,,,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1120276-1.jpg?context=bWFzdGVyfHJvb3R8NTc1MjN8aW1hZ2UvanBlZ3xhR0kzTDJnNFlTOHlPVFl4TnpnMU9Ea3pOamcyTWk4NE1EQlhlRGd3TUVoZk1URXlNREkzTmkweExtcHdad3w2MmJhMDA3Y2MwZGRmNDE3OTlhYTg3ZWRhYjlkMDQ0MWMzYmQxYTFjMDgxOTZmNTdmNGYzN2VhYzZiNjMyNDg3,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1120279,,F32004301,SHOWA,SHOWA FORK OIL SEAL 43X54X11,Retén de horquilla sin guardapolvo SHOWA - 43x54x11 mm,10.89,9.00,6.30,8435622702681,1,8714109090,0,1,"<p>Retenes de horquilla Showa, para un reacondicionamiento fiable y de calidad.<br>Se vende por unidad.</p>","
Retenes de horquilla Showa, para un reacondicionamiento fiable y de calidad.Se vende por unidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,53,22,61,58,15,,,,,,,,,,"por unidad & ",,https://api.mybihr.com/medias/800Wx800H-1120279-1.jpg?context=bWFzdGVyfHJvb3R8NzgwNjd8aW1hZ2UvanBlZ3xhR0pqTDJobE1DOHpNakkzTXprMU5UTXlNemt6TkM4NE1EQlhlRGd3TUVoZk1URXlNREkzT1MweExtcHdad3xkMTk4N2NkOWZmZjVmYmE5ODczMTk3MmRhYWI5Y2EwMjNkMjdmM2RmMTI3MzhlMTUzMGM1YWU2NmI1ZmM2Mzg0,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1120277,,F32004101,SHOWA,SHOWA FORK OIL SEAL 41X54X11,Retén de horquilla sin guardapolvo SHOWA - 41x54x11 mm,13.49,11.15,7.81,8435622702667,0,8714109090,0,1,"<p>Retenes de horquilla Showa, para un reacondicionamiento fiable y de calidad.<br>Se vende por unidad.</p>","
Retenes de horquilla Showa, para un reacondicionamiento fiable y de calidad.Se vende por unidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,76,23,62,61,20,,,,,,,,,,"por unidad & ",,https://api.mybihr.com/medias/800Wx800H-1120277-1.jpg?context=bWFzdGVyfHJvb3R8NzgwNjd8aW1hZ2UvanBlZ3xhRGhqTDJobE55OHpNakkzTXprMU5URXlOek15Tmk4NE1EQlhlRGd3TUVoZk1URXlNREkzTnkweExtcHdad3w2OTcyNjE5MmFmZDA0Y2QyNjkwYWFkZTBhM2NiZmVjYTM3NmM0YTNmYmU1NzVkYzZjOTlhOTdmMTk4ODQ2YjY2,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1122105,,F32003501,SHOWA,SHOWA FORK OIL SEAL 35X48X11,Retén de horquilla sin guardapolvo SHOWA - 35x48x11 mm,12.10,10.00,7.00,8435622702612,10,8714109090,0,1,"<p>Retenes de horquilla Showa, para un reacondicionamiento fiable y de calidad.<br>Se vende por unidad.</p>","
Retenes de horquilla Showa, para un reacondicionamiento fiable y de calidad.Se vende por unidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,9,20,30,30,10,,,,,,,,,,"por unidad & ",,,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1122107,,F33004501,SHOWA,"SHOWA DUST SEAL 45X57,6X15","Guardapolvos de horquilla SHOWA - 45x57,6x15 mm",12.10,10.00,7.00,F33004501,1,8714109090,0,1,"<p>Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.</p>","
Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,54,5,60,60,15,,,,,,,,,,por 10,,https://api.mybihr.com/medias/800Wx800H-1122107-1.jpg?context=bWFzdGVyfHJvb3R8NDg0MTB8aW1hZ2UvanBlZ3xhREJoTDJoaFpDODJPVFEzTlRrM09UTTVOVEV3TWk4NE1EQlhlRGd3TUVoZk1URXlNakV3TnkweExtcHdad3xlYzc2ZTBmZmIyNGNkN2EyZmE1ZWRhMzBlZDcwNmUzMzVhZmIxN2FjY2Y5MDdkMjMyMWQ4M2QzNTQ4YWRlZjQ2,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1125283,,F27604101,SHOWA,SHOWA SLIDE BUSH 40x42x20,Casquillo de fricción interior para horquilla SHOWA (40x42x20mm),7.26,6.00,4.20,F27604101,0,8714109090,0,1,"<p>Casquillo de fricci&oacute;n interior SHOWA para horquilla de 41mm.</p>
<p>40x42x20mm</p>","
Casquillo de fricción interior SHOWA para horquilla de 41mm.

40x42x20mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,71,19,55,39,33,,,,,,,,,,por unidad,,,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
1120283,,F33004301,SHOWA,"SHOWA DUST SEAL 43X54,5X15","Guardapolvos de horquilla SHOWA - 43x54,5x15 mm",10.89,9.00,6.30,8435622702872,4,8714109090,0,1,"<p>Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.</p>","
Guardapolvos de horquilla Showa, para un reacondicionamiento fiable y de calidad.",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,51,23,61,56,15,,,,,,,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1120283-1.jpg?context=bWFzdGVyfHJvb3R8MTAyMTI0fGltYWdlL2pwZWd8YUdSbUwyaGhOUzh5T1RZeE56ZzBOVFV3TVRrNE1pODRNREJYZURnd01FaGZNVEV5TURJNE15MHhMbXB3Wnd8ZDBmOTQ2MDRjMTIyNzU5MTAzNTAwZjEwYzMxMGFhNDllNGZhY2U0Y2QxNGI5NDQ3YjYzYjJlYjZiMjFlNmExYQ,,https://static.bihr.pro/eBihr/Pictures/SHOWA-pictures.zip,,Spain Warehouse (Parts)
