PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Diámetro de pistón,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Composición,Compresión de pistón,Diámetro del cilindro (mm),Diámetro Ø (mm),Eslabones de cadena,Nº de segmentos,Referencias OEM,Relación de compresión,Sobremedida,Tipo de cadena de distribución,Tipo de motor,Tipo de pistón,Tolerancia,Picture1,Picture2,Picture3,Picture4,Picture5,AllPicturesZIP,DeliveryPlant
1019339,,860VG810016,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,152.67,126.17,82.01,860VG810016,0,8409910090,0,1,VERTEX,VERTEX,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,319,108,150,177,12,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019339-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhREJqTDJobU5TODRPVFk1TURnMU5EZzFNRGcyTHpFd01Ua3pNemt0TVY4NE1EQlhlRGd3TUVnfDg1ZGMyNzQ4MzQ4MGM3OTg1YjY2ZjEyM2U2OTNkMWRjYmEyOWRkMjdhNjAxNDUxYzM2ZDFhMWMzMzQyYzJlYjM,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019329,,860VG10043,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,111.05,91.78,59.66,191070021184,0,8714109090,0,1,VERTEX Engine Gaskets Cylinder Works 052024,VERTEX Engine Gaskets Cylinder Works 052024,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,322,107,174,154,12,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019329-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDAzMTl8aW1hZ2UvanBlZ3xhREV3TDJnd055ODRPVFV6TWpZM05qRTNPREl5THpFd01Ua3pNamt0TVY4NE1EQlhlRGd3TUVnfDg2MTU5YjIzNzA2NjE1ZDk5ZGFjNWY5ZTYwZTM2MTJjNWJkNjcxOGNhYThmYzY4MWNhZmI3YWZiOGY5ZTIwMjQ,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019332,,860VG810006,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,132.80,109.75,71.34,860VG810006,0,8409910090,0,1,052013 REPLACEMENT GASKETS,052013 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,321,58,151,177,12,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019332-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhREU0TDJnMk5DODRPVFV6TWpRM09UVTNNREl5THpFd01Ua3pNekl0TVY4NE1EQlhlRGd3TUVnfGE4NDE2MGJjOGNiMzBhMmM0ODZjMGUwOTNkYzE5YWU2NmU5Yzg0OWY4ZTQxZjEwOGEyZjg2MmE3NWNjNWFiOTc,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019333,,860VG810008,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,126.48,104.53,67.94,860VG810008,0,8409910090,0,1,054046 REPLACEMENT GASKETS,054046 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,319,80,150,177,12,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019333-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhREEzTDJnMlpTODRPVEkyTlRBMk9EYzJPVFU0THpFd01Ua3pNek10TVY4NE1EQlhlRGd3TUVnfDUyYjY5OWI5NjYxYjdhZTQyYjFjZGM3MDllMmFmMWM5MDgyNmUzMmI1YTZmZmUyMzg1N2JjMjBmZGU3YmMzZGE,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019337,,860VG810013,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,140.95,116.49,75.72,860VG810013,0,8409910090,0,1,051030 REPLACEMENT GASKETS,051030 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,448,85,149,177,17,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019337-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhRFkyTDJobVpDODRPVFk1TURnMU1Ea3hPRGN3THpFd01Ua3pNemN0TVY4NE1EQlhlRGd3TUVnfDRkYjYzYTgyZjIyNDZmMjA0MzhlOTAyZDlmNGY4OGNmZWJlZTU2OGRlNzA3MzViNjEyODg2YzQwOWEzOWUyZTM,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019335,,860VG810011,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,130.61,107.94,70.16,860VG810011,0,8409910090,0,1,055002 REPLACEMENT GASKETS,055002 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,186,70,150,177,7,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019335-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhR1l3TDJoa01DODRPVFExTmpneU5qRXlNalUwTHpFd01Ua3pNelV0TVY4NE1EQlhlRGd3TUVnfGZiNmFiNzJmNzNhNDY4NGYzMGI3ZmMwYzI2MWJlNzkzMWQzNTUzNTNlYjMxNWM0MDQ0MDUxNjBhMGU5OWNlOGM,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019346,,860VG810262,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,81.49,67.35,43.78,860VG810262,0,8409910090,0,1,051028 REPLACEMENT GASKETS,051028 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,460,57,147,184,17,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019346-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhRGd5TDJobFpDODRPVEkyT0RReE56azROamcyTHpFd01Ua3pORFl0TVY4NE1EQlhlRGd3TUVnfDIxMjYzODc0OGVmYThmYWIxZmI2YzAzOTZjYjE0ZjdmYjVlNzMxMDBlZjNjZGNhMzdiNTY4OWU4NzRmNWZjMzk,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019347,,860VG810268,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,77.27,63.86,41.51,714205802689,0,8409910090,0,1,051028 REPLACEMENT GASKETS,051028 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,460,57,147,184,17,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019347-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhR1k1TDJnNU5DODRPVEF4TXpjMU1UWTBORFEyTHpFd01Ua3pORGN0TVY4NE1EQlhlRGd3TUVnfGE3ZDFlODM1ZmM5YWY5NmFiYjNlZmRhMDhjYWEzNDcyYTQ2YjZkYmY2ODg2NzhmN2I0MWU4NTZhNGU4YzRlMWE,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019358,,860VG810567,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,74.46,61.54,40.00,860VG810567,0,8409910090,0,1,053024 REPLACEMENT GASKETS,053024 REPLACEMENT GASKETS,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,430,64,147,195,15,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019358-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhRFJpTDJneVlpODRPVFE1TVRFNU16SXdNRGswTHpFd01Ua3pOVGd0TVY4NE1EQlhlRGd3TUVnfGVjYzU0NzY4NGE3MWYwNDkwMjY3ZDBkNDk4YmE5ZGY2ZTgxNDAxYzk5NTYwZWRhODRiMWE4MzJhMzMwYWE2YmY,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1089760,,860VG822155,VERTEX,VERTX GASKET CRANKCASE OIL SEAL,Juego de retenes de motor VERTEX- Yamaha YFM 350,31.42,25.97,16.88,860VG822155,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,505,75,114,164,27,,,,,,,,,,,,,,https://api.mybihr.com/medias/1089760-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ3NjE0fGltYWdlL2pwZWd8YURreEwyZzNZaTg0T1RJNU5EYzRPVFkzTXpJMkx6RXdPRGszTmpBdE1WODRNREJYZURnd01FZ3wyYTExZDkwMzMwMDAzMWU0Y2JhNTdjNmYwZjQ1MGQ4NmU0NDJlMTQ0OWY3NzVhY2NmOTlmYWMzNzhkYmQ2M2My,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1019359,,860VG810670,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,33.42,27.62,17.95,714205806700,1,8714109090,0,1,VERTEX Top Engine Gasket Set Yamaha YZ250,VERTEX Top Engine Gasket Set Yamaha YZ250,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,339,23,192,147,12,,,,,,,,,,,,,,https://api.mybihr.com/medias/1019359-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ3NjE0fGltYWdlL2pwZWd8YURjekwyaGtNaTg0T1RRNE9URTVNamN4TkRVMEx6RXdNVGt6TlRrdE1WODRNREJYZURnd01FZ3xlMTk3NDNhNmE0ZDFjZGJjNzEwNWVlMzYwMzQyMzA5YTA4MDg0ODljNTk5MzJlYTg2ZjUyNzM5MjUxZjc2ZWUz,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1102212,,860VG810568,VERTEX,VERTX TOP GASKET SET FOR CYL-KIT VERTEX,Kit de juntas VERTEX - Kawasaki SEA-DOO HONDA,73.06,60.38,39.25,860VG810568,0,8714109090,0,1,"<ul>
	<li>Replacement Gaskets</li>
	<li>For Vertex Cylinder kit</li>
</ul>
","
	Replacement Gaskets
	For Vertex Cylinder kit

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,635,86,235,159,17,,,,,,,,,,,,,,https://api.mybihr.com/medias/1102212-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ3NjE0fGltYWdlL2pwZWd8YUdJd0wyZzNOeTg1TmpNeU5ESXlPVGcxTnpVNEx6RXhNREl5TVRJdE1WODRNREJYZURnd01FZ3w1NjllNGNkZmFlNzAyYWRkYWQ5NTliYmNmZTAwZmQ5OTdkYzM0NjA5NzliNWMzY2NlY2IzZGIzNDY3MTg1ODY1,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1106768,,860VG810969,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,78.13,64.57,41.97,VG810969,5,8484900090,0,1,"<ul>
	<li>Replacement Gaskets</li>
	<li>For Vertex Cylinder kit</li>
</ul>","
	Replacement Gaskets
	For Vertex Cylinder kit
",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,2614,245,371,243,29,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1147752,,860VG8100074,VERTEX,VERTX GASKET TOP ENGINE SET,Kit de juntas parte alta VERTEX,114.89,94.95,61.72,860VG8100074,0,8714109090,0,1,<p>Diámetro 80 mm</p>,"
Diámetro 80 mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,286,352,111,92,28,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095473003,,24383C,VERTEX,"VERTX PISTON 24383, 53,97MM",Pistón fundición VERTEX,154.44,127.64,82.97,24383C,1,8409910090,0,1,VERTEX Casted Piston Ø53.97mm Standard Compression Beta RR125,VERTEX Casted Piston Ø53.97mm Standard Compression Beta RR125,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 53,970 mm",339,187,85,70,57,Aluminio,Estándar,,,,2,,,,,2T,,C,https://api.mybihr.com/medias/1095473003-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhREU0TDJnMk55ODRPVGd5TnpBMU1qUXlNVFF5THpFd09UVTBOek13TURNdE1WODRNREJYZURnd01FZ3w5MTk1Yzc1NjA4YjFlODI5ZTg3NWMzMjcwZGQ0YTQzNTYyMzQ3MjAwZDUzM2IzMjZiODczZWI2YzNlMGQ4NGMx,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095473002,,24383B,VERTEX,"VERTX PISTON 24383, 53,96MM",Pistón fundición VERTEX,154.44,127.64,82.97,24383B,2,8409910090,0,1,VERTEX Casted Piston Ø53.96mm Standard Compression Beta RR125,VERTEX Casted Piston Ø53.96mm Standard Compression Beta RR125,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 53,960 mm",350,186,84,73,57,Aluminio,Estándar,,,,2,,,,,2T,,B,https://api.mybihr.com/medias/1095473002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhRGxoTDJnNU5pODRPVE13TXpnME1qZ3hOak13THpFd09UVTBOek13TURJdE1WODRNREJYZURnd01FZ3xkMWZjNmMxODYxNzBlMzA0ODBhYmEzNmFkMzY1NzQ0NjI4MWFlODNmODMzMzQxNWJlNzJiNzkyOWM3NTQwZWRk,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095473001,,24383A,VERTEX,"VERTX PISTON 24383, 53,95MM",Pistón fundición VERTEX,154.44,127.64,82.97,24383A,1,8409910090,0,1,VERTEX Casted Piston Ø53.94mm Standard Compression Beta RR125,VERTEX Casted Piston Ø53.94mm Standard Compression Beta RR125,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 53,950 mm",369,186,83,78,57,Aluminio,Estándar,,,,2,,,,,2T,,A,https://api.mybihr.com/medias/800Wx800H-1095473001-1.jpg?context=bWFzdGVyfHJvb3R8OTIzNjV8aW1hZ2UvanBlZ3xhRGRtTDJoaE1pODJORGcwTURRek1qTTFNek14TUM4NE1EQlhlRGd3TUVoZk1UQTVOVFEzTXpBd01TMHhMbXB3Wnd8MTQ2NDk3MzRkZmVlNmFiZjA1MmYxYjk5NjdhYzk2N2FiYmRiODE4NzNjNzFlZjhlNWY0NzE3NDdiZWFkZDYwYg,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095475002,,24385B,VERTEX,"VERTX PISTON 24385, 71,96MM",Pistón fundición VERTEX,224.00,185.12,120.33,24385B,2,8409910090,0,1,VERTEX Casted Piston Ø71.96mm Standard Compression Beta RR300,VERTEX Casted Piston Ø71.96mm Standard Compression Beta RR300,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 71,960 mm",667,365,103,81,80,Aluminio,Estándar,,,,2,,,,,2T,,B,https://api.mybihr.com/medias/1095475002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhR1JrTDJnNFppODRPVE13TXpnME5EYzRNak00THpFd09UVTBOelV3TURJdE1WODRNREJYZURnd01FZ3w0MjQ1ZTQ1Yzc2YTMwNzFiYjk3MWMxZGE4NWE4YWNlMDg3MDFkODU3ZjA3NzIyNzVkNDcwZGM2YWM3MjVkYWNm,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095475001,,24385A,VERTEX,"VERTX PISTON 24385, 71,95MM",Pistón fundición VERTEX,224.00,185.12,120.33,24385A,2,8409910090,0,1,VERTEX Casted Piston Ø71.95mm Standard Compression Beta RR300,VERTEX Casted Piston Ø71.95mm Standard Compression Beta RR300,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 71,950 mm",674,364,104,81,80,Aluminio,Estándar,,,,2,,,,,2T,,A,https://api.mybihr.com/medias/800Wx800H-1095475001-1.jpg?context=bWFzdGVyfHJvb3R8ODI5NDF8aW1hZ2UvanBlZ3xhRE5pTDJoaE9TODJORGcwTURRek1qVTBPVGt4T0M4NE1EQlhlRGd3TUVoZk1UQTVOVFEzTlRBd01TMHhMbXB3Wnd8MDNlNDJiMDY0MTNlNmUxMjVmZDNmMWQzZTc4ZmIzODQxNzc4MjM2NjZjZjE4NjFjZDQwZjQyODFkMTk0NTg2MQ,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095475003,,24385C,VERTEX,"VERTX PISTON 24385, 71,97MM",Pistón fundición VERTEX,224.00,185.12,120.33,24385C,0,8409910090,0,1,VERTEX Casted Piston Ø71.97mm Standard Compression Beta RR300,VERTEX Casted Piston Ø71.97mm Standard Compression Beta RR300,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 71,970 mm",667,365,103,81,80,Aluminio,Estándar,,,,2,,,,,2T,,C,https://api.mybihr.com/medias/1095475003-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhR0ppTDJnMU1pODRPVGd5TnpBMU9ETXhPVFkyTHpFd09UVTBOelV3TURNdE1WODRNREJYZURnd01FZ3w2OGFlNjJhM2MzOWU0MzExMjRiNjhkM2NiMTVmM2NjOTI3NDhiZDYwY2EzNGYwNTZkNGE3YmJlYzQ3MDdmZGYz,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095477001,,24387A,VERTEX,"VERTX PISTON 24387, 87,96MM",Pistón forjado VERTEX Replica,261.89,216.44,140.69,24387A,2,8409910090,0,1,VERTEX Forged Piston Ø87.96mm Standard Compression Beta RR390,VERTEX Forged Piston Ø87.96mm Standard Compression Beta RR390,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 87,960 mm",853,324,114,110,68,Aluminio,Estándar,,,,,,,,,4T,,A,https://api.mybihr.com/medias/1095477001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhRFV5TDJnd05DODRPVGd5TnpBMk1ESTROVGMwTHpFd09UVTBOemN3TURFdE1WODRNREJYZURnd01FZ3w2NWViNmNlNWExOWIyY2Y4ZTNkNmFkMzM2NDc4NDNhMjZkOTc3ODI1MGYzMzFiMTY2ZjEyMDMwMTk0MzFmYzMx,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095477002,,24387B,VERTEX,"VERTX PISTON 24387, 87,97MM",Pistón forjado VERTEX Replica,261.89,216.44,140.69,24387B,1,8409910090,0,1,VERTEX Forged Piston Ø87.97mm Standard Compression Beta RR390,VERTEX Forged Piston Ø87.97mm Standard Compression Beta RR390,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 87,970 mm",799,324,110,110,66,Aluminio,Estándar,,,,,,,,,4T,,B,https://api.mybihr.com/medias/1095477002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhRE5sTDJnd015ODRPVGd5TnpBMk1qa3dOekU0THpFd09UVTBOemN3TURJdE1WODRNREJYZURnd01FZ3w3M2VkMjNlODMxZTAwODAzZjQzZWRlM2I1ZjgxMTE1NTZkZmUwYWM3ZmQ4NzRhYzZmNzY0YjJiZTdiZThjMzk0,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095478002,,24388B,VERTEX,"VERTX PISTON 24388, 94,97MM",Pistón forjado VERTEX Replica,286.44,236.73,153.87,24388B,1,8409910090,0,1,VERTEX Forged Piston Ø94.97mm Standard Compression Beta RR430,VERTEX Forged Piston Ø94.97mm Standard Compression Beta RR430,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 94,970 mm",1391,381,123,119,95,Aluminio,Estándar,,,,,,,,,4T,,B,https://api.mybihr.com/medias/1095478002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhR1ZrTDJnME5DODRPVFF5TlRZeU16RXlNakl5THpFd09UVTBOemd3TURJdE1WODRNREJYZURnd01FZ3wyMWY3OTI4MDk0MGNjMjlmYjJlMjdjODhiZmRlMzNkZmQwNmEzYmY3ZjM5MDAxN2Q5YmM1ZmRmZTgyYjgxMTM5,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095478001,,24388A,VERTEX,"VERTX PISTON 24388, 94,96MM",Pistón forjado VERTEX Replica,286.44,236.73,153.87,24388A,2,8409910090,0,1,VERTEX Forged Piston Ø94.96mm Standard Compression Beta RR430,VERTEX Forged Piston Ø94.96mm Standard Compression Beta RR430,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 94,960 mm",1447,383,122,121,98,Aluminio,Estándar,,,,,,,,,4T,,A,https://api.mybihr.com/medias/1095478001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhR05qTDJneE1DODRPVGd5TnpBMk5qZ3pPVE0wTHpFd09UVTBOemd3TURFdE1WODRNREJYZURnd01FZ3w5MzI0ZWQ3YzNiMTkzYjEzOTVmNDRlYjYzZjY0MmY5YzY1NjkwZDVmYzEyOTU3ZjFkYmUwNTZhMGJkNmYxNzJm,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095485004,,24427D,VERTEX,"VERTX PISTON 24427, 53,97MM",Pistón fundición VERTEX,163.47,135.10,87.82,24427D,0,8409910090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs6FE56D2{text-align:left;margin:0pt 0pt 0pt 36pt;}.csC5E62B0B{color:#F00;background-color:transparent;font-weight:bold;font-style:normal;text-decoration:underline;}</style> </head> <body> <p>Vertex pistons are worldwilde known for their performances and long life reliability. Manufacturing high quality engine parts for off-road bikes, the brand is the OEM standard for many makes and used by many MXGP teams.</p><p> </p><ul> <li>High precision single ring forged piston</li><li>High quality raw materials</li><li>Vertex patented manufacturing process</li></ul> <p> </p><p>Attention : Piston designed for tuned cylinder heads, dont use with OEM !</p><p> </p></body> </html>","       Vertex pistons are worldwilde known for their performances and long life reliability. Manufacturing high quality engine parts for off-road bikes, the brand is the OEM standard for many makes and used by many MXGP teams.  High precision single ring forged pistonHigh quality raw materialsVertex patented manufacturing process  Attention : Piston designed for tuned cylinder heads, dont use with OEM !  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 53,970 mm",283,177,84,58,58,Aluminio,Estándar,,,,1,,,,,2T,,D,https://api.mybihr.com/medias/1095485004-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhREExTDJneU5TODRPVFEzTmpRNE5UWXhNVGd5THpFd09UVTBPRFV3TURRdE1WODRNREJYZURnd01FZ3xkMzgzNDZlNzU5YmZkNmJlYzViYjc2N2M3ZjYxMDdlNzBmYWIyNWQ1OWIyN2Y4MDJlMjY2NTY3NDFiYmQzNDUz,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
1095485002,,24427B,VERTEX,"VERTX PISTON 24427, 53,95MM",Pistón fundición VERTEX,163.47,135.10,87.82,24427B,3,8409910090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs6FE56D2{text-align:left;margin:0pt 0pt 0pt 36pt;}.csC5E62B0B{color:#F00;background-color:transparent;font-weight:bold;font-style:normal;text-decoration:underline;}</style> </head> <body> <p>Vertex pistons are worldwilde known for their performances and long life reliability. Manufacturing high quality engine parts for off-road bikes, the brand is the OEM standard for many makes and used by many MXGP teams.</p><p> </p><ul> <li>High precision single ring forged piston</li><li>High quality raw materials</li><li>Vertex patented manufacturing process</li></ul> <p> </p><p>Attention : Piston designed for tuned cylinder heads, dont use with OEM !</p><p> </p></body> </html>","       Vertex pistons are worldwilde known for their performances and long life reliability. Manufacturing high quality engine parts for off-road bikes, the brand is the OEM standard for many makes and used by many MXGP teams.  High precision single ring forged pistonHigh quality raw materialsVertex patented manufacturing process  Attention : Piston designed for tuned cylinder heads, dont use with OEM !  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. TOP ENGINE,"Ø 53,950 mm",310,185,86,60,60,Aluminio,Estándar,,,,1,,,,,2T,,B,https://api.mybihr.com/medias/1095485002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA3OTV8aW1hZ2UvanBlZ3xhRGt5TDJoak1DODRPVFF5TlRZek9EZzFNRGcyTHpFd09UVTBPRFV3TURJdE1WODRNREJYZURnd01FZ3wwMDMyODBjOTJhMWRhMGI0Y2UwOGM1YmFjNWE4ZWViOTFiNTg5OWY3Y2IzYzcxOTdlNzdmYzFhNmFkZTUwZmVl,,,,,https://static.bihr.pro/eBihr/Pictures/VERTEX-pictures.zip,Spain Warehouse (Parts)
