PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Capacidad (ml/l),Diámetro Ø (mm),Homologación,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,Document3,Document4,DeliveryPlant
1052875,890507,24 110,PRESSOL,PRESS DRAIN PAN 6L,Bandeja de aceite negro PRESSOL 6L,10.51,8.69,5.65,4103810241109,9,3926909790,0,1,Drenaje de fluidos y aceites.,Drenaje de fluidos y aceites.,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,15988,393,362,365,121,,,,https://api.mybihr.com/medias/1052875-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTA3MjV8aW1hZ2UvanBlZ3xhRFl6TDJnMk5DODRPVFV6T1RNNU1EQXhNemMwTHpFd05USTROelV0TVY4NE1EQlhlRGd3TUVnfDk4ZjNmMDMzZGI4MGVjM2YxY2ZmNTM3MThkZGI1NjYwYWU3Mjc2NjU5Y2NlOWFkYWU4Yjc3ZGYxODQxZjZhZDM,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052849,893497,01 172,PRESSOL,PRESS FUNNEL FILT FOR 890505 / 890515,Filtro para embudo PRESSOL,4.20,3.47,2.78,1172,1,3926909790,0,1,Filtro adicional para embudos Pressol 890505 y 890515 ,Filtro adicional para embudos Pressol 890505 y 890515 ,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,75,5,68,65,17,,,,https://api.mybihr.com/medias/1052849-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzQ2MTQ2fGltYWdlL2pwZWd8YURFM0wyZ3daaTg0T1RVek9UTTROakE0TVRVNEx6RXdOVEk0TkRrdE1WODRNREJYZURnd01FZ3w5MTkwZTk1NThlNmU5N2NmNWU1Mjc1YmU1NjZjOWQ0NzFkYTM3NGQ4MjI0ZGU5MzVlZWZkZTc0YjllZTMyZDhj,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052865,890514,12 362,PRESSOL,PRESS GREASE PUMP GREASE 80ML,Bomba de grasa PRESSOL 80ml,19.05,15.74,12.59,4103810123627,2,8205598000,0,1,"Bomba de engrase de acero galvanizado, equipada con boquilla universal puntiaguda. 			Capacidad: 80 mlPresión máxima: 60 a 80 bar""""""""","Bomba de engrase de acero galvanizado, equipada con boquilla universal puntiaguda. 			Capacidad: 80 mlPresión máxima: 60 a 80 bar""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,314,320,155,45,45,,,,https://api.mybihr.com/medias/1052865-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzUyNjN8aW1hZ2UvanBlZ3xhRGRoTDJnMk1TODRPRGMwTkRrME16STRPRFl5THpFd05USTROalV0TVY4NE1EQlhlRGd3TUVnfDJmMGMwZDRlZGY1NTdmMGUzMjBjMjlkZTAxOTIwMjc0OWQwOTQxOWQwNzA4NDRjNTEyODY5MjJhNmJmNjdjZjU,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052868,893010,21 055,PRESSOL,PRESS JERRYCAN METAL,Garrafa de gasolina metálica PRESSOL - 10L,56.13,46.39,30.15,4103810210556,0,7310291000,0,1,"Bidón metálico para hidrocarburos. 			Interior lacado y cierre seguro. Homologación TÜV/UN		 Recambios: 			Manguera de salida (ref. 893011)Junta de estanqueidad (ref. 893015)""""""""","Bidón metálico para hidrocarburos. 			Interior lacado y cierre seguro. Homologación TÜV/UN		 Recambios: 			Manguera de salida (ref. 893011)Junta de estanqueidad (ref. 893015)""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,15030,2569,397,289,131,,,Homologación TüV,https://api.mybihr.com/medias/1052868-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAwNDB8aW1hZ2UvanBlZ3xhRGN4TDJnMU1pODRPVEV3TkRnNU16VTBNamN3THpFd05USTROamd0TVY4NE1EQlhlRGd3TUVnfGVlMWY1ZGI5MGJmNjQ1ZTEzZTY0MTY5NjIxY2RiZTFiZGNmZDcyZTBmYmU3OWUzZWRhYzVjNzJiMDcwNmQyMjI,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052870,89602004,21 089,PRESSOL,PRESS FLEXIBLE FOR 893358 & 89602001,Tubería flexible de plástico para bidón PRESSOL,8.58,7.09,4.61,4103810210891,1,3926909790,0,1,"<p>Manguera de salida para bidón de plástico ref. 1124539 y 1052874.</p>
<p><strong>Características técnicas:</strong></p>
<ul>
	<li>Longitud: 245 mm</li>
	<li>Diámetro exterior: 20 mm</li>
</ul>
","
Manguera de salida para bidón de plástico ref. 1124539 y 1052874.

Características técnicas:

	Longitud: 245 mm
	Diámetro exterior: 20 mm

",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,1963,99,299,101,65,,,,https://api.mybihr.com/medias/1052870-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzcwNzJ8aW1hZ2UvanBlZ3xhRFpqTDJoallpODRPVEkzTmpZNE9UWXhNekV3THpFd05USTROekF0TVY4NE1EQlhlRGd3TUVnfDUwZThmZWJiOTQ1NGIwYjJhODU0MDljOTc0YmYxMjhjOGRjYjMxMWUyMTBiYzg5MDU0NzExYjZmMjU3M2IxMDY,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052873,893012,21 137,PRESSOL,PRESS JERRICAN PETROL PROPYLENE 20L,Garrafa de gasolina PRESSOL - 20L,36.28,29.98,19.49,4103810211379,9,3923309000,0,1,"Bidón para hidrocarburos, con tubo de descarga flexible de 245 mm de longitud. 			Girando la tapa se puede colocar la boquilla en el bidón. Homologación UN/BAM.""""""""","Bidón para hidrocarburos, con tubo de descarga flexible de 245 mm de longitud. 			Girando la tapa se puede colocar la boquilla en el bidón. Homologación UN/BAM.""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,35675,1297,400,411,217,,,UN & BAM & Homologado,https://api.mybihr.com/medias/1052873-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjU4MjZ8aW1hZ2UvanBlZ3xhR05oTDJoalppODRPVEF5TXpRd01EVXdPVGMwTHpFd05USTROek10TVY4NE1EQlhlRGd3TUVnfDJiZWIwOTI4YjRlZDM3ZmQ5NmNkYzg4ZTYyNDRkZGIyYjcwOTlkNDZlYjA3NmZhODI3ZjJhZTkxN2JlMzM0MzA,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052877,89602005,88 117,PRESSOL,PRESS SEAL FOR PLASTIC JERRYCAN,Junta hermética de plástico para bidón PRESSOL,2.99,2.47,1.61,88117,2,8484100090,0,1,Junta hermética para bidones de plástico (ref. 893358 y 89602002).,Junta hermética para bidones de plástico (ref. 893358 y 89602002).,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,43,6,71,68,9,,,,https://api.mybihr.com/medias/1052877-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzE5MjB8aW1hZ2UvanBlZ3xhRFl6TDJnMlppODRPVEkzTmpZNU5UVXhNVE0wTHpFd05USTROemN0TVY4NE1EQlhlRGd3TUVnfDQ0NzY2YWQ0MGY0MjViMjhkYzE0MjMwZjFlMDM1ZTQ3NzhjNWJmNjdkYjg4NzM5MmFmMjRkMzA4MTA0NjI5ZWQ,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052879,890510,12 250 950,PRESSOL,PRESS GREASE PUMP WITH HOSE + 4 JAWS,Bomba de grasa tipo Pistola PRESSOL,44.13,36.47,29.18,4103810423246,4,8205598000,0,1,"Bomba de engrase, tipo pistola, sistema impermeable, cabezal de zinc y sistema de purga de aire por rotación. 			Se rellena con un cartucho de grasa (400 g) o con grasa a granel.Se entrega con manguera de alta presión (longitud: 300 mm""""""""","Bomba de engrase, tipo pistola, sistema impermeable, cabezal de zinc y sistema de purga de aire por rotación. 			Se rellena con un cartucho de grasa (400 g) o con grasa a granel.Se entrega con manguera de alta presión (longitud: 300 mm""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,5476,1454,405,169,80,,,,https://api.mybihr.com/medias/1052879-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgxNzd8aW1hZ2UvanBlZ3xhR0ZoTDJnMVlTODRPRGMwTkRrME5USTFORGN3THpFd05USTROemt0TVY4NE1EQlhlRGd3TUVnfDMzODk5NzNlYTcxOTQxOWU5YTFlZjlhYWFiOGE0MDlhMzI2ZDNhNmIzMThlZmVhZTc4MzQ1M2M5YTFjYjgxODc,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052881,893011,21 080 001,PRESSOL,PRESS FLEXIBLE FOR JERRYCAN FUEL,Tubo flexible de acero para garrafa de gasolina metálica PRESSOL,22.63,18.70,12.16,4103810210808,0,7326909890,0,1,Manguera para bidones de chapa metálica 893010 (10 l) y 893013 (20 l)Se necesita junta de estanqueidad (893015),Manguera para bidones de chapa metálica 893010 (10 l) y 893013 (20 l)Se necesita junta de estanqueidad (893015),TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,955,238,248,70,55,,,,https://api.mybihr.com/medias/1052881-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTg4Njl8aW1hZ2UvanBlZ3xhR0pqTDJnM05pODRPVEkwT1RVNU1qYzNNRGcyTHpFd05USTRPREV0TVY4NE1EQlhlRGd3TUVnfGVkZTJlMTgxNTAwZjk1NDAyNzIxNDc5MWYzYjY1NTlmNzczMTJhYWY2NTA2NTY2MDY1M2JkNWZhMjQzNjJlMDE,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
1052864,893006,12 332,PRESSOL,PRESS GREASE PUMP GREASE 150 ML,Bomba de grasa PRESSOL 150ml,13.72,11.34,9.07,4103810123320,0,3926909790,0,1,"Bomba de engrase de plástico, equipada con boquilla universal. 			Capacidad: 150 mlPresión máxima de suministro: 20 bar""""""""","Bomba de engrase de plástico, equipada con boquilla universal. 			Capacidad: 150 mlPresión máxima de suministro: 20 bar""""""""",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,416,90,157,53,50,,,,https://api.mybihr.com/medias/1052864-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgyODB8aW1hZ2UvanBlZ3xhR0V3TDJnMFlpODRPVEV3TkRnNU1UVTNOall5THpFd05USTROalF0TVY4NE1EQlhlRGd3TUVnfDk5MTBiM2Y4OGE0ZmM4NmMzYmM3YjVhZGE2ZTMxY2RiYTNjMGNhYmU1Zjg1MGMwYmJkMmM0ODkzY2IzMzIzMzE,,,,https://static.bihr.pro/eBihr/Pictures/PRESSOL-pictures.zip,,,,,Spain Warehouse (Parts)
