PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,AllPicturesZIP,DeliveryPlant
1050279,34934,2401100,AIRCRAFT,AIRCF SPARE PARTS,"Juego de Llaves de Impacto """"1\2""""",126.99,104.95,68.22,9006248001008,1,8424200000,0,1,"<p align=left>Llave de impacto de alta calidad con mecanismo de impacto. Alargadera y engrasador en línea. Incluidas diez llaves: 9, 10, 11, 13, 14, 17, 19, 22, 24, 27 mm. <br><br></p><p align=left><strong>Consumo de aire:</strong> &nbsp;6 ltr/seg.<br><strong>Par de giro aprox.:</strong>&nbsp; 320 Nm.<br><strong>Presión efectiva:&nbsp;</strong> 6 bares.<br><strong>Peso:</strong>&nbsp; 2,2 kg.</p>","
Llave de impacto de alta calidad con mecanismo de impacto. Alargadera y engrasador en línea. Incluidas diez llaves: 9, 10, 11, 13, 14, 17, 19, 22, 24, 27 mm. 
Consumo de aire:  6 ltr/seg.Par de giro aprox.:  320 Nm.Presión efectiva:  6 bares.Peso:  2,2 kg.",TOOLING & WS,WS,WS. COMPRESSED AIR,10920,4310,260,420,100,https://api.mybihr.com/medias/1050279-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTc4NzB8aW1hZ2UvanBlZ3xhRFJrTDJnd1pDOHhOVFF5TmpBMk5qWXhNakkxTkM4eE1EVXdNamM1TFRGZk9EQXdWM2c0TURCSXxmMWVjZWNiMzhlNDM5ZjZmZGE3OWU3YThiZjVhMjI3YzdiNGNjZDc4Yzc0N2UwM2I4NDAyMzA5NDQ0MjM3YzVh,https://static.bihr.pro/eBihr/Pictures/AIRCRAFT-pictures.zip,Spain Warehouse (Parts)
1050268,34920,2200203,AIRCRAFT,AIRCF SPARE PARTS,"Unión L 3/8""""",8.71,7.20,4.68,9006248005303,1,8204200000,0,1,<p>Unión “L” rosca AG macho. Rosca 3/8’’ AG.</p>,"
Unión “L” rosca AG macho. Rosca 3/8’’ AG.",TOOLING & WS,WS,WS. COMPRESSED AIR,60,44,60,50,20,https://api.mybihr.com/medias/1050268-1-800Wx800H?context=bWFzdGVyfHJvb3R8ODM5MDV8aW1hZ2UvanBlZ3xhRE5sTDJnMU9TOHhOVFF5TmpBMk1qSTROamczT0M4eE1EVXdNalk0TFRGZk9EQXdWM2c0TURCSXwxMjVmMGMzNWEzNTM5NWY0ZmI1ZGNlMGUxYzRjYjYxMjdiY2E1MzBmODkxMzg2MTFmY2U2YjQxMDFlY2RiOGVk,https://static.bihr.pro/eBihr/Pictures/AIRCRAFT-pictures.zip,Spain Warehouse (Parts)
1050265,34917,2200194,AIRCRAFT,AIRCF SPARE PARTS,"Derivación en T rosca macho 3/8""""",11.82,9.77,6.35,8430525349179,1,8714109090,0,1,<p>Derivación en “T” rosca macho. Rosca externa 3/8’’ AG.</p>,"
Derivación en “T” rosca macho. Rosca externa 3/8’’ AG.",TOOLING & WS,WS,WS. COMPRESSED AIR,280,56,40,350,20,https://api.mybihr.com/medias/1050265-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjEwNzd8aW1hZ2UvanBlZ3xhR1E0TDJneE5DOHhOVFF5TmpBMk1URXdOekl6TUM4eE1EVXdNalkxTFRGZk9EQXdWM2c0TURCSXxjMTdlMzdkMTU4ZjEyYTIyZjhmYWI1MGExYzNkM2EzZTI4ODE5YmFjYTM3NDQ1NzJiZDI0ZmMwMDIyNThkNjNh,https://static.bihr.pro/eBihr/Pictures/AIRCRAFT-pictures.zip,Spain Warehouse (Parts)
1050261,34912,2200085,AIRCRAFT,AIRCF SPARE PARTS,"Distribuidor Y 2 vías 3/8""""",31.51,26.04,16.93,8430525349124,1,8714109090,0,1,<p>Rosca hembra 3/8”. Distribuidor en “Y” 2 vías.</p><p><br>&nbsp;</p>,"
Rosca hembra 3/8”. Distribuidor en “Y” 2 vías.
 ",TOOLING & WS,WS,WS. COMPRESSED AIR,192,242,80,80,30,https://api.mybihr.com/medias/1050261-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ4Njl8aW1hZ2UvanBlZ3xhR014TDJnM055OHhOVFF5TmpBMU9UVXpORE0yTmk4eE1EVXdNall4TFRGZk9EQXdWM2c0TURCSXxjMzdhNTE2MDZmNDgxZWQzNzY3ZjNkYjc3NTAyZWJhYzZmNWQ0OTgwZWE2ZjNlMjUwZmU0ZmY1OGEzNjI4Yjgx,https://static.bihr.pro/eBihr/Pictures/AIRCRAFT-pictures.zip,Spain Warehouse (Parts)
1050285,34941,2403290,AIRCRAFT,AIRCF SPARE PARTS,"Pulidora neumática modelo PS 7""""",270.00,223.14,178.51,8430525349414,1,8466103800,0,1,"<p align=left>Pulidora 7”. Pulidora de gran ángulo con cabeza especialmente plana. Empuñadura adicional para personas zurdas y diestras.&nbsp;Tamaño de plato con disco de velcro Ø 7” (180 mm). Tamaño del husillo 5/8” – 11 UNC. Superficie: ¼”. Ø de la manguera 3/8”. Se suministra con racord de ¼”. </p><p align=left>&nbsp;</p><p align=left><strong>Largo:</strong>&nbsp; 330 mm.</p><p align=left><strong>Presión efectiva máx.:</strong> &nbsp;6,3 bares.</p><p align=left><strong>Peso:</strong>&nbsp; 2,2 kg.</p>","
Pulidora 7”. Pulidora de gran ángulo con cabeza especialmente plana. Empuñadura adicional para personas zurdas y diestras. Tamaño de plato con disco de velcro Ø 7” (180 mm). Tamaño del husillo 5/8” – 11 UNC. Superficie: ¼”. Ø de la manguera 3/8”. Se suministra con racord de ¼”. 
 
Largo:  330 mm.
Presión efectiva máx.:  6,3 bares.
Peso:  2,2 kg.",TOOLING & WS,WS,WS. COMPRESSED AIR,3036,2810,230,120,110,https://api.mybihr.com/medias/1050285-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDAwMTB8aW1hZ2UvanBlZ3xhR05pTDJobFlpOHhOVFF5TmpBMk9EazNNVFUxTUM4eE1EVXdNamcxTFRGZk9EQXdWM2c0TURCSXw3OWViNDc5OTNjZTdjZjhkZDI3ZmRkNzE1Nzg5ZjY1Yjk4MDMwZjM4MmVjNWU2ODc2MThkMjg5ZmFkODg4MzI0,https://static.bihr.pro/eBihr/Pictures/AIRCRAFT-pictures.zip,Spain Warehouse (Parts)
