PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Uso recomendado,Picture1,AllPicturesZIP,DeliveryPlant
1101268,286,UP2,SATORI,SATOR HANDLEBAR STEM. ALLEN. BLACK,Elevador de potencia SATORI bicicleta Aluminio Negro,27.50,22.73,9.99,8430525103863,1017,8714999089,0,1,"<p>Elevador de potencia SATORI. Aluminio forjado 3D, 7075-T73. Color negro mate.<br>
Ajuste r&aacute;pido. 5 Anillos. Direcci&oacute;n: &Oslash;28,6 mm. Altura: 130 mm. Peso: 253 gr.</p>","
Elevador de potencia SATORI. Aluminio forjado 3D, 7075-T73. Color negro mate.
Ajuste rápido. 5 Anillos. Dirección: Ø28,6 mm. Altura: 130 mm. Peso: 253 gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,434,240,178,61,40,Carretera & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/1101268-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTc1NjcxfGltYWdlL2pwZWd8YURkaUwyZ3pNQzg1TmpNeE5qZzNPVFkyTnpVd0x6RXhNREV5TmpndE1WODRNREJYZURnd01FZ3xhMDc1M2ZjMDM0NzkyYmQ5ZTA5YTg5MGQ4MDQ0MzdiNTYzY2FiYjYyYmNlOGMwZTU0NzM1YTNkOGQ3Njg0ZGI0,https://static.bihr.pro/eBihr/Pictures/SATORI-pictures.zip,Spain Warehouse (Parts)
1104365,851,UP2-ET,SATORI,SATOR HANDLEBAR STEM RISER ALU BLACK,Elevador de potencia. Aluminio forjado. Negro.,42.50,35.12,8.99,8430525117563,84,8714999040,0,1,"Elevador de potencia SATORI<br>Ajuste r�pido. 5 Anillos. Negro Mate. 3-D Forged 7075 T73 Alloy. Direcci�n: �28,6 mm. Altura: 130 mm. Peso: 253 gr.","Elevador de potencia SATORIAjuste r�pido. 5 Anillos. Negro Mate. 3-D Forged 7075 T73 Alloy. Direcci�n: �28,6 mm. Altura: 130 mm. Peso: 253 gr.",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,1631,306,136,179,67,Carretera & Ciclocross & Ciudad & E-Bike & Gravel & Infantil & MTB & Trekking/Touring,https://api.mybihr.com/medias/800Wx800H-1104365-1.jpg?context=bWFzdGVyfHJvb3R8MTE2OTExfGltYWdlL2pwZWd8YURZNEwyaGlZaTh6TkRRek16WTJPVEEzTURnM09DODRNREJYZURnd01FaGZNVEV3TkRNMk5TMHhMbXB3Wnd8NWY5MWE4ZDJkMDNkNmM5OTE3MTFlMmU4MDQ5NzBkMzA5NGM4MGRiN2JhODliZTNkNDc3YzY4NzlkZjA5ZDRiYg,https://static.bihr.pro/eBihr/Pictures/SATORI-pictures.zip,Spain Warehouse (Parts)
