PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura de llanta,Color de llanta,Diámetro de la llanta,Posición,Picture1,AllPicturesZIP,DeliveryPlant
1076851001,,GEK422,EXCEL,"EXCEL RIM RR 19X2,15X36T, BLK","Llanta trasera EXCEL - 19x2,15x36T",228.62,188.94,132.26,681319608240,3,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,21632,1910,520,520,80,,,,Trasero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076849003,,GEG410,EXCEL,"EXCEL RIM RR 19X2,15X36T, GLD","EXCEL MX Rear rim - 19x2,15x36T",232.93,192.50,134.75,681319604488,0,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Dorado,21632,1910,520,520,80,,,,Trasero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076850001,775733,GEK411,EXCEL,"EXCEL RIM RR 19X2,15X32T, BLK","Llanta trasera EXCEL 19x2,15x32T negra",232.93,192.50,134.75,6813196044956,2,8714921000,0,1,"<p>Llanta Excel®, para un uso competitivo fiable y de alto rendimiento. Una referencia en el GP.</p><p> </p><ul>  <li>Llanta Excel® de aluminio de serie 7000, fabricada en Japón   <li>Disponible en una amplia gama de colores</li></ul>","
Llanta Excel®, para un uso competitivo fiable y de alto rendimiento. Una referencia en el GP.
   Llanta Excel® de aluminio de serie 7000, fabricada en Japón   Disponible en una amplia gama de colores",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,21632,1910,520,520,80,,,,Trasero,https://api.mybihr.com/medias/800Wx800H-1076850001-1.jpg?context=bWFzdGVyfHJvb3R8MjczMzR8aW1hZ2UvanBlZ3xhRFV5TDJneVlTOHpNekV6TXpBd01UVTNNak00TWk4NE1EQlhlRGd3TUVoZk1UQTNOamcxTURBd01TMHhMbXB3Wnd8N2NlNjgzYTEzZDE1MTJmOTY5YmM1ZjZhZDc1NmIxYzljYjU5ZGM3MTQ0MDkyNDhlYTI3YTM4YzQxOTFhMWYzYQ,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076857005,,ICA408,EXCEL,"EXCEL RIM FR 21X1,60X36T, YEL","Llanta delantera EXCEL - 21x1,60x36T",192.11,158.77,111.14,776971,4,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Amarillo,28800,1760,600,600,80,,,,Delantero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076857003,,ICS408,EXCEL,"EXCEL RIM FR 21X1,60X36T, SIL","EXCEL MX Front rim - 21x1,60x36T",166.35,137.48,96.24,681319604563,1,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Plata,28800,1760,600,600,80,,,,Delantero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076857001,,ICK408,EXCEL,"EXCEL RIM FR 21X1,60X36T, BLK","EXCEL MX Front rim - 21x1,60x36T",192.11,158.77,111.14,681319604556,11,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,36986,2336,631,617,95,,,,Delantero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076857002,,ICB408,EXCEL,"EXCEL RIM FR 21X1,60X36T, BLU","EXCEL MX Front rim - 21x1,60x36T",192.11,158.77,111.14,7757365,1,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Azul,36986,2336,631,617,95,,,,Delantero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076830001,,FEK411,EXCEL,"EXCEL RIM RR 18X2,15X32T, BLK","EXCEL MX Rear rim - 18x2,15x32T",221.82,183.32,128.32,681319604334,0,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,27855,2476,545,538,95,,,,Trasero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1076833003,,FEK422,EXCEL,"EXCEL RIM RR 18X2,15X36T, BLK","Llanta trasera EXCEL - 18x2,15x36T",213.61,176.54,123.58,681319606772,0,8714921000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.</p><p> </p><ul> <li>Japan made Excel Rim in series 700 aluminium</li><li>Many color combinations available</li></ul> <p> </p></body> </html>","       Excel® Rim ensuring a reliable and competitive use. Renowned in the GP.  Japan made Excel Rim in series 700 aluminiumMany color combinations available   ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,Negro,21632,1810,520,520,80,,,,Trasero,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
1037031,94239,3 1825036A/3,EXCEL,EXCEL RIM 3 1825036A/3,"Aro de llanta Excel negro 18-2,50 3 1825036A/3",204.01,168.60,118.02,8430525942394,0,8714999089,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,,26422,2614,546,526,92,,,,,,https://static.bihr.pro/eBihr/Pictures/EXCEL-pictures.zip,Spain Warehouse (Parts)
