PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Voltaje,Picture1,AllPicturesZIP,DeliveryPlant
1050225,893211,4116007352,ABAC,ABAC COMPRESSOR SILENT 3CV /200L/230V,Compresor Silencioso ABAC  3cv/200L,2565.20,2120.00,1696.00,4116007352,0,8414802290,0,0,"<p>Compresor de pistón insonorizado con transmisión por correa.</p>
<p>Este compresor está diseñado para reducir los niveles de ruido y facilitar su manejo. Gracias a su carcasa insonorizada que reduce las emisiones de ruido, los operarios pueden trabajar con mayor comodidad y en condiciones ideales de protección y seguridad.</p>
<p><strong>Características técnicas:</strong></p>
<ul>
	<li>Una etapa, dos cilindros de fundición, transmisión por correa</li>
	<li>La gama Silent: compresores con cubiertas insonorizantes</li>
	<li>Reducen significativamente las emisiones de ruido</li>
	<li>Volumen generado 23,6m3/h</li>
	<li>Presión de aire: 10 bares</li>
	<li>Potencia del motor: 3CV / 2,2KW</li>
	<li>Alimentación eléctrica: 230V monofásico / 50Hz</li>
	<li>Capacidad del depósito: 200L</li>
	<li>Velocidad de giro 1050tr1050 rpm</li>
	<li>Nivel de ruido: 71dB (A)</li>
	<li>Dimensiones L x A x A (mm) 1500 x 470 x 1190</li>
	<li>Peso: 94 kg</li>
</ul>

<p><strong>Precaución:</strong></p>

<p>Para proteger tu sistema neumático, te recomendamos encarecidamente que utilices un sistema de tratamiento del aire (ref. 1125388) y una purga automática de condensadores (ref. 1125389)</p>","
Compresor de pistón insonorizado con transmisión por correa.

Este compresor está diseñado para reducir los niveles de ruido y facilitar su manejo. Gracias a su carcasa insonorizada que reduce las emisiones de ruido, los operarios pueden trabajar con mayor comodidad y en condiciones ideales de protección y seguridad.

Características técnicas:

	Una etapa, dos cilindros de fundición, transmisión por correa
	La gama Silent: compresores con cubiertas insonorizantes
	Reducen significativamente las emisiones de ruido
	Volumen generado 23,6m3/h
	Presión de aire: 10 bares
	Potencia del motor: 3CV / 2,2KW
	Alimentación eléctrica: 230V monofásico / 50Hz
	Capacidad del depósito: 200L
	Velocidad de giro 1050tr1050 rpm
	Nivel de ruido: 71dB (A)
	Dimensiones L x A x A (mm) 1500 x 470 x 1190
	Peso: 94 kg



Precaución:


Para proteger tu sistema neumático, te recomendamos encarecidamente que utilices un sistema de tratamiento del aire (ref. 1125388) y una purga automática de condensadores (ref. 1125389)",TOOLING & WS,WS,WS. COMPRESSED AIR,1087560,120000,1590,1140,600,230 V/Monofásico,https://api.mybihr.com/medias/1050225-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDk2NDl8aW1hZ2UvanBlZ3xhREJrTDJnMlppODRPVEkwT0Rjek1UTXdNREUwTHpFd05UQXlNalV0TVY4NE1EQlhlRGd3TUVnfGYyN2JiMjA5NTVmMDNjNzJhNDU3OGEzMDBhZGRiZjkxOWQ4YWQ3ODE2YTY2MGYxNWQ0MWJkMTU0YWJkOWU4YmM,https://static.bihr.pro/eBihr/Pictures/ABAC-pictures.zip,Spain Warehouse (Parts)
1125389,,8000111205,ABAC,ABAC PURGE ELECTRIC 230V MONO,Sistema automático capacitivo de purga de condensados ABAC para compresores de aire,338.80,280.00,224.00,8000111205,2,8414802290,0,1,<p>Este purgador automático capacitivo inteligente es extremadamente práctico: recupera la condensación creada por el compresor de aire y la expulsa cuando es necesario.</p>,"
Este purgador automático capacitivo inteligente es extremadamente práctico: recupera la condensación creada por el compresor de aire y la expulsa cuando es necesario.",TOOLING & WS,WS,WS. COMPRESSED AIR,1135,488,134,121,70,,,https://static.bihr.pro/eBihr/Pictures/ABAC-pictures.zip,France Warehouse (Parts)
1127065,,2813920026,ABAC,ABAC FILTER REGULATOR LUBRICATOR,"Sistema filtrante completo ABAC Airnet 1/4""",241.99,199.99,159.99,8024900708981,0,8421392590,0,1,"<ul>
<li>Con bot&oacute;n de ajuste bloqueable</li>
<li>Rango de regulaci&oacute;n 0-12 bar</li>
<li>Incluye de serie: man&oacute;metro y elemento filtrante de 20 &micro;m</li>
<li>Sistema de mantenimiento totalmente equipado compuesto por reductor de presi&oacute;n del filtro y engrasador de neblina (unidad de filtro de 2 v&iacute;as)</li>
<li>Regulador de presi&oacute;n con pist&oacute;n para una alta fiabilidad operativa</li>
<li>Caudal (l/min): 700</li>
<li>Rosca de conexi&oacute;n:&nbsp;G 1/4""i&nbsp;</li>
<li>Dimensiones (AnxPrxAl):&nbsp;84x42x190</li>
</ul>","
Con botón de ajuste bloqueable
Rango de regulación 0-12 bar
Incluye de serie: manómetro y elemento filtrante de 20 µm
Sistema de mantenimiento totalmente equipado compuesto por reductor de presión del filtro y engrasador de neblina (unidad de filtro de 2 vías)
Regulador de presión con pistón para una alta fiabilidad operativa
Caudal (l/min): 700
Rosca de conexión: G 1/4""i 
Dimensiones (AnxPrxAl): 84x42x190
",TOOLING & WS,WS,WS. COMPRESSED AIR,1788,811,229,142,55,,https://api.mybihr.com/medias/800Wx800H-1127065-1.png?context=bWFzdGVyfHJvb3R8MTk3NzIyfGltYWdlL3BuZ3xhRE00TDJoall5ODJOakV6TkRVd01qZzJOamszTkM4NE1EQlhlRGd3TUVoZk1URXlOekEyTlMweExuQnVad3xkZGQ1NmQwZDRmNzg2MzI2ZGRjM2QxMDIzZjYzYmVmNDJhYjAzZGJkNjFlYWEzYTU2YTRjMDgzNGZhYzNkODQy,https://static.bihr.pro/eBihr/Pictures/ABAC-pictures.zip,Spain Warehouse (Parts)
1149648,,2901324950,ABAC,ABAC KIT OIL LEVEL B4900 FOR DEVILBISS,Kit nivel de aceite ABAC B4900 para DEVILBISS,128.26,106.00,84.80,,0,8467190000,0,1,<p>Recambio ABAC</p>,"
Recambio ABAC",TOOLING & WS,WS,WS. COMPRESSED AIR,222,23,86,86,30,,,https://static.bihr.pro/eBihr/Pictures/ABAC-pictures.zip,Spain Warehouse (Parts)
