PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,AllPicturesZIP,DeliveryPlant
1012590,43363,J0000DC000127,ARTEIN,ARTEI GASKET COMPLETE SET,"Kit completo juntas de motor Artein J0000DC000127 Ducati 50 TT, 100 PRONTO",32.45,26.82,16.09,8434579000369,4,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1436,62,216,350,19,https://api.mybihr.com/medias/1012590-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhRFprTDJnd05pOHhOVFF5TURReU5qVXhPRFUxT0M4eE1ERXlOVGt3TFRGZk9EQXdWM2c0TURCSXwwODIzNGEyODRiNDBlYjc2N2NlMWVlNzYyZDhlMjI4Y2Q0YTA5ZDU5MDRkNjRmYzNhZTBjNzliMDk1MWJjZWRj,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012877,43523,K0000PT0K0492,ARTEIN,ARTEI GASKET CYLINDER SET,"Kit juntas de cilindro Artein K0000PT0K0492 Peugeot LUDIX 50 (CLASSIC, ELEGANCE, ONE, SNAKE, TREND)",8.24,6.81,4.09,8434579006163,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,110,14,110,100,10,https://api.mybihr.com/medias/1012877-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhRGhqTDJnMlppOHhOVFF5TVRBME5UTTNOVEF3Tmk4eE1ERXlPRGMzTFRGZk9EQXdWM2c0TURCSXxhMTI5NTU1Yzg5MTFkODM2Nzg0YjU0NmJiZjEzZTczNWUzM2U4YWEwZWQ3NDQ3YmI4N2Q1YzA5YTE1ODljNGZh,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012830,43480,K0000DB2K0417,ARTEIN,ARTEI GASKET CYLINDER SET,Kit juntas de cilindro Artein K0000DB2K0417 Derbi VARIANT START 5 REVOLUTION (desde 1.998) T75cc,11.50,9.50,5.70,8434579007313,0,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,187,20,107,103,17,https://api.mybihr.com/medias/1012830-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhRGc0TDJobFpTOHhOVFF5TURZNE1UTXlNalV5Tmk4eE1ERXlPRE13TFRGZk9EQXdWM2c0TURCSXwwYjYzMTU5YTYyZTViZTViYmJiNWIyOWEwYmU5YmNjOWE5YWMyYjM0NTkzZGIwZTRkOGNkOTc4NDM5YTYwMzE2,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012871,43517,K0000PT0K0331,ARTEIN,ARTEI GASKET CYLINDER SET,Kit juntas de cilindro Artein K0000PT0K0331 Peugeot FOX 50,7.21,5.96,3.58,8434579005210,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,156,16,112,116,12,https://api.mybihr.com/medias/1012871-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhR1l5TDJnMlpTOHhOVFF5TVRBME16QXhOVGN4TUM4eE1ERXlPRGN4TFRGZk9EQXdWM2c0TURCSXwyZjY0M2I3OGY0Y2YwMjQ0ZWUzZjcxODY3MWNkMjNmMzFkZWQ1YTUxMGRiMjU0MTQyZmE2YzY5ZDc2MGE5OGIx,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012493,43619,P02G000002493,ARTEIN,ARTEI GASKET BASE,Junta base cilindro ARTEIN - Minarelli AM6,2.07,1.71,1.03,8434579019255,0,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,84,4,96,87,10,https://api.mybihr.com/medias/1012493-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhRFEyTDJobE15OHhOVFF5TURNNU1qZzVPRFU1TUM4eE1ERXlORGt6TFRGZk9EQXdWM2c0TURCSXwyNmNlOTUzMTg4NTVmZTIxZGUzYmUxZTY4ZmI3OTk1NzM1NGI0NjZiYTJmODc1ZDIwNGYwZTk4OWI4ODg4NDEw,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012869,43515,K0000PG0K0696,ARTEIN,ARTEI GASKET CYLINDER SET,"Kit juntas de cilindro Artein K0000PG0K0696 Piaggio HEXAGON GTX 180 (>00), X9 AMALFI 180 4T (00-03)",55.62,45.97,27.58,8434579006460,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,345,84,230,150,10,https://api.mybihr.com/medias/1012869-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhR05pTDJoa01TOHhOVFF5TVRBME1qSXlPVEkzT0M4eE1ERXlPRFk1TFRGZk9EQXdWM2c0TURCSXw3YzhjNjY3NWY2YzE0MWQzY2UzNDNmMTliZjVkZWM1MjhhZjNlZjU1OTFmYTIzODcxYWI4NDI1OWZiYjBjNDMw,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012801,37533,K0000KM0K0710,ARTEIN,ARTEI GASKET CYLINDER SET,Kit juntas de cilindro Artein Agility 200,58.72,48.53,29.12,8434579006590,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,337,38,145,211,11,https://api.mybihr.com/medias/1012801-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhREZtTDJnNE55OHhOVFF5TURZMk1UVXpNRFkxTkM4eE1ERXlPREF4TFRGZk9EQXdWM2c0TURCSXxjODQxNGEyMDZhMjkwM2EwY2MyMWRlM2QwYWUyMDU5YjEwYTc1Yzk2YmUxYmZmNzAwZjY1YTI1M2I0NWM4ZDc2,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012787,37478,J0000PG000706,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein Scarabeo 200/250 (06-08),112.28,92.79,55.67,8434579003827,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1531,144,212,344,21,https://api.mybihr.com/medias/1012787-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0OTB8aW1hZ2UvanBlZ3xhRFJoTDJnMVpTOHhOVFF5TURZMU5UazJNREE1TkM4eE1ERXlOemczTFRGZk9EQXdWM2c0TURCSXw0YjIxMTIxMDE5NDJiMmUxYmY3NmU3YmFiZTkwM2Q3MzUyZjUwZmVlNzJlOGU5ZTgyNTFkODY0Mjc4YTE5Mzg4,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012565,43344,J0000BN000233,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000BN000233 Benelli 500 cc (4 cilindros),120.52,99.60,59.76,8434579001281,1,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1335,174,250,356,15,https://api.mybihr.com/medias/1012565-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhR1ExTDJnd09DOHhOVFF5TURVMU56a3hPREl6T0M4eE1ERXlOVFkxTFRGZk9EQXdWM2c0TURCSXxmMzEzZTA3N2Q1ZmYzZmFmZGVmOWRmZGExZDJhODBiNjk1ZmNhZTMzYjhiZTg0NDlhYTQ3ZDQ3YjA4OWE3MDdi,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
1012729,43448,J0000SG000190,ARTEIN,ARTEI GASKET COMPLETE SET,Kit completo juntas de motor Artein J0000SG000190 Sanglas 400 cc Bicilíndrica,71.60,59.17,35.50,8434579000956,2,8484900090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1031,144,249,345,12,https://api.mybihr.com/medias/1012729-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njk5OTd8aW1hZ2UvanBlZ3xhR1l3TDJneE5DOHhOVFF5TURZeU5UZ3hNelV6TkM4eE1ERXlOekk1TFRGZk9EQXdWM2c0TURCSXwyYTlmZTM1YjZjNjhhNjU0Yjc3NjNlZjU3MzJmZGQ0Yzc0MDIyNzMwMThjYTY1YTdlYmE0MGVlYWRiZDNmMGRm,https://static.bihr.pro/eBihr/Pictures/ARTEIN-pictures.zip,Spain Warehouse (Parts)
