PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Picture1,Picture2,AllPicturesZIP,DeliveryPlant
1085750004,54629,LHX660ROE,PRO BOLT,"PROBO NUT RACE SPEC, ORG",Tornillo Aluminio Race Spec Pro-Bolt LHX660ROE Naranja,4.01,3.31,1.45,8430525546295,55,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Naranja,6,2,65,8,12,,https://api.mybihr.com/medias/800Wx800H-1085750004-1.jpg?context=bWFzdGVyfHJvb3R8MzQ4MjN8aW1hZ2UvanBlZ3xhREptTDJnM1pDOHpNekV6TkRBMU1qRXhORFEyTWk4NE1EQlhlRGd3TUVoZk1UQTROVGMxTURBd05DMHhMbXB3Wnd8ZGY1NmZjYTcyMjEzZWYwYjY0OWJlZTA2MjVkMWUyZmEzMjVhNGQ5YjJkMzIxYjU4MTY0MTgzNDM0ZmU2Yjg3NA,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085750007,54695,LHX660RSE,PRO BOLT,"PROBO NUT RACE SPEC, SIL",Tornillo Aluminio Race Spec Pro-Bolt LHX660RSE Plata,4.50,3.72,1.46,8430525546950,135,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Plata,6,6,65,8,11,,https://api.mybihr.com/medias/800Wx800H-1085750007-1.jpg?context=bWFzdGVyfHJvb3R8NTQzNTl8aW1hZ2UvanBlZ3xhRFEzTDJobFlpOHpNekV6TkRBMU16STVOREV4TUM4NE1EQlhlRGd3TUVoZk1UQTROVGMxTURBd055MHhMbXB3Wnd8NTJmZTk0ZjUxNDdlZWE2YjAwNTI5YTNiOWI1ODhlODhmNjNjMTg2ZWNkNjNmOTM5YjJlYjk2YmVmY2Q5OGM5Mg,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085750001,50844,LHX660RBE,PRO BOLT,"PROBO NUT RACE SPEC, BLU",Tornillo Aluminio Race Spec Pro-Bolt LHX660RBE Azul,4.50,3.72,1.44,8430525508446,34,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Azul,6,4,65,8,11,,https://api.mybihr.com/medias/800Wx800H-1085750001-1.jpg?context=bWFzdGVyfHJvb3R8NTk0ODZ8aW1hZ2UvanBlZ3xhR1V6TDJnellTOHpNekV6TkRBMU1Ea3pORGd4TkM4NE1EQlhlRGd3TUVoZk1UQTROVGMxTURBd01TMHhMbXB3Wnd8NTc3ODkyNTRiNDhiMzFlOTQwNjQwNTNjZDg2YWRiMWRiNjc0ZmYyODI1OTc0ZWVjMGZmNGFhYTZmNGMzNDQ0Mg,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085750002,54651,LHX660RBKE,PRO BOLT,"PROBO NUT RACE SPEC, BLK",Tornillo Aluminio Race Spec Pro-Bolt LHX660RBKE Negro,4.50,3.72,1.45,8430525546516,125,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,11,6,65,14,12,,https://api.mybihr.com/medias/800Wx800H-1085750002-1.jpg?context=bWFzdGVyfHJvb3R8NTQxODV8aW1hZ2UvanBlZ3xhRFUyTDJneFlTOHpNekV6TkRBMU1UTXlPREF6TUM4NE1EQlhlRGd3TUVoZk1UQTROVGMxTURBd01pMHhMbXB3Wnd8NTZkNTUyMTZkMGNhZGVhNjEzOWU2Y2U1OThmZmFkZDA0Zjk1MDY5MDgzN2NjY2U1ZTZkMzQyYzhlYzZkMzUxOQ,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085753002,54653,LHX670RBKE,PRO BOLT,"PROBO NUT RACE SPEC, BLK",Tornillo Aluminio Race Spec Pro-Bolt LHX670RBKE Negro,5.00,4.13,1.65,8430525546530,188,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Negro,12,6,75,13,12,,https://api.mybihr.com/medias/800Wx800H-1085753002-1.jpg?context=bWFzdGVyfHJvb3R8NTQxODV8aW1hZ2UvanBlZ3xhRGRqTDJnell5OHpNekV6TkRBMU5qZ3pNekExTkM4NE1EQlhlRGd3TUVoZk1UQTROVGMxTXpBd01pMHhMbXB3Wnd8Zjg1NGZiM2EwNTQ2NWMzOWU5YzI1NTkzZWE0YzJiMzlkZDczYjFjMzJiZTJlN2VjMWJlYTM1YzY4MzFlZTNmYw,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085753006,54719,LHX670RRE,PRO BOLT,"PROBO NUT RACE SPEC, RED",Tornillo Aluminio Race Spec Pro-Bolt LHX670RRE Rojo,4.50,3.72,1.67,8430525547193,185,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Rojo,7,4,78,7,12,,https://api.mybihr.com/medias/800Wx800H-1085753006-1.jpg?context=bWFzdGVyfHJvb3R8NjMxMjV8aW1hZ2UvanBlZ3xhR1V6TDJobVpDOHpNekV6TkRBMU9EUXdOVGt4T0M4NE1EQlhlRGd3TUVoZk1UQTROVGMxTXpBd05pMHhMbXB3Wnd8YzEzYmE4NmM1MGY1N2QzY2Q2OTE0NzYwZTM1YWE0YzRlNTAxOGFiN2MzZDZkNzFlYmQ4YmFmMTkyMDU3Nzg3OQ,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085753004,54631,LHX670ROE,PRO BOLT,"PROBO NUT RACE SPEC, ORG",Tornillo Aluminio Race Spec Pro-Bolt LHX670ROE Naranja,4.50,3.72,1.66,8430525546318,86,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Naranja,7,4,75,8,12,,https://api.mybihr.com/medias/800Wx800H-1085753004-1.jpg?context=bWFzdGVyfHJvb3R8MzQzMzh8aW1hZ2UvanBlZ3xhRFF5TDJnNVppOHpNekV6TkRBMU56WXhPVFE0Tmk4NE1EQlhlRGd3TUVoZk1UQTROVGMxTXpBd05DMHhMbXB3Wnd8NWFhZDQ2NjY3M2JkNTUxZWVhMDRlOTEwNGJiODY4NTA4NWQwYmI1YjdmODVlODRmODY0MGM2MjgyYjRjNmRlMw,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085753007,54697,LHX670RSE,PRO BOLT,"PROBO NUT RACE SPEC, SIL",Tornillo Aluminio Race Spec Pro-Bolt LHX670RSE Plata,5.00,4.13,1.66,8430525546974,185,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Plata,6,4,74,7,12,,https://api.mybihr.com/medias/800Wx800H-1085753007-1.jpg?context=bWFzdGVyfHJvb3R8NTQzNTl8aW1hZ2UvanBlZ3xhR0UxTDJobU1pOHpNekV6TkRBMU9EYzVPVEV6TkM4NE1EQlhlRGd3TUVoZk1UQTROVGMxTXpBd055MHhMbXB3Wnd8MmI5YjJjZTIyY2ZhZGM3YmU0MjYxMWUxOWZiY2VmMDg2MGVjYmE5MmE2OGM2ZjllZmY4MzJiYTkxNDU1N2YzYQ,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085753005,54741,LHX670RPE,PRO BOLT,"PROBO NUT RACE SPEC, PPL",Tornillo Aluminio Race Spec Pro-Bolt LHX670RPE Violeta,4.50,3.72,1.60,8430525547414,47,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Púrpura,6,8,74,7,12,,https://api.mybihr.com/medias/800Wx800H-1085753005-1.jpg?context=bWFzdGVyfHJvb3R8NjczNjF8aW1hZ2UvanBlZ3xhRGhsTDJobU5DOHpNekV6TkRBMU9EQXhNamN3TWk4NE1EQlhlRGd3TUVoZk1UQTROVGMxTXpBd05TMHhMbXB3Wnd8NGYxYjRlODBkMGU4MTM5MTZkMGRmZGU0NGE0ZTdlMDZlNDE5NGQ5NjZhMjhhMTI4NWM4NzFkMWQzYjMxZDBiNg,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
1085753001,50846,LHX670RBE,PRO BOLT,"PROBO NUT RACE SPEC, BLU",Tornillo Aluminio Race Spec Pro-Bolt LHX670RBE Azul,5.00,4.13,1.64,8430525508460,97,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,Azul,7,4,75,8,12,,https://api.mybihr.com/medias/800Wx800H-1085753001-1.jpg?context=bWFzdGVyfHJvb3R8NTk0ODZ8aW1hZ2UvanBlZ3xhR1JpTDJneVpTOHpNekV6TkRBMU5qUXpPVGd6T0M4NE1EQlhlRGd3TUVoZk1UQTROVGMxTXpBd01TMHhMbXB3Wnd8YzM0ZjM5NGI4ODI4NTQyZGZiMTM4NmY4MjNkN2M3NDFjOWNhOGIxYTc2NWQ0ZThiMTNiMjIwMjZhOWMxZWM1OA,,https://static.bihr.pro/eBihr/Pictures/PRO_BOLT-pictures.zip,Spain Warehouse (Parts)
