PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,V-Posición,V-Tamaño,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Altura (cm),Altura (mm),Anchura (cm),Anchura (mm),Apertura (mm),Barra transversal,Bloqueo,Cantidad,Capacidad (Ah),Capacidad (ml/l),Capacidad de portaequipajes (L),Carga máxima (kg),Casquillo,Categoría ECE,Color,Color de la carcasa,Color del cristal,Componente de fijación,Composición,Compuesto del puño,Conexión eléctrica,Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro interior del manillar (mm),Diámetro Ø (mm),Elevación de manillar (mm),Embalaje,Eslabones de cadena,Espesor (mm),Fijación,Forma,Función de la luz,Gama,Homologación,Incluye intermitente,Longitud (cm),Longitud (mm),Montaje,Montaje de espejo retrovisor,Número de canal,Número de pines,Número de puntos,Peso (kg),Plegable,Posición,Rango de uso,Resistencia,Rosca (mm),Rosca de espejo,Rosca inferior,"Rosca superior ",Sentido de rosca,Tamaño de accionamiento cuadrado,Terminales,Tipo,Tipo de luz,Tipo de producto,Tipo de puño,Tipo de retrovisor,Tipo de soporte,Voltaje,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,AllPicturesZIP,Document1,Document2,Document3,Document4,DeliveryPlant
1051803,,L35-79720-B,BIHR,BIHR BEARING ATT Ø12MM,Extractor de rodamientos BIHR - Ø 12mm,27.83,23.00,17.25,56000014,1,8205598000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Spare part for complete set 890113</p></body> </html>","       Spare part for complete set 890113 ",TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,79,125,102,35,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051803-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE3NTM4fGltYWdlL2pwZWd8YURrMkwyZzVOQzg0T1RBeU1qZ3hPRFUxTURBMkx6RXdOVEU0TURNdE1WODRNREJYZURnd01FZ3wwMWMxMjM2YWM1Y2NkMDBmZmFiYTg0ZTJhZGZkMDAwZGEwMmE5N2FkMjUzMWRlMzc0NzZiYjA0NDlkMDg0NTJi,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1051809,,L35-79720-I,BIHR,BIHR BEARING ATT Ø10MM,Extractor de rodamientos BIHR - Ø 10mm,26.62,22.00,16.50,8901131,1,8205598000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Spare part for complete set 890113</p></body> </html>","       Spare part for complete set 890113 ",TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,79,125,102,35,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051809-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE3NTM4fGltYWdlL2pwZWd8YUdGa0wyZ3dZUzg0T1RVek9URXlOalUxT1RBeUx6RXdOVEU0TURrdE1WODRNREJYZURnd01FZ3wwYmIzOGRjNjc4MjRiZjRlN2IzYzE3ZDMwMGJmM2M3MTViMTg5MzIwODE0NTc3NDU2MDEwNWEyMWM5NzVkMmRj,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1051796,890658,L35-495,BIHR,BIHR WRENCH FOR SPARK PLUGS,Llave bujía plana con carraca BIHR 21mm,19.36,16.00,10.40,L35-495,12,8204110000,0,1,"Llave plana de bujía, de 21 mm, muy útil para los accesos difíciles.","Llave plana de bujía, de 21 mm, muy útil para los accesos difíciles.",TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,439,148,248,118,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051796-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI5NTl8aW1hZ2UvanBlZ3xhR1ZoTDJnNFlpODRPVE01TlRZM05EUTRNRGswTHpFd05URTNPVFl0TVY4NE1EQlhlRGd3TUVnfDlkZDI4NDUzZDg5Zjc1ZTU1NTY3OGI0NjA0YzlmZTg2YWY3ODczZDliYWEwYmM5MWQ5ODRlOGY5ZjNmMThiZDE,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1051804,,L35-79720-C,BIHR,BIHR BEARING ATT Ø15MM,Extractor de rodamientos BIHR - Ø 15mm,27.35,22.60,16.95,56000016,0,8205598000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Spare part for complete set 890113</p></body> </html>","       Spare part for complete set 890113 ",TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,79,125,102,35,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051804-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE3NTM4fGltYWdlL2pwZWd8YURGaUwyZzBOaTg0T1RBeU1qZ3lNRFV4TmpFMEx6RXdOVEU0TURRdE1WODRNREJYZURnd01FZ3w0OGUxM2RmNjFjNGRiNWI2YjJlZGVjMGRhNWM0YWIyMWQwZjc0YjY2NDMzZGU3ZDI1N2MxOGNjNzc0OTdkNGRm,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1051805,,L35-79720-D,BIHR,BIHR BEARING ATT Ø17MM,Extractor de rodamientos BIHR - Ø 17mm,26.62,22.00,16.50,8901132,1,8205598000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Spare part for complete set 890113</p></body> </html>","       Spare part for complete set 890113 ",TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,90,167,102,40,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051805-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTE3NTM4fGltYWdlL2pwZWd8YURWa0wyZ3paaTg0T1RBeU1qZ3lNalE0TWpJeUx6RXdOVEU0TURVdE1WODRNREJYZURnd01FZ3w3YTM4YjQyMjQyNDczZGMyZTU1ZWU0M2I5YTU0YTc0YTg2MTk2ZGQ0N2UxZDQ0NGE2OTVhMWE4MjY3NTUxZmQ5,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1051797,890041,L35-497,BIHR,BIHR SCREWDRIVER FOR CARBURATOR,Destornillador para carburador BIHR 90º + 5 puntas L445mm,129.47,107.00,85.60,L35-497,0,8204110000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>90° angled screwdriver, dedicated to carburetor setting screw access.</p><p> </p><ul> <li>Delivered with 5 bits (flat, Phillips®, 6mm hexagonal, ""D"" and square)</li><li>Lenght : 445mm</li></ul> </body> </html>","       90° angled screwdriver, dedicated to carburetor setting screw access.  Delivered with 5 bits (flat, Phillips®, 6mm hexagonal, ""D"" and square)Lenght : 445mm  ",TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,359,353,380,35,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051797-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTQ2NjV8aW1hZ2UvanBlZ3xhRGhtTDJnMU9DODRPRFkzT0RreE9UQTBOVFF5THpFd05URTNPVGN0TVY4NE1EQlhlRGd3TUVnfGE4NTg2ZTI5NmE1MjUxYWY1YTM3MjhjZTBmODA4YzM2ZTA5YWMxYzQ3MGNiOTI0MWQ4ZDA5ZGVlMjMwNWU3MDA,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1051791,890781,L35-259,BIHR,BIHR WRENCH FOR SPARK PLUGS,Llave bujía larga BIHR 18mm,8.47,7.00,4.55,L35-259,28,8204110000,0,1,Longitud: 120 mm,Longitud: 120 mm,TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,442,136,158,112,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051791-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTY3MzR8aW1hZ2UvanBlZ3xhR1JqTDJneE9DODRPRFkzT0RnNU5UUTFNalEyTHpFd05URTNPVEV0TVY4NE1EQlhlRGd3TUVnfDNiZmJlZTVhYzIwZmUyNWRiYzRiNWVjYWMwODA2MzNjYzZiZGYzMmMwZTQ5YmQ1NTJlOTExZjRjNDc1NDEyOGE,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1051795,890210,L35-471,BIHR,BIHR LOCK TOOL CLUTCH HOLDING,Bloqueador de embrague BIHR,33.88,28.00,18.20,L35-471,16,8205598000,0,1,,,TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,1093,760,347,63,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051795-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzgwNjd8aW1hZ2UvanBlZ3xhREV5TDJnNU5DODRPVE0xTVRrME1EWTJPVGMwTHpFd05URTNPVFV0TVY4NE1EQlhlRGd3TUVnfDhiZTFhYjc1Zjg2M2FkMTZmZTRmNGZkYTNiZjA4ZDJjMDkyMGRmYjU1OWQzYjUzYjZhMTA0NjAxMDljYjc1YjA,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1051799,890259,L35-634,BIHR,BIHR GAUGE FOR ENGINE COMP,Tester de compresión del cilindro BIHR 0-20bars,77.44,64.00,51.20,L35-634,1,9026808000,0,1,"Medidor de compresión del motor, para comprobar la compresión de los cilindros. Provisto de conectores rápidos y válvula de descarga. Contenido:			Manómetro: 0-20 bar (300 PSI) 2 adaptadores: M14-M18 Extensor flexible de 380 mm de longitud 2 adaptadores universales: recto y acodado, de 220 mm de longitud""""""""","Medidor de compresión del motor, para comprobar la compresión de los cilindros. Provisto de conectores rápidos y válvula de descarga. Contenido:			Manómetro: 0-20 bar (300 PSI) 2 adaptadores: M14-M18 Extensor flexible de 380 mm de longitud 2 adaptadores universales: recto y acodado, de 220 mm de longitud""""""""",TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,3131,950,291,203,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051799-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDYyNDh8aW1hZ2UvanBlZ3xhR1l4TDJobE5TODRPVFEyTURjeU1UVTRNak00THpFd05URTNPVGt0TVY4NE1EQlhlRGd3TUVnfDE2NDFjZGI2ZTY1OThhMGIyMzAzNGRjNTNhZDRiMmQ5N2FiNTk1ZDBiNjdkYjJlYTZhYTZiOGVkYWRjNGU1NGM,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
1051801,890113,L35-79720,BIHR,BIHR SET OF BEARING EXTRACTOR,Kit extractor de rodamientos de carter BIHR,385.99,319.00,207.35,L35-79720,0,8205598000,0,1,"Kit de extracción de rodamientos, con 10 vasos de sujeción interna (cojinete ciego) para poder extraer la mayoría de los tipos. 			Diámetro de los vasos: 				8 - 10 - 12 - 15 - 17 - 20 - 25 y 30 mm. 20x17 - 30x28 mm (para silentblock)""""""""","Kit de extracción de rodamientos, con 10 vasos de sujeción interna (cojinete ciego) para poder extraer la mayoría de los tipos. 			Diámetro de los vasos: 				8 - 10 - 12 - 15 - 17 - 20 - 25 y 30 mm. 20x17 - 30x28 mm (para silentblock)""""""""",TOOLING & WS,TOOLING,TOOLING ENGINE,,,,,6405,4341,485,213,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1051801-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTg5OTl8aW1hZ2UvanBlZ3xhRFl4TDJnM09DODRPRFkzT0Rrek9EY3dOakl5THpFd05URTRNREV0TVY4NE1EQlhlRGd3TUVnfDE0M2QxNjQ2MzVhYzJhOGJkM2ZiYjY0NjRiODRkM2Y0YmFhNjQyYmY0MTQ4YTQzZDdmMGQ2Y2Y4MWRhMjA3MjM,,,,,,,https://static.bihr.pro/eBihr/Pictures/BIHR-pictures.zip,,,,,Spain Warehouse (Parts)
