PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Anchura (mm),Longitud (mm),Peso (kg),Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1114960,,BS121EU0001,THE TOOLS COMPANY,TTOOL ESSENTIAL BOX EMPTY,Caja de herramientas vacía THE TOOLS COMPANY Essential,57.48,47.50,38.00,3701527300464,118,9403208000,0,1,"<p><strong>Caja de herramientas de metal ESSENTIAL:</strong></p>
<ul>
	<li>Dise&ntilde;o que combina caracter&iacute;sticas hist&oacute;ricas y est&eacute;tica contempor&aacute;nea</li>
	<li>Funcional y pr&aacute;ctico</li>
	<li>Bandeja extra&iacute;ble (permite que las herramientas peque&ntilde;as encuentren su lugar f&aacute;cilmente)</li>
	<li>Su tama&ntilde;o compacto permite almacenar f&aacute;cilmente los elementos esenciales que necesitar&aacute; a diario</li>
	<li>Cierre de palanca con asa de 5 mm que permite cerrar con candado (no suministrado).</li>
</ul>

<p><strong>Dimensiones:</strong></p>

<p>Ancho 459 x Alto 330 x Fondo 255 mm</p>","
Caja de herramientas de metal ESSENTIAL:

	Diseño que combina características históricas y estética contemporánea
	Funcional y práctico
	Bandeja extraíble (permite que las herramientas pequeñas encuentren su lugar fácilmente)
	Su tamaño compacto permite almacenar fácilmente los elementos esenciales que necesitará a diario
	Cierre de palanca con asa de 5 mm que permite cerrar con candado (no suministrado).



Dimensiones:


Ancho 459 x Alto 330 x Fondo 255 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,26286,3992,517,228,223,,,,,https://api.mybihr.com/medias/1114960-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc3MTl8aW1hZ2UvanBlZ3xhRE0zTDJnMlpTOHhOVEUzTkRVNU56QXhOell6TUM4eE1URTBPVFl3TFRGZk9EQXdWM2c0TURCSXwxMDBmMzVjMjgxNDdkZjQwM2YyMWMzOGQyZjIwZWI4NzhiMzM1MGViZDg5ZWE1MTg4YzgxNmM5OTg2NDU1MTg4,https://api.mybihr.com/medias/1114960-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzYyMjV8aW1hZ2UvanBlZ3xhR1EzTDJnM1lpOHhOVEUzTkRVNU56UXhNRGcwTmk4eE1URTBPVFl3TFRKZk9EQXdWM2c0TURCSXw4MzZlZjExYjBiZGYzYzFkYzNmYjJmZTliZGFhMTc1YjJkNzA1ZTNhMjhkNWJkOWZjNTllNTliZTk4OTExMmUy,https://api.mybihr.com/medias/1114960-3-800Wx800H?context=bWFzdGVyfHJvb3R8MjE2MTd8aW1hZ2UvanBlZ3xhRFkxTDJnNE9TOHhOVEUzTkRVNU56Z3dOREEyTWk4eE1URTBPVFl3TFROZk9EQXdWM2c0TURCSXw3ZGEzMmI4MTcwYjE2MzU4YTE5MDMxNWI4OWRjM2E2ZTk2NjBhYWI5ZDM0ZWIzOWNkNGViOTg3NzNlYTljNTdi,https://static.bihr.pro/eBihr/Pictures/THE_TOOLS_COMPANY-pictures.zip,France Warehouse (Parts)
1114961,,BS121EU0002,THE TOOLS COMPANY,TTOOL HEAVY BOX EMPTY,Caja de herramientas vacía THE TOOLS COMPANY Heavy,131.08,108.33,86.66,3701527300433,67,9403208000,0,1,"<p><strong>Caja de herramientas de metal HEAVY</strong></p>
<ul>
	<li>Dise&ntilde;ado para los profesionales y entusiastas m&aacute;s exigentes</li>
	<li>El dise&ntilde;o de 5 compartimentos permite acceder y guardar r&aacute;pidamente todas las herramientas, independientemente de su tama&ntilde;o</li>
	<li>El dise&ntilde;o combina caracter&iacute;sticas hist&oacute;ricas con una est&eacute;tica contempor&aacute;nea</li>
	<li>Cierre de palanca con asa de 9 mm de di&aacute;metro que permite el cierre con candado (no suministrado).</li>
</ul>

<p><strong>Dimensiones:&nbsp;</strong></p>

<p>Ancho 459 x Alto 330 x Fondo 255 mm</p>","
Caja de herramientas de metal HEAVY

	Diseñado para los profesionales y entusiastas más exigentes
	El diseño de 5 compartimentos permite acceder y guardar rápidamente todas las herramientas, independientemente de su tamaño
	El diseño combina características históricas con una estética contemporánea
	Cierre de palanca con asa de 9 mm de diámetro que permite el cierre con candado (no suministrado).



Dimensiones: 


Ancho 459 x Alto 330 x Fondo 255 mm",TOOLING & WS,TOOLING,TOOLING GENERAL,26747,3969,515,235,221,,,,,https://api.mybihr.com/medias/1114961-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTM0Mzh8aW1hZ2UvanBlZ3xhREZoTDJnNE55OHhOVEUzTkRZd01EWXlNakV4TUM4eE1URTBPVFl4TFRGZk9EQXdWM2c0TURCSXw1YjkyYjk4ZjQ5YWU4YWM4NDQwNjQzNjAyYmRkYjNlNGVkNzRlNmVmZjU5ZWZjZjBjYTY3YzQxYjZkZmMzZTU2,https://api.mybihr.com/medias/1114961-2-800Wx800H?context=bWFzdGVyfHJvb3R8NDM2MTJ8aW1hZ2UvanBlZ3xhR1V4TDJnek1TOHhOVEUzTkRZd01UQXhOVE15Tmk4eE1URTBPVFl4TFRKZk9EQXdWM2c0TURCSXw4YjM5ZDk3Y2ZiYTc2ZmFmYTc3ZGVjNmJlMDdkNDQ3OTBlMzgwM2I2MTQ5NDc1NWQ3YjNhN2I5MmQ3OGZlZTFj,https://api.mybihr.com/medias/1114961-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzgxNjZ8aW1hZ2UvanBlZ3xhRFUwTDJneU5DOHhOVEUzTkRZd01UUXdPRFUwTWk4eE1URTBPVFl4TFROZk9EQXdWM2c0TURCSXw0MDMzZTkyZTM4ZWMzNGEyNGE4ZmY2YTMxYzRjM2Q1ZDEzOWI3YTAxY2ViYWM0NTI3ZDVhYjU0ZDRmYzZjZDQ1,https://static.bihr.pro/eBihr/Pictures/THE_TOOLS_COMPANY-pictures.zip,France Warehouse (Parts)
