PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,V-Colores,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Altura (mm),Anchura (mm),Anchura de la zona de sujeción (mm),Apertura (mm),Barra transversal,Bloqueo,Color,Composición,Compuesto del puño,Diámetro Ø (mm),Elevación de manillar (mm),Gama,Longitud (mm),Longitud de control (mm),Tipo de puño,Uso,Picture1,Picture2,Picture3,AllPicturesZIP,Document1,Document2,DeliveryPlant
1025756,83404,2488.03,DOMINO,DOINO THROTTLE TUBE,Acelerador completo trial 4T Domino 2488.03,54.45,45.00,27.00,8430525834040,2,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1707,160,183,176,53,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025756-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTkzNDZ8aW1hZ2UvanBlZ3xhRE0xTDJoaU5pOHhOVFF4TkRrM056VTVNek0zTkM4eE1ESTFOelUyTFRGZk9EQXdWM2c0TURCSXxiNDZlZmNjY2M5NTMzNzgyNzk0NTNkNTE1ZmQ4MmEzNWI2ZWI3NmZhZWNiMzk5NmIzMDEwYjhhMDQ0YTAzYmY0,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025749,83403,1800.03,DOMINO,DOINO THROTTLE TUBE,Acelerador completo rápido trial Domino 1800.03,21.18,17.50,10.50,1800.03,34,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1975,110,176,204,55,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025749-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjM4OTR8aW1hZ2UvanBlZ3xhRGd5TDJnM1pDOHhOVFF4TkRrM05EZzBNRGcyTWk4eE1ESTFOelE1TFRGZk9EQXdWM2c0TURCSXw5ZjY1MWNlOThmNDMwNGY5NmYwN2FhYmRmYWFkYTFmYjMyOTRlNmZmNTcwZjI5NGMxMTE0ZDE1YzFlZTA4MmEz,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025764,83451,3942.03.60-00,DOMINO,DOINO THROTTLE TUBE,Acelerador vintage cromado Domino Rally sin puños 3942.03.60,68.37,56.50,33.90,8430525834514,1,8714109090,0,1,Largo: 120mm,Largo: 120mm,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1423,108,115,182,68,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025764-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDczMjJ8aW1hZ2UvanBlZ3xhR0V4TDJoaFlTOHhOVFF4TkRrNE1EZ3dORFl6T0M4eE1ESTFOelkwTFRGZk9EQXdWM2c0TURCSXwwYWM1NGIyMDUyMWM1N2VhYzkwZGU0YzFhODRiMWRkZTY2ODQwODBlMzQ1NmUxZGJkODc5N2FiYzczNDBlZDcy,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025739,83658,0500.02.2096,DOMINO,DOINO SPAREPARTS COVER CLEAR,Tapa de acelerador trasparente Domino 0500.02.2096,2.72,2.25,1.35,8430525836587,6,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,40,10,35,82,14,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025739-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzQ3OTZ8aW1hZ2UvanBlZ3xhR0l4TDJneU5DOHhOVFF4TkRrM01EZzBNekUyTmk4eE1ESTFOek01TFRGZk9EQXdWM2c0TURCSXxjYzM5ZThkNmM0ZWFkZTQ2NmQ1Y2I5Zjk5OTY1OGUwYWY4ZDNiMDljMzlmYzA2YmRiZDMwZGY0NmQ5Yjk5NWVj,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025733,189802239401,4024.02.6105-00,DOMINO,DOINO SPAREPARTS LEVER COVER,Pletina bloqueo maneta de freno Piaggio Liberty Domino,3.50,2.89,1.73,8033900014107,37,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,533,36,84,138,46,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025733-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTEwMjB8aW1hZ2UvanBlZ3xhR1poTDJnME9DOHhOVFF4TkRrMk9ETTFNamM1T0M4eE1ESTFOek16TFRGZk9EQXdWM2c0TURCSXxhMWRjYmIxNDMxNDk1NDE5MWVkOTdlMTRjNzE2M2YxYWFkYzdjZjU3MDViMWJjZTFiMzYyZjA0NzUzZjg1Mzdj,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025737,83666,0270.02.258,DOMINO,DOINO SPAREPARTS CABLE ADJUSTER,Tensor de cable DOMINO M6 x 1mm,5.08,4.20,2.52,8430525836662,9,8714109090,0,1,"<ul>
<li>Material: Lat&oacute;n</li>
<li>Acabado: Galvanizado</li>
<li>Color: Plateado pulido</li>
<li>Rosca: M6 x 1mm</li>
<li>Di&aacute;metro de la funda: 7 mm</li>
<li>Profundidad de la funda : 7 mm</li>
</ul>","
Material: Latón
Acabado: Galvanizado
Color: Plateado pulido
Rosca: M6 x 1mm
Diámetro de la funda: 7 mm
Profundidad de la funda : 7 mm
",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,127,16,49,136,19,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025737-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDI5MDl8aW1hZ2UvanBlZ3xhR1JtTDJnelppOHhOVFF4TkRrM01EQTFOamN6TkM4eE1ESTFOek0zTFRGZk9EQXdWM2c0TURCSXw5YjRlY2IzY2M3ZGFlYWRhMGQ3MjAwZDI5NzAwYjc3ZTI4MWMzMmEwMDMxMTdkODNiMGVmNTQ1M2UzNmNkMTVj,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025732,1898022395,1898.02.2395,DOMINO,DOINO SPAREPARTS LEVER SPRINGS,Capuchón maneta de freno Liberty Correos Domino,2.40,1.98,1.19,8033900014138,37,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,533,36,84,138,46,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025732-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE4Njd8aW1hZ2UvanBlZ3xhR1JsTDJneE9TOHhOVFF4TkRrMk56VTJOak0yTmk4eE1ESTFOek15TFRGZk9EQXdWM2c0TURCSXxhYWQ1M2ZhNjEyMGFlNDNmNWQ2ZGNiMTc1MDVmNTgxYjE4NWE5MDM0YzI1MWM0YmFmODIzODZiYzAzMDIyZDJk,https://api.mybihr.com/medias/1025732-2-800Wx800H?context=bWFzdGVyfHJvb3R8MjAwMDh8aW1hZ2UvanBlZ3xhRFV4TDJnd1l5OHhOVFF4TkRrMk56azFPVFU0TWk4eE1ESTFOek15TFRKZk9EQXdWM2c0TURCSXxkM2FiNWExNTlmY2QxZTNhODgzYTViNDJjMDM1ODVkZmYzM2E3NWJmNmZmODE5N2M4ZGFjZDgwMGIzMTVkMGEy,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025744,83420,0550.03,DOMINO,DOINO THROTTLE TUBE,Acelerador Domino Comandos sin puños 0550.03,25.41,21.00,12.60,8430525834200,220,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1980,120,164,175,69,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025744-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjEzNTl8aW1hZ2UvanBlZ3xhRE5rTDJoaFppOHhOVFF4TkRrM01qZzNORGM0TWk4eE1ESTFOelEwTFRGZk9EQXdWM2c0TURCSXxmMTk2MmU0ZjQzMTg4ZGM4ZDg2MDMzZGU0ZDczZmYyNmM2MDgyYWU2NmY0NTg2MTY1MGZlN2I4MjIwNjcwOWMw,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025752,83411,2047.03,DOMINO,DOINO THROTTLE TUBE,Acelerador con maneta Domino Piaggio 2047.03,49.61,41.00,24.60,8430525834118,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,1859,268,168,217,51,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025752-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDQ3ODd8aW1hZ2UvanBlZ3xhRGt3TDJnellTOHhOVFF4TkRrM05qQXlNRFV4TUM4eE1ESTFOelV5TFRGZk9EQXdWM2c0TURCSXwwZTU1MjlmNzc4YTQyYjgwNDNhNmE1NmUxNTUzOTYyMmEyMzM3MzVmNjcyMTYyZTg4MDE5YmUzY2M2OGRjM2M5,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
1025738,83558,0500.02.2093,DOMINO,DOINO SPAREPARTS THROTTLE PULLEY,Polea de acelerador Domino Comandos 0500.02.2093,1.57,1.30,0.78,8430525835580,9,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. MAN-MACHINE,,,152,6,89,90,19,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1025738-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDAwOTZ8aW1hZ2UvanBlZ3xhRFV5TDJnek1pOHhOVFF4TkRrM01EUTBPVGsxTUM4eE1ESTFOek00TFRGZk9EQXdWM2c0TURCSXwwNjg3NGU3MzU4OTllZTgzNjY1YzRkMzZlMWVmNGUxMmE4N2IyMGIwOGEwNTgwNzUwMGZhNDczN2FkNmZmMTg0,,,https://static.bihr.pro/eBihr/Pictures/DOMINO-pictures.zip,,,Spain Warehouse (Parts)
