PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Diámetro de pistón,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura (mm),Composición,Compresión de pistón,Diámetro del cilindro (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Eslabones de cadena,Especificaciones,Espesor (mm),Nº de segmentos,Referencias OEM,Relación de compresión,Sobremedida,Tipo de cadena de distribución,Tipo de motor,Tipo de pistón,Tolerancia,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,DeliveryPlant
1017387,,41.5-830638,PROX,PROX OIL SEAL CRANKSHAFT,Reten cigueñal PROX  40x72x10mm,24.59,20.32,13.21,41.5-830638,0,4016930090,0,1,ONE IN PACK,ONE IN PACK,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,145,47,91,114,14,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017387-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc0MzZ8aW1hZ2UvanBlZ3xhR1UzTDJnNU9DODRPVE00TnpVNE56WTJOakl5THpFd01UY3pPRGN0TVY4NE1EQlhlRGd3TUVnfDcyYTAwYmY5ZjM4YTU2YzQ3MDU4ZmFhNTMzNDBkZDM2NDBiOTM5OGM1Y2E5NDAxYmY1YTk1MmNkMGNhMmUyMDA,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017268,,23.83299SH,PROX,PROX BEARING,Cojinete de cigueñal PROX 20x47x14mm,35.24,29.12,18.93,23.83299SH,0,8409910090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4EA70B48{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>PROX crankshaft bearing</li><li>For an OEM equivalent renewing</li><li>Unit delivered</li></ul> </body> </html>","        PROX crankshaft bearingFor an OEM equivalent renewingUnit delivered  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,48,110,50,50,19,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017268-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTY1NjYyfGltYWdlL2pwZWd8YUROakwyaG1ZUzg0T1RZNU1EUXpPRFk1TnpJMkx6RXdNVGN5TmpndE1WODRNREJYZURnd01FZ3w5MGIyZWM1MWMwYjg3ODFjNzdjMDc3NzdiYWZjZWI0ZjZjNGJiN2I3MzQzZTc0ZTlkNmE2NWQ5ODA1Y2I3MDI4,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017284,,23.NJ207ECS,PROX,PROX BEARING CRANKSHAFT SET,Cojinete de cigueñal PROX 35x72x17mm,81.49,67.35,43.78,23.NJ207ECS,2,8482109090,0,1,<p>ProX offers a wide range of reliable and high quality crankshaft bearings.</p> <ul> <li>Fits perfectly OEM and aftermarket crankshafts</li> <li>Dimensions : 35 x 72 x 17</li></ul>,"
ProX offers a wide range of reliable and high quality crankshaft bearings.  Fits perfectly OEM and aftermarket crankshafts Dimensions : 35 x 72 x 17",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,277,324,87,86,37,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017284-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTAwMTh8aW1hZ2UvanBlZ3xhREk0TDJnek5pODRPVEkwTkRJNU1Ea3dPRFEyTHpFd01UY3lPRFF0TVY4NE1EQlhlRGd3TUVnfGI3Y2U4Zjk2YTg3NjMxNDI5NjZmMDliNDFlZWE3ZTY0NTVmMGE5OGQ0MjU1ZDlkMDY0ODE0NjU3MDE5NjRhZjY,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017441,,42.6427,PROX,PROX OIL SEAL CRANKSHAFT,Kit de retenes de cigueñal PROX,19.65,16.24,10.56,42.6427,0,4016930090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,159,40,71,70,32,,,,,,,,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017403,,41.6-324564,PROX,PROX OIL SEAL CRANKSHAFT,"Reten cigueñal PROX  32x45x6,5mm",8.14,6.73,4.37,41.6-324564,0,4016930090,0,1,ONE IN PACK,ONE IN PACK,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,22,12,48,65,7,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017403-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI0NzB8aW1hZ2UvanBlZ3xhRGt5TDJoa01DODRPVFV6TWpnMk5qZzROems0THpFd01UYzBNRE10TVY4NE1EQlhlRGd3TUVnfDk0ZTY1NzRhNWU5ZGY3YzMwMzViNjFiM2RhMDNkNzc5MTVjNDk4MTY1M2Q4ZjQ1NGFiNzM3YjQ3YmI2MDg2YzQ,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017460,,42.2518,PROX,PROX OIL SEAL CRANKSHAFT SET,Kit de retenes de cigueñal PROX,66.60,55.04,35.78,42.2518,0,4016930090,0,1,"Manufactured in America, PROX engine gasket kits are designed and produced to guarantee maximum reliability and performance.","Manufactured in America, PROX engine gasket kits are designed and produced to guarantee maximum reliability and performance.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,368,170,94,98,40,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017460-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjc3OTh8aW1hZ2UvanBlZ3xhRGMzTDJoaVlTODRPVFE0T1RnMU56VTNOekkyTHpFd01UYzBOakF0TVY4NE1EQlhlRGd3TUVnfDVkMmI2YmE4Y2ZhNDA2ODJkZTFlYTFlY2Y1ZjM0ODlkM2JmNGFjNTBiOTg4NjJmYmI3MzQyNmFhZTgyNjY4YTI,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017475,,23.CBS12086,PROX,PROX SEALING CRANKSHAFT SET,Kit de rodamientos y retenes de cigüeñal PROX,58.52,48.36,29.02,23.CBS12086,0,8482109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>PROX crankshaft bearing + seal kits enable you to recondition your crankshaft so that it remains as reliable as the original set-up.</p><p> </p><ul> <li>Crankshaft bearing + seal kit</li><li>Bearings treated to minimise friction <a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","       PROX crankshaft bearing + seal kits enable you to recondition your crankshaft so that it remains as reliable as the original set-up.  Crankshaft bearing + seal kitBearings treated to minimise friction    ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,579,420,82,83,85,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017475-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgzODN8aW1hZ2UvanBlZ3xhR1JsTDJnellpODRPVFk1TURRMk5qSXlNak00THpFd01UYzBOelV0TVY4NE1EQlhlRGd3TUVnfDEwZjgxZDU5NDRjOGFmOGY4MDRhMGU5ZDZmYzQ2MzY5ZGZhZWIzZDc1NzYwMjIxZjU2MWNlNjE1YTFiOWQ0MzE,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017476,,23.CBS20018,PROX,PROX SEALING CRANKSHAFT SET,Kit de rodamientos y retenes de cigüeñal PROX,72.93,60.27,36.16,23.CBS20018,7,8482109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>PROX crankshaft bearing + seal kits enable you to recondition your crankshaft so that it remains as reliable as the original set-up.</p><p> </p><ul> <li>Crankshaft bearing + seal kit</li><li>Bearings treated to minimise friction <a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","       PROX crankshaft bearing + seal kits enable you to recondition your crankshaft so that it remains as reliable as the original set-up.  Crankshaft bearing + seal kitBearings treated to minimise friction    ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,571,316,81,83,85,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017476-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgzODN8aW1hZ2UvanBlZ3xhRGxpTDJnME1pODRPVFk1TURRMk9ERTRPRFEyTHpFd01UYzBOell0TVY4NE1EQlhlRGd3TUVnfDRhYTNhNzRhMmRmMmY3N2NhZGU0Y2E3Y2E2MDUwMmU4NDVjMWJlZDU4MWI2MGE5NWU0ZGEwZjIyZWExYzJkZDY,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017478,,23.CBS62001,PROX,PROX SEALING CRANKSHAFT SET,Kit de rodamientos y retenes de cigüeñal PROX,113.17,93.53,56.12,23.CBS62001,33,8482109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p><a id=""_dx_frag_StartFragment""></a>PROX crankshaft bearing + seal kits enable you to recondition your crankshaft so that it remains as reliable as the original set-up.</p><p> </p><ul> <li>Crankshaft bearing + seal kit</li><li>Bearings treated to minimise friction <a id=""_dx_frag_EndFragment""></a></li></ul> <p> </p></body> </html>","       PROX crankshaft bearing + seal kits enable you to recondition your crankshaft so that it remains as reliable as the original set-up.  Crankshaft bearing + seal kitBearings treated to minimise friction    ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,579,493,82,83,85,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017478-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgzODN8aW1hZ2UvanBlZ3xhR1U0TDJnNU55ODRPVFk1TURRM01qRXlNRFl5THpFd01UYzBOemd0TVY4NE1EQlhlRGd3TUVnfGZmN2NmYTZmZDYzODNhMzA1OTcwNmYzZTE4NWMyZjE4MTU3ZmYwZjIwYzAwM2I5NWRmOTMxYmI5YzJlOTVlMDM,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
1017479,,23.CBS63013,PROX,PROX SEALING CRANKSHAFT SET,Kit de rodamientos y retenes de cigüeñal PROX,163.37,135.02,87.76,23.CBS63013,3,8482109090,0,1,<p>PROX crankshaft bearing + seal kits enable you to recondition your crankshaft so that it remains as reliable as the original set-up.</p><ul><li>Crankshaft bearing + seal kit </li><li>Bearings treated to minimise friction <br></li></ul>,"
PROX crankshaft bearing + seal kits enable you to recondition your crankshaft so that it remains as reliable as the original set-up.Crankshaft bearing + seal kit Bearings treated to minimise friction ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,551,475,82,81,83,,,,,,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1017479-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDgzODN8aW1hZ2UvanBlZ3xhR0UwTDJnNVpTODRPVFk1TURRM05EQTROamN3THpFd01UYzBOemt0TVY4NE1EQlhlRGd3TUVnfDE4ZGMxY2QwOTRkYTQ4Y2U1NTk4MzY3ZDY2NmIwZjRiMmE5YTVjODU3MmMzZTUwMDc0ZTI3MTE5Mjk1ODMyNzE,,,,,,https://static.bihr.pro/eBihr/Pictures/PROX-pictures.zip,Spain Warehouse (Parts)
