PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ajustes de amortiguación,Altura (mm),Color,Diámetro del eje (mm),Diámetro del pistón (mm),Diámetro Ø (mm),Embalaje,Homologación,Longitud (mm),Spring Rate,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,DeliveryPlant
1037994,44900065,46I13-18S200B8-8X,YSS,YSS SPRING 46-13-18-200 BLACK,Muelle de amortiguador trasero YSS progresivo negro 46-13-18-200,54.99,45.45,27.27,8859518026666,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,3360,948,240,200,70,,,,,,,,,,,https://api.mybihr.com/medias/1037994-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTkwNjQ5fGltYWdlL2pwZWd8YURBeEwyZ3lNUzh4TlRReE1ESTJNamd6TlRJek1DOHhNRE0zT1RrMExURmZPREF3VjNnNE1EQkl8YzAzNzZiMjhkNzkwMWY1MmRmMzY0NGRjMWVmZjIyMjcxNmJlZWRhNzVlMWNmYWM0YmRlNWQ4ZmYwYWFhNWQ3NA,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038073,44900418,46I2535S260A8X,YSS,YSS SPRING 46-25-35-260 BLACK,Muelle de amortiguador trasero YSS progresivo negro 46-25-35-260,68.00,56.20,33.72,8859518027052,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,5040,2100,360,200,70,,,,,,,,,,,https://api.mybihr.com/medias/1038073-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTkwNjQ5fGltYWdlL2pwZWd8YURjMUwyZzJOQzh4TlRReE1EUTFOekUwT1RRM01DOHhNRE00TURjekxURmZPREF3VjNnNE1EQkl8MTY3NmU0Y2UwNDI5NGE2MzIzYmUxY2FiYjNjNDQ2ODU4NjMxYmE3YjBiYmRiZDU3YjgwMmU3NDFkOGRkMTBkYw,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038239,44900094,56A150S150A8,YSS,YSS SPRING 56-150-150 BLACK,Muelle de amortiguador trasero YSS lineal negro 56-150-150,92.50,76.45,45.87,8859253922278,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038239-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA0MTk1fGltYWdlL2pwZWd8YURZNEwyZzNZeTh4TlRReE1EVTFOREEzTnpJeE5DOHhNRE00TWpNNUxURmZPREF3VjNnNE1EQkl8NTQ3NDQyYzRlZGJkZjk4OTZlYjJhN2VlNzI3OTgyMjYzMGZjZTc0ZTg4N2RmOGU1OWI5N2RiZjI1Y2U0NjczMA,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038212,44900266,56A110S230A8,YSS,YSS SPRING 56-110-230 BLACK,Muelle de amortiguador trasero YSS lineal negro 56-110-230,92.50,76.45,45.87,8859253921738,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038212-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA0MTk1fGltYWdlL2pwZWd8YUdKaEwyZzFNeTh4TlRReE1EVTBNek15T1RNeE1DOHhNRE00TWpFeUxURmZPREF3VjNnNE1EQkl8YTZlNzI4ZWYyOTA1MTdhNzZjMjAxZWM2NTY3MGM2YzQ0MjQyYmRlYTQyNjViZTIyNGJkMTA2N2U1NzRlMzg4Yg,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038026,44900427,46I17-25S260A1,YSS,YSS SPRING 46-17-25-260 CHROME,Muelle de amortiguador trasero YSS progresivo cromado 46-17-25-260,72.50,59.92,35.95,8858803480121,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038026-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3OTM4fGltYWdlL2pwZWd8YUdGakwyZ3pNUzh4TlRReE1ESTNOVGswTWpRek1DOHhNRE00TURJMkxURmZPREF3VjNnNE1EQkl8YTkyM2Y1NGIyMTEzZTA0N2FmMWUxZjczYjA4NTMyMDU4ZjA3NWMzNjEwYmRhNjc4MDU4YzY4YjBiMmVjNGE1Yw,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038029,44900030,46A18S140A5X,YSS,YSS SPRING 46-18-140 RED,Muelle de amortiguador trasero YSS lineal rojo 46-18-140,54.99,45.45,27.27,8858803439334,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4004,652,260,220,70,,,,,,,,,,,https://api.mybihr.com/medias/1038029-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjAwNzc0fGltYWdlL2pwZWd8YUdKbUwyaGxPUzh4TlRReE1ESTNOekV5TWpBM09DOHhNRE00TURJNUxURmZPREF3VjNnNE1EQkl8YzhmNWFkZTQxNDNlOGM5OTM0YjI2ZTdkOTRmM2NjOWYzODcyNmM1MzQxNzA0NTUyMTRjMzUzZGE3OWEyMDliMw,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038066,44900601,46I25-35S180C1X,YSS,YSS SPRING 46-25-35-180 CHROME,Muelle de amortiguador trasero YSS progresivo cromado 46-25-35-180,62.50,51.65,30.99,8859253996019,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,4186,1318,260,230,70,,,,,,,,,,,https://api.mybihr.com/medias/1038066-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjE3OTM4fGltYWdlL2pwZWd8YURnekwyZzJOUzh4TlRReE1EUTFORE01TmprMU9DOHhNRE00TURZMkxURmZPREF3VjNnNE1EQkl8NzJiYzkzM2UwYmQ2ODVlMjBhZjA2ZjMwZTYwYjc0NzVlNGViZTk5ZTJhYmY3NGExZDZiMDI2YmM1Nzc5MWRkMg,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038303,44900055,56A95S185A8,YSS,YSS SPRING 56-95-185 BLACK,Muelle de amortiguador trasero YSS lineal negro 56-95-185,92.50,76.45,45.87,8859253921356,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038303-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTA0MTk1fGltYWdlL2pwZWd8YURGa0wyaGlOQzh4TlRReE1EVTNPVGMyTnpNeU5pOHhNRE00TXpBekxURmZPREF3VjNnNE1EQkl8NDJiY2I4OTRjN2I0ZjliZWUxMjA3ZGJiMGNhMWQ5ODNlYmQ2MDA5YmMzYmM0MGU3YjA1MzNkNmIwZWMyZDQyMw,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038285,44900509,56A85S150B5X,YSS,YSS SPRING 56-85-150 RED,Muelle de amortiguador trasero YSS lineal rojo 56-85-150,95.59,79.00,47.40,8859253979784,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,1,100,10,10,10,,,,,,,,,,,https://api.mybihr.com/medias/1038285-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI0OTk5fGltYWdlL2pwZWd8YURZM0wyaGlPUzh4TlRReE1EVTNNekE0TWpZMU5DOHhNRE00TWpnMUxURmZPREF3VjNnNE1EQkl8NDhkMmY5N2M1ZGNiM2I0ODY0ODg4YTI5NTdlYWM1OTUzMmNhZWJkNDc2ZDBlODdjZDMyNGI2NGMyOWRhZjYyZg,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
1038142,44900017,46A170S175A5X,YSS,YSS SPRING 46-170-175 RED,Muelle de amortiguador trasero YSS lineal rojo 46-170-175,62.50,51.65,30.99,8858803477664,1,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SHOCK&FORK,2574,1312,220,130,90,,,,,,,,,,,https://api.mybihr.com/medias/1038142-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI0OTk5fGltYWdlL2pwZWd8YURSbEwyZzNZaTh4TlRReE1EVXhOekV4TkRreE1DOHhNRE00TVRReUxURmZPREF3VjNnNE1EQkl8Y2YxNTJmZjQ4YzAzOWRiZWJjMTUyYmRiOTU3NDE1Y2Y3N2UzNWMxYWY4OGE4MWRkNzY3NmJkNjg3NjI5MGYxNQ,,,,https://static.bihr.pro/eBihr/Pictures/YSS-pictures.zip,,,Spain Warehouse (Parts)
