PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Cantidad,Diámetro Ø (mm),Longitud (mm),Longitud de rosca,Rango de uso,Rosca (mm),Picture1,AllPicturesZIP,DeliveryPlant
1051061,894045,01400100104/10,HELICOIL,"HELIC SCREW TAP M10 X 1,5","Machos de roscar manual HELICOIL M10 x 1,5 tipo 0140,0",18.69,15.45,12.36,01400100104/10,1,8207199000,0,1,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,TOOLING & WS,TOOLING,TOOLING GENERAL,78,26,96,58,14,,,,,,,https://api.mybihr.com/medias/1051061-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMxMDF8aW1hZ2UvanBlZ3xhREExTDJnNU1DODRPVEkzTmpNd056VXpPREl5THpFd05URXdOakV0TVY4NE1EQlhlRGd3TUVnfDMwNzVjN2JkZjEyZDEzOTQ4NjlmZWYyODM0OGRjMGU5NTlhYjA0MzU4MzQzZTBmNDIwNzdhN2VhMzFkMDc0MDc,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051064,894041,01400124104/10,HELICOIL,"HELIC SCREW TAP M12 X 1,5","Machos de roscar manual HELICOIL M12 x 1,5 tipo 0140,0",27.83,23.00,18.40,01400124104/10,1,8207199000,0,1,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,TOOLING & WS,TOOLING,TOOLING GENERAL,410,61,194,88,24,,,,,,,https://api.mybihr.com/medias/1051064-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMyMDV8aW1hZ2UvanBlZ3xhRFk1TDJneVpDODRPVEkwT0RnMU9UQTVOVE0wTHpFd05URXdOalF0TVY4NE1EQlhlRGd3TUVnfGI4ZGNlN2I4NDJmOGYzMTFiOTFjMGQ4NGU2YjI2NzQ2NTg4NTZlYmIxOWJjYzZhNmM2N2I1MmNlN2Y1OGUzMzA,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051065,894038,01400144104/10,HELICOIL,"HELIC SCREW TAP M14 X 1,5","Machos de roscar manual HELICOIL M14 x 1,5 tipo 0140,0",43.56,36.00,28.80,01400144104/10,1,8207199000,0,1,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,TOOLING & WS,TOOLING,TOOLING GENERAL,162,88,125,68,19,,,,,,,https://api.mybihr.com/medias/1051065-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU3MDB8aW1hZ2UvanBlZ3xhR1UxTDJnM1lpODRPVEkwT0RnMk1UQTJNVFF5THpFd05URXdOalV0TVY4NE1EQlhlRGd3TUVnfDg1Zjk0YzIzMTYzYjYxODM5NjdkOTZiMjQ4ZjA5YmIyYjYxYjYxOTFmMmZlNjE4MGJlMDQ4ZGIyNzY1ODE3YzQ,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051066,894036,01400164104/10,HELICOIL,"HELIC SCREW TAP M16 X 1,5","Machos de roscar manual HELICOIL M16 x 1,5 tipo 0140,0",50.82,42.00,33.60,894036,0,8207199000,0,1,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,Macho de reparación para transformar roscas métricas tradicionales en roscas compatibles con las Helicoil. ,TOOLING & WS,TOOLING,TOOLING GENERAL,162,88,125,68,19,,,,,,,https://api.mybihr.com/medias/1051066-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTcyNjd8aW1hZ2UvanBlZ3xhRFU0TDJnME15ODRPVFE1TXpFNE16ZzFOamswTHpFd05URXdOall0TVY4NE1EQlhlRGd3TUVnfDFkYjViZDYxZDU3YWFkZWE4NmY4OGIwMGFjNWIxYmM1NDkyZWZjMThlNTlhMjBlMjIyNDUzM2ZmYmNmYjBlMDM,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051067,894040,01420149102/10,HELICOIL,"HELIC SCREW TAP M14 X 1,25",Machos de roscar combinado  HELICOIL M14 x 125,71.39,59.00,47.20,01420149102/10,0,8207199000,0,1,Macho combinado para convertir roscas métricas tradicionales en roscas Helicoil. No requiere pretaladrado. ,Macho combinado para convertir roscas métricas tradicionales en roscas Helicoil. No requiere pretaladrado. ,TOOLING & WS,TOOLING,TOOLING GENERAL,60,159,159,18,21,,,,,,,https://api.mybihr.com/medias/1051067-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTIwNTZ8aW1hZ2UvanBlZ3xhR1ppTDJnek15ODRPVEkzTmpNeE16UXpOalEyTHpFd05URXdOamN0TVY4NE1EQlhlRGd3TUVnfDllNGY3MGUxZTcyNjM3NWRhNDU0ODJhYzI4NWY0ZTg2NWM1Y2IyNjk1NWI3MmU0NjMyNDg3MzhjNzYxNzliM2Y,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1050994,894050,41851050000,HELICOIL,"HELIC REPAIR KIT M5X0,80","Kit de reparación de roscas HELICOIL Helicoil Plus M5 x 0,80",123.42,102.00,81.60,894050,1,7223001900,0,1,Kit de reparación de roscados ISO de tamaño único. Contiene:			Roscas Helicoil® Plus en 3 longitudes distintas Broca (hasta M12 y macho combinado a partir de M14) Macho HSS manual (combinado a partir de M14) Útil para enroscar Rompedor (hasta M12)		Roscas de recambio disponibles en bolsas de 10-20 unidades.,Kit de reparación de roscados ISO de tamaño único. Contiene:			Roscas Helicoil® Plus en 3 longitudes distintas Broca (hasta M12 y macho combinado a partir de M14) Macho HSS manual (combinado a partir de M14) Útil para enroscar Rompedor (hasta M12)		Roscas de recambio disponibles en bolsas de 10-20 unidades.,TOOLING & WS,TOOLING,TOOLING GENERAL,62,9,108,72,8,,,,,,,https://api.mybihr.com/medias/1050994-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzUzNTEyfGltYWdlL2pwZWd8YURGaUwyZzBZeTg0T1RBeU1qWXhNVFExTmpNd0x6RXdOVEE1T1RRdE1WODRNREJYZURnd01FZ3wzYjc4ZmRhNmM4NTA5N2MwNzJhYTIxMmEyMWMyMmM5MDMwYzViNDAyYTVmOTZiY2FiODMxMDQ3N2IyZmU0M2Vm,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1050983,893208,01803010000,HELICOIL,HELIC EXTRACTOR M4 TO M10,Extractor M4 - M10,26.62,22.00,17.60,893208,1,8205598000,0,1,"Herramienta manual de extracción de roscas Helicoil.			De M4 a M10. Perfecta para un trabajo preciso.""""""""","Herramienta manual de extracción de roscas Helicoil.			De M4 a M10. Perfecta para un trabajo preciso.""""""""",TOOLING & WS,TOOLING,TOOLING GENERAL,140,51,116,86,14,,,,,,,https://api.mybihr.com/medias/1050983-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjkwNDh8aW1hZ2UvanBlZ3xhRFV6TDJoaE1TODRPVEF5TWpZd056VXlOREUwTHpFd05UQTVPRE10TVY4NE1EQlhlRGd3TUVnfDc1ZTRmYTQwMzg0YjA3N2E3YTcxNmE5ZThmNjg2ZmU3NDZmMGJhYzViYWNlZmUwYmM3MmZjMzQ4NTRiM2U3Mjc,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051020,894024,41890060009,HELICOIL,"HELIC ASSORTMENT M6X1,00X9","Juego de roscas HELICOIL M6 x 1,00 x 9 - 10 unidades",37.51,31.00,24.80,41890060009,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,79,16,105,75,10,,,,,,,https://api.mybihr.com/medias/1051020-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAyMzh8aW1hZ2UvanBlZ3xhRFl5TDJnNVppODRPVFE1TXpFM056azFPRGN3THpFd05URXdNakF0TVY4NE1EQlhlRGd3TUVnfGNkYjJlNDIwZmZjNDA1OTJmODc3YzIxZTY1NzkzZTA0N2VkM2U2YTQzZTU5ZDU5Y2MzMWEwYjc2ZGE2MjNiMTU,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051041,894011,41890124012,HELICOIL,"HELIC ASSORTMENT M12X1,5X12","Juego de roscas HELICOIL M12 x 1,50 x 12 - 10 unidades",42.35,35.00,28.00,41890124012,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,173,28,139,83,15,,,,,,,https://api.mybihr.com/medias/1051041-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAyMzh8aW1hZ2UvanBlZ3xhRFJqTDJneU5DODRPVEF5TWpZeU16STFNamM0THpFd05URXdOREV0TVY4NE1EQlhlRGd3TUVnfDg2OWVmNzU5YTU0ZDc4Y2M5ZWQ3OTAwY2Q1MTczMDQ0NGY2NDliYzIyMDZhZDk3NTY4YThjN2QxNzNmZDQ4OTQ,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
1051042,894012,41890124018,HELICOIL,"HELIC ASSORTMENT M12X1,5X18","Juego de roscas HELICOIL M12 x 1,50 x 18 - 10 unidades",38.72,32.00,25.60,894012,1,7223001900,0,1,"Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ","Rosca Helicoil® Plus, de tamaño único y longitudes diferentes. ",TOOLING & WS,TOOLING,TOOLING GENERAL,203,43,139,73,20,,,,,,,https://api.mybihr.com/medias/1051042-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjAyMzh8aW1hZ2UvanBlZ3xhREJoTDJnd09DODRPVE0xTVRnM09UTTVNelU0THpFd05URXdOREl0TVY4NE1EQlhlRGd3TUVnfDZlMTdjYmVlN2I1NDMwYTljYTA4OGU4ZjMxYjU0YjU0OTkwOTk4M2RiNzhkM2YxOGY1NzQ5ZjgwMDYxZGZiMTI,https://static.bihr.pro/eBihr/Pictures/HELICOIL-pictures.zip,Spain Warehouse (Parts)
