PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Anchura del neumático,Carcasa,Diámetro de la llanta,Familia de neumáticos,Uso,Picture1,AllPicturesZIP,DeliveryPlant
9005799,D15340,NULL,GEAX,GEAX TUBULAR GATO 29X1.9,Tubular GEAX Gato 29x1.9,35.01,28.93,10.50,15340,10,4011500000,0,1,"GATO
Tubular de competición MTB para máximo agarre y control en terrenos húmedos y barro: taco agresivo reforzados y largos, muy espaciados entre sí, drenan el barro instantaneamente y escarvan la tierra en curva haciendo honor a su nombre.
• Máximo agarre y control en condiciones adversas.
• Taqueado muy técnico, drenaje rápido, no patina nunca aun en las cuestas mas inclinadas.","GATO
Tubular de competición MTB para máximo agarre y control en terrenos húmedos y barro: taco agresivo reforzados y largos, muy espaciados entre sí, drenan el barro instantaneamente y escarvan la tierra en curva haciendo honor a su nombre.
• Máximo agarre y control en condiciones adversas.
• Taqueado muy técnico, drenaje rápido, no patina nunca aun en las cuestas mas inclinadas.",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,30492,700,660,660,70,1.9,Tubular,29,Neumáticos de bicicleta,MTB,https://api.mybihr.com/medias/9005799-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU3MTE1fGltYWdlL3BuZ3xhR1UzTDJnMk1pOHhNRGsyTkRZME9USTBOamMxTUM4NU1EQTFOems1TFRGZk9EQXdWM2c0TURCSXxlOGJjNzFjMDk0YzY3NThmNjg5YzBmNDg3N2Q1NjY4OTc1OWJhMzA5MmRlZjRjMzNmMzJiNmQ2OWJjZmVmNDU1,https://static.bihr.pro/eBihr/Pictures/GEAX-pictures.zip,Spain Warehouse (Tires)
9005802,D15346,NULL,GEAX,GEAX TIRE GATO 29X1.9 TNT,Neumático GEAX Gato 29x1.9 tubeless TNT,19.00,15.70,5.50,641740185505,79,4011500000,0,1,"GATO
Máximo agarre y control en terrenos húmedos y barro: taco agresivo reforzados y largos, muy espaciados entre sí, drenan el barro instantaneamente y escarvan la tierra en curva haciendo honor a su nombre.
• Máximo agarre y control en condiciones adversas.
• Taqueado muy técnico, drenaje rápido, no patina nunca aun en las cuestas mas inclinadas.","GATO
Máximo agarre y control en terrenos húmedos y barro: taco agresivo reforzados y largos, muy espaciados entre sí, drenan el barro instantaneamente y escarvan la tierra en curva haciendo honor a su nombre.
• Máximo agarre y control en condiciones adversas.
• Taqueado muy técnico, drenaje rápido, no patina nunca aun en las cuestas mas inclinadas.",TIRES & ACCESSORIES,BICYCLE,BICYCLE TIRE&TUBE,4299,653,222,188,103,1.9,Cubierta,29,Neumáticos de bicicleta,MTB & Trekking,https://api.mybihr.com/medias/9005802-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzU3MTE1fGltYWdlL3BuZ3xhRGM1TDJnNFl5OHhNRGsyTkRZMU1EQXpNekU0TWk4NU1EQTFPREF5TFRGZk9EQXdWM2c0TURCSXw3NTNmNWEwODk5ZWNlYzUyMmUzMzgzM2JjYTJlZWYxMWVkNWJhNTI1MDAxYTI3OWM3ZmIxNWRkMzZmYzIxZDI2,https://static.bihr.pro/eBihr/Pictures/GEAX-pictures.zip,Spain Warehouse (Tires)
