PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,AllPicturesZIP,DeliveryPlant
1106181,,99101-357-0650,KEIHIN,KEIHI JET MAIN 65MM,Chiclé de alta KEIHIN 65,9.08,7.50,4.50,,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,5,10,10,10,https://api.mybihr.com/medias/1009273-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzI4Mzh8aW1hZ2UvanBlZ3xhRE5tTDJoallpODRPVFk0T0RVek9UYzVNVFkyTHpFd01Ea3lOek10TVY4NE1EQlhlRGd3TUVnfDk0MGQzM2IyMDg5MTg2NzA0YWYyYzg4MTA4NjQxYTFkNTRjNmIwNGYwYmI3OTE3YTg2ODUyMTRhZTMxMWQ4NzE,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106374,,N424-27195,KEIHIN,KEIHI JET MAIN 195MM,Chiclé de alta Harley CARBU CV 195,10.08,8.33,5.00,,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,https://api.mybihr.com/medias/1009507-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI5NDl8aW1hZ2UvanBlZ3xhREl3TDJnMVpDODRPVFV5T0RFME1ERXdNems0THpFd01EazFNRGN0TVY4NE1EQlhlRGd3TUVnfDQ4MmU4YjIyYzA1ZDk3ZmQ3OTFiYzU1NWU1ODlmY2U0Y2EzZTdjNDJmYzhhMTI4MmNjYWRlMGIwNjI0MzE0MmE,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106392,,N424-35048,KEIHIN,KEIHI JET IDLE 48MM,Chiclé de baja KEIHIN N424-35-48,9.08,7.50,4.50,,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,5,10,10,10,https://api.mybihr.com/medias/1009525-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3MzV8aW1hZ2UvanBlZ3xhR1l6TDJoa09TODRPVE0wT0RRek1ESXpNemt3THpFd01EazFNalV0TVY4NE1EQlhlRGd3TUVnfGEzNDMxZGFkODJjNmFjODRjN2Q3MzY4NDZkNjY4MTk4NWM1M2M5OTlmZDVlZjNiNWYyNDA0MGY1NWIxMzJlNmU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106410,,N424-35098,KEIHIN,KEIHI JET IDLE 98MM,Chiclé de baja KEIHIN N424-35-98,9.08,7.50,4.50,,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,0,5,9,5,9,https://api.mybihr.com/medias/1009543-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3MzV8aW1hZ2UvanBlZ3xhR1JoTDJoa01pODRPVFk0T0RZeE9EUXpORGcyTHpFd01EazFORE10TVY4NE1EQlhlRGd3TUVnfGYyNzFlMjA5NWU0MDZlMmUxMGFhMjgyNTlkZGFiZjE1ZDEwN2M3MDRjNDNkZTU0MThmYzAzZDBmZWJmMzA1ZWU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106144,,99101-116-0950,KEIHIN,KEIHI JET MAIN 95MM,Chiclé de alta KEIHIN 95,9.08,7.50,4.50,,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3700,1,370,250,40,https://api.mybihr.com/medias/1009236-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzcyNzd8aW1hZ2UvanBlZ3xhREZrTDJnNE9TODRPVE0wTmpZNE1UUXdOVGMwTHpFd01Ea3lNell0TVY4NE1EQlhlRGd3TUVnfGEwNWYwMDY0NWM3MzEwM2Y3NjIwMTFmMjlmZTAxZTI3YTc0OWYwYTNhNzBhZTVhZWFhNDEwYTZkNjBkN2VhNjM,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106383,,N424-35105,KEIHIN,KEIHI JET IDLE 105MM,Chiclé de baja KEIHIN N424-35-105,9.08,7.50,4.50,,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,5,10,10,10,https://api.mybihr.com/medias/1009516-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3MzV8aW1hZ2UvanBlZ3xhRFkwTDJneE55ODRPVEF4TWpFMk9USTNOemMwTHpFd01EazFNVFl0TVY4NE1EQlhlRGd3TUVnfGViYjNlYjQwNDBlYTBhZDcxZDhiZDAxZWY0Nzg1NGFmNWY0MjgyZjM3OGQ2ZDk3YzEyMTE5ZTlkODlhZTg4MjU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106418,,N427-0CFBQ,KEIHIN,KEIHI NEEDLE FCR35 41MM,Aguja de carburador KEIHIN FCR35 41MM FBQ,17.15,14.17,8.50,,0,8409910090,0,1,"<p>These Keihin jet needles are given part numbers according to their dimensions</p>
<p>The syntax is <strong>N427-OC-(TAPER)(L1)(DIAMETER)</strong></p>
<p><em>For example N427-OC-DVR would be a taper of 0&deg;45&prime;, an L1 of 82.75mm and a diameter of 2.755mm</em></p>","
These Keihin jet needles are given part numbers according to their dimensions

The syntax is N427-OC-(TAPER)(L1)(DIAMETER)

For example N427-OC-DVR would be a taper of 0°45′, an L1 of 82.75mm and a diameter of 2.755mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106412,,N427-0CDTN,KEIHIN,KEIHI NEEDLE FCR35 41MM,Aguja de carburador KEIHIN FCR35 41MM DTN,16.13,13.33,8.00,,0,8409910090,0,1,"<p>These Keihin jet needles are given part numbers according to their dimensions</p>
<p>The syntax is <strong>N427-OC-(TAPER)(L1)(DIAMETER)</strong></p>
<p><em>For example N427-OC-DVR would be a taper of 0&deg;45&prime;, an L1 of 82.75mm and a diameter of 2.755mm</em></p>","
These Keihin jet needles are given part numbers according to their dimensions

The syntax is N427-OC-(TAPER)(L1)(DIAMETER)

For example N427-OC-DVR would be a taper of 0°45′, an L1 of 82.75mm and a diameter of 2.755mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106416,,N427-0CEMQ,KEIHIN,KEIHI NEEDLE FCR35 41MM,Aguja de carburador KEIHIN FCR35 / 41MM A 1° L 79.15 D 2.745,17.15,14.17,8.50,,0,8409910090,0,1,"<p>These Keihin jet needles are given part numbers according to their dimensions</p>
<p>The syntax is <strong>N427-OC-(TAPER)(L1)(DIAMETER)</strong></p>
<p><em>For example N427-OC-DVR would be a taper of 0&deg;45&prime;, an L1 of 82.75mm and a diameter of 2.755mm</em></p>","
These Keihin jet needles are given part numbers according to their dimensions

The syntax is N427-OC-(TAPER)(L1)(DIAMETER)

For example N427-OC-DVR would be a taper of 0°45′, an L1 of 82.75mm and a diameter of 2.755mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106419,,N427-0CGFQ,KEIHIN,KEIHI NEEDLE FCR35 41MM,Aguja de carburador KEIHIN FCR35 / 41MM A 1°30' L 76.45 D 2.745,16.13,13.33,8.00,,0,8409910090,0,1,"<p>These Keihin jet needles are given part numbers according to their dimensions</p>
<p>The syntax is <strong>N427-OC-(TAPER)(L1)(DIAMETER)</strong></p>
<p><em>For example N427-OC-DVR would be a taper of 0&deg;45&prime;, an L1 of 82.75mm and a diameter of 2.755mm</em></p>","
These Keihin jet needles are given part numbers according to their dimensions

The syntax is N427-OC-(TAPER)(L1)(DIAMETER)

For example N427-OC-DVR would be a taper of 0°45′, an L1 of 82.75mm and a diameter of 2.755mm",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114360,,N427-46HHH,KEIHIN,KEIHI NEEDLE PE/PWK 26/28,Aguja de carburador KEIHIN PE/PWK 26-28,13.10,10.83,6.50,D300CRB52372,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114366,,N427-48AHW,KEIHIN,KEIHI NEEDLE PWK/PJ/PWM,Aguja de carburador Carburador KEIHIN PWK/PJ/PWM AHW,13.10,10.83,6.50,D300CRB52477,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114367,,N427-48CCR,KEIHIN,KEIHI NEEDLE PWK/PJ/PWM,Aguja de carburador Carburador KEIHIN PWK/PJ/PWM 48CCR,13.10,10.83,6.50,D300CRB52519,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114370,,N427-48CGE,KEIHIN,KEIHI NEEDLE PWK/PJ/PWM,Aguja de carburador Carburador KEIHIN PWK/PJ/PWM R1364N 48CGE,13.10,10.83,6.50,D300CRB52537,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114359,,N427-46HHG,KEIHIN,KEIHI NEEDLE PE/PWK 26/28,Aguja de carburador KEIHIN PE/PWK 26-28 46HHG,13.10,10.83,6.50,D300CRB52371,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114384,,N427-48NCK,KEIHIN,KEIHI NEEDLE PWK/PJ/PWM,Aguja de carburador Carburador KEIHIN PWK/PJ/PWM 48NCK,13.10,10.83,6.50,D300CRB52717,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,10,12,10,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114386,,N427-48NED,KEIHIN,KEIHI NEEDLE PWK/PJ/PWM,Aguja de carburador Carburador KEIHIN PWK/PJ/PWM NED,13.10,10.83,6.50,D300CRB52719,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114364,,N427-46JJV,KEIHIN,KEIHI NEEDLE PE/PWK 26/28,Arandela de aguja de carburador KEIHIN PE-PWK 26-28 JJV,13.10,10.83,6.50,D300CRB52423,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114420,,1609-802-2101,KEIHIN,KEIHI SPAREPARTS VALVE SLIDE PLATE,"Campana carburador KEIHIN FCR 35-37-39-41 ""L"", altura 49.3mm",120.00,99.17,59.50,D300CRB50750,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,10,26,43,45,5,https://api.mybihr.com/medias/800Wx800H-1114420-1.jpg?context=bWFzdGVyfHJvb3R8NjAxMjJ8aW1hZ2UvanBlZ3xhRGxpTDJnMVpTODVPREU0TkRnMU9URXlNemMwTWk4NE1EQlhlRGd3TUVoZk1URXhORFF5TUMweExtcHdad3wzNmE2NWJmZTZhZmMxZTVmYjg2MWZhNmQwOWMyN2U2YjhmM2I1YzNmOTE0MDUxZjg1MTYzMTkxMDJiMDBmNDlj,https://api.mybihr.com/medias/800Wx800H-1114420-2.jpg?context=bWFzdGVyfHJvb3R8NTIzODN8aW1hZ2UvanBlZ3xhREUyTDJnMVlpODVOelk0TnpFMk1qSXlORFkzTUM4NE1EQlhlRGd3TUVoZk1URXhORFF5TUMweUxtcHdad3xjYTc3ZThkOGE4MDVhYTZhNTFjNGRlNmM1M2Q0MzU5ZTE4Y2E4M2Q5MTQzYzYwOGIzMWZlZmFhZDkzZWI5NTk4,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114411,,1230-826-2001,KEIHIN,KEIHI SPAREPARTS CAPS,Tapa bomba de recuperación carburador KEIHIN FCR 32-33-35-37-39-41,25.20,20.83,12.50,D300CRB50574,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,24,35,33,7,https://api.mybihr.com/medias/800Wx800H-1114411-1.jpg?context=bWFzdGVyfHJvb3R8NTc2MTF8aW1hZ2UvanBlZ3xhREEwTDJnMk55ODVPREU0TkRnMU56VTFNRGczT0M4NE1EQlhlRGd3TUVoZk1URXhORFF4TVMweExtcHdad3wxZDQ3MTJmNDAxYjhiYTZmYzVhZmRiM2E2ZjQ4NGEyMDUyMWZkMjk1MThhM2FmNzRmOWQ4NGUwZmEwMzdkYjBh,https://api.mybihr.com/medias/800Wx800H-1114411-2.jpg?context=bWFzdGVyfHJvb3R8NTg5NjZ8aW1hZ2UvanBlZ3xhRFEzTDJnMk1DODVPREU0TkRnMU56YzBOelE0Tmk4NE1EQlhlRGd3TUVoZk1URXhORFF4TVMweUxtcHdad3wwMDM2YTcwODY4MzEyMTMyOTg2YjQwNGRhZjQ1YmI5ODRhZTZkM2I4MjNlMTExOWJhMWVjOGExY2Y0ZTlmNzlk,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114414,,1290-923-2000,KEIHIN,KEIHI SPAREPARTS SPRING,Muelle de carburador KEIHIN PWK 28,3.03,2.50,1.50,D300CRB50640,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,10,20,5,20,https://api.mybihr.com/medias/800Wx800H-1114414-1.jpg?context=bWFzdGVyfHJvb3R8MzA3MzJ8aW1hZ2UvanBlZ3xhRGMyTDJnMU9TODVPREU0TkRnMU56azBOREE1TkM4NE1EQlhlRGd3TUVoZk1URXhORFF4TkMweExtcHdad3w4NjBiMWFkNTQ3NDJlYzUzNzQxMzJhMGQ0NWY1YWY3ZjA1OGYxMmY4Mjk3OTkzMjE3YjhiNTJiYWEwNGViODFm,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114409,,1202-837-2000,KEIHIN,KEIHI SPAREPARTS GASKET,Junta de tapa de carburador KEIHIN PWK28,9.58,7.92,4.75,D300CRB50563,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,5,15,15,10,https://api.mybihr.com/medias/800Wx800H-1114409-1.jpg?context=bWFzdGVyfHJvb3R8Mzg5NTR8aW1hZ2UvanBlZ3xhREJrTDJoak15ODVPREU0TkRnMU5qazJNVEExTkM4NE1EQlhlRGd3TUVoZk1URXhORFF3T1MweExtcHdad3wyNGYwOTQ3M2VjNmVlYmFmMWZkMjI1NjZiNjhkYjYxZDMxNTYwMDRlZmU5MWRiYTQ5NjA1NTZlZDIxYzI2ZWM0,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114402,,1119-803-7002,KEIHIN,KEIHI SPAREPARTS ROLLER,Ruleta de carburador KEIHIN FCR 32-33-35-37-39-41,9.58,7.92,4.75,D300CRB50469,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,https://api.mybihr.com/medias/800Wx800H-1114402-1.jpg?context=bWFzdGVyfHJvb3R8MjgwNTR8aW1hZ2UvanBlZ3xhRGhpTDJoall5ODVPREU0TkRnMU5UYzRNVFF3Tmk4NE1EQlhlRGd3TUVoZk1URXhORFF3TWkweExtcHdad3xjNTZjMGQ2NzcyZGJjZjJkMjI3ZDBmYjg3MTQ5MzY5N2QxNzE3ODBkMWNiODNlNGZlYWIxMGEzMThkODVmNGVi,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1114442,,W1271-008-9910,KEIHIN,KEIHI SPAREPARTS STRATER PULL,Tirador de starter KEIHIN PE 26,9.58,7.92,4.75,D300CRB53354,2,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,5,20,15,10,https://api.mybihr.com/medias/800Wx800H-1114442-1.jpg?context=bWFzdGVyfHJvb3R8NjA4NTV8aW1hZ2UvanBlZ3xhRGRqTDJoak5TODROalk0TmpVM09EUTBNakkzTUM4NE1EQlhlRGd3TUVoZk1URXhORFEwTWkweExtcHdad3w5YTE5MWQzNDhhZDViN2VkN2U5NzI5NDAwNDBmNDVjMjkzMTAwOWYzOWVkZTYxZmRiNDNiZjViN2ExMWI3ZDFl,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1109084,,1001-806-80-185,KEIHIN,KEIHI JET MAIN 185MM,Chiclé de alta KEIHIN 185,9.08,7.50,4.50,1001-806-80-1,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,5,10,10,10,https://api.mybihr.com/medias/1009213-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ1NDF8aW1hZ2UvanBlZ3xhR1kzTDJnelpDODRPVFE1TURVMU1Ua3pNVEU0THpFd01Ea3lNVE10TVY4NE1EQlhlRGd3TUVnfDg3NmU4MTEyMDQxYjgzOTNiNWNmZmViY2RiMjgxNDJjMjE3MWQ0OTg2ODE5MDEwM2ZjYzE5NWVlYjRlNGMyZWU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1109080,,1001-806-80-125,KEIHIN,KEIHI JET MAIN 25 MM,Chiclé de alta KEIHIN 125,9.08,7.50,4.50,1001-806-80-1,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,172,12,10,10,https://api.mybihr.com/medias/1009208-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ1NDF8aW1hZ2UvanBlZ3xhRGRtTDJnMk5pODRPVEkyTkRJMU1qVXhPRGN3THpFd01Ea3lNRGd0TVY4NE1EQlhlRGd3TUVnfGIzNmRjYzQwNjNiNDAzNDMwNTc1OGU5YTgwYTBjMTZhOWUxNjE0M2QxNTAzMDk1NjZjMWI2ZjU3NzI5ODMyNmI,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106362,,N424-26068,KEIHIN,KEIHI JET IDLE 68MM,Chiclé de baja KEIHIN N424-26-68,9.08,7.50,4.50,,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,https://api.mybihr.com/medias/1009495-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjExNDB8aW1hZ2UvanBlZ3xhR1k0TDJnNE1TODRPVE00TnpJME56SXdOamN3THpFd01EazBPVFV0TVY4NE1EQlhlRGd3TUVnfDRlNjI0ZDg1NDg0ODA1ZDc1OGM5ZDFiM2VkM2YzMWI0NThkNTg1ODdlMzNlOTUwOTIwYmMzNmU5NDcxZWZkODc,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106425,,N424-26060,KEIHIN,KEIHI JET IDLE 60MM,Boquilla de ralentí KEIHIN 60,9.08,7.50,4.50,,0,8481809990,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1109083,,1001-806-80-180,KEIHIN,KEIHI JET MAIN 180MM,Chiclé de alta KEIHIN 180,9.08,7.50,4.50,1001-806-80-1,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,172,12,10,10,https://api.mybihr.com/medias/1009212-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ1NDF8aW1hZ2UvanBlZ3xhRFEyTDJoak5pODRPVEkzTURBek1qUTJOakl5THpFd01Ea3lNVEl0TVY4NE1EQlhlRGd3TUVnfGQyNjU3MmRmOGYzMDNmMDA2YjhkYmFiYjYxYTkyYWUwZWE2MmYwNDE4MGQyZTVkMzM0ZmU1NWM4ZmQwYjQyOWU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1109085,,1001-806-80-195,KEIHIN,KEIHI JET MAIN 195MM,Chiclé de alta KEIHIN 195,9.08,7.50,4.50,1001-806-80-1,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1725,172,165,123,85,https://api.mybihr.com/medias/1009215-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ1NDF8aW1hZ2UvanBlZ3xhR1k1TDJnNFpDODRPVFV6TXpJMk5ETTJNemd5THpFd01Ea3lNVFV0TVY4NE1EQlhlRGd3TUVnfDdjNjFjZjU3ZmQ3ZDgzMmJiNzFkNjdlOTBlODI2OGY4NjY1Mjg2MzVkYTFhMzNkYTgzMGE0YmNjNTE3YTA2N2M,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106364,,N424-26075,KEIHIN,KEIHI JET IDLE 75MM,Chiclé de baja KEIHIN N424-26-75,9.08,7.50,4.50,,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,https://api.mybihr.com/medias/1009497-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjExNDB8aW1hZ2UvanBlZ3xhRGs1TDJnMFpTODRPVEF4TVRNeE9USTNOVGd5THpFd01EazBPVGN0TVY4NE1EQlhlRGd3TUVnfDMxY2QyYWQ5NjIyYTQ5N2I0ZGMzNzkyOWYyODVhYTUxNTJjMGY1ZTY2ZTJlYmRhMmM1OGI3OGQ3ZThjNWJjOTQ,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1109079,,1001-806-80-100,KEIHIN,KEIHI JET MAIN 100MM,Chiclé de alta KEIHIN 100,9.08,7.50,4.50,1001-806-80-1,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,172,12,10,10,https://api.mybihr.com/medias/1009206-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ1NDF8aW1hZ2UvanBlZ3xhRGcxTDJnd1l5ODRPVFk0T0RVd09ETXpORE00THpFd01Ea3lNRFl0TVY4NE1EQlhlRGd3TUVnfDZlMTMwZGNlMzYxZWM2MWMxZjIwYjhjZDE2MTA1ZmVmYzkyOTA0OGI2MTNiYzU1YzIyMDdjYWUzNzgxNjA1MjI,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1106428,,N424-26080,KEIHIN,KEIHI JET IDLE 80MM,Boquilla de ralentí KEIHIN 80,9.08,7.50,4.50,,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,4,5,20,10,20,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1109082,,1001-806-80-170,KEIHIN,KEIHI JET MAIN 170MM,Chiclé de alta KEIHIN 170,9.08,7.50,4.50,1001-806-80-1,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,5,10,10,10,https://api.mybihr.com/medias/1009211-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjQ1NDF8aW1hZ2UvanBlZ3xhR1F6TDJobVpTODRPVFV6TXpNek16VXdORE13THpFd01Ea3lNVEV0TVY4NE1EQlhlRGd3TUVnfDY5MmE4OGZjYmQ3OWZjNDg5NjczZTEyNzUyZjY3MDM3Y2UwMmUwMzBmMzUxOThkMWRiNzY1MjZkM2Q1MGFiZmU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009621,41-EKT,N427-OC-EKT,KEIHIN,KEIHI NEEDLE FCR35 41MM,Aguja de carburador Keihin FCR35 41MM EKT,7.50,6.20,4.03,N427-OC-EKT,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009625,41-FBQ,N427-OC-FBQ,KEIHIN,KEIHI NEEDLE FCR35 41MM,Aguja de carburador Keihin FCR35 41MM FBQ,7.50,6.20,4.03,N427-OC-FBQ,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009627,41-GMM,N427-OC-GMM,KEIHIN,KEIHI NEEDLE FCR35 41MM,Aguja de carburador Keihin FCR35 41MM GMM,7.50,6.20,4.03,N427-OC-GMM,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,7,5,50,10,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
