PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,Picture7,Picture8,AllPicturesZIP,DeliveryPlant
1009531,KEV65,N424-35065,KEIHIN,KEIHI JET IDLE 65MM,Chiclé de baja Keihin N424-35-65,3.50,2.89,1.88,N424-35-65,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009531-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3MzV8aW1hZ2UvanBlZ3xhR0psTDJoaVl5ODRPVFk0T0RZd05qWXpPRE00THpFd01EazFNekV0TVY4NE1EQlhlRGd3TUVnfDUwOTg1NDAzYTAyZTdlMDliNzRjOGVmOWY5YjBlYjFkYzVmMzIzZDE2ZWIyOTFjYjI3NmU0YWJlODM2N2NkY2E,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009543,KEV98,N424-35098,KEIHIN,KEIHI JET IDLE 98MM,Chiclé de baja Keihin N424-35-98,3.50,2.89,1.88,N424-35-98,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009543-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3MzV8aW1hZ2UvanBlZ3xhR1JoTDJoa01pODRPVFk0T0RZeE9EUXpORGcyTHpFd01EazFORE10TVY4NE1EQlhlRGd3TUVnfGYyNzFlMjA5NWU0MDZlMmUxMGFhMjgyNTlkZGFiZjE1ZDEwN2M3MDRjNDNkZTU0MThmYzAzZDBmZWJmMzA1ZWU,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009420,KEP75,N424-21075,KEIHIN,KEIHI JET IDLE 75MM,Chiclé de baja Keihin N424-21-75,3.00,2.48,1.61,N424-21-75,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009420-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI1MjF8aW1hZ2UvanBlZ3xhR1U0TDJnMk9DODRPVEkyTnpnME9ERTFNVE0wTHpFd01EazBNakF0TVY4NE1EQlhlRGd3TUVnfDkzY2RjNzc3NjI3NGExMjRhZGRiOWYzZjBmY2JhYTk4ZmZkYmNjOWZlMWNkZTgwMWU0MDc4Y2M4OGM0MWFjNDc,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009422,KEP80,N424-21080,KEIHIN,KEIHI JET IDLE 80MM,Chiclé de baja Keihin N424-21-80,5.00,4.13,2.68,N424-21-80,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009422-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI1MjF8aW1hZ2UvanBlZ3xhR05sTDJnNFlpODRPVEF4TlRnd05qVXlOVGMwTHpFd01EazBNakl0TVY4NE1EQlhlRGd3TUVnfGMxYzI3ZDVmNzQ4NDA1OGNiNmZhNWU0ODFmZWFmY2E0MTI1MjU5YWMzYmQwYzViNmE3YmI0YTU4MGU3MTFjYmY,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009441,KEU80,N424-22-80,KEIHIN,KEIHI JET IDLE 80MM,Chiclé de baja Keihin N424-22-80,3.50,2.89,1.88,N424-22-80,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009441-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjIyMTN8aW1hZ2UvanBlZ3xhRGM1TDJnMFlTODRPVE00TkRnMU5UYzVPREEyTHpFd01EazBOREV0TVY4NE1EQlhlRGd3TUVnfDU4MzRiMGIyODU1ZDc4MmRiY2IxNzc3M2ZlMWQxYTBjYTY2MGRjYzY2YzA0NDY4YTIxYjFlODNmOGY3MzYxNzk,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009457,KEM72,N424-24072,KEIHIN,KEIHI JET IDLE 72MM,Chiclé Keihin N424-24-72,5.00,4.13,0.36,N424-24-72,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009457-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTkxOTl8aW1hZ2UvanBlZ3xhR1EzTDJnM055ODRPVEE0TkRJME5qYzFNelU0THpFd01EazBOVGN0TVY4NE1EQlhlRGd3TUVnfGFhNTIwNGQwZTFhN2RiYjUyYTVkYjNmYWYyZDA4MTk5YWMxY2ViZjc5ZWNjYTA5N2M0MzYxZDQ0MzM5ZmVkMjY,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009493,KEL62,N424-26062,KEIHIN,KEIHI JET IDLE 62MM,Chiclé de baja Keihin N424-26-62,3.00,2.48,1.61,N424-26-62,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009493-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjExNDB8aW1hZ2UvanBlZ3xhRGRqTDJobFpTODRPVE0wTnpneU9EWXhNelF5THpFd01EazBPVE10TVY4NE1EQlhlRGd3TUVnfDhlMmUwYWQ2YjA5ZGY1NTUzNGZjNzA3M2RlZTc4YTFmNGNlYmVjZTFiNGM2N2Q0YzkyZDU2YzA2YmJhNzlhNWQ,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009494,KEL65,N424-26065,KEIHIN,KEIHI JET IDLE 65MM,Chiclé de baja Keihin N424-26-65,3.00,2.48,1.61,N424-26-65,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009494-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjExNDB8aW1hZ2UvanBlZ3xhR1kwTDJnM05DODRPVFExT0RNNE5UVTFNVFkyTHpFd01EazBPVFF0TVY4NE1EQlhlRGd3TUVnfGEzMTU5ODI2ZmRkYTMzM2Y4MWU1M2IxZjQ0OGNiNTEzOWJjZTkzOTE3MzUzNDBiMGM2NDY2MmE2OWZjNDUwNGQ,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009495,KEL68,N424-26068,KEIHIN,KEIHI JET IDLE 68MM,Chiclé de baja Keihin N424-26-68,3.00,2.48,0.23,N424-26-68,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,https://api.mybihr.com/medias/1009495-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjExNDB8aW1hZ2UvanBlZ3xhR1k0TDJnNE1TODRPVE00TnpJME56SXdOamN3THpFd01EazBPVFV0TVY4NE1EQlhlRGd3TUVnfDRlNjI0ZDg1NDg0ODA1ZDc1OGM5ZDFiM2VkM2YzMWI0NThkNTg1ODdlMzNlOTUwOTIwYmMzNmU5NDcxZWZkODc,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
1009481,KED95,N424-25B95,KEIHIN,KEIHI JET IDLE 95MM,Chiclé de baja KEIHIN 95,3.50,2.89,1.88,N424-25B95,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,10,20,10,10,https://api.mybihr.com/medias/1009481-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA3NzV8aW1hZ2UvanBlZ3xhR1E1TDJnd05TODRPVFV6TURZek5EUXdOREUwTHpFd01EazBPREV0TVY4NE1EQlhlRGd3TUVnfDI5YTkzMDI0M2UyNWU5MTNhMTdlMDEzODdlZGUxYzBmMzJmZTAwNmY2OGZhYWM5OTA2NmUwNGNmZmFhZjE0NWI,,,,,,,,https://static.bihr.pro/eBihr/Pictures/KEIHIN-pictures.zip,Spain Warehouse (Parts)
