PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Cantidad de dientes,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),BCD (Mm),Color,Composición,Desplazamiento (mm),Dientes,Espesor (mm),Linea de cadena (Mm),Material de plato,Número de dientes de la corona,Número de dientes del piñón,Paso de cadena,Tipo,Tipo de corona,Tipo de piñón,Uso recomendado,Velocidades,Versión de corona,Versión de piñón,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1075578003,41823,50-32075-40,ESJOT,"ESJOT RR SPROC 520 STEEL 32075, 40",Corona ESJOT Acero 50-32075 40 dientes,95.00,78.51,51.03,8430525418233,2,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,40 dientes,,319,1642,217,210,7,,,Acero,,,,,,,,520,,,,,,,,https://api.mybihr.com/medias/1075578003-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzIyODd8aW1hZ2UvanBlZ3xhREF4TDJobFlTOHhOVFF5TmpVMU1USTFNRGszTkM4eE1EYzFOVGM0TURBekxURmZPREF3VjNnNE1EQkl8YjM4OTIyZTUzM2I5ZDM1MTU2Yjk0YjE4ODFjZDA3ZWY0NzI3ZTBmN2FjNTAyOGQwZDFiNjNkMWE4NThhYTdmOQ,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075578002,41824,50-32075-39,ESJOT,"ESJOT RR SPROC 520 STEEL 32075, 39",Corona ESJOT Acero 50-32075 39 dientes,95.00,78.51,23.31,8430525418240,2,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,39 dientes,,1628,1548,204,210,38,,,Acero,,,,,,,,520,,,,,,,,https://api.mybihr.com/medias/1075578002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzIxMDR8aW1hZ2UvanBlZ3xhR0kxTDJnNU5DOHhOVFF5TmpVMU1EZzFOemMxT0M4eE1EYzFOVGM0TURBeUxURmZPREF3VjNnNE1EQkl8M2VmNDc1OWMzNzQzNWNhNGFjZTVmYWY5MTIwYWQ3MDVmOTI4M2Q5MjMyZDA1MzEwMDVmNjVmODBkODRkYzUxZg,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075581001,41846,51-13025-46,ESJOT,"ESJOT RR SPROC 420 ALU 13025, 46, SIL",Corona ESJOT Aluminio 51-13025 46 dientes,34.29,28.34,18.42,8430525418462,4,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,46 dientes,Plata,1350,260,189,188,38,,,Aluminio,,,,,,46,,420,,,,,,,,https://api.mybihr.com/medias/1075581001-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjM3MjN8aW1hZ2UvanBlZ3xhRGd6TDJnNE15OHhOVFF5TmpVMU56a3pOVFkwTmk4eE1EYzFOVGd4TURBeExURmZPREF3VjNnNE1EQkl8N2YzNzY3ZWYzMGRhODQzOTljNmU0OWQ3OGNjZWZiNWVhZGE2ZGFhNjc5NDUxZGU0Njg1YjA2MzFjNGE2ZDYwNg,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075582002,41770,51-13044-53,ESJOT,"ESJOT RR SPROC 420 ALU 13044, 53, SIL",Corona ESJOT Aluminio 51-13044 53 dientes,44.95,37.15,11.15,8430525417700,1,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,53 dientes,Plata,1386,314,227,218,28,,,Aluminio,,,,,,,,420,,,,,,,,https://api.mybihr.com/medias/1075582002-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjI3MTB8aW1hZ2UvanBlZ3xhR0prTDJnMFppOHhOVFF5TmpVMU9Ua3dNVGN5Tmk4eE1EYzFOVGd5TURBeUxURmZPREF3VjNnNE1EQkl8ZTU1ZTkzZGY0MzhjZWFmNDVmYjkxYTc5Y2ZjNGIyNTY5MTc3YjY5MzhhMzJlNThjYjE3ZGQzOTY2M2ZlMGQ3Yg,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075586023,41992,51-32041-53BP,ESJOT,"ESJOT RR SPROC 520 ALU 32041, 53, BLK",Corona ESJOT Aluminio negro 51-32041-53BP dientes,35.09,29.00,8.84,8430525419926,1,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,53 dientes,Negro,3142,418,273,274,42,,,Aluminio,,,,,,,,520,,,,,,,,https://api.mybihr.com/medias/1075586023-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjExNTl8aW1hZ2UvanBlZ3xhR1JpTDJoaE15OHhOVFF5TmpVNU56STFOekkwTmk4eE1EYzFOVGcyTURJekxURmZPREF3VjNnNE1EQkl8YWE2OTExMzYyOWMxMDk4MjE0MjY3NGIzNzc1NWI4ZmQ5MjljMmZiMjJjMWM4NzZhNjk4NDUwZDE5MzQ0NGNhNQ,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075595007,43316,51-32206-46,ESJOT,"ESJOT RR SPROC 520 ALU 32206, 46, SIL",Corona ESJOT Aluminio 51-32206-46 dientes,13.31,11.00,7.15,8430525433168,2,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,46 dientes,Plata,58,344,240,240,1,,,Aluminio,,,,,,,,520,,,,,,,,https://api.mybihr.com/medias/1075595007-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjY0MzB8aW1hZ2UvanBlZ3xhR000TDJobE1pOHhOVFF5TmpZME1EVXhNVEF3Tmk4eE1EYzFOVGsxTURBM0xURmZPREF3VjNnNE1EQkl8MWNjOWM3YjY2ZGYzYWZjYTg4MzM0ZmFkZWIxODczOGJlMTIxMzM4NmRkYjMxY2I5MWQ2NjljOWY3MTMyZDRmOQ,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075595008,48694,51-32206-47,ESJOT,"ESJOT RR SPROC 520 ALU 32206, 47, SIL",Corona ESJOT aluminio 51-32206 47 dientes,36.00,29.75,10.50,8430525486942,3,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,47 dientes,Plata,1285,366,276,245,19,,,Aluminio,,,,,,,,520,,,,,,,,https://api.mybihr.com/medias/1075595008-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjcwMTl8aW1hZ2UvanBlZ3xhRFUxTDJobU1DOHhOVFF5TmpZME1Ea3dOREl5TWk4eE1EYzFOVGsxTURBNExURmZPREF3VjNnNE1EQkl8NWE1OGNmNWMwNWVhNDIzYzE0ZWI5ZDQwYTNmZDMwNmQ2NTU0YzFjY2IwMGE1MzI2OTczZjQ2MWRlNmEwODQzZg,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1075595005,48691,51-32206-44,ESJOT,"ESJOT RR SPROC 520 ALU 32206, 44, SIL",Corona ESJOT aluminio 51-32206 44 dientes,45.00,37.19,11.16,8430525486911,1,8483409099,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SPROCKET,44 dientes,Plata,1392,314,242,230,25,,,Aluminio,,,,,,,,520,,,,,,,,https://api.mybihr.com/medias/1075595005-1-800Wx800H?context=bWFzdGVyfHJvb3R8Njg0ODR8aW1hZ2UvanBlZ3xhR1EzTDJneVpDOHhOVFF5TmpZek9UY3lORFUzTkM4eE1EYzFOVGsxTURBMUxURmZPREF3VjNnNE1EQkl8MGYxYTI3ZTgwOGYwOWQ5MDZlNGZjNmEwMWNiNjJhOTEyMzNlOTZjNTE0YTNiYjkxMmU3NTRjNjgwZTZkMTJmZg,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1115051,1115051,19-11105-19,ESJOT,ESJOT E-BIKE SPROCKET FLAT 19T BOSCH G.2,Piñón E-Bike ESJOT plano 19T Bosch G.2,8.00,6.61,2.99,4251516559209,8,8714930090,0,1,"<ul>
<li>Paso 1/2"" x 1/8"" (1,27x0,31cm)</li>
<li>Para motores Bosch, generaci&oacute;n 2 (Active Line, Performance Line)</li>
<li>Acero negro con recubrimiento KTL (espesor del material 3,0mm)</li>
</ul>","
Paso 1/2"" x 1/8"" (1,27x0,31cm)
Para motores Bosch, generación 2 (Active Line, Performance Line)
Acero negro con recubrimiento KTL (espesor del material 3,0mm)
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,,161,88,116,107,13,,Negro,,,,,,Acero,,,,,,,,,,,https://api.mybihr.com/medias/1115051-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTg1ODkzfGltYWdlL2pwZWd8YUdFMEwyaGhPUzh4TlRreE9UQTRPRFF3TWpRMk1pOHhNVEUxTURVeExURmZPREF3VjNnNE1EQkl8NjIzMDYyZDk0ZTE1NTBhN2FiNzliMTYxN2RkN2JkODNjYmViNzZkZjUyYTU2YmE0OTZhZjQyN2JiYTllMjVhMQ,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
1115055,1115055,19-1700-18,ESJOT,ESJOT BIKE SPROCKET OFFSET 18T 1/2X3/32,Piñón de bicicleta Esjot Offset 18T 1/2X3/32,4.50,3.72,0.75,4251516500843,10,8714930090,0,1,"<ul>
<li>Pi&ntilde;&oacute;n de bicicleta</li>
<li>Paso 1/2"" x 3/32"" (1,27x2,54cm)</li>
<li>Galvanizado (espesor del material 2mm)</li>
<li>Adecuado para bujes de 3, 4, 5, 7 y 8 marchas, buje de pedalier / buje r&iacute;gido, SRAM, Shimano, Sturmey Archer</li>
</ul>","
Piñón de bicicleta
Paso 1/2"" x 3/32"" (1,27x2,54cm)
Galvanizado (espesor del material 2mm)
Adecuado para bujes de 3, 4, 5, 7 y 8 marchas, buje de pedalier / buje rígido, SRAM, Shimano, Sturmey Archer
",VEHICLE PARTS & ACCESSORIES,BICYCLE PARTS & ACCESSORIES,BICYCLE PARTS,,,123,63,116,106,10,,Plata,,,,,,Acero,,,,,,,,8,,,https://api.mybihr.com/medias/1115055-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU2Nzc1fGltYWdlL2pwZWd8YUdabUwyZ3laQzh4TlRreE9UQTRPVGszTlRNeU5pOHhNVEUxTURVMUxURmZPREF3VjNnNE1EQkl8YWQxNDgyODVmYWIzODMwNTU0ODdhNTU0MzlkODMzNGJiZmMwZWZjMWIyY2VhMjc4MDNjYmMxZmJjNGM0OGRjZg,,,https://static.bihr.pro/eBihr/Pictures/ESJOT-pictures.zip,Spain Warehouse (Parts)
