PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Embalaje,Referencias OEM,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,Document1,DeliveryPlant
1014976,830007,02841,DELL ORTO,DELLO CARBURETOR PHBL 26BS,Carburador DELLORTO PHBL 26 BS,196.49,162.39,105.55,02841,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2044,566,151,134,101,,,https://api.mybihr.com/medias/800Wx800H-1014976-1.jpg?context=bWFzdGVyfHJvb3R8MzYwMDN8aW1hZ2UvanBlZ3xhRFpsTDJnMlpDODVOemczTmpVMU1EUTFNVEl6TUM4NE1EQlhlRGd3TUVoZk1UQXhORGszTmkweExtcHdad3wzZjE4MGZlZTQ3Y2RkNjY5MTdlZDE5MWQzYTUyZjM5MmM2NzE4MjRjMjYwNDI1MTUxYzEyNGI5MmU3YWRkZTgw,https://api.mybihr.com/medias/800Wx800H-1014976-2.jpg?context=bWFzdGVyfHJvb3R8MzUwNDl8aW1hZ2UvanBlZ3xhREpoTDJnM05DODVOemczTmpVMU1EWTBOemd6T0M4NE1EQlhlRGd3TUVoZk1UQXhORGszTmkweUxtcHdad3w2OTY5YmMwMjQzYWRhZTkyNWU3MjAyY2FlYzZjY2IxZDllMTA1MzY5Y2QyMWQzMTUyYzdiMDU5ZmFhMTg1MDcz,https://api.mybihr.com/medias/800Wx800H-1014976-3.jpg?context=bWFzdGVyfHJvb3R8NzEwMjR8aW1hZ2UvanBlZ3xhR1k1TDJnM1pDODVOemczTmpVMU1Ea3dPVGs0TWk4NE1EQlhlRGd3TUVoZk1UQXhORGszTmkwekxtcHdad3xkZTE0Mjc0N2M2NWIxM2MzMTY0NDhlYWU0OTA2NDU0NDM2ZDViZDE0MmRmOWJlMDgzZDlhNGNkZDViYmE3OThh,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014978,12600008,4809,DELL ORTO,DELLO CARBURETOR PHM 40 AS1,Carburador DELLORTO PHM 40 AS1 Ducati 900SS,416.24,344.00,223.60,4809,0,8409910090,0,1,"<p>Carburador montado de f&aacute;brica en la BMW R90S, pero que se puede utilizar en otros modelos.&nbsp;Carburador de 4 tiempos con bomba de enriquecimiento. Di&aacute;metro de la entrada de aire con rosca M52 x 1,25 Conexi&oacute;n mediante abrazadera, que se adapta a di&aacute;metros de 45 a 48 mm.</p><p>Equipado con palanca de aire, que se puede instalar con cable si es necesario.</p><p>La bomba de enriquecimiento se eleva para mantener el equilibrio.</p><p>&nbsp;</p><p>Configuraci&oacute;n est&aacute;ndar&nbsp;</p><ul><li>V&aacute;lvula de gas: 605</li><li>Tipo de aguja: Dellorto K4</li><li>Pulverizador: AB260</li><li>Chicl&eacute; de alta: 155</li><li>Chicl&eacute; de baja: 60</li><li>Chicl&eacute; bomba enriquecimiento: 38</li><li>Chicl&eacute; de arranque: 60</li><li>V&aacute;lvula del flotador: 300</li><li>Flotador: 8,5&thinsp;g</li></ul>","
Carburador montado de fábrica en la BMW R90S, pero que se puede utilizar en otros modelos. Carburador de 4 tiempos con bomba de enriquecimiento. Diámetro de la entrada de aire con rosca M52 x 1,25 Conexión mediante abrazadera, que se adapta a diámetros de 45 a 48 mm.
Equipado con palanca de aire, que se puede instalar con cable si es necesario.
La bomba de enriquecimiento se eleva para mantener el equilibrio.
 
Configuración estándar Válvula de gas: 605Tipo de aguja: Dellorto K4Pulverizador: AB260Chiclé de alta: 155Chiclé de baja: 60Chiclé bomba enriquecimiento: 38Chiclé de arranque: 60Válvula del flotador: 300Flotador: 8,5 g",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,4469,1000,183,165,148,,,https://api.mybihr.com/medias/1014978-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIyNTE0fGltYWdlL2pwZWd8YURNMUwyZ3dZUzg0T1RZNE9UYzRNalk0TVRrd0x6RXdNVFE1TnpndE1WODRNREJYZURnd01FZ3w4NDE1OWY4ZjdiY2E5YTJmNjkyMjY1ODNjNDg2MmYzZjliNTFhYTVlOTcwNmI1NmUyZjIyNWZiMmNjZGM4NDNi,https://api.mybihr.com/medias/1014978-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzIxMTQ1fGltYWdlL2pwZWd8YURZMUwyZ3dNeTg0T1RZNE9UYzRORFkwTnprNEx6RXdNVFE1TnpndE1sODRNREJYZURnd01FZ3w5MDNjZjZiOWNkMjBkMjVmZmNiMzA4Y2ZiNzRmNWMwOTkyYzc3ZGEwM2MzMDM1YjcwNTBiMjM1YzE0ZjQxZTNh,https://api.mybihr.com/medias/1014978-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzMwNDEwfGltYWdlL2pwZWd8YURaaUwyZ3dNeTg0T1RZNE9UYzROall4TkRBMkx6RXdNVFE1TnpndE0xODRNREJYZURnd01FZ3wyNjRiN2ZmNDc5YzAxM2QzNmJkZjZhNmQwN2RiMGNlZjczYzkwNjEyMDIyMjc0NGZiYWFkZDAwNzM1YmNmZTI0,https://api.mybihr.com/medias/1014978-4-800Wx800H?context=bWFzdGVyfHJvb3R8MzI4NDY1fGltYWdlL2pwZWd8YURJNEwyZ3dZUzg0T1RZNE9UYzRPRFU0TURFMEx6RXdNVFE1TnpndE5GODRNREJYZURnd01FZ3wxZDc0ZDM0YWVlMzY2YzQwMzNiYWM4M2IwOThiMzg4ZGVhYjU5ZTQwZWViYWU2ODA5NzhkOTlkYWZjZWYzODYx,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014979,12600006,4810,DELL ORTO,DELLO CARBURETOR PHM 40 AD1,Carburador DELLORTO PHM 40 AD1 Ducati 900SS,416.24,344.00,223.60,4810,0,8409910090,0,1,"<p>Carburador montado de f&aacute;brica en la BMW R90S, pero que se puede utilizar en otros modelos.&nbsp;Carburador de 4 tiempos con bomba de enriquecimiento. Di&aacute;metro de la entrada de aire con rosca M52 x 1,25 Conexi&oacute;n mediante abrazadera, que se adapta a di&aacute;metros de 45 a 48 mm.</p><p>Equipado con palanca de aire, que se puede instalar con cable si es necesario.</p><p>La bomba de enriquecimiento se eleva para mantener el equilibrio.</p><p>&nbsp;</p><p>Configuraci&oacute;n est&aacute;ndar&nbsp;</p><ul><li>V&aacute;lvula de gas: 605</li><li>Tipo de aguja: Dellorto K4</li><li>Pulverizador: AB260</li><li>Chicl&eacute; de alta: 155</li><li>Chicl&eacute; de baja: 60</li><li>Chicl&eacute; bomba enriquecimiento: 38</li><li>Chicl&eacute; de arranque: 60</li><li>V&aacute;lvula del flotador: 300</li><li>Flotador: 8,5&thinsp;g</li></ul>","
Carburador montado de fábrica en la BMW R90S, pero que se puede utilizar en otros modelos. Carburador de 4 tiempos con bomba de enriquecimiento. Diámetro de la entrada de aire con rosca M52 x 1,25 Conexión mediante abrazadera, que se adapta a diámetros de 45 a 48 mm.
Equipado con palanca de aire, que se puede instalar con cable si es necesario.
La bomba de enriquecimiento se eleva para mantener el equilibrio.
 
Configuración estándar Válvula de gas: 605Tipo de aguja: Dellorto K4Pulverizador: AB260Chiclé de alta: 155Chiclé de baja: 60Chiclé bomba enriquecimiento: 38Chiclé de arranque: 60Válvula del flotador: 300Flotador: 8,5 g",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,4422,998,180,166,148,,,https://api.mybihr.com/medias/1014979-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzMwOTI3fGltYWdlL2pwZWd8YUdFMEwyZzFPQzg0T1RZNE9UYzVNRFUwTmpJeUx6RXdNVFE1TnprdE1WODRNREJYZURnd01FZ3xlYjM4ZDIwZjY4MDBiN2Q4Njg5MGU3ODM4ZDQwYTczMTVjYTE3MGEwNzAwOGExNWRmZDNjYzEwNWM2MjFiYzc4,https://api.mybihr.com/medias/1014979-2-800Wx800H?context=bWFzdGVyfHJvb3R8MzI2Mzk3fGltYWdlL2pwZWd8YURjMEwyZzFaaTg0T1RZNE9UYzVNalV4TWpNd0x6RXdNVFE1TnprdE1sODRNREJYZURnd01FZ3w4Y2YyNmVjNzQ1OGY1YTkwZWUwMTZiYjI5YmVjYTk5ODQ4ODc0MGE4MDg2YWQyM2YyNGZkYzRjNDkyZTc5NjM5,https://api.mybihr.com/medias/1014979-3-800Wx800H?context=bWFzdGVyfHJvb3R8MzExMDczfGltYWdlL2pwZWd8YURNeEwyZzJOaTg0T1RZNE9UYzVORFEzT0RNNEx6RXdNVFE1TnprdE0xODRNREJYZURnd01FZ3xlMGMxODFmNjYxNDY2NDEzMGMzYWM4ZWYzMDEwN2JiMDcwYWE2OGMxYjk2MGYxMGEyMmQ1YjIxOWU0YmI2M2E0,https://api.mybihr.com/medias/1014979-4-800Wx800H?context=bWFzdGVyfHJvb3R8MzA4NTg2fGltYWdlL2pwZWd8YURBeUwyZzJaQzg0T1RZNE9UYzVOalEwTkRRMkx6RXdNVFE1TnprdE5GODRNREJYZURnd01FZ3xmMTNmMThkM2JmMjlhOTBiZThkMTdiMWE1NDYzZTk5NTgxMTE3YzdjZGM5OWY5NjlhNDVhMTg1ZmI2MjY1NWY5,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014983,830005,02660/A,DELL ORTO,DELLO CARBURETOR PHBG 21,Carburador DELLORTO PHBG 21,122.21,101.00,65.65,02660/A,39,8409910090,0,1,"<p>Carburador para motores de 2 tiempos a partir de 65 cc, optimizado para scooters.</p>
<p>DATOS TÉCNICOS</p>
<ul>
	<li>Diámetro de montaje del motor 25 mm</li>
	<li>Diámetro de entrada de aire 32 mm</li>
</ul>
","
Carburador para motores de 2 tiempos a partir de 65 cc, optimizado para scooters.

DATOS TÉCNICOS

	Diámetro de montaje del motor 25 mm
	Diámetro de entrada de aire 32 mm

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1088,450,150,78,93,,,https://api.mybihr.com/medias/1014983-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjQ5ODd8aW1hZ2UvanBlZ3xhRFl6TDJoallpOHlOemN5TVRNek5UVXdORGt5Tmk4eE1ERTBPVGd6TFRGZk9EQXdWM2c0TURCSXwyNzE2MDA2MmU5ZDJjZDNjMTNiYjFhOWEzYTFjY2RiOTAwNTYyOTYyYzlmMWI2NzM5MjY2YTc1OTk4NmVkYjcz,https://api.mybihr.com/medias/1014983-2-800Wx800H?context=bWFzdGVyfHJvb3R8Njg1MTh8aW1hZ2UvanBlZ3xhRE0wTDJoa01pOHlOemN5TVRNek5UY3dNVFV6TkM4eE1ERTBPVGd6TFRKZk9EQXdWM2c0TURCSXw2ODdiNjlkMjdkODZlMGM1NTZiMmVkNjk3NWMyY2RjYjcwODg1NzQ1MGRiZWY4N2YyMjQ5YWFhNDc2ZGMyMTMx,https://api.mybihr.com/medias/1014983-3-800Wx800H?context=bWFzdGVyfHJvb3R8MTMwMTQwfGltYWdlL2pwZWd8YUdJeUwyaGtPUzh5TnpjeU1UTXpOVGsyTXpZM09DOHhNREUwT1RnekxUTmZPREF3VjNnNE1EQkl8MGFmYTIxOGUzOTQ1ZjI4MjMzYTNkYzZjNGNhYTlmOGQxNjE4MzMzYzA5YmFiMzA3ZGFjZTg5Y2YyMjgyN2IwZA,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014985,830344,06413_130,DELL ORTO,DELLO JET 6MM 130MM,Chiclé de alta DELLORTO PHBN/PHVA 130 (6mm),4.24,3.50,2.28,06413_130,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,,,https://api.mybihr.com/medias/1014985-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhRGt5TDJnME55ODRPVFV6TVRBek5UUTRORFEyTHpFd01UUTVPRFV0TVY4NE1EQlhlRGd3TUVnfDgwOWQzZDNhMGNiMzdlZTQzNzk4MTliMGY0NGU4OWFiMTI2ZjhiMGJlYmE1M2U2YWVmNjQ5MjE5NGJlMDkzMTU,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015087,830739,9595.13,DELL ORTO,DELLO NEEDLE PHBG W13,Aguja de carburador DELLORTO PHBG W13,9.56,7.90,5.14,9595.13,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,,,https://api.mybihr.com/medias/1015087-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA0NTd8aW1hZ2UvanBlZ3xhREJqTDJobE5pODRPVE0wTnpRMU5qWTVOall5THpFd01UVXdPRGN0TVY4NE1EQlhlRGd3TUVnfGE1OTkyMDg0ZDQxMjI3NjM2OTcxOGQ0MWRjZjljNTFjOGE4NzE4MTAyNzE4Y2Q1OWRiMzVlODcyYWM2NTZlNjU,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015088,830740,9595.16,DELL ORTO,DELLO NEEDLE PHBG W16,Aguja de carburador DELLORTO PHBG W16,9.56,7.90,5.14,9595.16,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,222,6,180,88,14,,,https://api.mybihr.com/medias/1015088-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA0NTd8aW1hZ2UvanBlZ3xhRE5qTDJobU5DODRPVFE0T1RBeE1UVXdOelV3THpFd01UVXdPRGd0TVY4NE1EQlhlRGd3TUVnfDU0ZGI2ZTg4YTM1MjhmOGZkZDMxMDNlNmNmNDRkNzJkNzZiYWFkZTk0ZjFkYTMxMDY5ZTBkMjg0Zjg0MGE1Y2Q,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015089,830730,9595.2,DELL ORTO,DELLO NEEDLE PHBG W2,Aguja de carburador DELLORTO PHBG W2,9.56,7.90,5.14,9595.2,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,100,14,40,5,,,https://api.mybihr.com/medias/1015089-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA0NTd8aW1hZ2UvanBlZ3xhRGxrTDJoallpODRPVFE0T1RZNE1EWXpNREEyTHpFd01UVXdPRGt0TVY4NE1EQlhlRGd3TUVnfGNhMmYyODg3ZWZiYzVlNDI1YzU5MzUzNWFlMzVhNzNjNDI0NmQ1MzU5MWM5ZmY1ZDNmZmI2MGY3MWEwNzIzMTE,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015091,830732,9595.5,DELL ORTO,DELLO NEEDLE PHBG W5,Aguja de carburador DELLORTO PHBG W5,9.56,7.90,5.14,9595.5,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,5,100,50,10,10,,,https://api.mybihr.com/medias/1015091-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA0NTd8aW1hZ2UvanBlZ3xhR1UyTDJnNU1TODRPVEkwTkRVMk1qSXlOelV3THpFd01UVXdPVEV0TVY4NE1EQlhlRGd3TUVnfDk0YmVmZTA5ZDIzYWNkZjcxMDg5MzhmNmIxOWVmZmVhMTMzY2M4YTE4NDQ5NTE0ZTNiYzE4MTI0YmViNzEwZmE,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015092,830733,9595.6,DELL ORTO,DELLO NEEDLE PHBG W6,Aguja de carburador DELLORTO PHBG W6,9.56,7.90,5.14,9595.6,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,5,10,50,10,10,,,https://api.mybihr.com/medias/1015092-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA0NTd8aW1hZ2UvanBlZ3xhRGc1TDJobE1TODRPVFV6TVRFek56Y3lNRFl5THpFd01UVXdPVEl0TVY4NE1EQlhlRGd3TUVnfDJiOTM3ODc2NzQ3Y2I3ODZhNDQyZWFlMzUzODA3NjUyZDBhZGI2NzBkYTRhMWY2OTA3YzkyMGEwYTRmMWMwMGY,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015093,830734,9595.7,DELL ORTO,DELLO NEEDLE PHBG W7,Aguja de carburador DELLORTO PHBG W7,9.56,7.90,5.14,9595.7,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,100,53,4,5,,,https://api.mybihr.com/medias/1015093-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA0NTd8aW1hZ2UvanBlZ3xhR1UzTDJoaU9DODRPVEE0TmpVMU9EVXpOVGs0THpFd01UVXdPVE10TVY4NE1EQlhlRGd3TUVnfGQzZWRhMjE3MzgyMmIxMDY5NzEyZTUwNTNiOTkzZTg2ZTcxOWEwY2JiY2VjM2I4MzU2YzRjNmRjOTZkNmU5NDQ,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015094,830735,9595.8,DELL ORTO,DELLO NEEDLE PHBG W8,Aguja de carburador DELLORTO PHBG W8,9.56,7.90,5.14,9595.8,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,5,2,17,42,7,,,https://api.mybihr.com/medias/1015094-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA0NTd8aW1hZ2UvanBlZ3xhR1ExTDJnNU15ODVNREV5TkRnME5UY3hNVFkyTHpFd01UVXdPVFF0TVY4NE1EQlhlRGd3TUVnfDRhNjE4NDU2MTk0OWRlNzJkNzQ0NzJkZWMzYzgzMjc5MjhmOWRmNjBlMDY5ZTBkNzUwZDgzOGQ4MzRiMDJjZTQ,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014994,830353,06413_152,DELL ORTO,DELLO JET 6MM 152MM,Chiclé de alta DELLORTO PHBN/PHVA 152 (6mm),4.24,3.50,2.28,06413_152,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1,5,13,12,8,,,https://api.mybihr.com/medias/1014994-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhR015TDJneE55ODRPVE00T0RNek9UWTVNVGd5THpFd01UUTVPVFF0TVY4NE1EQlhlRGd3TUVnfDZkNGNkMGU2Y2ViOTZlNGQ4M2RkZjU4Y2E2MWY1N2ViNmE4ZjNmMzFhNzA1ZTYxNzkwMDdiZGY0NmI3YjFiMzM,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014995,830354,06413_155,DELL ORTO,DELLO JET 6MM 155MM,Chiclé de alta DELLORTO PHBN/PHVA 155 (6mm),4.24,3.50,2.28,06413_155,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,,,https://api.mybihr.com/medias/1014995-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhR0V4TDJneE1pODRPVE00TlRrNU5qYzNPVGd5THpFd01UUTVPVFV0TVY4NE1EQlhlRGd3TUVnfDE0YmM3NjJlNjZhMWVlM2E5MjZmYjIwZTJmZmM4NWNiYmQyNWNjNTAwMmE1MDkwZjMyODY4MmMwNWM2YzY0OWU,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014996,830355,06413_158,DELL ORTO,DELLO JET 6MM 158MM,Chiclé de alta DELLORTO PHBN/PHVA 158 (6mm),4.24,3.50,2.28,06413_158,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,,,https://api.mybihr.com/medias/1014996-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhR1UwTDJnMU15ODRPVEF3T1RneE5UZzNPVGs0THpFd01UUTVPVFl0TVY4NE1EQlhlRGd3TUVnfDZiOTE3MjJlM2M2ZTViMTYzN2RlODU2MjIyM2FmODQyM2RlODNjYTFhOTUzMTJjNGE3OGEyYjQ3MWRiZmMwYmU,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015003,830362,06413_175,DELL ORTO,DELLO JET 6MM 175MM,Chiclé de alta DELLORTO PHBN/PHVA 175 (6mm),4.24,3.50,2.28,06413_175,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,,,https://api.mybihr.com/medias/1015003-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhRE0zTDJnell5ODRPVE00TmpFM05qTTBPRFEyTHpFd01UVXdNRE10TVY4NE1EQlhlRGd3TUVnfDFkNTgyMTU0ZDEzMzA1YzQxNmQwY2E1NGE3OTA3NGEzMGRhYmVlN2Q0MTdiNDEyZjk2YzZlZjIxMDU5N2MxNDk,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015005,830364,06413_180,DELL ORTO,DELLO JET 6MM 180MM,Chiclé de alta DELLORTO PHBN/PHVA 180 (6mm),4.24,3.50,2.28,06413_180,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,,,https://api.mybihr.com/medias/1015005-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhRFV5TDJneVlpODRPVEF4TVRFME1qTXlPRFl5THpFd01UVXdNRFV0TVY4NE1EQlhlRGd3TUVnfDRiMWU1ODYwYTU5ODE4ZGM4MWEyNmNlZmQyYzdjOWQzMmIyODEzYzBiOGY2OGE5MzgzMDQ2ZTExOTc5NDdkODE,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015008,830622,11600.40,DELL ORTO,DELLO JET PHBN/PHVA 40,Chiclé de baja DELLORTO PHBN/PHVA 40,3.15,2.60,1.69,11600.40,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,100,14,16,10,,,https://api.mybihr.com/medias/1015008-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhRFkwTDJnMFpTODRPVEF4TWpNNE5UVTBOalUwTHpFd01UVXdNRGd0TVY4NE1EQlhlRGd3TUVnfDJiZGQyYzM0NTk2MWRlNmY4MjlkM2I1MDdjMWEyNmY5NGFjZjRiZTJlMDMwOThiODdmZmY0MzRiNjY2ZDYzNzI,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015010,830320,1486.100,DELL ORTO,DELLO JET PHBG/SHA 100,Chiclé de alta DELLORTO PHBG/SHA 100 (5mm),3.27,2.70,1.76,1486.100,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,37,8,91,51,8,,,https://api.mybihr.com/medias/1015010-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhRGcxTDJnd1pDODRPVEE0TXpFd09UTTNOak13THpFd01UVXdNVEF0TVY4NE1EQlhlRGd3TUVnfGNmZjA4MGUxOTU4ZWJkNGJkYzhhOGViZTQzODExODIyYzljZTBjZGI1ZDgyNTllZDNlNGJjNmIzNWY3YWM1MmI,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015100,19300038,530020078,DELL ORTO,DELLO SPAREPARTS CABLE CHOKE KIT,Kit starter manual DELLORTO PHBG,13.55,11.20,7.28,530020078,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,83,12,123,84,8,,,https://api.mybihr.com/medias/1015100-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIxMDF8aW1hZ2UvanBlZ3xhRGxqTDJobU9DODRPVEE0TmpVMk1EVXdNakEyTHpFd01UVXhNREF0TVY4NE1EQlhlRGd3TUVnfDhiYTE4NWY0MDNiY2Y5MDUwYTAzYTI3OWUxOTJlNDMwZWNlYmU4NzkyODUxNzU5ZjdiNWZkN2Q4ZDdhOTNjNzA,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015078,830411,6413.92,DELL ORTO,DELLO JET PHBN/PHVA 92,Chiclé de alta DELLORTO PHBN/PHVA 92 (6mm),4.24,3.50,2.28,6413.92,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,100,12,17,12,,,https://api.mybihr.com/medias/1015078-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhRFl3TDJnNU55ODRPVFV5TmpZeU16STNNekkyTHpFd01UVXdOemd0TVY4NE1EQlhlRGd3TUVnfGE2M2IzM2NhMWJlM2E3NGExNjM4NzljMzAwNjAxMTY0Y2ZjYTA5ODIwYmU1MWViYWYzN2FhZThlMTMzNDZhYTg,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015079,830412,6413.95,DELL ORTO,DELLO JET PHBN/PHVA 95,Chiclé de alta DELLORTO PHBN/PHVA 95 (6mm),4.24,3.50,2.28,6413.95,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,4,100,19,19,12,,,https://api.mybihr.com/medias/1015079-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMxMDN8aW1hZ2UvanBlZ3xhREkwTDJnM05DODRPVEE0TkRBNE5USXdOek0wTHpFd01UVXdOemt0TVY4NE1EQlhlRGd3TUVnfDZmY2Q0NmJiMGFhMTk5ZThlMDgxMDhkMTdkNmNlNzI3YTU0MWNmMWQyZjdlNzU5OTEwMmFhZGY0NzY3NzgxYzg,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
