PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Embalaje,Referencias OEM,Picture1,Picture2,Picture3,Picture4,Picture5,Picture6,AllPicturesZIP,Document1,DeliveryPlant
1014964,830961,00773,DELL ORTO,"DELLO CARBURETOR SHBC 19,19","Carburador DELLORTO SHBC 19,19 - starter con cable",124.48,102.88,66.87,00773,0,8409910090,0,1,"<p>Los carburadores Dellorto est&aacute;n considerados como un referente del sector en Europa. Los de tipo SHBC permiten una sustituci&oacute;n similar a la del equipo original.<br> Carburador est&aacute;ndar tipo SHBC &Oslash;19&thinsp;mm, con est&aacute;rter por cable.</p>","
Los carburadores Dellorto están considerados como un referente del sector en Europa. Los de tipo SHBC permiten una sustitución similar a la del equipo original. Carburador estándar tipo SHBC Ø19 mm, con estárter por cable.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,929,377,120,88,88,,,https://api.mybihr.com/medias/1014964-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDg3MDR8aW1hZ2UvanBlZ3xhR05sTDJobFl5ODRPVEkyTnpNMk1EZzVNVEU0THpFd01UUTVOalF0TVY4NE1EQlhlRGd3TUVnfGFjNDFiNzI2YTg2NDYwNWU3OGQ1ZDg4MzE3NGMyNGVmOTNjMmRlNzI5ZmEyMDExMTNkMjJhNzA1MTE1MzM2NDA,https://api.mybihr.com/medias/1014964-2-800Wx800H?context=bWFzdGVyfHJvb3R8NzAwNjJ8aW1hZ2UvanBlZ3xhR1psTDJobE5TODRPVEkyTnpNMk1qZzFOekkyTHpFd01UUTVOalF0TWw4NE1EQlhlRGd3TUVnfGEyZTNjNzJmOTI2MWNmOTcxNGVlMmJmN2I1ZWUyMTk5ZmE1NmVhMTI1OTE0MzNjYTkwN2QyMDAyNGU5Mzc4NDM,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014965,830962,00866,DELL ORTO,"DELLO CARBURETOR SHBC 19,19E","Carburador DELLORTO SHBC 19,19E - starter con cable",129.99,107.43,69.83,00866,0,8409910090,0,1,"<p>Los carburadores Dellorto est&aacute;n considerados como un referente del sector en Europa. Los de tipo SHBC permiten una sustituci&oacute;n similar a la del equipo original.<br> Carburador est&aacute;ndar tipo SHBC &Oslash;19&thinsp;mm, con est&aacute;rter por cable.</p>","
Los carburadores Dellorto están considerados como un referente del sector en Europa. Los de tipo SHBC permiten una sustitución similar a la del equipo original. Carburador estándar tipo SHBC Ø19 mm, con estárter por cable.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,929,377,120,88,88,,,https://api.mybihr.com/medias/1014965-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU4MjN8aW1hZ2UvanBlZ3xhRFJsTDJnM05pODRPVEkwTVRVM09UTTFOalEyTHpFd01UUTVOalV0TVY4NE1EQlhlRGd3TUVnfGY3YTRiOWYwODI3NjgzNTExYjUxNWJmNTFjNDFhZGZiNzY1Yzc4ZDIzYzZlYTNlNzgwNjI3OWI3NTBkNDhkN2Q,https://api.mybihr.com/medias/1014965-2-800Wx800H?context=bWFzdGVyfHJvb3R8MTA5NDI2fGltYWdlL2pwZWd8YUdOaEwyaGpOQzg0T1RJME1UVTRNVE15TWpVMEx6RXdNVFE1TmpVdE1sODRNREJYZURnd01FZ3wxMzhjNmM4ZmM4ODIwYzdkZDBlNzllNjVmNTk1Mzc3MWE4ZTZhYjY3NTM5ODRmMTgxMDlmMTZhYzM2YWQwZDEx,https://api.mybihr.com/medias/1014965-3-800Wx800H?context=bWFzdGVyfHJvb3R8MTIwMjY4fGltYWdlL2pwZWd8YURnM0wyaGpZaTg0T1RJME1UVTRNekk0T0RZeUx6RXdNVFE1TmpVdE0xODRNREJYZURnd01FZ3wzYmU2ZWZmYzEwYTE5MjRiNmU4MDZiZDBmYThjMDdlYzI5Zjg0NDJlYjMwZTUwNTBiNmZjOWU3MTNhYmZkOWQ3,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014966,830002,01012,DELL ORTO,"DELLO CARBURETOR PHVA 17,5","Carburador DELLORTO 17,5 PHVA",104.06,86.00,55.90,01012,7,8409910090,0,1,"<p>Para todos los motores de 2 tiempos de 50 a 100cc.</p>
<p>Especialmente adecuado para motores Piaggio y Gilera.</p>
<p>Ten en cuenta que este carburador se suministra sin sistema de starter:</p>
<ul>
	<li>Kit starter manual con ref. 1011237</li>
</ul>
","
Para todos los motores de 2 tiempos de 50 a 100cc.

Especialmente adecuado para motores Piaggio y Gilera.

Ten en cuenta que este carburador se suministra sin sistema de starter:

	Kit starter manual con ref. 1011237

",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1109,382,149,80,93,,,https://api.mybihr.com/medias/800Wx800H-1014966-1.jpg?context=bWFzdGVyfHJvb3R8MTQyMTE1fGltYWdlL2pwZWd8YURJMEwyaG1OaTgwTlRVNU5UVTBPVFU1TnpjeU5pODRNREJYZURnd01FaGZNVEF4TkRrMk5pMHhMbXB3Wnd8YTExMTNiYzRhNzgyODk5MGMyMTkzMmNiNjUwYzI5MTA2MjkzYWYwNWZiZTMyODk0OGE5MjM0MjM0Y2JkYjI0NA,https://api.mybihr.com/medias/800Wx800H-1014966-2.jpg?context=bWFzdGVyfHJvb3R8MTM5MDYzfGltYWdlL2pwZWd8YURVekwyaGxaaTgwTlRVNU5UVTBPVGM1TkRNek5DODRNREJYZURnd01FaGZNVEF4TkRrMk5pMHlMbXB3Wnd8ODZiMTc5MjZkMzkyNTA1Y2YwOTZkYWViNjBmMGNmYjAyYzUyNWUzMzJmYWNjZDM3ODZjODdmMWUxOTVlMzczZQ,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014993,830352,06413_150,DELL ORTO,DELLO JET 6MM 150MM,Chiclé de alta DELLORTO PHBN/PHVA 150 (6mm),4.24,3.50,2.28,06413_150,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,7,15,10,10,,,https://api.mybihr.com/medias/1014993-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhR016TDJnek15ODRPVEF4TWpJd05qWXpNekkyTHpFd01UUTVPVE10TVY4NE1EQlhlRGd3TUVnfGI2Njc0OTMwNTcxZDRhYzkwMzk5MWIyMmE0ODFkOGQ3MWI4YmE5NWEzOWNjZmU0NTI5MDJlNDNmMWY2NWY4NDY,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014997,830356,06413_160,DELL ORTO,DELLO JET 6MM 160MM,Chiclé de alta DELLORTO PHBN/PHVA 160 (6mm),4.24,3.50,2.28,06413_160,8,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,6,13,31,23,8,,,https://api.mybihr.com/medias/1014997-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhR05pTDJnMU1pODRPVFV5TmpnM05qZzVOelU0THpFd01UUTVPVGN0TVY4NE1EQlhlRGd3TUVnfGY1NjhhYWEzNzczYzFlYzQ3MTM5OTJkM2Y5Y2NmODkwZGNlZjdlYzY2NzFiYmJlZmJjZDRlZDMwNzY5OGQ0ZTY,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014999,830358,06413_165,DELL ORTO,DELLO JET 6MM 165MM,Chiclé de alta DELLORTO PHBN/PHVA 165 (6mm),4.99,4.12,2.68,06413_165,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,5,15,15,10,,,https://api.mybihr.com/medias/1014999-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhR1JrTDJnME15ODRPVEkyTkRJNE9UZzNOREl5THpFd01UUTVPVGt0TVY4NE1EQlhlRGd3TUVnfDVlNTk0ZGZjMmI5NDllZWU2ODIxNzcyZjI4MWM3MGMyOThlYTYwZDQ4OTI4MjFhMTFiNjYwZmJiYjZlMWU4NmE,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015001,830360,06413_170,DELL ORTO,DELLO JET 6MM 170MM,Chiclé de alta DELLORTO PHBN/PHVA 170 (6mm),4.24,3.50,2.28,06413_170,2,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,,,https://api.mybihr.com/medias/1015001-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhR1F3TDJnd1lpODRPVE00TlRrNU9EYzBOVGt3THpFd01UVXdNREV0TVY4NE1EQlhlRGd3TUVnfDkwYWFjYTE3MmIzY2RmMWFhNGE3ZDJkYjVlMTliMjA5MDdiYWRkYWNiYTAwNzA2ZjJhYzBiZTY0MTM4MGI4Yzc,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015002,830361,06413_172,DELL ORTO,DELLO JET 6MM 172MM,Chiclé de alta DELLORTO PHBN/PHVA 172 (6mm),4.24,3.50,2.28,06413_172,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,,,https://api.mybihr.com/medias/1015002-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhRGhtTDJnMU5DODRPVEE0TmpjMU56RXhNREEyTHpFd01UVXdNREl0TVY4NE1EQlhlRGd3TUVnfDk0MDgwOTllNjJhNzdlNWY4YzRmODg1MGNmN2FiNzQ4ODg1YWFlYzI2NGE0M2RlMjQwOWM2ODk5NTVhMDkxOTk,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1015004,830363,06413_178,DELL ORTO,DELLO JET 6MM 178MM,Chiclé de alta DELLORTO PHBN/PHVA 178 (6mm),4.24,3.50,2.28,06413_178,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,48,10,80,60,10,,,https://api.mybihr.com/medias/1015004-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzM1ODV8aW1hZ2UvanBlZ3xhRFV3TDJoa1ppODRPVE0wTnpRMU5EY3pNRFUwTHpFd01UVXdNRFF0TVY4NE1EQlhlRGd3TUVnfDcwMWE3MWY1MWNiMTg3MzAyMjNlNzAwOTRjN2VjZWNkNTY2ZTQ1ZjNjYzg2YjM5N2NkNDcwYWZkMjJjMDI4NTA,,,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
1014971,12600003,02522,DELL ORTO,DELLO CARBURETOR PHBG 19,Carburador DELLORTO PHBG 19 BS,118.99,98.34,63.92,02522,6,8409910090,0,1,"<p>Carburador para motocicletas semiautom&aacute;ticas en torno a los 70&thinsp;cc.</p><p>Conexi&oacute;n flexible, sin toma de engrase separada,</p><p>&nbsp;</p><ul><li>est&aacute;rter directo Venturi: 19&thinsp;mm</li><li>Di&aacute;metro de montaje del motor: 25&thinsp;mm</li><li>Di&aacute;metro rosca de admisi&oacute;n de aire: M32x1,25&nbsp;<br> </li></ul>","
Carburador para motocicletas semiautomáticas en torno a los 70 cc.
Conexión flexible, sin toma de engrase separada,
 estárter directo Venturi: 19 mmDiámetro de montaje del motor: 25 mmDiámetro rosca de admisión de aire: M32x1,25  ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,1220,450,158,83,93,,,https://api.mybihr.com/medias/1014971-1-800Wx800H?context=bWFzdGVyfHJvb3R8NzM4OTN8aW1hZ2UvanBlZ3xhR05oTDJnMU5TODRPVFE0T1RFM01UQTROelkyTHpFd01UUTVOekV0TVY4NE1EQlhlRGd3TUVnfGI0NTMxOTExYzQ0NDIzMGUyZWI0OWQzNGQyNjBkZTU4NjZmYWExOTM3ZTExYTcyZmY4OWQyYWI2YWZkMmZkMGQ,https://api.mybihr.com/medias/1014971-2-800Wx800H?context=bWFzdGVyfHJvb3R8NjkzNjl8aW1hZ2UvanBlZ3xhRGxpTDJnMVl5ODRPVFE0T1RFM016QTFNemMwTHpFd01UUTVOekV0TWw4NE1EQlhlRGd3TUVnfGI0NzVkZWE3MGIyYmM3NWJmOThjZGYyMWYwZWIwNGZjNzI1NzNiMjk0M2M3Mzc2N2ZmNDUwNmYyOGVhMzU2NTg,https://api.mybihr.com/medias/1014971-3-800Wx800H?context=bWFzdGVyfHJvb3R8OTU3MDN8aW1hZ2UvanBlZ3xhRFppTDJnMk15ODRPVFE0T1RFM05UQXhPVGd5THpFd01UUTVOekV0TTE4NE1EQlhlRGd3TUVnfDQxNzY4NjU1MmJkM2JjMTVjOTZiMDM1N2QwZWE3MjU5MDRlODAzMzZhZTJmYjY0MmU1ZGU4NTE0ODE0MTQzYTc,,,,https://static.bihr.pro/eBihr/Pictures/DELL_ORTO-pictures.zip,,Spain Warehouse (Parts)
