PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Picture1,AllPicturesZIP,DeliveryPlant
1057752,78497900,8555900001,PRESTON PETTY,PREST SPAREPARTS TAIL LIGHT SOCKET,Porta lámparas trasero Preston Petty para 784977,14.00,11.57,6.94,5604415098420,1,8714109090,0,1,"<p>En Preston Petty Products® estamos comprometidos con la fabricación de los mejores productos posibles. No son simples piezas de plástico, son <strong>PRESTON PETTY®</strong> el nombre y su reputación lo dicen todo.</p><p>  <br></p><p>¿Dónde se puede obtener una garantía de un año contra rotura? En ningún otro producto, solo en los <strong>Preston Petty Products®</strong>.</p><p>  <br></p><p><em>La gama incluye guardabarros, portamatricula y luces.</em></p>","
En Preston Petty Products® estamos comprometidos con la fabricación de los mejores productos posibles. No son simples piezas de plástico, son PRESTON PETTY® el nombre y su reputación lo dicen todo.
  
¿Dónde se puede obtener una garantía de un año contra rotura? En ningún otro producto, solo en los Preston Petty Products®.
  
La gama incluye guardabarros, portamatricula y luces.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. PLASTIC&PROTECT,619,74,153,119,34,,https://api.mybihr.com/medias/800Wx800H-1057752-1.jpg?context=bWFzdGVyfHJvb3R8ODU0NHxpbWFnZS9qcGVnfGFESTRMMmhsWXk4ek16RXpNakU1TWpFek56STBOaTg0TURCWGVEZ3dNRWhmTVRBMU56YzFNaTB4TG1wd1p3fDA1NjIyYTA2ZTE4NzY4Zjk0Zjc4ZWMwYjI1NGE2MmIyNzExY2FhY2M5NzQ2N2VhNTYzYzQ1YWYxZjU0ODM1Mzg,https://static.bihr.pro/eBihr/Pictures/PRESTON_PETTY-pictures.zip,Spain Warehouse (Parts)
1057457,78497800,8555800001,PRESTON PETTY,PREST LENS RED SPARE PARTS,Tulipa de faro  Preston Petty para 784977 Rojo,21.01,17.36,10.42,5604415098413,1,8714109090,0,1,"<p>En Preston Petty Products® estamos comprometidos con la fabricación de los mejores productos posibles. No son simples piezas de plástico, son <strong>PRESTON PETTY®</strong> el nombre y su reputación lo dicen todo.</p><p>  <br></p><p>¿Dónde se puede obtener una garantía de un año contra rotura? En ningún otro producto, solo en los <strong>Preston Petty Products®</strong>.</p><p>  <br></p><p><em>La gama incluye guardabarros, portamatricula y luces.</em></p>","
En Preston Petty Products® estamos comprometidos con la fabricación de los mejores productos posibles. No son simples piezas de plástico, son PRESTON PETTY® el nombre y su reputación lo dicen todo.
  
¿Dónde se puede obtener una garantía de un año contra rotura? En ningún otro producto, solo en los Preston Petty Products®.
  
La gama incluye guardabarros, portamatricula y luces.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. ELECTRIC,1186,101,150,152,52,Rojo,https://api.mybihr.com/medias/800Wx800H-1057457-1.jpg?context=bWFzdGVyfHJvb3R8MzYyMTN8aW1hZ2UvanBlZ3xhR0UzTDJoa05pOHpNekV6TWpFNE9EZ3lOelkzT0M4NE1EQlhlRGd3TUVoZk1UQTFOelExTnkweExtcHdad3xkOTVjZTAzZWM0N2YxZDNmZThhOWI5MzVhNTMwMjA1N2VhMTU3OGUwZjliYzJkMzBmYWM1MmFjNzU0Y2UyZTE3,https://static.bihr.pro/eBihr/Pictures/PRESTON_PETTY-pictures.zip,Spain Warehouse (Parts)
