PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Ajuste del par de apriete,Altura (mm),Diámetro int/ext (mm/mm),Diámetro Ø (mm),Embalaje,Escala,Número de ranuras,Rango de uso,Tamaño de accionamiento cuadrado,Picture1,Picture2,Picture3,AllPicturesZIP,DeliveryPlant
1052767,89170039,724.06.90,JMP,JMP FUEL FILT Ø11MM HONDA,Filtro de gasolina JMP Ø11mm Honda,7.50,6.20,4.03,724.06.90,43,8421230090,0,1,,,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,176,23,110,40,40,,,,,,,,,,https://api.mybihr.com/medias/1052767-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMwMzl8aW1hZ2UvanBlZ3xhR1ExTDJnME1TODRPVE0xTWpBMU5EY3dNak00THpFd05USTNOamN0TVY4NE1EQlhlRGd3TUVnfGMyNjFjMjE2ZjVhZDcwYWNlY2Y5MjI2ZGRlOTllM2IyOTQ4OTkzYTY5ZWZjZmE1NDc1ZTc0OWU0NThkNWQyZDg,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052769,52400021,724.09.71,JMP,JMP FUEL FILT Ø8MM MOTO GUZZI,Filtro de gasolina Mähle Moto Guzzi Ø8mm KL150,13.99,11.56,7.51,52400021,5,8421230090,0,1,,,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,207,47,51,81,50,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1052769-1.jpg?context=bWFzdGVyfHJvb3R8MTM3ODR8aW1hZ2UvanBlZ3xhRGRqTDJnNVlpOHpNekV6TVRjMU16a3pNRGM0TWk4NE1EQlhlRGd3TUVoZk1UQTFNamMyT1MweExtcHdad3w1YjJkZjgyNzQ4YTA1YWU5ZGY2MGFmYmVlZTY2MzBhYjkzNWE5NTE2MWVkMTUxN2Y3YTE0N2MzYWM1NGI0NmJk,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052771,52400019,724.16.63,JMP,JMP FUEL FILT DELLORTO PIAGGIO/VESPA,Filtro de gasolina Dellorto Aprilia/Piaggio/Derbi/Gilera,4.99,4.12,2.68,724.16.63,10,8421230090,0,1,,,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,2,5,20,20,5,,,,,,,,,,https://api.mybihr.com/medias/1052771-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDEzMjN8aW1hZ2UvanBlZ3xhR1l4TDJnMk1DODRPVEkwT1RVM01URTBNems0THpFd05USTNOekV0TVY4NE1EQlhlRGd3TUVnfGNlNDMzMmQxYjNhZmQ0ZmQ2YjJmYmRhOTRhZDQ1OTBjYWZhYjM3YmY0ZTM3ODc4ODM5MzUyODZjMWRmY2EwNmM,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052774,52400023,724.90.71,JMP,JMP FUEL FILT UNIVERSAL ALUMINIUM BLACK,Filtro de gasolina JMP aluminio Ø8mm universal,21.54,17.80,11.57,4043981009859,0,8421230090,0,1,"<p>Filtro de gasolina universal de aluminio negro con conexiones de Ø8mm.</p>
<p>Este filtro se puede desmontar para su limpieza.</p>","
Filtro de gasolina universal de aluminio negro con conexiones de Ø8mm.

Este filtro se puede desmontar para su limpieza.",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,95,47,31,96,32,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1052774-1.JPG?context=bWFzdGVyfHJvb3R8MjIwNDE3fGltYWdlL2pwZWd8YURNNUwyaGxaaTgxTVRZMU9ERTVOelEyTnpFMk5pODRNREJYZURnd01FaGZNVEExTWpjM05DMHhMa3BRUnd8MDJiYTIyODU0MTAwNjQ3Njc2YTZhYTQ4MjNhMDM5NWI3NGQwMzk0ZmIwM2Y3ZjdiZDgwNzY3YjEyZmYwMDEwMQ,https://api.mybihr.com/medias/800Wx800H-1052774-2.JPG?context=bWFzdGVyfHJvb3R8Mjc0NzgwfGltYWdlL2pwZWd8YURrNEwyaGxNUzgxTVRZMU9ERTVOemcyTURNNE1pODRNREJYZURnd01FaGZNVEExTWpjM05DMHlMa3BRUnd8MjBlNzkzNzgxZGM5MzY4YWI5NmY1Mzc2YTZjM2E4MTE3YzBhODM4ZDIyYjc2ZGJmYWUwYTg1Y2E3MzVhMWIwOA,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052759,52400014,312.16.54,JMP,JMP FUEL FILT KL26,Filtro de gasolina MAHLE KL26 universal Ø5mm,7.26,6.00,3.90,312.16.54,43,8421230090,0,1,<p>Filtro de gasolina universal con conexiones de Ø5mm.</p>,"
Filtro de gasolina universal con conexiones de Ø5mm.",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,10,10,50,20,10,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1052759-1.jpg?context=bWFzdGVyfHJvb3R8NzE5Njh8aW1hZ2UvanBlZ3xhREJoTDJneFppODFNVFkxT0RFNU9UTTJOemN4TUM4NE1EQlhlRGd3TUVoZk1UQTFNamMxT1MweExtcHdad3wxYjdhN2M4MzIzZDE2NDFjNGY1ZTE5NDk4NDBkOGYwMGM4MDQ0YTE0OWRkOTU1NDM4ZjdjNDU1MWIyMzI0OTc2,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052762,52400018,724.02.57,JMP,JMP FUEL FILT KL315 BMW G 650,Filtro de gasolina Mähle BMW G650 Ø8mm KL315,34.49,28.50,18.53,4009026933237,2,8421230090,0,1,<p>Filtro de gasolina JMP</p><p>Diámetro del racor: 8 mm</p>,"
Filtro de gasolina JMP
Diámetro del racor: 8 mm",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,323,95,90,63,57,,,,,,,,,,https://api.mybihr.com/medias/1052762-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTYxMDJ8aW1hZ2UvanBlZ3xhR0UwTDJnNVpDODRPVFEyTURnME56UXhNVFV3THpFd05USTNOakl0TVY4NE1EQlhlRGd3TUVnfDkwYWFkZmU3MDJkNzlkZThhODhmMzQwYzcyMWM0NDI5NGFkMjhiZDJkMGZlNTRhNjMxMzY5MTZkYWFiYTMxYTg,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052763,52400017,724.03.03,JMP,JMP FUEL FILT Ø8MM MOTO GUZZI/DUCATI,Filtro de gasolina Mähle Ø8mm,52.01,42.98,27.94,4009026104323,1,8421230090,0,1,,,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,588,136,178,58,57,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1052763-1.jpg?context=bWFzdGVyfHJvb3R8MTQ3OTZ8aW1hZ2UvanBlZ3xhREZqTDJoaE9TOHpNekV6TVRjMU16VXpOelUyTmk4NE1EQlhlRGd3TUVoZk1UQTFNamMyTXkweExtcHdad3w2ZDk0MWM0NWE0OGFkODIwMDk1NWIwMDM2N2UxMGM0NGE2MTJjNzhkOTVjYjQ4MDNiYjBmMmQ4MGEwZjJiMDM1,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052764,52400022,724.03.05,JMP,JMP FUEL FILT Ø6MM DUCATI,Filtro de gasolina JMP Ø6mm Ducati,7.02,5.80,3.77,4043981182750,12,8421230090,0,1,,,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,387,38,66,103,57,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052766,89170037,724.06.33,JMP,JMP FUEL FILT Ø7MM HONDA,Filtro de gasolina JMP Ø7mm Honda,9.85,8.14,5.29,724.06.33,21,8421230090,0,1,,,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,239,21,95,63,40,,,,,,,,,,https://api.mybihr.com/medias/1052766-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzA2MDl8aW1hZ2UvanBlZ3xhR0ppTDJobU1pODRPVEF5TXpNM05EazFNRGN3THpFd05USTNOall0TVY4NE1EQlhlRGd3TUVnfDExN2VjMjM5ZWY1NDE4ZTY3YmM5ZGM5ZjY3NDkyOGI1ZWQ5NjI3MjY0NmY2NDM2NWYxYTQzNDAzMzNhMTBiNTI,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052768,89170038,724.07.08,JMP,JMP FUEL FILT Ø9MM KAWASAKI/YAMAHA,Filtro de gasolina JMP Ø9mm Kawasaki / Yamaha,7.88,6.51,4.23,4043981259568,47,8421230090,0,1,,,TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,252,20,140,90,20,,,,,,,,,,https://api.mybihr.com/medias/1052768-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjMwMzl8aW1hZ2UvanBlZ3xhR1EzTDJnNU5TODRPRFk0TWpFNU9EUTJOamcyTHpFd05USTNOamd0TVY4NE1EQlhlRGd3TUVnfDcyYTFmMjJmMjM1Yjg2ZGFiNjU1OTA2YmJkMzliZGU4ZTJiZjFhMjk0NGE5OWQ4ZjMxN2MyMGFlNjI1NDlhZGQ,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
1052770,52400025,724.16.15,JMP,JMP FUEL FILT DUCATI/BETA/KTM,Filtro de gasolina MAHLE KL97 Off Road KTM,41.49,34.29,22.29,724.16.15,8,8421230090,0,1,"<p>Filtro gasolina con toma de conexión Ø8mm. Indicado para todos los modelos Off Road KTM, Husqvarna y Gas Gas de inyección.</p>","
Filtro gasolina con toma de conexión Ø8mm. Indicado para todos los modelos Off Road KTM, Husqvarna y Gas Gas de inyección.",TOOLING & WS,CONSUMABLE,CONS. CONSUMABLE,77,11,33,73,32,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1052770-1.jpg?context=bWFzdGVyfHJvb3R8MTYyOTE0fGltYWdlL2pwZWd8YUdKakwyaGhZeTgxTVRZeU5UWTJNVEEzTVRNNU1DODRNREJYZURnd01FaGZNVEExTWpjM01DMHhMbXB3Wnd8NGMzNWFiNjQ2ZGJhOTE2N2M0ZDg0NTAyYTlhMjhlMzZmMGEwYzdhMWQ4MTY3ZTcyYjhjMDg1ZWU3ZmUyNTNmYg,,,https://static.bihr.pro/eBihr/Pictures/JMP-pictures.zip,Spain Warehouse (Parts)
