PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),[Guardapolvo] Altura 1 (mm),[Guardapolvo] Altura 2 (mm),[Guardapolvo] Diámetro exterior (Ømm),[Guardapolvo] Diámetro interior (Ømm),[Retén] Altura 1 (mm),[Retén] Altura 2 (mm),[Retén] Diámetro exterior (Ømm),[Retén] Diámetro interior (Ømm),Altura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Embalaje,Referencias OEM,Tipo de producto,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,Document3,DeliveryPlant
1001285,63848,622A136FL,CENTAURO,CENTA GASKET ENGINE SET,Kit completo de juntas CENTAURO,34.97,28.90,18.79,622A136FL,2,8484900090,0,1,‘Complete’ gasket kits contain everything you need to reassemble the entire engine with the exception of the oil seals.,‘Complete’ gasket kits contain everything you need to reassemble the entire engine with the exception of the oil seals.,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1707,120,347,246,20,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1001285-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTAxNTh8aW1hZ2UvanBlZ3xhRFUxTDJnd05pODRPVFExTmpVMk5UazBORFl5THpFd01ERXlPRFV0TVY4NE1EQlhlRGd3TUVnfGY5YjVlNjczMjVhNmVlMjk3Y2JmMGQwNTNlMTJiZjZmZTkzOTBhMDAyNjZmNDBiNDM5ODdiY2NkN2Q2NjY0ZjY,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1002795,62626,880A019TP,CENTAURO,CENTA GASKET TOP ENGINE,Kit de juntas parte alta CENTAURO,4.01,3.31,2.15,8059772726320,5,8484900090,0,1,<p>Sets de parte alta que incluyen todo lo que necesitas para el reensamblaje de cilindros y culatas</p>,"
Sets de parte alta que incluyen todo lo que necesitas para el reensamblaje de cilindros y culatas",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,154,45,147,150,7,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1002795-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTMwNjh8aW1hZ2UvanBlZ3xhR1JrTDJnMFpDODRPVFV5T1RRMU5ERXdNRGM0THpFd01ESTNPVFV0TVY4NE1EQlhlRGd3TUVnfDhhODQ4N2I1M2YwZDA4ZDM5OWEzYWRmOWRhNTRjMTMzYmJlMTVlOWY2M2QzNTU4NWY3MzMxNTJjZGI1Nzc3MmQ,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1117508,,666A457SR,CENTAURO,CENTA OIL SEAL CRANKSHAFT,Kit de retenes de motor CENTAURO,11.34,9.37,6.09,666A457SR,0,8484900090,0,1,<p>Las juntas y retenes del motor Centauro est&aacute;n dise&ntilde;ados para el reacondicionamiento y son una garant&iacute;a de fiabilidad a largo plazo. Se utilizan como equipamiento original por varios fabricantes.</p> <ul> <li>Juego de retenes del cig&uuml;e&ntilde;al</li> <li>Permite reacondicionar el cig&uuml;e&ntilde;al</li> <li>Estanqueidad garantizada por la calidad de los materiales de sellado</li> </ul>,"
Las juntas y retenes del motor Centauro están diseñados para el reacondicionamiento y son una garantía de fiabilidad a largo plazo. Se utilizan como equipamiento original por varios fabricantes.  Juego de retenes del cigüeñal Permite reacondicionar el cigüeñal Estanqueidad garantizada por la calidad de los materiales de sellado ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,231,39,153,151,10,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1117508-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAxODR8aW1hZ2UvanBlZ3xhR0prTDJneFl5OHlOelkzT0RjMk16SXlNVEF5TWk4eE1URTNOVEE0TFRGZk9EQXdWM2c0TURCSXxiNTZjMTNlMzI3YWM4MWJlZTk3NjIxMjA2MTE3NGMxNDIzZmQ3YzU4ZDYxODA5OWQ1NmNlZTc0ODI5ZTFmNmIz,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1117511,,731A662SR,CENTAURO,CENTA OIL SEAL CRANKSHAFT,Kit de retenes de motor CENTAURO,83.24,68.79,44.71,731A662SR,0,8484900090,0,1,<p>Las juntas y retenes del motor Centauro est&aacute;n dise&ntilde;ados para el reacondicionamiento y son una garant&iacute;a de fiabilidad a largo plazo. Se utilizan como equipamiento original por varios fabricantes.</p> <ul> <li>Juego de retenes del cig&uuml;e&ntilde;al</li> <li>Permite reacondicionar el cig&uuml;e&ntilde;al</li> <li>Estanqueidad garantizada por la calidad de los materiales de sellado</li> </ul>,"
Las juntas y retenes del motor Centauro están diseñados para el reacondicionamiento y son una garantía de fiabilidad a largo plazo. Se utilizan como equipamiento original por varios fabricantes.  Juego de retenes del cigüeñal Permite reacondicionar el cigüeñal Estanqueidad garantizada por la calidad de los materiales de sellado ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,302,91,153,152,13,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1117511-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzAxODR8aW1hZ2UvanBlZ3xhREZoTDJnek1TOHlOelkzT0RjMk16Z3hNRGcwTmk4eE1URTNOVEV4TFRGZk9EQXdWM2c0TURCSXxlMzExODgwYzczZDk4NTcyODhiMzE5ODU3OWFjODNhOTQzZjc5YzQ0ZTI1OGFlYmQyZDQyMzdlOTJlMzZiMTFl,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1118525,,933B21097,CENTAURO,CENTA GASKET GENERATOR SIDE COVER,Junta de cárter de encendido CENTAURO,13.95,11.53,7.49,933B21097,3,8484100090,0,1,"<p>La empresa italiana CENTAURO es l&iacute;der europeo en el dise&ntilde;o y la fabricaci&oacute;n de juntas y elementos de estanqueidad de alto rendimiento.&nbsp;Fundada en 1958 en Brianza (Italia), CENTAURO cuenta con la certificaci&oacute;n UNI EN ISO 9001:2015.</p>
<p>Ya activa en el campo de las juntas de equipo original, la empresa ha creado un departamento de recambios dedicado a todas las marcas y modelos de motocicletas.</p>
<p>CENTAURO ofrece un amplio cat&aacute;logo de juntas y juegos de juntas con un enfoque especial en las motos todoterreno para garantizar la m&aacute;xima fiabilidad de cada motor.</p>","
La empresa italiana CENTAURO es líder europeo en el diseño y la fabricación de juntas y elementos de estanqueidad de alto rendimiento. Fundada en 1958 en Brianza (Italia), CENTAURO cuenta con la certificación UNI EN ISO 9001:2015.

Ya activa en el campo de las juntas de equipo original, la empresa ha creado un departamento de recambios dedicado a todas las marcas y modelos de motocicletas.

CENTAURO ofrece un amplio catálogo de juntas y juegos de juntas con un enfoque especial en las motos todoterreno para garantizar la máxima fiabilidad de cada motor.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,692,105,350,247,8,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/1118525-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTU3MDc5fGltYWdlL2pwZWd8YURNMkwyZzNPQzh5Tmpnd01UZzFOak00TURrMU9DOHhNVEU0TlRJMUxURmZPREF3VjNnNE1EQkl8YjE5M2I5NTY3YjQzMDEwMzBkYWM3MjJmNWJmZGZmN2I3ZTAwZWUxOGYzMDg2N2VmZDg0ZDEzYTQzZmU2MTU3Nw,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1117502,,912A006FL,CENTAURO,CENTA GASKET ENGINE SET,Kit completo de juntas CENTAURO,242.69,200.57,130.37,912A006FL,0,8484900090,0,1,"<p>Los kits de juntas &quot;completos&quot; contienen todo lo necesario para volver a montar todo el motor, a excepci&oacute;n de los retenes de aceite.</p>","
Los kits de juntas ""completos"" contienen todo lo necesario para volver a montar todo el motor, a excepción de los retenes de aceite.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,2396,293,467,342,15,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1117501,,912A005FL,CENTAURO,CENTA GASKET ENGINE SET,Kit completo de juntas CENTAURO,253.48,209.49,136.17,912A005FL,0,8484900090,0,1,"<p>Los kits de juntas &quot;completos&quot; contienen todo lo necesario para volver a montar todo el motor, a excepci&oacute;n de los retenes de aceite.</p>","
Los kits de juntas ""completos"" contienen todo lo necesario para volver a montar todo el motor, a excepción de los retenes de aceite.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1106,217,350,243,13,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1117500,,912A004FL,CENTAURO,CENTA GASKET ENGINE SET,Kit completo de juntas CENTAURO,141.52,116.96,76.02,912A004FL,0,8484900090,0,1,"<p>Los kits de juntas &quot;completos&quot; contienen todo lo necesario para volver a montar todo el motor, a excepci&oacute;n de los retenes de aceite.</p>","
Los kits de juntas ""completos"" contienen todo lo necesario para volver a montar todo el motor, a excepción de los retenes de aceite.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,868,149,350,248,10,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1121276,,722A025FL,CENTAURO,CENTA GASKET FULL SET,Kit completo de juntas CENTAURO,245.68,203.04,131.98,722A025FL,2,8484900090,0,1,"<p>Los kits de juntas ""completos"" contienen todo lo necesario para volver a montar todo el motor, a excepci&oacute;n de los retenes de aceite.</p>","
Los kits de juntas ""completos"" contienen todo lo necesario para volver a montar todo el motor, a excepción de los retenes de aceite.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,1276,241,350,243,15,,,,,,,,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1121276-1.jpg?context=bWFzdGVyfHJvb3R8NTAxNDB8aW1hZ2UvanBlZ3xhRGt3TDJnM055OHpNVGswTWprM05EWTJPRGd6TUM4NE1EQlhlRGd3TUVoZk1URXlNVEkzTmkweExtcHdad3xhMGRhNmU2ZmJkMDM3MDE1NGMzZWExYzJiOTc3YzJjMWMzYzkxYjEzMzQyMGM1NmM4MWMyNTRhZGFiNmE0N2Ni,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
1117487,,666A414TP,CENTAURO,CENTA TOP END GASKET,Kit de juntas parte alta CENTAURO,147.58,121.97,79.28,666A414TP,0,8484900090,0,1,<p>Sets de parte alta que incluyen todo lo que necesitas para el reensamblaje de cilindros y culatas</p>,"
Sets de parte alta que incluyen todo lo que necesitas para el reensamblaje de cilindros y culatas",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,901,212,299,201,15,,,,,,,,,,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/CENTAURO-pictures.zip,,,,Spain Warehouse (Parts)
