PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,AllPicturesZIP,DeliveryPlant
1047432,,PWSAK-H08-001,PIVOT WORKS,PWORK SWING ARM LINK BEARING KIT,Kit de reparación de basculante PIVOT WORKS HONDA CR125R 1993-01,109.13,90.19,54.11,PWSAK-H08-001,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,779,386,161,121,40,https://api.mybihr.com/medias/1047432-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDU5MTF8aW1hZ2UvanBlZ3xhR1kwTDJobU15ODRPVGN3T1RRM05UVTVORFUwTHpFd05EYzBNekl0TVY4NE1EQlhlRGd3TUVnfDVkZjMyNzI5YmM3NzkzZTY4MTMxNjM2MTU3ZjRkYTBkOGI5NDg3NjE4ZTdmNjExMzYwYmEyZGFiZmZiMjIzNmI,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047435,,PWSAK-H12-020,PIVOT WORKS,PWORK SWING ARM LINK BEARING KIT,Kit de reparación de basculante PIVOT WORKS HONDA CR250R 1992-01,109.13,90.19,54.11,PWSAK-H12-020,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,1382,355,288,150,32,https://api.mybihr.com/medias/1047435-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjY1MjB8aW1hZ2UvanBlZ3xhR1JoTDJnNU5DODRPVGN3T1RRNE1qRTBPREUwTHpFd05EYzBNelV0TVY4NE1EQlhlRGd3TUVnfGYwNjRjMTRlZjc5YmY0MzE5ZmUzMTc3ZWFiZjBmNzBiOGZkNjU5NTczMDJkOTAyN2ZiNWVkNWVhZjVjODBkOWY,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047438,,PWSAK-H23-001,PIVOT WORKS,PWORK SWING ARM LINK BEARING KIT,Kit de reparación de basculante PIVOT WORKS HONDA CR125R 2002-07,109.13,90.19,54.11,PWSAK-H23-001,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,1382,350,288,150,32,https://api.mybihr.com/medias/1047438-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjA5MTF8aW1hZ2UvanBlZ3xhRGRqTDJnNE1DODRPVGN3T1RRNE9EQTBOak00THpFd05EYzBNemd0TVY4NE1EQlhlRGd3TUVnfDU1YzdlMGNlOTA0MWRlNjFhNWRjN2IwNzlkODZmYjU0YWUzNDNjNmVkYTNjYTM2YzcwNjY1Y2I5NjU0MTMyMWY,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047444,,PWSAK-H31-020,PIVOT WORKS,PWORK SWING ARM LINK BEARING KIT,Kit de reparación de basculante PIVOT WORKS HONDA CRF250R / X 2004-07,109.13,90.19,54.11,PWSAK-H31-020,0,8714109090,0,1,,,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,1406,328,289,152,32,https://api.mybihr.com/medias/1047444-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU5OTF8aW1hZ2UvanBlZ3xhRFkwTDJneE1pODRPVGN3T1RRNU9UZzBNamcyTHpFd05EYzBORFF0TVY4NE1EQlhlRGd3TUVnfGNiNjRhMmMyZjA4NjE1MGNmMDVhNDAxMmMxM2U0MjJmMmVhMGJhZWQxOGE1OTRiYTE0OTUxM2FjOWE2MTQyODI,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047572,,PWRWK-Y22-030,PIVOT WORKS,PWORK BEARING REAR WHEEL KIT,Kit de rodamientos y retenes de rueda trasera PIVOT WORKS,47.15,38.97,23.38,PWRWK-Y22-030,0,8714109090,0,1,Rodamientos y retenes.,Rodamientos y retenes.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,1390,405,213,145,45,https://api.mybihr.com/medias/1047572-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA4MTQzfGltYWdlL2pwZWd8YURka0wyaGhNQzg0T1Rjd09UY3lNakF3T1Rrd0x6RXdORGMxTnpJdE1WODRNREJYZURnd01FZ3xiMjA5ZGNhYWI2ZWQ0Yjc3ODIyOGVlNmIxZmEyM2NjY2UzZWFlZWNiMzA3MzcxYTgyYjJmZTYwYmYyNWVkZTUx,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047577,,PWRWK-Y67-450,PIVOT WORKS,PWORK BEARING REAR WHEEL KIT,Kit de rodamientos y retenes de rueda trasera PIVOT WORKS,138.19,114.21,68.53,PWRWK-Y67-450,0,8714109090,0,1,Rodamientos y retenes.,Rodamientos y retenes.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,1180,604,214,149,37,https://api.mybihr.com/medias/1047577-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjU5OTN8aW1hZ2UvanBlZ3xhRE0yTDJnek9TODRPVGN3T1Rjek1UZzBNRE13THpFd05EYzFOemN0TVY4NE1EQlhlRGd3TUVnfDdiYjgyNjc4ZDRiOTA1ZDNhODE3YjEyY2JmM2ZiNmRiYjZlMDZkNzM5MDQwNjFlMWY1ZDhmMWZhZDliZjFlZWE,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047590,,PWFWK-A01-542,PIVOT WORKS,PWORK BEARING FRONT WHEEL KIT,Kit de rodamientos y retenes de rueda delantera PIVOT WORKS,93.70,77.44,46.46,PWFWK-A01-542,0,8714109090,0,1,Rodamientos y retenes.,Rodamientos y retenes.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,1390,592,213,145,45,https://api.mybihr.com/medias/1047590-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjA2MjQ2fGltYWdlL2pwZWd8YURBeEwyZ3paUzg0T1Rjd09UYzBOVFl3TWpnMkx6RXdORGMxT1RBdE1WODRNREJYZURnd01FZ3w3NTRkODE5Mzg4MTBhYWYyZDA2MDg3OGJjNjc3MTc5ZGY0NDk5NDJlZTM5ZGMwNjhkNWFhZGMyZjE1NWIwMmMy,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047521,,PWRWK-H02-520,PIVOT WORKS,PWORK BEARING REAR WHEEL KIT,Kit de rodamientos y retenes de rueda trasera PIVOT WORKS,41.41,34.22,20.53,PWRWK-H02-520,0,8714109090,0,1,Rodamientos y retenes.,Rodamientos y retenes.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,1390,260,213,145,45,https://api.mybihr.com/medias/1047521-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2NDcyfGltYWdlL2pwZWd8YURkakwyaG1aaTg0T1Rjd09UWXpOREU1TVRZMkx6RXdORGMxTWpFdE1WODRNREJYZURnd01FZ3xlNWEyMTI2ZGMzYTcxNGZjMzdkODQ3ZGZjNzYzOGNjMTM2ZWI4NDQ0NGYzMjU1OTZlMDFmNTc0ZDljMzk4ZDAw,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047560,,PWRWK-H33-000,PIVOT WORKS,PWORK BEARING REAR WHEEL KIT,Kit de rodamientos y retenes de rueda trasera PIVOT WORKS,102.26,84.51,50.71,PWRWK-H33-000,0,8714109090,0,1,Rodamientos y retenes.,Rodamientos y retenes.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,848,398,215,146,27,https://api.mybihr.com/medias/800Wx800H-1047560-1.jpg?context=bWFzdGVyfHJvb3R8MjMxOTAzfGltYWdlL2pwZWd8YURZNEwyZzVZUzgyTkRnME9EQTNPVEk1TURNNU9DODRNREJYZURnd01FaGZNVEEwTnpVMk1DMHhMbXB3Wnd8NWQ5YWVkYTlmZTE5ZmRmNTEwNGIxNWY3Y2EzMDFjM2FkMjkzZTIxYmU3ZTEzZGE0MWM3MWJhZDJiODJjYmE2MA,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
1047583,,PWRWK-Y09-421,PIVOT WORKS,PWORK BEARING REAR WHEEL KIT,Kit de rodamientos y retenes de rueda trasera PIVOT WORKS,39.60,32.73,19.64,PWRWK-Y09-421,0,8714109090,0,1,Rodamientos y retenes.,Rodamientos y retenes.,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. WHEELS,552,172,215,151,17,https://api.mybihr.com/medias/800Wx800H-1047583-1.jpg?context=bWFzdGVyfHJvb3R8NjU5NjR8aW1hZ2UvanBlZ3xhREl6TDJnM05pODJORGcwT0RBNE1EQTNOamd6TUM4NE1EQlhlRGd3TUVoZk1UQTBOelU0TXkweExtcHdad3xmNDQ1NjExNWFjZTQ5YmRjYWY1MDFmYmE5MTI0MDcyMTk5MWQ1N2JmNzJhNDhhYTI4OGRlNDk3OWRhMjgzNWVi,https://static.bihr.pro/eBihr/Pictures/PIVOT_WORKS-pictures.zip,Spain Warehouse (Parts)
