PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm)," Espesor",Anchura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Espesor (mm),Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1016756,,6306C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 30x72x19mm,17.02,14.07,8.44,4547359575125,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,160,360,75,79,27,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016756-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhRFkyTDJnNVpTODJNalE1TVRJMU9UVTJPREUxT0M4NE1EQlhlRGd3TUVoZk1UQXhOamMxTmkweExtcHdad3xiNTI3YjNiZmM1NmE0NWRlYzU0M2NlMzU4NzhmOTI0MTkxNmU2ZGRlYTQzZmE0NmEzMDA0NjRmNWVhZjExYzY5,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016742,,6207NC3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 35x72x17mm,17.16,14.18,8.51,4547359361377,4,8714109090,0,1,BEARING 6207N C3,BEARING 6207N C3,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,160,290,75,79,27,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016742-1.jpg?context=bWFzdGVyfHJvb3R8NDI5ODh8aW1hZ2UvanBlZ3xhREJoTDJneVpTODJNalE1TVRJMU56YzVPRFk0Tmk4NE1EQlhlRGd3TUVoZk1UQXhOamMwTWkweExtcHdad3xlZDFjYjRhMjJlZTlkMzlhNWQ5MWYxOTkyYmRkYTM1ZDNmNDFhNWI0YjkyOWYyNjQ3OGI2MTkzZmY1MmIwMTA3,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016746,,63/28C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 28x68x18mm,23.49,19.41,11.65,4547359379426,15,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,160,295,75,79,27,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016746-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhRFF4TDJneU55ODJNalE1TVRJMU9ERTVNVGt3TWk4NE1EQlhlRGd3TUVoZk1UQXhOamMwTmkweExtcHdad3xlYWQwNTVlMWJlOWU1YmQxYzZkYjU0ZDg5YWZlNTA0ZGJmMDFkM2IyZWQ0Njg3MDQ5Yjg3NDk1OTg2OGY4MmI0,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016785,,HK2212,NTN,NTN BEARING NEEDLE SOCKET,Rodamiento de agujas NTN - 22X28X12,14.62,12.08,7.25,411603,0,8482400000,0,1,DRAWN CUP NEEDLE BEARING 22X28X12,DRAWN CUP NEEDLE BEARING 22X28X12,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,64,20,92,58,12,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016785-1.jpg?context=bWFzdGVyfHJvb3R8NjA1NTN8aW1hZ2UvanBlZ3xhREZoTDJobU55ODJNalE1TVRJMk16WTVOamt5Tmk4NE1EQlhlRGd3TUVoZk1UQXhOamM0TlMweExtcHdad3wzYTc4ZTliZjI3Yjk4NTkyOGI3MTE1ODYyNDlhNTgwMDU3ZDMwMmY4NDMyZGIxZGY4ZjUxNzUwNDFhZjRmZGEw,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016752,,6305C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 25x62x17mm,14.62,12.08,7.25,4547359574340,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,116,230,69,70,24,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016752-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhRFZqTDJnME1pODJNalE1TVRJMU9EazNPRE16TkM4NE1EQlhlRGd3TUVoZk1UQXhOamMxTWkweExtcHdad3w0NmI5MzNjNjA2ODZiODk2NmFiNTQ3ZjUyNjkwN2FlZDg0ODYzYzUzM2JlYTUyMTc1OGRmZjk1N2U3YTMxN2Jl,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016716,,32907XU,NTN,NTN BEARING,Rodamiento de dirección NTN 35x55x14mm,53.36,44.10,26.46,4547359529746,0,8482200000,0,1,Steering shaft bearing 35 x 55 x 14 NTN 32907XU type 329 07 JR-2,Steering shaft bearing 35 x 55 x 14 NTN 32907XU type 329 07 JR-2,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,142,133,76,78,24,,,,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1016716-1.jpg?context=bWFzdGVyfHJvb3R8NTEzNzh8aW1hZ2UvanBlZ3xhR0UyTDJnMFl5ODJNalE0TmpJM01qTTBOREE1TkM4NE1EQlhlRGd3TUVoZk1UQXhOamN4TmkweExtcHdad3xlZjFlZjRkMzg2YjhmY2QxMDUxM2MxOTUwMjdmMDQ1NTYzNTVhNjcxYjBmNzlmYWRmNmNlOTViMzk5YThiOTc0,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016735,,6206C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 30x62x16mm,14.62,12.08,7.25,4547359563863,1,8714109090,0,1,BEARING 6206 C3,BEARING 6206 C3,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,105,205,70,68,22,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016735-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhR014TDJobVpDODJNalE0TmpJM05UZzRNekF6T0M4NE1EQlhlRGd3TUVoZk1UQXhOamN6TlMweExtcHdad3xmOGQ5Y2VmOWYxODAxNGMxNmNhYmNkYWNmODY4YzU1MjQ3NzEwNWE2MzUwNGY4ZjhkYTgwMjgzMzlhYzMyYmFl,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016737,,6206JR2C4,NTN,NTN BEARING,Cojinete del cigüeñal NTN 30x62x16mm,25.41,21.00,12.60,4547359765243,2,8714109090,0,1,BEARING 6206 C4,BEARING 6206 C4,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,93,206,64,66,22,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016737-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhRGc0TDJoaE9DODJNalE0TmpJM05qSTNOakkxTkM4NE1EQlhlRGd3TUVoZk1UQXhOamN6TnkweExtcHdad3wzMDc5MTE2MmU3NjM3NGMzMmIyYzE3ODg5MmQxZjJlZDk3YjNhZDFiOWU3YzUxZmU0YWRiNmUyOTQxNTY3NGM2,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016722,,608LLU/5K,NTN,NTN BEARING,Rodamiento de rueda NTN 8x22x17mm,9.03,7.46,4.48,4547359010596,0,8714109090,0,1,WHEEL BEARING 608-2RS 8X22X7,WHEEL BEARING 608-2RS 8X22X7,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,34,15,39,43,20,,,,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1016722-1.jpg?context=bWFzdGVyfHJvb3R8NDM2MjB8aW1hZ2UvanBlZ3xhR1ZtTDJneFl5ODJNalE0TmpJM016TXlOekV6TkM4NE1EQlhlRGd3TUVoZk1UQXhOamN5TWkweExtcHdad3wwMmM1YWExMDgxYjUwMGVhM2E1MGU2MDJkOGM1MDBjZjBlYTM5MWQ3NWJmYTBhYTRmOGQ2NTU3YTBmZmExZWFj,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016729,,6204C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 20x47x14mm,10.10,8.35,5.01,411025,18,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,65,108,56,58,20,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016729-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhREkzTDJnNU5DODJNalE0TmpJM05EY3dNek01TUM4NE1EQlhlRGd3TUVoZk1UQXhOamN5T1MweExtcHdad3xkYzQ5YTFmMWMzNzgwMzI5OTI5OGY1MjlhNzUzNDM3NWVhMTc4NjhhNTVmZDA1YzM1ZGE1NGY2ZDVlNjkwZmNm,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
