PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm)," Espesor",Anchura (mm),Diámetro exterior (mm),Diámetro int/ext (mm/mm),Diámetro interior (mm),Diámetro Ø (mm),Embalaje,Espesor (mm),Picture1,Picture2,AllPicturesZIP,Document1,DeliveryPlant
1016740,,6207C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 35x72x17mm,17.16,14.18,8.51,4547359564877,1,8714109090,0,1,BEARING 6207 C3,BEARING 6207 C3,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,141,290,74,76,25,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016740-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhRGMzTDJnek1pODJNalE1TVRJMU56WXdNakEzT0M4NE1EQlhlRGd3TUVoZk1UQXhOamMwTUMweExtcHdad3w5YmViM2U4NjYyZjVmMmE0ZDAwNzhjMWRkMTIyMmMzMWQ0YTVlM2FmN2JlMmFhOTg5YTQyNWY4NTY2M2M2NWZh,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016749,,6304C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 20x52x15mm,14.62,12.08,7.25,4547359573725,2,8714109090,0,1,BEARING 6304 C3,BEARING 6304 C3,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,67,150,54,56,22,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016749-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhRGxtTDJnellpODJNalE1TVRJMU9EYzRNVGN5Tmk4NE1EQlhlRGd3TUVoZk1UQXhOamMwT1MweExtcHdad3xjZmQ4N2Q5ODk4ZmUzNDRlYTU4ZDY4ZGQwZjMwOThiODg2YzY3MmRkM2FiZTYwZmZjMmI3ZjQyNzRkNTY1YTlh,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016779,,KBK16X21X196X,NTN,NTN BEARING NEEDLE ROLLER,Rodamiento de agujas NTN - 16X21X19.5,18.04,14.91,8.95,4547359694994,1,8482400000,0,1,"NEEDLE ROLLER CAGE, NEEDLES 16X21X19.5","NEEDLE ROLLER CAGE, NEEDLES 16X21X19.5",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,45,20,39,43,27,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016779-1.jpg?context=bWFzdGVyfHJvb3R8NDQ4MDR8aW1hZ2UvanBlZ3xhR1F6TDJnNFppODJNalE1TVRJMk1qY3hNemc0Tmk4NE1EQlhlRGd3TUVoZk1UQXhOamMzT1MweExtcHdad3xmOWE5ZjQ4Y2EwZTE4Mjc1NGQwZDE3YWZiZmI2YWZkOWM2M2Q1NDRmNzAyNmY4MDEzNDJhMWQ1Y2EzZjkxNjc0,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016773,,KBK12X16X16V1,NTN,NTN BEARING NEEDLE ROLLER,Rodamiento de agujas NTN - 12X16X16,14.62,12.08,7.25,400400,1,8482400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,44,15,40,41,27,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016773-1.jpg?context=bWFzdGVyfHJvb3R8NDQ4MDR8aW1hZ2UvanBlZ3xhRFpqTDJneFppODJNalE1TVRJMk1UVXpOREl6T0M4NE1EQlhlRGd3TUVoZk1UQXhOamMzTXkweExtcHdad3wwZmFkN2EzMWU1ZTkxMzlkNDIyYTMxMGY5N2NmYzcyYWZlMTRjM2Y1ZGJmOGQ1ZTFmYzZkZGY2ZjhhM2MxZjg3,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016774,,KBK14X18X158X5,NTN,NTN BEARING NEEDLE ROLLER,Rodamiento de agujas NTN - 14X18X16,18.04,14.91,8.95,400412,0,8482400000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p> </p></body> </html>","         ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,54,14,90,30,20,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016774-1.jpg?context=bWFzdGVyfHJvb3R8NDQ4MDR8aW1hZ2UvanBlZ3xhRE5qTDJneU5pODJNalE1TVRJMk1UY3pNRGcwTmk4NE1EQlhlRGd3TUVoZk1UQXhOamMzTkMweExtcHdad3wwNzE3NjM5YThiMjg0NTQ1NzBiMDlhOTRjZmU5MzZkN2Y2Njg1ZDcwZmNlNzkyZjE3Yjg2YjhiZTFmZjkzMzIx,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1016760,,6307C3,NTN,NTN BEARING,Cojinete del cigüeñal NTN 35x80x21mm,25.92,21.42,12.85,411022,2,8714109090,0,1,BEARING 6307 C3,BEARING 6307 C3,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,200,475,86,86,27,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1016760-1.jpg?context=bWFzdGVyfHJvb3R8NDEzMTl8aW1hZ2UvanBlZ3xhR05pTDJnMU55ODJNalE1TVRJMk1ERTFOems0TWk4NE1EQlhlRGd3TUVoZk1UQXhOamMyTUMweExtcHdad3w1YjE2YjM2ZmQ2YzllNDMxOGJhMWNlNTViM2YxZGQ0YjdkZjRmYThkNmQyZDc2M2Q5MmY4YzVjYWU4Yzk1N2Vh,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1044662,,4T-32005X,NTN,NTN STEERING BEARING,Rodamiento de dirección,22.87,18.90,11.34,411454,17,8483200000,0,1,STEERING BEARING,STEERING BEARING,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,67,115,54,56,22,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1044662-1.jpg?context=bWFzdGVyfHJvb3R8NTEzNzh8aW1hZ2UvanBlZ3xhREU1TDJnM1ppODJNalE1TVRJM01ETTRNVFU1T0M4NE1EQlhlRGd3TUVoZk1UQTBORFkyTWkweExtcHdad3xjOGU0ZGQ5NmRiNjk2NjljOGFlMzM1NWU0MjUzMGY1ZTNjZDA0NTI2ZDBjODIyYjdmM2E1MWJmYTA4ZDU4MWU4,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031802,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 28X52X16/28X52X16 Yamaha,45.74,37.80,22.68,,0,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,216,280,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031804,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 28X52X16/30X55X17 Suzuki/Kawasaki,45.74,37.80,22.68,,0,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,300,313,70,70,70,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031805,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 29X50.25X15/29X50.25X15 KTM,48.28,39.90,23.94,,0,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,216,238,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031806,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 30X51X15/30X51X15 Honda,68.61,56.70,34.02,,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,216,256,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1044660,,4T-30205,NTN,NTN STEERING BEARING,Rodamiento de dirección,22.87,18.90,11.34,411465,1,8483200000,0,1,STEERING BEARING,STEERING BEARING,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,56,155,53,53,20,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1044660-1.jpg?context=bWFzdGVyfHJvb3R8NTEzNzh8aW1hZ2UvanBlZ3xhR0kzTDJnNE55ODJNalE1TVRJMk9UZzFOek14TUM4NE1EQlhlRGd3TUVoZk1UQTBORFkyTUMweExtcHdad3xjMmRlMTM2NGU0MmM0M2U4OGY5OWJlMmNiM2FhMGMxN2FjYjhlNTE3ZDQ0MzEzNzdhNzczZDQ1NjVmNGNhOWJk,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1044663,,4T-32004X,NTN,NTN STEERING BEARING,Rodamiento de dirección NTN 20X42X15,19.57,16.17,9.70,411611,1,8483200000,0,1,STEERING BEARING NTN 20X42X15,STEERING BEARING NTN 20X42X15,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,70,105,55,58,22,,,,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1044663-1.jpg?context=bWFzdGVyfHJvb3R8NTEzNzh8aW1hZ2UvanBlZ3xhR1UxTDJnNFlpODJNalE1TVRJM01EY3dPVEkzT0M4NE1EQlhlRGd3TUVoZk1UQTBORFkyTXkweExtcHdad3wyZjE0MGUzYTRmOTE0ZDAzYjMyMDVkZGNmN2YwYzY0MDdjYTZjOGRmYjE4NjE1NTIyN2M0MmIxNTIxOTg3NTcw,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1044661,,4T-320/28X,NTN,NTN STEERING BEARING,Rodamiento de dirección,22.87,18.90,11.34,411456,0,8483200000,0,1,STEERING BEARING,STEERING BEARING,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,67,140,54,56,22,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1044661-1.jpg?context=bWFzdGVyfHJvb3R8NTEzNzh8aW1hZ2UvanBlZ3xhRFE0TDJnM09DODJNalE1TVRJM01ERTRORGs1TUM4NE1EQlhlRGd3TUVoZk1UQTBORFkyTVMweExtcHdad3w0ODFlOTVmODRiNDk1Mzg4MzIyZWExNjc1OGI5MzlmYTQyYzRkODY4MDNhZDYxNDNiNjhmOTRlYWU2MGM5YjBh,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1044665,,4T-L44643/L44610,NTN,NTN STEERING BEARING,Rodamiento de dirección NTN 29X50.25X17.5,24.14,19.95,11.97,411622,0,8483200000,0,1,STEERING BEARING NTN 29X50.25X17.5,STEERING BEARING NTN 29X50.25X17.5,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,70,137,55,58,22,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1044665-1.jpg?context=bWFzdGVyfHJvb3R8NTEzNzh8aW1hZ2UvanBlZ3xhRFptTDJobFl5ODJNalE1TVRJM01UUTVOVGN4TUM4NE1EQlhlRGd3TUVoZk1UQTBORFkyTlMweExtcHdad3w1MDEzYjQ1OWIwNWJkZDVhZWQ3ZWMyYjEyYmRkZjQzMjQwMTYzMGY0NmIzYjZkNTRlYjg5ZjI4OTBmMmNmY2M3,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1044666,,4T-CR-0643L,NTN,NTN STEERING BEARING,Rodamiento de dirección NTN 30 X 52 X 16,34.30,28.35,17.01,411452,2,8483200000,0,1,Steering bearing NTN 30 X 52 X 16,Steering bearing NTN 30 X 52 X 16,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,69,144,54,58,22,,,,,,,por unidad,,https://api.mybihr.com/medias/1044666-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA2Mzl8aW1hZ2UvanBlZ3xhR1kyTDJobFpDODRPVGN3TkRZM09UQXhORGN3THpFd05EUTJOall0TVY4NE1EQlhlRGd3TUVnfDI2ZjFkNWZlOTc1ZDg0Y2M1ZTA2ZWIxZTcwODcwNDU3ZmU2MzE3YjcyZDJkMDc3MjFkMThiODNiYjk1ZmMyYjE,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1044667,,4T-CR-0627,NTN,NTN STEERING BEARING,Rodamiento de dirección NTN 30X51X15,34.30,28.35,17.01,411621,1,8483200000,0,1,STEERING BEARING NTN 30X51X15,STEERING BEARING NTN 30X51X15,VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,73,128,57,58,22,,,,,,,por unidad,,https://api.mybihr.com/medias/800Wx800H-1044667-1.jpg?context=bWFzdGVyfHJvb3R8NjQzNzh8aW1hZ2UvanBlZ3xhR1pqTDJobU9TODJNalE1TVRJM01UZzRPRGt5Tmk4NE1EQlhlRGd3TUVoZk1UQTBORFkyTnkweExtcHdad3xhZDE0NTlkMzQxMGJkN2NiMTE0OTI0ODQ5OWQ4M2ExMjIzM2RjNzkwYjVjYTliNjY0OTM3MTQ5YjU4ZDljNzYw,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
1044668,,4T-32006X,NTN,NTN STEERING BEARING,Cojinete de dirección NTN - por unidad,22.87,18.90,11.34,411459,11,8483200000,0,1,"<p>Steering Bearing - by the unit</p>
<p>&nbsp;</p>
<p>30x55x17mm</p>","
Steering Bearing - by the unit

 

30x55x17mm",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,144,173,77,78,24,,,,,,,,,https://api.mybihr.com/medias/800Wx800H-1044668-1.jpg?context=bWFzdGVyfHJvb3R8NTEzNzh8aW1hZ2UvanBlZ3xhRGM0TDJoaU1TODJNalE1TVRJM01qSXhOall3Tmk4NE1EQlhlRGd3TUVoZk1UQTBORFkyT0MweExtcHdad3w2NjlkZjE3ZTA4MWMxZDI2YWY0MGU1YWFlMzg0YTQwZDRmOGE2MzEyOTE5MGI1ZjlhMTliMTAzOGQ3M2I5MzJj,https://api.mybihr.com/medias/800Wx800H-1044668-2.jpg?context=bWFzdGVyfHJvb3R8MzYxMzJ8aW1hZ2UvanBlZ3xhRGxoTDJoa05pOHpNVEl3T1RRM01qTTVNekkwTmk4NE1EQlhlRGd3TUVoZk1UQTBORFkyT0MweUxtcHdad3w0MGI0YzFhOGU4MTIyMzVlZGQyODc3ZTBkMmExMmY0NmExNWU5OTgyZWZlNGZiNzc0OGRmNWU1OTVhMjIyMWEz,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,https://api.mybihr.com/medias/EN-NTN-4T-32006X.pdf?context=bWFzdGVyfHJvb3R8MTg3OTU2fGFwcGxpY2F0aW9uL3BkZnxhR0kyTDJnM1lpOHpNVEUwTnpVeU16ZzJOalkxTkM5RlRsOU9WRTVmTkZRdE16SXdNRFpZTG5Ca1pnfGRhMDg3OWI2MTdiNjY2MWNjZjE0OTAzNTU4ZmVhZjIyMDk0N2E1NWE2YzA4YzQwMjNiODEwOTU3ODg2NWI5YTk,Spain Warehouse (Parts)
3031797,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 25.4X50.29X14.2 (X2) Husqvarna,48.28,39.90,23.94,,0,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,216,274,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031799,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 25X47X15/28X52X16 Suzuki,45.74,37.80,22.68,,0,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,216,255,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031801,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 25X52X16.5/28X52X16 Gas Gas,45.74,37.80,22.68,,0,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,180,295,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031808,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 30X52X16/30X52X16 Suzuki,68.61,56.70,34.02,,1,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,216,288,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031810,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 30X55X17/30X52X16 Yamaha XV1700 Road Star,57.17,47.25,28.35,,2,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,300,317,70,70,70,,,,,,,,,https://api.mybihr.com/medias/3031810-1-800Wx800H?context=bWFzdGVyfHJvb3R8NTE0NTF8aW1hZ2UvanBlZ3xhRGs0TDJoak9TODVNREUxTURRME1URXlOREUwTHpNd016RTRNVEF0TVY4NE1EQlhlRGd3TUVnfGJmYjE1NjRlMzM0ODQ5OTdlOGM2YzYwMzM4OTBlYTNmODUzNzk3ZjRhYzk4YmZmNDQzMmRkN2VkMDJjYTNlODA,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031811,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 35x55x14 Kawasaki ER6N/F,106.72,88.20,52.92,,0,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,384,266,70,70,70,,,,,,,,,https://api.mybihr.com/medias/3031811-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDM2MTF8aW1hZ2UvanBlZ3xhR1JpTDJoak1pODVNREUxTURRME16QTVNREl5THpNd016RTRNVEV0TVY4NE1EQlhlRGd3TUVnfGYyZTcxYjQyN2U4Y2UwZTg1YmVmNjhhOWM0MGFkNjU4ZjlhNDE5N2Q3ZTQ5MDlkZDBiNDQxMWI3MTMxMzJkNTM,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031796,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 20X42X15/20X42X15 KTM/Honda,39.13,32.34,19.40,,0,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,216,210,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031798,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 25X47X15/25X47X15 Kawasaki,45.74,37.80,22.68,,8,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,216,230,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031800,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 25X52X16.5/25X52X16.5 Gas Gas,45.74,37.80,22.68,,0,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,144,310,50,50,50,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031803,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 28X52X16/30X52X16 Yamaha,57.17,47.25,28.35,,0,8483200000,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,216,284,60,60,60,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
3031807,,,NTN,NTN STEERING SHAFT BEARING KIT,NTN Steering Column Bearing Kit 30X51X15/30X55X17 Honda,57.17,47.25,28.35,,1,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csC235ED31{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <p>Steering bearing kit, without dust seal</p></body> </html>","       Steering bearing kit, without dust seal ",VEHICLE PARTS & ACCESSORIES,CHASSIS PARTS,CHAS. SERVICE PARTS,300,301,70,70,70,,,,,,,,,,,https://static.bihr.pro/eBihr/Pictures/NTN-pictures.zip,,Spain Warehouse (Parts)
