PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Embalaje,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1055276,442320,051060530.NG10,MFW,MFW ADAPTOR 051060530.NG10,Adaptadores de reposapié MFW Delanteros/Traseros Suzuki,47.50,39.26,25.52,051060530.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,527,87,164,119,27,,,por pareja,https://api.mybihr.com/medias/1055276-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhREV5TDJobVppODRPVGN4T1RnME9EazJNRE13THpFd05UVXlOell0TVY4NE1EQlhlRGd3TUVnfDU0Nzk3ZjFhYTFlYjJiMzljZThhOGQ3OGY2YjcxMGRkZGUwNzZlMWE1MDI5ODUxNzU0N2RiZjJhMjQwZjVlNjI,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055279,442323,051061130.NG10,MFW,MFW ADAPTOR 051061130.NG10,Adaptadores de reposapié MFW Delanteros Suzuki,47.50,39.26,25.52,051061130.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,488,71,168,121,24,,,por pareja,https://api.mybihr.com/medias/1055279-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhREE1TDJoaE15ODRPVGN4T1RnMU5EZzFPRFUwTHpFd05UVXlOemt0TVY4NE1EQlhlRGd3TUVnfDNiOTYzODIyMWJiOWZjNjRmMTFjNDc1ZGIwN2RmYzI2M2QyZWUwMTA1MGY1ODg2YThkNzk0ZmQ2ZmJjMGNhZGI,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055237,442813,051020600.NG10,MFW,MFW ADAPTOR 051020600.NG10,Adaptadores de reposapié Delanteros BMW,49.49,40.90,26.59,051020600.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,441,50,167,120,22,,,por pareja,https://api.mybihr.com/medias/1055237-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzR8aW1hZ2UvanBlZ3xhR0V4TDJnelpTODRPVGN4T1RjNU56ZzBNakl5THpFd05UVXlNemN0TVY4NE1EQlhlRGd3TUVnfGQyNjI5MzM1ZjIzODBmOTk4NDZiYjM2NWE1NjA5ZTA4ZGQ0NTMzMGVjMWZhOTY2Njk2OGExOGZhNzkzOTc3NjI,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055240,445759,051020900.NG10,MFW,MFW ADAPTOR 051020900.NG10,Adaptadores de reposapié MFW BMW F650GS,47.50,39.26,25.52,051020900.NG10,1,8714109090,0,1,<p>Los adaptadores Vario de MFW te ayudan a encontrar la mejor postura de las estriberas para tu estilo de conducción.</p>,"
Los adaptadores Vario de MFW te ayudan a encontrar la mejor postura de las estriberas para tu estilo de conducción.",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,488,93,168,121,24,,Aluminio,,https://api.mybihr.com/medias/800Wx800H-1055240-1.jpg?context=bWFzdGVyfHJvb3R8MzYyNzJ8aW1hZ2UvanBlZ3xhRGxpTDJoa09DOHpNekV6TVRrek5UUXpNamN6TkM4NE1EQlhlRGd3TUVoZk1UQTFOVEkwTUMweExtcHdad3wzMzBkZmZhOWQwNjk1ODE5MDg1MzdhYWZlYjkxNmE0NTVkNDljYjJjOWYyNGQ4YjY0NmM1YjJmMGI4YmJmMzI3,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055243,442614,051030110.NG10,MFW,MFW ADAPTOR 051030110.NG10,Adaptadores de reposapié MFW Traseros Ducati,47.50,39.26,25.52,051030110.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,628,143,165,119,32,,,por pareja,https://api.mybihr.com/medias/1055243-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhRGhsTDJoaU55ODRPVGN4T1Rnd016YzBNRFEyTHpFd05UVXlORE10TVY4NE1EQlhlRGd3TUVnfDM5Yjk0MWJhZDJhZTA1OTE5NmIyYTJhYmNkYTZmZDVhOGQ5Y2EyYTdiNGM1ZWRkNmYxNjE1NmMwMDRmMmRjMTA,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055309,442423,051083310.NG10,MFW,MFW ADAPTOR 051083310.NG10,Adaptadores de reposapié MFW Traseros YAMAHA,49.49,40.90,26.59,051083310.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,491,81,165,119,25,,,por pareja,https://api.mybihr.com/medias/1055309-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhR0UzTDJobVl5ODRPVGN4T1RnNU1qSXhOREEyTHpFd05UVXpNRGt0TVY4NE1EQlhlRGd3TUVnfDFmMzNiY2I2N2ViNTc2MmRlZmQxNTI0ODgwYzYzMDgzZGQzZjUyZDQ4ZjRkYzRlZjUxZGZjN2FjYWY3MjhiZjU,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055258,442142,051040510.NG10,MFW,MFW ADAPTOR 051040510.NG10,Adaptadores de reposapié Traseros Honda,47.50,39.26,25.52,051040510.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,566,72,169,124,27,,,por pareja,,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055259,445266,051040610.NG10,MFW,MFW ADAPTOR 051040610.NG10,Adaptadores de reposapié MFW Traseros Honda,47.50,39.26,25.52,051040610.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,530,90,165,119,27,,,por pareja,https://api.mybihr.com/medias/1055259-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjM5MjN8aW1hZ2UvanBlZ3xhR0l4TDJneFlpODRPVGN4T1RneU16UXdNVEkyTHpFd05UVXlOVGt0TVY4NE1EQlhlRGd3TUVnfDRhN2JiNDNiY2NlYWU5NjBiMmNjYWYxMzFjNDAzOTMwYzEwZTcyMDk0ZjYyNTYxMGQ1M2UxNjNkMDBjY2Q5YTg,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055267,442276,051050210.NG10,MFW,MFW ADAPTOR 051050210.NG10,Adaptadores de reposapié MFW Traseros Kawasaki,47.50,39.26,25.52,051050210.NG10,1,8714109090,0,1,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,These MFW foot peg adapters are designed to receive the brand's adjustable plates. They offer numerous adjustments for greater comfort when riding.,VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,530,91,165,119,27,,,por pareja,https://api.mybihr.com/medias/1055267-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjgwMzZ8aW1hZ2UvanBlZ3xhRFE0TDJnNE5TODRPVGN4T1Rnek16SXpNVFkyTHpFd05UVXlOamN0TVY4NE1EQlhlRGd3TUVnfDYyZTdkZDFjMzNjZGExOGMzYWZlZWViNGM5ZjE0ODAzNmJmMDQ3NmM5OWMxNjI0ZjM3MzlmNzk3MzNiNGZlMDQ,,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
1055329,445926,050020100.NG10,MFW,MFW ADAPTOR FOOT PEGS,Adaptadores de reposapié V Parts Standard BMW F800 GT,38.49,31.81,20.68,050020100.NG10,2,8714109090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>CNC Machined from high grade aluminium</li></ul> </body> </html>","        CNC Machined from high grade aluminium  ",VEHICLE PARTS & ACCESSORIES,ACCESSORIES,ACC. DESIGN PARTS,,873,119,163,119,45,,,,https://api.mybihr.com/medias/1055329-1-800Wx800H?context=bWFzdGVyfHJvb3R8OTc1MjF8aW1hZ2UvanBlZ3xhRFJpTDJnM1lpODRPVGN4T1RreE1UZzNORGcyTHpFd05UVXpNamt0TVY4NE1EQlhlRGd3TUVnfDEwNjBmZmMwYzQ0M2RmOGVjMjIwMjJlMjZlODRkN2Y0ZTU5Yzk1MDA0OWE4N2ExNGY4MDAxM2NkZDhhZjgzZTY,https://api.mybihr.com/medias/1055329-2-800Wx800H?context=bWFzdGVyfHJvb3R8OTk5NTJ8aW1hZ2UvanBlZ3xhREZqTDJnNE1pODRPVGN4T1RreE16ZzBNRGswTHpFd05UVXpNamt0TWw4NE1EQlhlRGd3TUVnfDNiZDBjMGY0MzM4NWIzZmFmZjUyYmRkM2M2Njg5NGJiNTBiYjZmZDlkNWFhZDI0YmQ3OWVhNTRhZmZmZGM4NTU,,,https://static.bihr.pro/eBihr/Pictures/MFW-pictures.zip,Spain Warehouse (Parts)
