PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Diámetro Ø (mm),Longitud (cm),Picture1,AllPicturesZIP,DeliveryPlant
1050343,89040004,COPRI-FSC-75,FILCAR,FILCA PROTECTION COLLAR Ø75MM,Cinta de protección para brida metálica FILCAR Ø75mm,6.05,5.00,3.75,COPRI-FSC-75,2,4009410000,0,1,Cinta protectora de plástico para cualquier componente que pueda estar en contacto con bridas de cierre métalicas.,Cinta protectora de plástico para cualquier componente que pueda estar en contacto con bridas de cierre métalicas.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,518,40,108,96,50,,,https://api.mybihr.com/medias/1050343-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTI5MTZ8aW1hZ2UvanBlZ3xhR1ZtTDJneU5pODRPVFV6T0RRNU9EQTJPRGM0THpFd05UQXpORE10TVY4NE1EQlhlRGd3TUVnfDAzODQ5MDczODk2ZTYxY2I2MDhlODIwMDViZTk2ZTBhNzMwYjE4M2E3MTI0MTUyODgwNmVhMGQ2YjZkM2Y4Y2U,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050344,89040001,D24288,FILCAR,FILCA HOSE REEL AUTO 7M,Extractor de gases automático con ventilador integrado FILCAR 7m,4433.44,3664.00,2748.00,89040001,1,8421999099,0,0,"Enrollador automático de manguera de aspiración de gases, con funcionamiento por mando. Reduce las molestias que normalmente provoca el manejo o el peso de la manguera.  Se puede fijar a la pared o al techo. Datos técnicos: 			Motor: 1 CV / 0,75 KW Corriente de entrada: 230 V monofase / 50 Hz Caudal de aire: 650 m3/h Temperatura máxima: 200°C Peso: 52 Kg		 Incluye: 			Enrollador automático con ventilador de aspiración Manguera flexible EUROGAS, de TPE, con 7,5 m de longitud y 100 mm de diámetro, antiaplastamiento Boquerel de goma de 100 mm de diámetro con boquilla extraíble Tope de fin de carrera Dos abrazaderas para manguera Interruptor eléctrico","Enrollador automático de manguera de aspiración de gases, con funcionamiento por mando. Reduce las molestias que normalmente provoca el manejo o el peso de la manguera.  Se puede fijar a la pared o al techo. Datos técnicos: 			Motor: 1 CV / 0,75 KW Corriente de entrada: 230 V monofase / 50 Hz Caudal de aire: 650 m3/h Temperatura máxima: 200°C Peso: 52 Kg		 Incluye: 			Enrollador automático con ventilador de aspiración Manguera flexible EUROGAS, de TPE, con 7,5 m de longitud y 100 mm de diámetro, antiaplastamiento Boquerel de goma de 100 mm de diámetro con boquilla extraíble Tope de fin de carrera Dos abrazaderas para manguera Interruptor eléctrico",TOOLING & WS,WS,WS. EXH. GAS EXTR.,1251360,100000,1760,790,900,,,https://api.mybihr.com/medias/800Wx800H-1050344-1.jpg?context=bWFzdGVyfHJvb3R8MzI2NzB8aW1hZ2UvanBlZ3xhRGd6TDJoa055ODJNalExT0RBd05ESXdPVFk1TkM4NE1EQlhlRGd3TUVoZk1UQTFNRE0wTkMweExtcHdad3wxNzM4ODRiZTk3NGUwY2JkNTBkMDA4YjRiZTExYmJhY2Y3MGE4M2IxYjI2Yjg4NTRjYmUwZDMyZjFiZDg1Njdi,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,France Warehouse (Parts)
1050348,892408,EURO100/1,FILCAR,FILCA PIPE EXTRACTION SYST FOR GAS,Manguera de extracción FILCAR Ø100mm/1m,81.07,67.00,50.25,EURO100/1,2,4009410000,0,1,"Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.","Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.",TOOLING & WS,WS,WS. EXH. GAS EXTR.,44256,2050,605,385,190,,,https://api.mybihr.com/medias/1050348-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA4NTV8aW1hZ2UvanBlZ3xhR1ppTDJnd1lTODRPVFE1TXpFME1EWXdNekU0THpFd05UQXpORGd0TVY4NE1EQlhlRGd3TUVnfGU2NDc2YzhiMDk5MTc5ODE3OWY5N2FiNzE5ZWEwZTA2MTFhZjkzYzBjOTMwMTY2Mzc2YTM5ODU2NDk5MDYyNjg,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050333,892427,BGT100/140,FILCAR,FILCA CONE SINGLE Ø100MM,Boquerel de goma simple FILCAR Ø100mm,160.93,133.00,99.75,BGT100/140,2,8421999099,0,1,"Boquerel de gases de escape de goma, con tapón extraíble y orificio para sondas.","Boquerel de gases de escape de goma, con tapón extraíble y orificio para sondas.",TOOLING & WS,WS,WS. EXH. GAS EXTR.,8166,994,319,159,161,,,https://api.mybihr.com/medias/1050333-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzIxNzV8aW1hZ2UvanBlZ3xhRFExTDJoaU9TODRPVEkwT0RjMU1qa3lOekF5THpFd05UQXpNek10TVY4NE1EQlhlRGd3TUVnfGFmNzhkNWQ4ODg5NGIzNzdjNzU2NDJjNTRhYmIwY2E2OTYyMDA5OTg4NGQ4ZWIyZmVjNmFlMDljOTU3NjE1ZTc,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050350,89110005,EURO100/3,FILCAR,FILCA PIPE EXTRACTION SYST FOR GAS,Manguera de extracción FILCAR Ø100mm/3m,243.21,201.00,150.75,EURO100/3,2,4009410000,0,0,"Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.","Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.",TOOLING & WS,WS,WS. EXH. GAS EXTR.,88200,3900,500,420,420,,,https://api.mybihr.com/medias/1050350-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA4NTV8aW1hZ2UvanBlZ3xhR05tTDJoa1l5ODRPVFV6T0RVd01EQXpORGcyTHpFd05UQXpOVEF0TVY4NE1EQlhlRGd3TUVnfDlkOWQ0MmRjYjA2YTFkYzBjYmNmMGZlZmY1OTNiYTU5ZWNhMTRmN2JmNGRiODE0ZjI2MjlkNjE3YTNmNTZiZmI,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050351,89110007,EURO100/5,FILCAR,FILCA PIPE EXTRACTION SYST FOR GAS,Manguera de extracción FILCAR Ø100mm/5m,406.56,336.00,252.00,EURO100/5,1,4009410000,0,0,"Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.","Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.",TOOLING & WS,WS,WS. EXH. GAS EXTR.,226957,6677,760,617,484,,,https://api.mybihr.com/medias/1050351-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA4NTV8aW1hZ2UvanBlZ3xhR1V3TDJnek9DODRPVFEyTURVNU5UYzFNekkyTHpFd05UQXpOVEV0TVY4NE1EQlhlRGd3TUVnfDViNTdiODQ1ODIzYjBmMmQyZWE1NmU0OGNmMTI3OGNmYjI1MGI2NTY5YmRmYWZjODk1ZGFlMWNkNWY3ZDYzYzI,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050353,892417,EURO75/3,FILCAR,FILCA PIPE EXTRACTION SYST FOR GAS,Manguera de extracción FILCAR Ø75mm/3m,214.17,177.00,132.75,EURO75/3,1,4009410000,0,1,"Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.","Manguera de aspiración EUROGAS: Hecha de TPE, con espiral de nailon flexible, antiaplastamiento y resistencia térmica hasta 200 °C.",TOOLING & WS,WS,WS. EXH. GAS EXTR.,65000,3650,650,500,200,,,https://api.mybihr.com/medias/1050353-1-800Wx800H?context=bWFzdGVyfHJvb3R8NDA4NTV8aW1hZ2UvanBlZ3xhR1kzTDJnNFl5ODRPVE0xTVRneE5qUTNPVEF5THpFd05UQXpOVE10TVY4NE1EQlhlRGd3TUVnfDIyMDNhYzI4ODk0ZWI0MzY3MzQ1MzNjZDEzNGFkMmVjMzE1MzBmNDdlNWUzOGQ5MWExNWVjYWQ1ZWJkMDMxODI,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050332,892422,ATR75,FILCAR,FILCA COUPLING QUICK Ø75MM,Conector rápido FILCAR Ø75mm,340.01,281.00,210.75,ATR75,0,7307998099,0,1,Racor rápido para empalmar sistemas de aspiración o para alargar tubos de extracción.,Racor rápido para empalmar sistemas de aspiración o para alargar tubos de extracción.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,2552,650,135,135,140,,,https://api.mybihr.com/medias/800Wx800H-1050332-1.jpg?context=bWFzdGVyfHJvb3R8NDYzMDF8aW1hZ2UvanBlZ3xhRFJoTDJnNE1pODJNalExT0RBd016Z3hOalEzT0M4NE1EQlhlRGd3TUVoZk1UQTFNRE16TWkweExtcHdad3xkNWU1NjIyMGI4ZDJmMzVhYTBiZDg0M2ViNzljZGYyMjRjNDdhMGIxZmM0ZGJkMjVjMDEwM2VkYzBlZWU0ZjMx,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050331,892421,ATR100,FILCAR,FILCA COUPLING QUICK Ø100MM,Conector rápido FILCAR Ø100mm,340.01,281.00,210.75,ATR100,1,7307998099,0,1,"<html>	<head>		<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title>		</title>		<style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style>	</head>	<body>		<p>Quick coupling for connection to an extraction system to extend a extraction pipe.</p></body></html>",											Quick coupling for connection to an extraction system to extend a extraction pipe.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,2552,650,135,135,140,,,https://api.mybihr.com/medias/800Wx800H-1050331-1.jpg?context=bWFzdGVyfHJvb3R8NDYzMDF8aW1hZ2UvanBlZ3xhRGRoTDJnM1lpODJNalExT0RBd016WXhPVGczTUM4NE1EQlhlRGd3TUVoZk1UQTFNRE16TVMweExtcHdad3wyNjNkZTQxMmZhYjY2OGNhZmIwNWVjMTI3ZTY1YmZiYTgwMTAwYWU5OTAxMDY1ZWE1MmFhMTRkZGZkNTZkZjNh,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
1050336,892423,BRM100,FILCAR,FILCA OUTPUT SUP SINGLE,Boquerel de goma simple con soporte FILCAR Ø100mm,431.97,357.00,267.75,BRM100,1,8421999099,0,0,Boquerel de gases de escape con asta de regulación de altura.,Boquerel de gases de escape con asta de regulación de altura.,TOOLING & WS,WS,WS. EXH. GAS EXTR.,120000,46000,300,400,1000,,,https://api.mybihr.com/medias/800Wx800H-1050336-1.jpg?context=bWFzdGVyfHJvb3R8MTcxODR8aW1hZ2UvanBlZ3xhR00yTDJoa01DODJNalExT0RBd05EQXhNekE0Tmk4NE1EQlhlRGd3TUVoZk1UQTFNRE16TmkweExtcHdad3xkNTk5YjYzY2YzOGM4MWZkMmY3YjkxMTg0YzE5NTFlZDIwYWNhODNlMzM4YTkyMTQyYWIxMDMwMTU3NTBmZjJl,https://static.bihr.pro/eBihr/Pictures/FILCAR-pictures.zip,Spain Warehouse (Parts)
