PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,Document1,Document2,DeliveryPlant
1010560,MKU10,VM28/486-10,MIKUNI,MIKUN JET MKU 10MM,Chiclé de baja Mikuni VM28/486-10,9.68,8.00,5.20,VM28/486-10,4,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,5,20,20,20,https://api.mybihr.com/medias/800Wx800H-1010560-1.jpg?context=bWFzdGVyfHJvb3R8MjMyMzZ8aW1hZ2UvanBlZ3xhREF5TDJnd09TOHpNekV6TVRFeU9EWTFNVGd3Tmk4NE1EQlhlRGd3TUVoZk1UQXhNRFUyTUMweExtcHdad3xjN2VjMmM1Mzc2Y2M3ZWUzYjM1MGVlZjY2ODQxOWQ2Yjc5ZmY3YTJmNjZjZTVjNmQ0YTlhNDkxYmVmMzcyNzcw,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010534,MKP15,VM22/210-015,MIKUNI,MIKUN JET MKP 15MM,Chiclé de baja Mikuni VM22/210-015,8.47,7.00,4.55,VM22/210-015,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,5,20,10,10,https://api.mybihr.com/medias/1010534-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg1MjZ8aW1hZ2UvanBlZ3xhRFZpTDJnMFppODRPVE00T0RNM05UQTRNVEkyTHpFd01UQTFNelF0TVY4NE1EQlhlRGd3TUVnfDRmZDk1NDkxNmRlMDYwOWRiYWVmYjg3N2IwYTczNjA2ZmY0OWU3YmViMDYyZDkyMmIxMzZkMDcwMDQ3Yzc1NTA,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010541,MKP32.5,VM22/210-032.5,MIKUNI,"MIKUN JET MKP 32,5MM",Chiclé de baja Mikuni VM22/210-032.5,8.47,7.00,4.55,VM22/210-032.5,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,105,20,20,20,https://api.mybihr.com/medias/1010541-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg1MjZ8aW1hZ2UvanBlZ3xhR0ZoTDJoa015ODRPVFk0T0RneU5UVXlPRFl5THpFd01UQTFOREV0TVY4NE1EQlhlRGd3TUVnfGFiZWM5MjljNjc2YThkZDcyNmRlNTYyNDZkYmUwNGE5ZGNhZjk2OTZlMmY2ZWNlNWVmN2UyMTBjOWM0MmI4MTM,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010623,822110,730-16003,MIKUNI,MIKUN SPAREPARTS VALVE SLIDE SPRING,Muelle de campana Mikuni TM36/38,6.05,5.00,3.25,730-16003,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,39,15,135,17,17,https://api.mybihr.com/medias/1010623-1-800Wx800H?context=bWFzdGVyfHJvb3R8MzgyODJ8aW1hZ2UvanBlZ3xhRFpsTDJnME1TODRPVE01TURFeE56QXlPREUwTHpFd01UQTJNak10TVY4NE1EQlhlRGd3TUVnfGMzNDI2OWFjN2M1M2JjYzQ1ZTM4MGVhZDVmZmEwNmEyZTYxNzRiNzBjYjY4YjZhZGRmNzM3NTNmNThjNWY0MjE,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010551,MKP60,VM22/210-060,MIKUNI,MIKUN JET MKP 60MM,Chiclé de baja Mikuni VM22/210-060,8.47,7.00,4.55,VM22/210-060,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,8,2,20,20,20,https://api.mybihr.com/medias/1010551-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg1MjZ8aW1hZ2UvanBlZ3xhRGRrTDJnd01DODRPVFk0T0RnME5URTRPVFF5THpFd01UQTFOVEV0TVY4NE1EQlhlRGd3TUVnfDAwNzk1MzY1NGM3YmRmYWQ0ODBjZmZjYzg2NWY2MWM1ZWNlYzJkOTNjYzQwOTc0MmMwOTZlMDc0OWY4MjQ3NDM,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010553,MKP65,VM22/210-065,MIKUNI,MIKUN JET MKP 65MM,Chiclé de baja Mikuni VM22/210-065,8.47,7.00,4.55,VM22/210-065,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,3,100,15,15,15,https://api.mybihr.com/medias/1010553-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg1MjZ8aW1hZ2UvanBlZ3xhRFV6TDJnd05pODRPVFk0T0RnME56RTFOVFV3THpFd01UQTFOVE10TVY4NE1EQlhlRGd3TUVnfGM5ODhlZDk5NWM3ZGM0Mzg2OTJlNDUxMmJlMTk2YjAzM2U0YTJiYmNiMTU4MzI4M2M5NmIyMWI3YmYzOTFhMjE,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1010554,MKP70,VM22/210-070,MIKUNI,MIKUN JET MKP 70MM,Chiclé de baja Mikuni VM22/210-070,8.47,7.00,4.55,VM22/210-070,3,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,50,20,10,10,https://api.mybihr.com/medias/1010554-1-800Wx800H?context=bWFzdGVyfHJvb3R8Mjg1MjZ8aW1hZ2UvanBlZ3xhREkwTDJnd1pDODRPVFk0T0RnME9URXlNVFU0THpFd01UQTFOVFF0TVY4NE1EQlhlRGd3TUVnfDZjMjkyZjdmMGJkN2Y1Mjk3YjJjNjFiN2Q5NGI4OWFlOGYxMDM2ZjA4MGZiMzNlM2I2ZWUyNTliYmRiNzdjODE,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009910,MKA330,4/042-330,MIKUNI,MIKUN JET MKA 330MM,Chiclé de alta Mikuni 4/042-330,8.47,7.00,4.55,4/042-330,0,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,5,20,10,10,https://api.mybihr.com/medias/1009910-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhREZtTDJnMU5pODRPVEkwTVRBM05EQTNNemt3THpFd01EazVNVEF0TVY4NE1EQlhlRGd3TUVnfDM5ZDgxMGViY2E2MDgyMGNmYjJkMWI5ZjVlMGE0ZTU2YjBlYTNkY2FlYWQxNGZkNDVkMjAzMGI5ODE4MzA2ZTE,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009911,MKA340,4/042-340,MIKUNI,MIKUN JET MKA 340MM,Chiclé de alta Mikuni 4/042-340,8.47,7.00,4.55,4/042-340,1,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,4,5,16,16,16,https://api.mybihr.com/medias/1009911-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhRFl3TDJoaE55ODRPVEE0TXpJd01UYzRNakEyTHpFd01EazVNVEV0TVY4NE1EQlhlRGd3TUVnfDk3NzA0OTc0OWI4MjkzZjBmOThhZWE2NTViYjAzZDUxMzU2ODE0YzA2ZGVhMzlmMWYxNDU0MGE2YTE3YzRmODk,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
1009912,MKA350,4/042-350,MIKUNI,MIKUN JET MKA 350MM,Chiclé de alta Mikuni 4/042-350,8.47,7.00,4.55,4/042-350,2,8409910090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. INTAKE,2,30,21,14,8,https://api.mybihr.com/medias/1009912-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY1ODd8aW1hZ2UvanBlZ3xhRFk0TDJoak1TODRPVEF3T1RBMk5UUTVNamM0THpFd01EazVNVEl0TVY4NE1EQlhlRGd3TUVnfGMxNzMyMDllZDViOWQxYjU4NDQzYjU4MzgwMzBjMmUwNjQ4ZTA4NjhhMWRhMDMxOGVkOTRjNmRjOTkxNzlhZjM,,,,https://static.bihr.pro/eBihr/Pictures/MIKUNI-pictures.zip,,,Spain Warehouse (Parts)
