PartNumber,OldPartNumber,SupplierProductCode,Brand,ProductName,Designation,RetailPriceIncludingTax,RetailPriceExcludingTax,BaseDealerPriceExcludingTax,BarCode,StockValue,CommodityCode,OnDemand,DropShipping,HtmlDescription,Description,Category1,Category2,Category3,V-Color,Volume (cm³),Weight (g),Length (mm),Width (mm),Height (mm),Color,Composición,Embalaje,Picture1,Picture2,Picture3,Picture4,AllPicturesZIP,DeliveryPlant
1020868,,CCG-42A,BOYESEN,BOYES GASKET CLUTCH,Junta de tapa de embrague BOYESEN,10.08,8.33,5.00,804429514007,0,8484900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs1C98BBCC{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:circle;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}</style> </head> <body> <ul> <li>Replacement gasket for p/n:<ul> <li>127209</li><li>127210</li><li>127211</li></ul> </li></ul> </body> </html>","        Replacement gasket for p/n: 127209127210127211   ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,628,9,264,170,14,,,,https://api.mybihr.com/medias/1020868-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjEwNDl8aW1hZ2UvanBlZ3xhR1JoTDJnNE5DODRPVFk1TVRJek5UazBNamN3THpFd01qQTROamd0TVY4NE1EQlhlRGd3TUVnfDI1Mzg4MDA5NTJiMjIyZmQyYzMxYmM5MDJjN2ZkY2MzYmU4Y2I1YWUxZGE5NjBiMGY5ZGJhOGZlZmFlZGU4MDg,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
1020875,,SCG-41A,BOYESEN,BOYES GASKET IGNITION COVER,Junta tapa de encendido,10.08,8.33,5.00,804429511891,0,8484900090,0,1,"<html> <head> <meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""><title> </title> <style type=""text/css"">.cs95E872D0{text-align:left;margin:0pt 0pt 0pt 0pt;}.csA7555675{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs4FC7BF42{text-align:left;margin:0pt 0pt 0pt 0pt;list-style-type:disc;color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.csCF6BBF71{color:#000;background-color:transparent;font-weight:normal;font-style:normal;}.cs955DD547{color:#000;background-color:transparent;font-weight:normal;font-style:normal;text-decoration:none;}.cs92015F65{color:#00F;background-color:transparent;font-weight:normal;font-style:normal;text-decoration:underline;}</style> </head> <body> <p>BOYESEN Replacement Ignition Cover Gasket for BOYESEN Ignition Covers:</p><ul start=""1""> <li><a href=""https://bihr.pro/Product/Search?CurrentSearchString=127072"">127072</a></li><li><a href=""https://bihr.pro/Product/Search?CurrentSearchString=127077"">127077 </a></li></ul> <p> </p></body> </html>","       BOYESEN Replacement Ignition Cover Gasket for BOYESEN Ignition Covers: 127072127077    ",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,408,24,162,210,12,,,,https://api.mybihr.com/medias/1020875-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMyNjA5fGltYWdlL2pwZWd8YUdRM0wyaGhOQzg0T1RJME5USTBORGM0TkRrMEx6RXdNakE0TnpVdE1WODRNREJYZURnd01FZ3w5MTIyNjAzNzFhYjBlMDYxZWZmNGM0ZWRlNWI0ZTNhYzg2OWRlM2YzYWY2OTI2ODlhZjQ1MzMyZDIyMmUwYmY0,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
1020879,,WPCG-45A,BOYESEN,BOYES GASKET WATER PUMP,Junta de la bomba de agua BOYESEN,10.08,8.33,5.00,804429513789,0,8484900090,0,1,"Technical Part, please contract our After-Sales Service to have the specific reference you need.","Technical Part, please contract our After-Sales Service to have the specific reference you need.",VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,125,100,101,103,12,,,,https://api.mybihr.com/medias/1020879-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTM1MjE2fGltYWdlL2pwZWd8YURZekwyaGhaQzg0T1RBeE1qVXdPVGN6TnpJMkx6RXdNakE0TnprdE1WODRNREJYZURnd01FZ3w3Yzg3NjZlOWVkY2I3MjFhODkzYTM4M2M4OGMwNjdmMGM5MDA3M2EzNDIzMzdlNzg4YTI0YzM4MGVlZWUxMTI2,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
1020853,,CCG-18,BOYESEN,BOYES GASKET CLUTCH,Junta de tapa de embrague BOYESEN,10.08,8.33,5.00,804429507665,0,8484900090,0,1, Replacement Clutch Cover gasket 127087, Replacement Clutch Cover gasket 127087,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,64,23,49,187,7,,,,https://api.mybihr.com/medias/1020853-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMyNjA5fGltYWdlL2pwZWd8YURreEwyZzNNUzg0T1RNME9EQTNNRFEwTVRJMkx6RXdNakE0TlRNdE1WODRNREJYZURnd01FZ3w3MmUzNTE4ZmM0Mzc3ODIwZTM5ZGQ3OTAyZTllY2UxMzI2OGZlYmNlMjUwM2Q4NTdlMzFkZTIxMjg1YjFkYjYz,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
1020852,,CCG-17A,BOYESEN,BOYES GASKET CLUTCH,Junta de tapa de embrague BOYESEN,10.08,8.33,5.00,804429509850,0,8484900090,0,1, Replacement Clutch Cover gasket 127092, Replacement Clutch Cover gasket 127092,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,478,23,199,200,12,,,,https://api.mybihr.com/medias/1020852-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMyNjA5fGltYWdlL2pwZWd8YUdKbUwyZzNPQzg0T1RVek16RTRPVFkxTWpjNEx6RXdNakE0TlRJdE1WODRNREJYZURnd01FZ3xkNmY0YTRjZTYyNTNiOTE1MjYwYTQyMGRkMzlmMjM3MDE2M2ExNTk2ZDU0YTAwNmZlOWY3ZTQxZmEwM2NkZDUw,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
1020854,,CCG-18A,BOYESEN,BOYES GASKET CLUTCH,Junta de tapa de embrague BOYESEN,10.08,8.33,5.00,804429513604,0,8483608090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,365,20,225,180,9,,,,https://api.mybihr.com/medias/1020854-1-800Wx800H?context=bWFzdGVyfHJvb3R8NjA5MTV8aW1hZ2UvanBlZ3xhR015TDJnMllTODRPVE0wT0RBM01qUXdOek0wTHpFd01qQTROVFF0TVY4NE1EQlhlRGd3TUVnfGRkMmJhMGQyOWRhODczZGNhYzQ4MGYwZDlhYmVkNzBjMTA4M2ZkMTc3ZjhmNzZhMGI1OGIwODRjYTc0NTA2Nzc,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
1020856,,CCG-22,BOYESEN,BOYES GASKET CLUTCH,Junta de tapa de embrague BOYESEN,10.08,8.33,5.00,804429501557,0,8483608090,0,1,,,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,530,14,192,197,14,,,,https://api.mybihr.com/medias/1020856-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjY3MzB8aW1hZ2UvanBlZ3xhRGhqTDJobU1DODVNREV5TlRFNU16Y3dOemd5THpFd01qQTROVFl0TVY4NE1EQlhlRGd3TUVnfDc5NTg1YTcxOWIyYTE5OTAzMDg0MDc2MWY1NWQ5MjUxMjM0NDVmZjAzN2RlNzVhZDZjZmE4MTZkYmJlOWZiYmI,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
1020857,,CCG-26A,BOYESEN,BOYES GASKET CLUTCH,Junta de tapa de embrague BOYESEN,10.08,8.33,5.00,804429509898,0,8484900090,0,1, Replacement Clutch Cover gasket 127099, Replacement Clutch Cover gasket 127099,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,3,22,12,32,7,,,,https://api.mybihr.com/medias/1020857-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMyNjA5fGltYWdlL2pwZWd8YURSaEwyaG1OeTg1TURFeU5URTVOVFkzTXprd0x6RXdNakE0TlRjdE1WODRNREJYZURnd01FZ3wxOTVlYzY5ZjllZThkMTc2NGQ5MmJiODBhZTM3MGViNTlhNDUzOWI1ZDY2ZGM3MmJiODZiY2NlYTI0MWQ5MzJl,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
1020858,,CCG-27,BOYESEN,BOYES GASKET CLUTCH,Junta de tapa de embrague BOYESEN,10.08,8.33,5.00,804429508693,0,8484900090,0,1, Replacement Clutch Cover gasket 127091, Replacement Clutch Cover gasket 127091,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,28,23,39,177,4,,,,https://api.mybihr.com/medias/1020858-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMyNjA5fGltYWdlL2pwZWd8YURGaEwyaG1aUzg1TURFeU5URTVOell6T1RrNEx6RXdNakE0TlRndE1WODRNREJYZURnd01FZ3w4OTViYzhlZDQwNWJjMjliYjBmMjE1YThlYTExNTY3MGViMThlY2YzZjQ1MWI1MTVlMWUzZGNkMWZlN2JmZWQ1,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
1020859,,CCG-30,BOYESEN,BOYES GASKET CLUTCH,Junta de tapa de embrague BOYESEN,10.08,8.33,5.00,804429504664,0,8484900090,0,1, Replacement Clutch Cover gasket 127097, Replacement Clutch Cover gasket 127097,VEHICLE PARTS & ACCESSORIES,ENGINE PARTS,ENG. BEARING&GASKET,,594,22,220,225,12,,,,https://api.mybihr.com/medias/1020859-1-800Wx800H?context=bWFzdGVyfHJvb3R8MTMyNjA5fGltYWdlL2pwZWd8YURRMkwyZzBOUzg0T1RZNU1USXhPREkwTnprNEx6RXdNakE0TlRrdE1WODRNREJYZURnd01FZ3xhNGUwZGMyYjJhMzQ3ZjA0ZTFkNGEzZjgxYzRmMThiN2JjMzBiNTM3YWFkOWQ2MDZiMzRlNWIzY2UzM2Q5NTcy,,,,https://static.bihr.pro/eBihr/Pictures/BOYESEN-pictures.zip,Spain Warehouse (Parts)
