VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
105.354.01.2024,1116900,WR-HVV-2D-BK-,WR-HVV-2D-BK-S1,,,
926.081.02.2023,1116896,41665A,41665A,,,
926.082.01.2022,1116896,41665A,41665A,,,
926.082.01.2023,1116896,41665A,41665A,,,
926.082.02.2022,1116896,41665A,41665A,,,
926.082.02.2023,1116896,41665A,41665A,,,
105.356.01.2023,1116896,41665A,41665A,,,
926.080.01.2023,1116896,41665A,41665A,,,
926.080.02.2022,1116896,41665A,41665A,,,
926.080.02.2023,1116896,41665A,41665A,,,
926.081.01.2023,1116896,41665A,41665A,,,
926.081.01.2024,1116896,41665A,41665A,,,
926.081.02.2022,1116896,41665A,41665A,,,
041.105.02.2024,1116896,41665A,41665A,,,
041.106.01.2023,1116896,41665A,41665A,,,
041.106.01.2024,1116896,41665A,41665A,,,
041.106.02.2023,1116896,41665A,41665A,,,
041.106.02.2024,1116896,41665A,41665A,,,
926.080.01.2022,1116896,41665A,41665A,,,
032.152.02.2023,1116896,41665A,41665A,,,
032.152.03.2023,1116896,41665A,41665A,,,
032.152.03.2024,1116896,41665A,41665A,,,
041.105.01.2023,1116896,41665A,41665A,,,
041.105.01.2024,1116896,41665A,41665A,,,
041.105.02.2023,1116896,41665A,41665A,,,
032.152.01.2022,1109576,MT744-OT007,MT744-OT007,,,
032.152.01.2023,1109576,MT744-OT007,MT744-OT007,,,
105.354.01.2023,1116896,41665A,41665A,,,
032.152.01.2022,1116896,41665A,41665A,,,
032.152.01.2023,1116896,41665A,41665A,,,
032.152.02.2022,1116896,41665A,41665A,,,
031.001.01.2023,1109577,MT744-OT008,MT744-OT008,,,
031.001.01.2024,1109577,MT744-OT008,MT744-OT008,,,
046.001.02.2024,1109577,MT744-OT008,MT744-OT008,,,
082.001.01.2024,1109577,MT744-OT008,MT744-OT008,,,
129.001.01.2023,1109577,MT744-OT008,MT744-OT008,,,
129.001.01.2024,1109577,MT744-OT008,MT744-OT008,,,
