sku,idx,url,sizes_faltantes
1077578002,0,https://api.mybihr.com/medias/1077578002-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhREEwTDJobFlTODRPVFkzTWpJeE9UWTRPVEkyTHpFd056YzFOemd3TURJdE1WODRNREJYZURnd01FZ3xkNWMzYjUxNzIwZGM2ZGFlNTVjNGIyYjAyMGQxNThmMjRiYjIzNjU3YTcyZmRiYTI0OTU5MTA2YmM2NWI0OTc1,800
1077578003,0,https://api.mybihr.com/medias/1077578003-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhRE5oTDJnMU1DODRPVFkzTWpneU5USTBNVGt3THpFd056YzFOemd3TURNdE1WODRNREJYZURnd01FZ3xiYWMwNTE0MWRhZGUwZDlkZmZhYWZlMzlmYTczYmFjNWJkOWFlOWMyOTQwOWM1Y2IxNzQ5OTM2MTcxYzkyMjNk,800
1077578008,0,https://api.mybihr.com/medias/1077578008-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhR0k0TDJnek1TODRPVGMyT0RRNE9UUTFNVGd5THpFd056YzFOemd3TURndE1WODRNREJYZURnd01FZ3xmYmZhNjQ2Zjc4NDMwY2MxYjQyODI2MDM1YmRhNzJlYjNhMjQ4ZjFiOTY0MWNjNzkxZmEyZmNiYmEzMWI3YTFh,800
1077578033,0,https://api.mybihr.com/medias/1077578033-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhRGMzTDJnM05TODRPVGMyT0RVek1qY3dOVFU0THpFd056YzFOemd3TXpNdE1WODRNREJYZURnd01FZ3wzYThhZWIyNGJiMGU1ZDkwMmU2ODZlMDY2YzcwZWIwZWIzN2JhMDRmMzZhODM0MDE0OWM5ZGM5MzA3ZmQ0Nzc4,800
1077578004,0,https://api.mybihr.com/medias/1077578004-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhR1V6TDJneU5TODRPVFkzTlRJd09UYzJPVEkyTHpFd056YzFOemd3TURRdE1WODRNREJYZURnd01FZ3xhMjg5MjliMGViZDNhZWU1OTIwMzQ0YjliNDBhMGE1ODc0MGQ4ZTRjZjE2MThmN2Y4N2M5YTUxNTFlNjY5OTI5,800
1077578030,0,https://api.mybihr.com/medias/1077578030-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhR1ZpTDJoaVl5ODRPVFkzTnpNd09EVTFPVFkyTHpFd056YzFOemd3TXpBdE1WODRNREJYZURnd01FZ3xhYzhlYjJlZWRlMGMyYjA0ODhlZjlkNzUwMTFjYWMzZTRiYTFjOWQ4ZWM0MjA5ZTcwYmNhYzlkNmNlNDdlYmVj,800
1077578009,0,https://api.mybihr.com/medias/1077578009-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhR015TDJneFl5ODRPVGMyT0RRNU1UUXhOemt3THpFd056YzFOemd3TURrdE1WODRNREJYZURnd01FZ3w4NWRmZmUzMDk2ZGFlZDY0ZTcwNWE1YTRjZmZlMjliOGU0ZDAxOWE5OTIxZThhMmFiZGJlMzczZDM4MTUxYmNh,800
1077578038,0,https://api.mybihr.com/medias/1077578038-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhR1ExTDJnNE9TODRPVGMyT0RVek9EWXdNemd5THpFd056YzFOemd3TXpndE1WODRNREJYZURnd01FZ3xhNDRjYjVhZjk3NjQxZDhiNWYzZmQ1NmFiNjkwNWZmZDVjZWFhZjllZjk5NGEyZDJhMTY0YTFiMWNkNjMyZDk0,800
1077578013,0,https://api.mybihr.com/medias/1077578013-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhR1JsTDJnek55ODRPVGMyT0RRNU9USTRNakl5THpFd056YzFOemd3TVRNdE1WODRNREJYZURnd01FZ3wwODlhMTMyZTQ4NGI4ZDlhYjZmYTllMTNjOGRiZjdlYjQ3OTczYzQ4ODFlNGE5Y2Y4ZWViNmQwYzNjNTk2ZWNm,800
1077578019,0,https://api.mybihr.com/medias/1077578019-1-800Wx800H?context=bWFzdGVyfHJvb3R8MjI2ODR8aW1hZ2UvanBlZ3xhR0l5TDJoaU1DODRPVGMyT0RVd09URXhNall5THpFd056YzFOemd3TVRrdE1WODRNREJYZURnd01FZ3xiYTkxNDg3M2NhZmYwNjA5MTdmMjdiZGQyY2I1ZmIxMWU4ZGVjNTFmMGUzNDUyZTk0Zjk1MjRlNWJjNGVmNGM4,800
